"table","section_id","item","instrument","language","instructions","section_prompt","item_text","correct_response","option_text","resp"
"peters_2025_si_current","peters_2025_si_current_1","food","Your COVID-19 Risk (COVID-19 Risk Assessment Tool): current self-isolation behaviours checklist (siCurrent)","English; Dutch; Romanian; Italian; Turkish; Portuguese (Brazil); French; Spanish; Indonesian; Greek; Portuguese; German; Chinese (Simplified); Hungarian; Arabic; Amharic; Polish; Japanese; Chinese (Traditional, Hong Kong); Urdu; Korean; Hebrew","Are you doing any of the following?",NA,"Leaving your house for food, medicine, or healthcare",NA,NA,0
"peters_2025_si_current","peters_2025_si_current_1","food","Your COVID-19 Risk (COVID-19 Risk Assessment Tool): current self-isolation behaviours checklist (siCurrent)","English; Dutch; Romanian; Italian; Turkish; Portuguese (Brazil); French; Spanish; Indonesian; Greek; Portuguese; German; Chinese (Simplified); Hungarian; Arabic; Amharic; Polish; Japanese; Chinese (Traditional, Hong Kong); Urdu; Korean; Hebrew","Are you doing any of the following?",NA,"Leaving your house for food, medicine, or healthcare",NA,NA,1
"peters_2025_si_current","peters_2025_si_current_1","shops","Your COVID-19 Risk (COVID-19 Risk Assessment Tool): current self-isolation behaviours checklist (siCurrent)","English; Dutch; Romanian; Italian; Turkish; Portuguese (Brazil); French; Spanish; Indonesian; Greek; Portuguese; German; Chinese (Simplified); Hungarian; Arabic; Amharic; Polish; Japanese; Chinese (Traditional, Hong Kong); Urdu; Korean; Hebrew","Are you doing any of the following?",NA,"Leaving your house for other shops or services",NA,NA,0
"peters_2025_si_current","peters_2025_si_current_1","shops","Your COVID-19 Risk (COVID-19 Risk Assessment Tool): current self-isolation behaviours checklist (siCurrent)","English; Dutch; Romanian; Italian; Turkish; Portuguese (Brazil); French; Spanish; Indonesian; Greek; Portuguese; German; Chinese (Simplified); Hungarian; Arabic; Amharic; Polish; Japanese; Chinese (Traditional, Hong Kong); Urdu; Korean; Hebrew","Are you doing any of the following?",NA,"Leaving your house for other shops or services",NA,NA,1
"peters_2025_si_current","peters_2025_si_current_1","famly","Your COVID-19 Risk (COVID-19 Risk Assessment Tool): current self-isolation behaviours checklist (siCurrent)","English; Dutch; Romanian; Italian; Turkish; Portuguese (Brazil); French; Spanish; Indonesian; Greek; Portuguese; German; Chinese (Simplified); Hungarian; Arabic; Amharic; Polish; Japanese; Chinese (Traditional, Hong Kong); Urdu; Korean; Hebrew","Are you doing any of the following?",NA,"Visiting family",NA,NA,0
"peters_2025_si_current","peters_2025_si_current_1","famly","Your COVID-19 Risk (COVID-19 Risk Assessment Tool): current self-isolation behaviours checklist (siCurrent)","English; Dutch; Romanian; Italian; Turkish; Portuguese (Brazil); French; Spanish; Indonesian; Greek; Portuguese; German; Chinese (Simplified); Hungarian; Arabic; Amharic; Polish; Japanese; Chinese (Traditional, Hong Kong); Urdu; Korean; Hebrew","Are you doing any of the following?",NA,"Visiting family",NA,NA,1
"peters_2025_si_current","peters_2025_si_current_1","frnds","Your COVID-19 Risk (COVID-19 Risk Assessment Tool): current self-isolation behaviours checklist (siCurrent)","English; Dutch; Romanian; Italian; Turkish; Portuguese (Brazil); French; Spanish; Indonesian; Greek; Portuguese; German; Chinese (Simplified); Hungarian; Arabic; Amharic; Polish; Japanese; Chinese (Traditional, Hong Kong); Urdu; Korean; Hebrew","Are you doing any of the following?",NA,"Visiting friends",NA,NA,0
"peters_2025_si_current","peters_2025_si_current_1","frnds","Your COVID-19 Risk (COVID-19 Risk Assessment Tool): current self-isolation behaviours checklist (siCurrent)","English; Dutch; Romanian; Italian; Turkish; Portuguese (Brazil); French; Spanish; Indonesian; Greek; Portuguese; German; Chinese (Simplified); Hungarian; Arabic; Amharic; Polish; Japanese; Chinese (Traditional, Hong Kong); Urdu; Korean; Hebrew","Are you doing any of the following?",NA,"Visiting friends",NA,NA,1
"peters_2025_si_current","peters_2025_si_current_1","sport","Your COVID-19 Risk (COVID-19 Risk Assessment Tool): current self-isolation behaviours checklist (siCurrent)","English; Dutch; Romanian; Italian; Turkish; Portuguese (Brazil); French; Spanish; Indonesian; Greek; Portuguese; German; Chinese (Simplified); Hungarian; Arabic; Amharic; Polish; Japanese; Chinese (Traditional, Hong Kong); Urdu; Korean; Hebrew","Are you doing any of the following?",NA,"Walking or exercising outdoors",NA,NA,0
"peters_2025_si_current","peters_2025_si_current_1","sport","Your COVID-19 Risk (COVID-19 Risk Assessment Tool): current self-isolation behaviours checklist (siCurrent)","English; Dutch; Romanian; Italian; Turkish; Portuguese (Brazil); French; Spanish; Indonesian; Greek; Portuguese; German; Chinese (Simplified); Hungarian; Arabic; Amharic; Polish; Japanese; Chinese (Traditional, Hong Kong); Urdu; Korean; Hebrew","Are you doing any of the following?",NA,"Walking or exercising outdoors",NA,NA,1
"peters_2025_si_current","peters_2025_si_current_1","home","Your COVID-19 Risk (COVID-19 Risk Assessment Tool): current self-isolation behaviours checklist (siCurrent)","English; Dutch; Romanian; Italian; Turkish; Portuguese (Brazil); French; Spanish; Indonesian; Greek; Portuguese; German; Chinese (Simplified); Hungarian; Arabic; Amharic; Polish; Japanese; Chinese (Traditional, Hong Kong); Urdu; Korean; Hebrew","Are you doing any of the following?",NA,"Mostly staying at home",NA,NA,0
