"table","section_id","item","instrument","language","instructions","section_prompt","item_text","correct_response","option_text","resp"
"peters_2025_pbc_skill_import","peters_2025_pbc_skill_import_1","childbad","COVID-19 Risk Assessment Tool (Your COVID-19 Risk / YCR) -- Perceived behavioural control items, perceived subskill importance component","English; Dutch; Romanian; Italian; Portuguese (Brazil); Turkish; French; Spanish; Indonesian; Portuguese; Greek; German; Hungarian; Arabic; Amharic; Polish; Chinese (Simplified); Chinese (Traditional, Hong Kong); Japanese; Hebrew",NA,NA,"For me to successfully keep {{distRec}} distance from others, being able to speak to children without making them feel bad is…",NA,"not at all important",1
"peters_2025_pbc_skill_import","peters_2025_pbc_skill_import_1","childbad","COVID-19 Risk Assessment Tool (Your COVID-19 Risk / YCR) -- Perceived behavioural control items, perceived subskill importance component","English; Dutch; Romanian; Italian; Portuguese (Brazil); Turkish; French; Spanish; Indonesian; Portuguese; Greek; German; Hungarian; Arabic; Amharic; Polish; Chinese (Simplified); Chinese (Traditional, Hong Kong); Japanese; Hebrew",NA,NA,"For me to successfully keep {{distRec}} distance from others, being able to speak to children without making them feel bad is…",NA,NA,2
"peters_2025_pbc_skill_import","peters_2025_pbc_skill_import_1","childbad","COVID-19 Risk Assessment Tool (Your COVID-19 Risk / YCR) -- Perceived behavioural control items, perceived subskill importance component","English; Dutch; Romanian; Italian; Portuguese (Brazil); Turkish; French; Spanish; Indonesian; Portuguese; Greek; German; Hungarian; Arabic; Amharic; Polish; Chinese (Simplified); Chinese (Traditional, Hong Kong); Japanese; Hebrew",NA,NA,"For me to successfully keep {{distRec}} distance from others, being able to speak to children without making them feel bad is…",NA,NA,3
"peters_2025_pbc_skill_import","peters_2025_pbc_skill_import_1","childbad","COVID-19 Risk Assessment Tool (Your COVID-19 Risk / YCR) -- Perceived behavioural control items, perceived subskill importance component","English; Dutch; Romanian; Italian; Portuguese (Brazil); Turkish; French; Spanish; Indonesian; Portuguese; Greek; German; Hungarian; Arabic; Amharic; Polish; Chinese (Simplified); Chinese (Traditional, Hong Kong); Japanese; Hebrew",NA,NA,"For me to successfully keep {{distRec}} distance from others, being able to speak to children without making them feel bad is…",NA,NA,4
"peters_2025_pbc_skill_import","peters_2025_pbc_skill_import_1","childbad","COVID-19 Risk Assessment Tool (Your COVID-19 Risk / YCR) -- Perceived behavioural control items, perceived subskill importance component","English; Dutch; Romanian; Italian; Portuguese (Brazil); Turkish; French; Spanish; Indonesian; Portuguese; Greek; German; Hungarian; Arabic; Amharic; Polish; Chinese (Simplified); Chinese (Traditional, Hong Kong); Japanese; Hebrew",NA,NA,"For me to successfully keep {{distRec}} distance from others, being able to speak to children without making them feel bad is…",NA,"extremely important",5
"peters_2025_pbc_skill_import","peters_2025_pbc_skill_import_1","childreject","COVID-19 Risk Assessment Tool (Your COVID-19 Risk / YCR) -- Perceived behavioural control items, perceived subskill importance component","English; Dutch; Romanian; Italian; Portuguese (Brazil); Turkish; French; Spanish; Indonesian; Portuguese; Greek; German; Hungarian; Arabic; Amharic; Polish; Chinese (Simplified); Chinese (Traditional, Hong Kong); Japanese; Hebrew",NA,NA,"For me to successfully keep {{distRec}} distance from others, being able to speak to children without making them feel rejected is…",NA,"not at all important",1
"peters_2025_pbc_skill_import","peters_2025_pbc_skill_import_1","childreject","COVID-19 Risk Assessment Tool (Your COVID-19 Risk / YCR) -- Perceived behavioural control items, perceived subskill importance component","English; Dutch; Romanian; Italian; Portuguese (Brazil); Turkish; French; Spanish; Indonesian; Portuguese; Greek; German; Hungarian; Arabic; Amharic; Polish; Chinese (Simplified); Chinese (Traditional, Hong Kong); Japanese; Hebrew",NA,NA,"For me to successfully keep {{distRec}} distance from others, being able to speak to children without making them feel rejected is…",NA,NA,2
"peters_2025_pbc_skill_import","peters_2025_pbc_skill_import_1","childreject","COVID-19 Risk Assessment Tool (Your COVID-19 Risk / YCR) -- Perceived behavioural control items, perceived subskill importance component","English; Dutch; Romanian; Italian; Portuguese (Brazil); Turkish; French; Spanish; Indonesian; Portuguese; Greek; German; Hungarian; Arabic; Amharic; Polish; Chinese (Simplified); Chinese (Traditional, Hong Kong); Japanese; Hebrew",NA,NA,"For me to successfully keep {{distRec}} distance from others, being able to speak to children without making them feel rejected is…",NA,NA,3
"peters_2025_pbc_skill_import","peters_2025_pbc_skill_import_1","childreject","COVID-19 Risk Assessment Tool (Your COVID-19 Risk / YCR) -- Perceived behavioural control items, perceived subskill importance component","English; Dutch; Romanian; Italian; Portuguese (Brazil); Turkish; French; Spanish; Indonesian; Portuguese; Greek; German; Hungarian; Arabic; Amharic; Polish; Chinese (Simplified); Chinese (Traditional, Hong Kong); Japanese; Hebrew",NA,NA,"For me to successfully keep {{distRec}} distance from others, being able to speak to children without making them feel rejected is…",NA,NA,4
"peters_2025_pbc_skill_import","peters_2025_pbc_skill_import_1","childreject","COVID-19 Risk Assessment Tool (Your COVID-19 Risk / YCR) -- Perceived behavioural control items, perceived subskill importance component","English; Dutch; Romanian; Italian; Portuguese (Brazil); Turkish; French; Spanish; Indonesian; Portuguese; Greek; German; Hungarian; Arabic; Amharic; Polish; Chinese (Simplified); Chinese (Traditional, Hong Kong); Japanese; Hebrew",NA,NA,"For me to successfully keep {{distRec}} distance from others, being able to speak to children without making them feel rejected is…",NA,"extremely important",5
"peters_2025_pbc_skill_import","peters_2025_pbc_skill_import_1","deccont","COVID-19 Risk Assessment Tool (Your COVID-19 Risk / YCR) -- Perceived behavioural control items, perceived subskill importance component","English; Dutch; Romanian; Italian; Portuguese (Brazil); Turkish; French; Spanish; Indonesian; Portuguese; Greek; German; Hungarian; Arabic; Amharic; Polish; Chinese (Simplified); Chinese (Traditional, Hong Kong); Japanese; Hebrew",NA,NA,"For me to successfully keep {{distRec}} distance from others, being able to decline physical contact is…",NA,"not at all important",1
