"table","section_id","item","instrument","language","instructions","section_prompt","item_text","correct_response","option_text","resp"
"peters_2025_hw_frequency","peters_2025_hw_frequency_1","cntct","Your COVID-19 Risk (COVID-19 Risk Assessment Tool): hand washing frequency checklist (hwFrequency)","English; Dutch; Romanian; Italian; Turkish; Portuguese (Brazil); French; Spanish; Indonesian; Greek; Portuguese; German; Chinese (Simplified); Arabic; Hungarian; Amharic; Polish; Chinese (Traditional, Hong Kong); Japanese; Urdu; Korean; Hebrew","Do you regularly wash or clean your hands in the following situations?",NA,"After I have been in direct contact with somone else",NA,NA,0
"peters_2025_hw_frequency","peters_2025_hw_frequency_1","cntct","Your COVID-19 Risk (COVID-19 Risk Assessment Tool): hand washing frequency checklist (hwFrequency)","English; Dutch; Romanian; Italian; Turkish; Portuguese (Brazil); French; Spanish; Indonesian; Greek; Portuguese; German; Chinese (Simplified); Arabic; Hungarian; Amharic; Polish; Chinese (Traditional, Hong Kong); Japanese; Urdu; Korean; Hebrew","Do you regularly wash or clean your hands in the following situations?",NA,"After I have been in direct contact with somone else",NA,NA,1
"peters_2025_hw_frequency","peters_2025_hw_frequency_1","surfc","Your COVID-19 Risk (COVID-19 Risk Assessment Tool): hand washing frequency checklist (hwFrequency)","English; Dutch; Romanian; Italian; Turkish; Portuguese (Brazil); French; Spanish; Indonesian; Greek; Portuguese; German; Chinese (Simplified); Arabic; Hungarian; Amharic; Polish; Chinese (Traditional, Hong Kong); Japanese; Urdu; Korean; Hebrew","Do you regularly wash or clean your hands in the following situations?",NA,"After I have touched public or frequently touched surfaces (e.g., doorknobs, railings, tables, buttons/switches)",NA,NA,0
"peters_2025_hw_frequency","peters_2025_hw_frequency_1","surfc","Your COVID-19 Risk (COVID-19 Risk Assessment Tool): hand washing frequency checklist (hwFrequency)","English; Dutch; Romanian; Italian; Turkish; Portuguese (Brazil); French; Spanish; Indonesian; Greek; Portuguese; German; Chinese (Simplified); Arabic; Hungarian; Amharic; Polish; Chinese (Traditional, Hong Kong); Japanese; Urdu; Korean; Hebrew","Do you regularly wash or clean your hands in the following situations?",NA,"After I have touched public or frequently touched surfaces (e.g., doorknobs, railings, tables, buttons/switches)",NA,NA,1
"peters_2025_hw_frequency","peters_2025_hw_frequency_1","face","Your COVID-19 Risk (COVID-19 Risk Assessment Tool): hand washing frequency checklist (hwFrequency)","English; Dutch; Romanian; Italian; Turkish; Portuguese (Brazil); French; Spanish; Indonesian; Greek; Portuguese; German; Chinese (Simplified); Arabic; Hungarian; Amharic; Polish; Chinese (Traditional, Hong Kong); Japanese; Urdu; Korean; Hebrew","Do you regularly wash or clean your hands in the following situations?",NA,"Before/After I have touched my face, nose, mouth",NA,NA,0
"peters_2025_hw_frequency","peters_2025_hw_frequency_1","face","Your COVID-19 Risk (COVID-19 Risk Assessment Tool): hand washing frequency checklist (hwFrequency)","English; Dutch; Romanian; Italian; Turkish; Portuguese (Brazil); French; Spanish; Indonesian; Greek; Portuguese; German; Chinese (Simplified); Arabic; Hungarian; Amharic; Polish; Chinese (Traditional, Hong Kong); Japanese; Urdu; Korean; Hebrew","Do you regularly wash or clean your hands in the following situations?",NA,"Before/After I have touched my face, nose, mouth",NA,NA,1
"peters_2025_hw_frequency","peters_2025_hw_frequency_1","snzcf","Your COVID-19 Risk (COVID-19 Risk Assessment Tool): hand washing frequency checklist (hwFrequency)","English; Dutch; Romanian; Italian; Turkish; Portuguese (Brazil); French; Spanish; Indonesian; Greek; Portuguese; German; Chinese (Simplified); Arabic; Hungarian; Amharic; Polish; Chinese (Traditional, Hong Kong); Japanese; Urdu; Korean; Hebrew","Do you regularly wash or clean your hands in the following situations?",NA,"After I sneeze or cough",NA,NA,0
"peters_2025_hw_frequency","peters_2025_hw_frequency_1","snzcf","Your COVID-19 Risk (COVID-19 Risk Assessment Tool): hand washing frequency checklist (hwFrequency)","English; Dutch; Romanian; Italian; Turkish; Portuguese (Brazil); French; Spanish; Indonesian; Greek; Portuguese; German; Chinese (Simplified); Arabic; Hungarian; Amharic; Polish; Chinese (Traditional, Hong Kong); Japanese; Urdu; Korean; Hebrew","Do you regularly wash or clean your hands in the following situations?",NA,"After I sneeze or cough",NA,NA,1
"peters_2025_hw_frequency","peters_2025_hw_frequency_1","bldng","Your COVID-19 Risk (COVID-19 Risk Assessment Tool): hand washing frequency checklist (hwFrequency)","English; Dutch; Romanian; Italian; Turkish; Portuguese (Brazil); French; Spanish; Indonesian; Greek; Portuguese; German; Chinese (Simplified); Arabic; Hungarian; Amharic; Polish; Chinese (Traditional, Hong Kong); Japanese; Urdu; Korean; Hebrew","Do you regularly wash or clean your hands in the following situations?",NA,"On entering my home, place of work, or other building I will be spending some time in",NA,NA,0
"peters_2025_hw_frequency","peters_2025_hw_frequency_1","bldng","Your COVID-19 Risk (COVID-19 Risk Assessment Tool): hand washing frequency checklist (hwFrequency)","English; Dutch; Romanian; Italian; Turkish; Portuguese (Brazil); French; Spanish; Indonesian; Greek; Portuguese; German; Chinese (Simplified); Arabic; Hungarian; Amharic; Polish; Chinese (Traditional, Hong Kong); Japanese; Urdu; Korean; Hebrew","Do you regularly wash or clean your hands in the following situations?",NA,"On entering my home, place of work, or other building I will be spending some time in",NA,NA,1
