"table","section_id","item","instrument","language","instructions","section_prompt","item_text","item_text_translated","correct_response","option_text","option_text_translated","resp"
"lorenz_2016_efficacy1","lorenz_2016_efficacy1_1","efficacy1.1","Skala zur Allgemeinen Selbstwirksamkeitserwartung (SWE) / General Self-Efficacy Scale (GSE), 10 items","German",NA,NA,"Wenn sich Widerstände auftun, finde ich Mittel und Wege, mich durchzusetzen.","If someone opposes me, I can find means and ways to get what I want.",NA,"strongly disagree",NA,1
"lorenz_2016_efficacy1","lorenz_2016_efficacy1_1","efficacy1.1","Skala zur Allgemeinen Selbstwirksamkeitserwartung (SWE) / General Self-Efficacy Scale (GSE), 10 items","German",NA,NA,"Wenn sich Widerstände auftun, finde ich Mittel und Wege, mich durchzusetzen.","If someone opposes me, I can find means and ways to get what I want.",NA,NA,NA,2
"lorenz_2016_efficacy1","lorenz_2016_efficacy1_1","efficacy1.1","Skala zur Allgemeinen Selbstwirksamkeitserwartung (SWE) / General Self-Efficacy Scale (GSE), 10 items","German",NA,NA,"Wenn sich Widerstände auftun, finde ich Mittel und Wege, mich durchzusetzen.","If someone opposes me, I can find means and ways to get what I want.",NA,NA,NA,3
"lorenz_2016_efficacy1","lorenz_2016_efficacy1_1","efficacy1.1","Skala zur Allgemeinen Selbstwirksamkeitserwartung (SWE) / General Self-Efficacy Scale (GSE), 10 items","German",NA,NA,"Wenn sich Widerstände auftun, finde ich Mittel und Wege, mich durchzusetzen.","If someone opposes me, I can find means and ways to get what I want.",NA,NA,NA,4
"lorenz_2016_efficacy1","lorenz_2016_efficacy1_1","efficacy1.1","Skala zur Allgemeinen Selbstwirksamkeitserwartung (SWE) / General Self-Efficacy Scale (GSE), 10 items","German",NA,NA,"Wenn sich Widerstände auftun, finde ich Mittel und Wege, mich durchzusetzen.","If someone opposes me, I can find means and ways to get what I want.",NA,NA,NA,5
"lorenz_2016_efficacy1","lorenz_2016_efficacy1_1","efficacy1.1","Skala zur Allgemeinen Selbstwirksamkeitserwartung (SWE) / General Self-Efficacy Scale (GSE), 10 items","German",NA,NA,"Wenn sich Widerstände auftun, finde ich Mittel und Wege, mich durchzusetzen.","If someone opposes me, I can find means and ways to get what I want.",NA,"strongly agree",NA,6
"lorenz_2016_efficacy1","lorenz_2016_efficacy1_1","efficacy1.2","Skala zur Allgemeinen Selbstwirksamkeitserwartung (SWE) / General Self-Efficacy Scale (GSE), 10 items","German",NA,NA,"Die Lösung schwieriger Probleme gelingt mir immer, wenn ich mich darum bemühe.","I can always manage to solve difficult problems if I try hard enough.",NA,"strongly disagree",NA,1
"lorenz_2016_efficacy1","lorenz_2016_efficacy1_1","efficacy1.2","Skala zur Allgemeinen Selbstwirksamkeitserwartung (SWE) / General Self-Efficacy Scale (GSE), 10 items","German",NA,NA,"Die Lösung schwieriger Probleme gelingt mir immer, wenn ich mich darum bemühe.","I can always manage to solve difficult problems if I try hard enough.",NA,NA,NA,2
"lorenz_2016_efficacy1","lorenz_2016_efficacy1_1","efficacy1.2","Skala zur Allgemeinen Selbstwirksamkeitserwartung (SWE) / General Self-Efficacy Scale (GSE), 10 items","German",NA,NA,"Die Lösung schwieriger Probleme gelingt mir immer, wenn ich mich darum bemühe.","I can always manage to solve difficult problems if I try hard enough.",NA,NA,NA,3
"lorenz_2016_efficacy1","lorenz_2016_efficacy1_1","efficacy1.2","Skala zur Allgemeinen Selbstwirksamkeitserwartung (SWE) / General Self-Efficacy Scale (GSE), 10 items","German",NA,NA,"Die Lösung schwieriger Probleme gelingt mir immer, wenn ich mich darum bemühe.","I can always manage to solve difficult problems if I try hard enough.",NA,NA,NA,4
"lorenz_2016_efficacy1","lorenz_2016_efficacy1_1","efficacy1.2","Skala zur Allgemeinen Selbstwirksamkeitserwartung (SWE) / General Self-Efficacy Scale (GSE), 10 items","German",NA,NA,"Die Lösung schwieriger Probleme gelingt mir immer, wenn ich mich darum bemühe.","I can always manage to solve difficult problems if I try hard enough.",NA,NA,NA,5
"lorenz_2016_efficacy1","lorenz_2016_efficacy1_1","efficacy1.2","Skala zur Allgemeinen Selbstwirksamkeitserwartung (SWE) / General Self-Efficacy Scale (GSE), 10 items","German",NA,NA,"Die Lösung schwieriger Probleme gelingt mir immer, wenn ich mich darum bemühe.","I can always manage to solve difficult problems if I try hard enough.",NA,"strongly agree",NA,6
