"table","instrument","instructions","section_id","section_prompt","item","item_text","correct_response","resp","option_text"
"ibrahim_2015_sf36","RAND 36-Item Health Survey 1.0 (MOS SF-36), developed at RAND as part of the Medical Outcomes Study","Choose one option for each questionnaire item.","ibrahim_2015_sf36_q1",NA,"SF36Q1","In general, would you say your health is:",NA,1,"not good"
"ibrahim_2015_sf36","RAND 36-Item Health Survey 1.0 (MOS SF-36), developed at RAND as part of the Medical Outcomes Study","Choose one option for each questionnaire item.","ibrahim_2015_sf36_q1",NA,"SF36Q1","In general, would you say your health is:",NA,2,"fair"
"ibrahim_2015_sf36","RAND 36-Item Health Survey 1.0 (MOS SF-36), developed at RAND as part of the Medical Outcomes Study","Choose one option for each questionnaire item.","ibrahim_2015_sf36_q1",NA,"SF36Q1","In general, would you say your health is:",NA,3,"good"
"ibrahim_2015_sf36","RAND 36-Item Health Survey 1.0 (MOS SF-36), developed at RAND as part of the Medical Outcomes Study","Choose one option for each questionnaire item.","ibrahim_2015_sf36_q1",NA,"SF36Q1","In general, would you say your health is:",NA,4,"very good"
"ibrahim_2015_sf36","RAND 36-Item Health Survey 1.0 (MOS SF-36), developed at RAND as part of the Medical Outcomes Study","Choose one option for each questionnaire item.","ibrahim_2015_sf36_q1",NA,"SF36Q1","In general, would you say your health is:",NA,5,"excellent"
"ibrahim_2015_sf36","RAND 36-Item Health Survey 1.0 (MOS SF-36), developed at RAND as part of the Medical Outcomes Study","Choose one option for each questionnaire item.","ibrahim_2015_sf36_q2",NA,"SF36Q2","Compared to one year ago, how would you rate your health in general now?",NA,1,"much worse now than one year ago"
"ibrahim_2015_sf36","RAND 36-Item Health Survey 1.0 (MOS SF-36), developed at RAND as part of the Medical Outcomes Study","Choose one option for each questionnaire item.","ibrahim_2015_sf36_q2",NA,"SF36Q2","Compared to one year ago, how would you rate your health in general now?",NA,2,"somewhat worse now than one year ago"
"ibrahim_2015_sf36","RAND 36-Item Health Survey 1.0 (MOS SF-36), developed at RAND as part of the Medical Outcomes Study","Choose one option for each questionnaire item.","ibrahim_2015_sf36_q2",NA,"SF36Q2","Compared to one year ago, how would you rate your health in general now?",NA,3,"about the same"
"ibrahim_2015_sf36","RAND 36-Item Health Survey 1.0 (MOS SF-36), developed at RAND as part of the Medical Outcomes Study","Choose one option for each questionnaire item.","ibrahim_2015_sf36_q2",NA,"SF36Q2","Compared to one year ago, how would you rate your health in general now?",NA,4,"somewhat better now than one year ago"
"ibrahim_2015_sf36","RAND 36-Item Health Survey 1.0 (MOS SF-36), developed at RAND as part of the Medical Outcomes Study","Choose one option for each questionnaire item.","ibrahim_2015_sf36_q2",NA,"SF36Q2","Compared to one year ago, how would you rate your health in general now?",NA,5,"much better now than one year ago"
