"table","section_id","item","instrument","language","instructions","instructions_translated","section_prompt","section_prompt_translated","item_text","item_text_translated","correct_response","option_text","option_text_translated","resp"
"iandolo_2021_asq","iandolo_2021_asq_1","ASQ_1","Attachment Style Questionnaire (ASQ; Feeney, Noller & Hanrahan, 1994) -- Spanish version","Spanish; Italian; Japanese",NA,NA,NA,NA,"En general, soy una persona que merece la pena.","Overall, I am a worthwhile person.",NA,NA,"Strongly disagree",1
"iandolo_2021_asq","iandolo_2021_asq_1","ASQ_1","Attachment Style Questionnaire (ASQ; Feeney, Noller & Hanrahan, 1994) -- Spanish version","Spanish; Italian; Japanese",NA,NA,NA,NA,"En general, soy una persona que merece la pena.","Overall, I am a worthwhile person.",NA,NA,NA,2
"iandolo_2021_asq","iandolo_2021_asq_1","ASQ_1","Attachment Style Questionnaire (ASQ; Feeney, Noller & Hanrahan, 1994) -- Spanish version","Spanish; Italian; Japanese",NA,NA,NA,NA,"En general, soy una persona que merece la pena.","Overall, I am a worthwhile person.",NA,NA,NA,3
"iandolo_2021_asq","iandolo_2021_asq_1","ASQ_1","Attachment Style Questionnaire (ASQ; Feeney, Noller & Hanrahan, 1994) -- Spanish version","Spanish; Italian; Japanese",NA,NA,NA,NA,"En general, soy una persona que merece la pena.","Overall, I am a worthwhile person.",NA,NA,NA,4
"iandolo_2021_asq","iandolo_2021_asq_1","ASQ_1","Attachment Style Questionnaire (ASQ; Feeney, Noller & Hanrahan, 1994) -- Spanish version","Spanish; Italian; Japanese",NA,NA,NA,NA,"En general, soy una persona que merece la pena.","Overall, I am a worthwhile person.",NA,NA,NA,5
"iandolo_2021_asq","iandolo_2021_asq_1","ASQ_1","Attachment Style Questionnaire (ASQ; Feeney, Noller & Hanrahan, 1994) -- Spanish version","Spanish; Italian; Japanese",NA,NA,NA,NA,"En general, soy una persona que merece la pena.","Overall, I am a worthwhile person.",NA,NA,"totally agree",6
"iandolo_2021_asq","iandolo_2021_asq_1","ASQ_2","Attachment Style Questionnaire (ASQ; Feeney, Noller & Hanrahan, 1994) -- Spanish version","Spanish; Italian; Japanese",NA,NA,NA,NA,"Soy más fácil de conocer que la mayoría de la gente.","I am easier to get to know than most people.",NA,NA,"Strongly disagree",1
"iandolo_2021_asq","iandolo_2021_asq_1","ASQ_2","Attachment Style Questionnaire (ASQ; Feeney, Noller & Hanrahan, 1994) -- Spanish version","Spanish; Italian; Japanese",NA,NA,NA,NA,"Soy más fácil de conocer que la mayoría de la gente.","I am easier to get to know than most people.",NA,NA,NA,2
"iandolo_2021_asq","iandolo_2021_asq_1","ASQ_2","Attachment Style Questionnaire (ASQ; Feeney, Noller & Hanrahan, 1994) -- Spanish version","Spanish; Italian; Japanese",NA,NA,NA,NA,"Soy más fácil de conocer que la mayoría de la gente.","I am easier to get to know than most people.",NA,NA,NA,3
"iandolo_2021_asq","iandolo_2021_asq_1","ASQ_2","Attachment Style Questionnaire (ASQ; Feeney, Noller & Hanrahan, 1994) -- Spanish version","Spanish; Italian; Japanese",NA,NA,NA,NA,"Soy más fácil de conocer que la mayoría de la gente.","I am easier to get to know than most people.",NA,NA,NA,4
"iandolo_2021_asq","iandolo_2021_asq_1","ASQ_2","Attachment Style Questionnaire (ASQ; Feeney, Noller & Hanrahan, 1994) -- Spanish version","Spanish; Italian; Japanese",NA,NA,NA,NA,"Soy más fácil de conocer que la mayoría de la gente.","I am easier to get to know than most people.",NA,NA,NA,5
"iandolo_2021_asq","iandolo_2021_asq_1","ASQ_2","Attachment Style Questionnaire (ASQ; Feeney, Noller & Hanrahan, 1994) -- Spanish version","Spanish; Italian; Japanese",NA,NA,NA,NA,"Soy más fácil de conocer que la mayoría de la gente.","I am easier to get to know than most people.",NA,NA,"totally agree",6
"iandolo_2021_asq","iandolo_2021_asq_1","ASQ_3","Attachment Style Questionnaire (ASQ; Feeney, Noller & Hanrahan, 1994) -- Spanish version","Spanish; Italian; Japanese",NA,NA,NA,NA,"Estoy seguro que otras personas estarán ahí para mí cuando las necesite.","I feel confident that other people will be there for me when I need them.",NA,NA,"Strongly disagree",1
"iandolo_2021_asq","iandolo_2021_asq_1","ASQ_3","Attachment Style Questionnaire (ASQ; Feeney, Noller & Hanrahan, 1994) -- Spanish version","Spanish; Italian; Japanese",NA,NA,NA,NA,"Estoy seguro que otras personas estarán ahí para mí cuando las necesite.","I feel confident that other people will be there for me when I need them.",NA,NA,NA,2
"iandolo_2021_asq","iandolo_2021_asq_1","ASQ_3","Attachment Style Questionnaire (ASQ; Feeney, Noller & Hanrahan, 1994) -- Spanish version","Spanish; Italian; Japanese",NA,NA,NA,NA,"Estoy seguro que otras personas estarán ahí para mí cuando las necesite.","I feel confident that other people will be there for me when I need them.",NA,NA,NA,3
"iandolo_2021_asq","iandolo_2021_asq_1","ASQ_3","Attachment Style Questionnaire (ASQ; Feeney, Noller & Hanrahan, 1994) -- Spanish version","Spanish; Italian; Japanese",NA,NA,NA,NA,"Estoy seguro que otras personas estarán ahí para mí cuando las necesite.","I feel confident that other people will be there for me when I need them.",NA,NA,NA,4
"iandolo_2021_asq","iandolo_2021_asq_1","ASQ_3","Attachment Style Questionnaire (ASQ; Feeney, Noller & Hanrahan, 1994) -- Spanish version","Spanish; Italian; Japanese",NA,NA,NA,NA,"Estoy seguro que otras personas estarán ahí para mí cuando las necesite.","I feel confident that other people will be there for me when I need them.",NA,NA,NA,5
"iandolo_2021_asq","iandolo_2021_asq_1","ASQ_3","Attachment Style Questionnaire (ASQ; Feeney, Noller & Hanrahan, 1994) -- Spanish version","Spanish; Italian; Japanese",NA,NA,NA,NA,"Estoy seguro que otras personas estarán ahí para mí cuando las necesite.","I feel confident that other people will be there for me when I need them.",NA,NA,"totally agree",6
"iandolo_2021_asq","iandolo_2021_asq_1","ASQ_4","Attachment Style Questionnaire (ASQ; Feeney, Noller & Hanrahan, 1994) -- Spanish version","Spanish; Italian; Japanese",NA,NA,NA,NA,"Prefiero depender de mí mismo antes que de otras personas.","I prefer to depend on myself rather than other people.",NA,NA,"Strongly disagree",1
"iandolo_2021_asq","iandolo_2021_asq_1","ASQ_4","Attachment Style Questionnaire (ASQ; Feeney, Noller & Hanrahan, 1994) -- Spanish version","Spanish; Italian; Japanese",NA,NA,NA,NA,"Prefiero depender de mí mismo antes que de otras personas.","I prefer to depend on myself rather than other people.",NA,NA,NA,2
"iandolo_2021_asq","iandolo_2021_asq_1","ASQ_4","Attachment Style Questionnaire (ASQ; Feeney, Noller & Hanrahan, 1994) -- Spanish version","Spanish; Italian; Japanese",NA,NA,NA,NA,"Prefiero depender de mí mismo antes que de otras personas.","I prefer to depend on myself rather than other people.",NA,NA,NA,3
"iandolo_2021_asq","iandolo_2021_asq_1","ASQ_4","Attachment Style Questionnaire (ASQ; Feeney, Noller & Hanrahan, 1994) -- Spanish version","Spanish; Italian; Japanese",NA,NA,NA,NA,"Prefiero depender de mí mismo antes que de otras personas.","I prefer to depend on myself rather than other people.",NA,NA,NA,4
"iandolo_2021_asq","iandolo_2021_asq_1","ASQ_4","Attachment Style Questionnaire (ASQ; Feeney, Noller & Hanrahan, 1994) -- Spanish version","Spanish; Italian; Japanese",NA,NA,NA,NA,"Prefiero depender de mí mismo antes que de otras personas.","I prefer to depend on myself rather than other people.",NA,NA,NA,5
"iandolo_2021_asq","iandolo_2021_asq_1","ASQ_4","Attachment Style Questionnaire (ASQ; Feeney, Noller & Hanrahan, 1994) -- Spanish version","Spanish; Italian; Japanese",NA,NA,NA,NA,"Prefiero depender de mí mismo antes que de otras personas.","I prefer to depend on myself rather than other people.",NA,NA,"totally agree",6
"iandolo_2021_asq","iandolo_2021_asq_1","ASQ_5","Attachment Style Questionnaire (ASQ; Feeney, Noller & Hanrahan, 1994) -- Spanish version","Spanish; Italian; Japanese",NA,NA,NA,NA,"Prefiero guardarme mis cosas para mí.","I prefer to keep to myself.",NA,NA,"Strongly disagree",1
"iandolo_2021_asq","iandolo_2021_asq_1","ASQ_5","Attachment Style Questionnaire (ASQ; Feeney, Noller & Hanrahan, 1994) -- Spanish version","Spanish; Italian; Japanese",NA,NA,NA,NA,"Prefiero guardarme mis cosas para mí.","I prefer to keep to myself.",NA,NA,NA,2
"iandolo_2021_asq","iandolo_2021_asq_1","ASQ_5","Attachment Style Questionnaire (ASQ; Feeney, Noller & Hanrahan, 1994) -- Spanish version","Spanish; Italian; Japanese",NA,NA,NA,NA,"Prefiero guardarme mis cosas para mí.","I prefer to keep to myself.",NA,NA,NA,3
"iandolo_2021_asq","iandolo_2021_asq_1","ASQ_5","Attachment Style Questionnaire (ASQ; Feeney, Noller & Hanrahan, 1994) -- Spanish version","Spanish; Italian; Japanese",NA,NA,NA,NA,"Prefiero guardarme mis cosas para mí.","I prefer to keep to myself.",NA,NA,NA,4
"iandolo_2021_asq","iandolo_2021_asq_1","ASQ_5","Attachment Style Questionnaire (ASQ; Feeney, Noller & Hanrahan, 1994) -- Spanish version","Spanish; Italian; Japanese",NA,NA,NA,NA,"Prefiero guardarme mis cosas para mí.","I prefer to keep to myself.",NA,NA,NA,5
"iandolo_2021_asq","iandolo_2021_asq_1","ASQ_5","Attachment Style Questionnaire (ASQ; Feeney, Noller & Hanrahan, 1994) -- Spanish version","Spanish; Italian; Japanese",NA,NA,NA,NA,"Prefiero guardarme mis cosas para mí.","I prefer to keep to myself.",NA,NA,"totally agree",6
"iandolo_2021_asq","iandolo_2021_asq_1","ASQ_6","Attachment Style Questionnaire (ASQ; Feeney, Noller & Hanrahan, 1994) -- Spanish version","Spanish; Italian; Japanese",NA,NA,NA,NA,"Pedir ayuda es reconocer que has fallado","To ask for help is to admit that you are a failure.",NA,NA,"Strongly disagree",1
"iandolo_2021_asq","iandolo_2021_asq_1","ASQ_6","Attachment Style Questionnaire (ASQ; Feeney, Noller & Hanrahan, 1994) -- Spanish version","Spanish; Italian; Japanese",NA,NA,NA,NA,"Pedir ayuda es reconocer que has fallado","To ask for help is to admit that you are a failure.",NA,NA,NA,2
"iandolo_2021_asq","iandolo_2021_asq_1","ASQ_6","Attachment Style Questionnaire (ASQ; Feeney, Noller & Hanrahan, 1994) -- Spanish version","Spanish; Italian; Japanese",NA,NA,NA,NA,"Pedir ayuda es reconocer que has fallado","To ask for help is to admit that you are a failure.",NA,NA,NA,3
"iandolo_2021_asq","iandolo_2021_asq_1","ASQ_6","Attachment Style Questionnaire (ASQ; Feeney, Noller & Hanrahan, 1994) -- Spanish version","Spanish; Italian; Japanese",NA,NA,NA,NA,"Pedir ayuda es reconocer que has fallado","To ask for help is to admit that you are a failure.",NA,NA,NA,4
"iandolo_2021_asq","iandolo_2021_asq_1","ASQ_6","Attachment Style Questionnaire (ASQ; Feeney, Noller & Hanrahan, 1994) -- Spanish version","Spanish; Italian; Japanese",NA,NA,NA,NA,"Pedir ayuda es reconocer que has fallado","To ask for help is to admit that you are a failure.",NA,NA,NA,5
"iandolo_2021_asq","iandolo_2021_asq_1","ASQ_6","Attachment Style Questionnaire (ASQ; Feeney, Noller & Hanrahan, 1994) -- Spanish version","Spanish; Italian; Japanese",NA,NA,NA,NA,"Pedir ayuda es reconocer que has fallado","To ask for help is to admit that you are a failure.",NA,NA,"totally agree",6
"iandolo_2021_asq","iandolo_2021_asq_1","ASQ_7","Attachment Style Questionnaire (ASQ; Feeney, Noller & Hanrahan, 1994) -- Spanish version","Spanish; Italian; Japanese",NA,NA,NA,NA,"La valía de las personas debería medirse por sus logros","People's worth should be judged by what they achieve.",NA,NA,"Strongly disagree",1
"iandolo_2021_asq","iandolo_2021_asq_1","ASQ_7","Attachment Style Questionnaire (ASQ; Feeney, Noller & Hanrahan, 1994) -- Spanish version","Spanish; Italian; Japanese",NA,NA,NA,NA,"La valía de las personas debería medirse por sus logros","People's worth should be judged by what they achieve.",NA,NA,NA,2
"iandolo_2021_asq","iandolo_2021_asq_1","ASQ_7","Attachment Style Questionnaire (ASQ; Feeney, Noller & Hanrahan, 1994) -- Spanish version","Spanish; Italian; Japanese",NA,NA,NA,NA,"La valía de las personas debería medirse por sus logros","People's worth should be judged by what they achieve.",NA,NA,NA,3
