"table","section_id","item","instrument","language","instructions","instructions_translated","section_prompt","item_text","item_text_translated","correct_response","resp","option_text","option_text_translated"
"VSOCFP_Sebo_2024","VSOCFP_Sebo_2024_1","SOC4","Sense of Coherence scale, French version, refined 8-item form (SOC-8)","French","Pour chaque question, merci de cocher le numéro correspondant le mieux à ce que vous ressentez (sur une échelle de 1 à 7).","For each question, please tick the number that best corresponds to how you feel (on a scale of 1 to 7).",NA,"Jusqu’à maintenant, votre vie n’a eu :","Until now your life has had:",NA,1,"Aucun but ni objectif","No clear goals or purpose at all"
"VSOCFP_Sebo_2024","VSOCFP_Sebo_2024_1","SOC4","Sense of Coherence scale, French version, refined 8-item form (SOC-8)","French","Pour chaque question, merci de cocher le numéro correspondant le mieux à ce que vous ressentez (sur une échelle de 1 à 7).","For each question, please tick the number that best corresponds to how you feel (on a scale of 1 to 7).",NA,"Jusqu’à maintenant, votre vie n’a eu :","Until now your life has had:",NA,2,NA,NA
"VSOCFP_Sebo_2024","VSOCFP_Sebo_2024_1","SOC4","Sense of Coherence scale, French version, refined 8-item form (SOC-8)","French","Pour chaque question, merci de cocher le numéro correspondant le mieux à ce que vous ressentez (sur une échelle de 1 à 7).","For each question, please tick the number that best corresponds to how you feel (on a scale of 1 to 7).",NA,"Jusqu’à maintenant, votre vie n’a eu :","Until now your life has had:",NA,3,NA,NA
"VSOCFP_Sebo_2024","VSOCFP_Sebo_2024_1","SOC4","Sense of Coherence scale, French version, refined 8-item form (SOC-8)","French","Pour chaque question, merci de cocher le numéro correspondant le mieux à ce que vous ressentez (sur une échelle de 1 à 7).","For each question, please tick the number that best corresponds to how you feel (on a scale of 1 to 7).",NA,"Jusqu’à maintenant, votre vie n’a eu :","Until now your life has had:",NA,4,NA,NA
"VSOCFP_Sebo_2024","VSOCFP_Sebo_2024_1","SOC4","Sense of Coherence scale, French version, refined 8-item form (SOC-8)","French","Pour chaque question, merci de cocher le numéro correspondant le mieux à ce que vous ressentez (sur une échelle de 1 à 7).","For each question, please tick the number that best corresponds to how you feel (on a scale of 1 to 7).",NA,"Jusqu’à maintenant, votre vie n’a eu :","Until now your life has had:",NA,5,NA,NA
"VSOCFP_Sebo_2024","VSOCFP_Sebo_2024_1","SOC4","Sense of Coherence scale, French version, refined 8-item form (SOC-8)","French","Pour chaque question, merci de cocher le numéro correspondant le mieux à ce que vous ressentez (sur une échelle de 1 à 7).","For each question, please tick the number that best corresponds to how you feel (on a scale of 1 to 7).",NA,"Jusqu’à maintenant, votre vie n’a eu :","Until now your life has had:",NA,6,NA,NA
"VSOCFP_Sebo_2024","VSOCFP_Sebo_2024_1","SOC4","Sense of Coherence scale, French version, refined 8-item form (SOC-8)","French","Pour chaque question, merci de cocher le numéro correspondant le mieux à ce que vous ressentez (sur une échelle de 1 à 7).","For each question, please tick the number that best corresponds to how you feel (on a scale of 1 to 7).",NA,"Jusqu’à maintenant, votre vie n’a eu :","Until now your life has had:",NA,7,"Des buts et des objectifs très clairs","Very clear goals and purpose"
"VSOCFP_Sebo_2024","VSOCFP_Sebo_2024_1","SOC6","Sense of Coherence scale, French version, refined 8-item form (SOC-8)","French","Pour chaque question, merci de cocher le numéro correspondant le mieux à ce que vous ressentez (sur une échelle de 1 à 7).","For each question, please tick the number that best corresponds to how you feel (on a scale of 1 to 7).",NA,"Avez-vous le sentiment que vous êtes dans une situation inconnue et que vous ne savez pas quoi faire ?","Do you have the feeling that you are in an unfamiliar situation and don't know what to do?",NA,1,"Très souvent","Very often"
"VSOCFP_Sebo_2024","VSOCFP_Sebo_2024_1","SOC6","Sense of Coherence scale, French version, refined 8-item form (SOC-8)","French","Pour chaque question, merci de cocher le numéro correspondant le mieux à ce que vous ressentez (sur une échelle de 1 à 7).","For each question, please tick the number that best corresponds to how you feel (on a scale of 1 to 7).",NA,"Avez-vous le sentiment que vous êtes dans une situation inconnue et que vous ne savez pas quoi faire ?","Do you have the feeling that you are in an unfamiliar situation and don't know what to do?",NA,2,NA,NA
"VSOCFP_Sebo_2024","VSOCFP_Sebo_2024_1","SOC6","Sense of Coherence scale, French version, refined 8-item form (SOC-8)","French","Pour chaque question, merci de cocher le numéro correspondant le mieux à ce que vous ressentez (sur une échelle de 1 à 7).","For each question, please tick the number that best corresponds to how you feel (on a scale of 1 to 7).",NA,"Avez-vous le sentiment que vous êtes dans une situation inconnue et que vous ne savez pas quoi faire ?","Do you have the feeling that you are in an unfamiliar situation and don't know what to do?",NA,3,NA,NA
"VSOCFP_Sebo_2024","VSOCFP_Sebo_2024_1","SOC6","Sense of Coherence scale, French version, refined 8-item form (SOC-8)","French","Pour chaque question, merci de cocher le numéro correspondant le mieux à ce que vous ressentez (sur une échelle de 1 à 7).","For each question, please tick the number that best corresponds to how you feel (on a scale of 1 to 7).",NA,"Avez-vous le sentiment que vous êtes dans une situation inconnue et que vous ne savez pas quoi faire ?","Do you have the feeling that you are in an unfamiliar situation and don't know what to do?",NA,4,NA,NA
