"table","section_id","item","instrument","language","instructions","section_prompt","item_text","item_text_translated","correct_response","option_text","resp"
"CQTMS_Hur_2023","CQTMS_Hur_2023_1","itm1","Character Qualities Test for Medical Students (SPHER3C), 160-item preliminary form","Korean",NA,NA,"봉사활동은 시민으로서의 의무라고 생각한다.","Volunteering is considered a civic duty.",NA,"strongly disagree",1
"CQTMS_Hur_2023","CQTMS_Hur_2023_1","itm1","Character Qualities Test for Medical Students (SPHER3C), 160-item preliminary form","Korean",NA,NA,"봉사활동은 시민으로서의 의무라고 생각한다.","Volunteering is considered a civic duty.",NA,"disagree",2
"CQTMS_Hur_2023","CQTMS_Hur_2023_1","itm1","Character Qualities Test for Medical Students (SPHER3C), 160-item preliminary form","Korean",NA,NA,"봉사활동은 시민으로서의 의무라고 생각한다.","Volunteering is considered a civic duty.",NA,"average",3
"CQTMS_Hur_2023","CQTMS_Hur_2023_1","itm1","Character Qualities Test for Medical Students (SPHER3C), 160-item preliminary form","Korean",NA,NA,"봉사활동은 시민으로서의 의무라고 생각한다.","Volunteering is considered a civic duty.",NA,"agree",4
"CQTMS_Hur_2023","CQTMS_Hur_2023_1","itm1","Character Qualities Test for Medical Students (SPHER3C), 160-item preliminary form","Korean",NA,NA,"봉사활동은 시민으로서의 의무라고 생각한다.","Volunteering is considered a civic duty.",NA,"strongly agree",5
"CQTMS_Hur_2023","CQTMS_Hur_2023_1","itm2","Character Qualities Test for Medical Students (SPHER3C), 160-item preliminary form","Korean",NA,NA,"누군가의 실수를 비난하기 전에 상대의 마음을 먼저 헤아려 본다.","Before blaming someone for their mistake, I try to understand the other person's feelings first.",NA,"strongly disagree",1
"CQTMS_Hur_2023","CQTMS_Hur_2023_1","itm2","Character Qualities Test for Medical Students (SPHER3C), 160-item preliminary form","Korean",NA,NA,"누군가의 실수를 비난하기 전에 상대의 마음을 먼저 헤아려 본다.","Before blaming someone for their mistake, I try to understand the other person's feelings first.",NA,"disagree",2
"CQTMS_Hur_2023","CQTMS_Hur_2023_1","itm2","Character Qualities Test for Medical Students (SPHER3C), 160-item preliminary form","Korean",NA,NA,"누군가의 실수를 비난하기 전에 상대의 마음을 먼저 헤아려 본다.","Before blaming someone for their mistake, I try to understand the other person's feelings first.",NA,"average",3
"CQTMS_Hur_2023","CQTMS_Hur_2023_1","itm2","Character Qualities Test for Medical Students (SPHER3C), 160-item preliminary form","Korean",NA,NA,"누군가의 실수를 비난하기 전에 상대의 마음을 먼저 헤아려 본다.","Before blaming someone for their mistake, I try to understand the other person's feelings first.",NA,"agree",4
"CQTMS_Hur_2023","CQTMS_Hur_2023_1","itm2","Character Qualities Test for Medical Students (SPHER3C), 160-item preliminary form","Korean",NA,NA,"누군가의 실수를 비난하기 전에 상대의 마음을 먼저 헤아려 본다.","Before blaming someone for their mistake, I try to understand the other person's feelings first.",NA,"strongly agree",5
"CQTMS_Hur_2023","CQTMS_Hur_2023_1","itm3","Character Qualities Test for Medical Students (SPHER3C), 160-item preliminary form","Korean",NA,NA,"남들은 나와 다르게 생각할 수도 있다는 것을 항상 염두에 둔다.",NA,NA,"strongly disagree",1
"CQTMS_Hur_2023","CQTMS_Hur_2023_1","itm3","Character Qualities Test for Medical Students (SPHER3C), 160-item preliminary form","Korean",NA,NA,"남들은 나와 다르게 생각할 수도 있다는 것을 항상 염두에 둔다.",NA,NA,"disagree",2
"CQTMS_Hur_2023","CQTMS_Hur_2023_1","itm3","Character Qualities Test for Medical Students (SPHER3C), 160-item preliminary form","Korean",NA,NA,"남들은 나와 다르게 생각할 수도 있다는 것을 항상 염두에 둔다.",NA,NA,"average",3
"CQTMS_Hur_2023","CQTMS_Hur_2023_1","itm3","Character Qualities Test for Medical Students (SPHER3C), 160-item preliminary form","Korean",NA,NA,"남들은 나와 다르게 생각할 수도 있다는 것을 항상 염두에 둔다.",NA,NA,"agree",4
"CQTMS_Hur_2023","CQTMS_Hur_2023_1","itm3","Character Qualities Test for Medical Students (SPHER3C), 160-item preliminary form","Korean",NA,NA,"남들은 나와 다르게 생각할 수도 있다는 것을 항상 염두에 둔다.",NA,NA,"strongly agree",5
"CQTMS_Hur_2023","CQTMS_Hur_2023_1","itm4","Character Qualities Test for Medical Students (SPHER3C), 160-item preliminary form","Korean",NA,NA,NA,NA,NA,"strongly disagree",1
"CQTMS_Hur_2023","CQTMS_Hur_2023_1","itm4","Character Qualities Test for Medical Students (SPHER3C), 160-item preliminary form","Korean",NA,NA,NA,NA,NA,"disagree",2
"CQTMS_Hur_2023","CQTMS_Hur_2023_1","itm4","Character Qualities Test for Medical Students (SPHER3C), 160-item preliminary form","Korean",NA,NA,NA,NA,NA,"average",3
"CQTMS_Hur_2023","CQTMS_Hur_2023_1","itm4","Character Qualities Test for Medical Students (SPHER3C), 160-item preliminary form","Korean",NA,NA,NA,NA,NA,"agree",4
"CQTMS_Hur_2023","CQTMS_Hur_2023_1","itm4","Character Qualities Test for Medical Students (SPHER3C), 160-item preliminary form","Korean",NA,NA,NA,NA,NA,"strongly agree",5
"CQTMS_Hur_2023","CQTMS_Hur_2023_1","itm5","Character Qualities Test for Medical Students (SPHER3C), 160-item preliminary form","Korean",NA,NA,"계획한 일을 끝마치기 전에는 마음이 편하지가 않다.","I don't feel comfortable until I finish what I've planned.",NA,"strongly disagree",1
"CQTMS_Hur_2023","CQTMS_Hur_2023_1","itm5","Character Qualities Test for Medical Students (SPHER3C), 160-item preliminary form","Korean",NA,NA,"계획한 일을 끝마치기 전에는 마음이 편하지가 않다.","I don't feel comfortable until I finish what I've planned.",NA,"disagree",2
"CQTMS_Hur_2023","CQTMS_Hur_2023_1","itm5","Character Qualities Test for Medical Students (SPHER3C), 160-item preliminary form","Korean",NA,NA,"계획한 일을 끝마치기 전에는 마음이 편하지가 않다.","I don't feel comfortable until I finish what I've planned.",NA,"average",3
"CQTMS_Hur_2023","CQTMS_Hur_2023_1","itm5","Character Qualities Test for Medical Students (SPHER3C), 160-item preliminary form","Korean",NA,NA,"계획한 일을 끝마치기 전에는 마음이 편하지가 않다.","I don't feel comfortable until I finish what I've planned.",NA,"agree",4
"CQTMS_Hur_2023","CQTMS_Hur_2023_1","itm5","Character Qualities Test for Medical Students (SPHER3C), 160-item preliminary form","Korean",NA,NA,"계획한 일을 끝마치기 전에는 마음이 편하지가 않다.","I don't feel comfortable until I finish what I've planned.",NA,"strongly agree",5
"CQTMS_Hur_2023","CQTMS_Hur_2023_1","itm6","Character Qualities Test for Medical Students (SPHER3C), 160-item preliminary form","Korean",NA,NA,NA,NA,NA,"strongly disagree",1
"CQTMS_Hur_2023","CQTMS_Hur_2023_1","itm6","Character Qualities Test for Medical Students (SPHER3C), 160-item preliminary form","Korean",NA,NA,NA,NA,NA,"disagree",2
"CQTMS_Hur_2023","CQTMS_Hur_2023_1","itm6","Character Qualities Test for Medical Students (SPHER3C), 160-item preliminary form","Korean",NA,NA,NA,NA,NA,"average",3
"CQTMS_Hur_2023","CQTMS_Hur_2023_1","itm6","Character Qualities Test for Medical Students (SPHER3C), 160-item preliminary form","Korean",NA,NA,NA,NA,NA,"agree",4
"CQTMS_Hur_2023","CQTMS_Hur_2023_1","itm6","Character Qualities Test for Medical Students (SPHER3C), 160-item preliminary form","Korean",NA,NA,NA,NA,NA,"strongly agree",5
"CQTMS_Hur_2023","CQTMS_Hur_2023_1","itm7","Character Qualities Test for Medical Students (SPHER3C), 160-item preliminary form","Korean",NA,NA,NA,NA,NA,"strongly disagree",1
"CQTMS_Hur_2023","CQTMS_Hur_2023_1","itm7","Character Qualities Test for Medical Students (SPHER3C), 160-item preliminary form","Korean",NA,NA,NA,NA,NA,"disagree",2
"CQTMS_Hur_2023","CQTMS_Hur_2023_1","itm7","Character Qualities Test for Medical Students (SPHER3C), 160-item preliminary form","Korean",NA,NA,NA,NA,NA,"average",3
"CQTMS_Hur_2023","CQTMS_Hur_2023_1","itm7","Character Qualities Test for Medical Students (SPHER3C), 160-item preliminary form","Korean",NA,NA,NA,NA,NA,"agree",4
"CQTMS_Hur_2023","CQTMS_Hur_2023_1","itm7","Character Qualities Test for Medical Students (SPHER3C), 160-item preliminary form","Korean",NA,NA,NA,NA,NA,"strongly agree",5
