"table","section_id","item","instrument","language","instructions","instructions_translated","section_prompt","section_prompt_translated","item_text","item_text_translated","correct_response","option_text","option_text_translated","resp","wording_rights"
"CV_OASIS_ODSIS_PPE_Novak_2020_DSES","CV_OASIS_ODSIS_PPE_Novak_2020_DSES_1","DSES_1","Daily Spiritual Experience Scale (DSES), Czech 15-item version","Czech","The list that follows includes items you may or may not experience. Please consider how often you directly have this experience, and try to disregard whether you feel you should or should not have these experiences. A number of items use the word ‘God.’ If this word is not a comfortable one for you, please substitute another word that calls to mind the divine or holy for you.",NA,NA,NA,"I feel God’s presence.",NA,NA,"Never or almost never",NA,1,"NC"
"CV_OASIS_ODSIS_PPE_Novak_2020_DSES","CV_OASIS_ODSIS_PPE_Novak_2020_DSES_1","DSES_1","Daily Spiritual Experience Scale (DSES), Czech 15-item version","Czech","The list that follows includes items you may or may not experience. Please consider how often you directly have this experience, and try to disregard whether you feel you should or should not have these experiences. A number of items use the word ‘God.’ If this word is not a comfortable one for you, please substitute another word that calls to mind the divine or holy for you.",NA,NA,NA,"I feel God’s presence.",NA,NA,"Once in a while",NA,2,"NC"
"CV_OASIS_ODSIS_PPE_Novak_2020_DSES","CV_OASIS_ODSIS_PPE_Novak_2020_DSES_1","DSES_1","Daily Spiritual Experience Scale (DSES), Czech 15-item version","Czech","The list that follows includes items you may or may not experience. Please consider how often you directly have this experience, and try to disregard whether you feel you should or should not have these experiences. A number of items use the word ‘God.’ If this word is not a comfortable one for you, please substitute another word that calls to mind the divine or holy for you.",NA,NA,NA,"I feel God’s presence.",NA,NA,"Some days",NA,3,"NC"
"CV_OASIS_ODSIS_PPE_Novak_2020_DSES","CV_OASIS_ODSIS_PPE_Novak_2020_DSES_1","DSES_1","Daily Spiritual Experience Scale (DSES), Czech 15-item version","Czech","The list that follows includes items you may or may not experience. Please consider how often you directly have this experience, and try to disregard whether you feel you should or should not have these experiences. A number of items use the word ‘God.’ If this word is not a comfortable one for you, please substitute another word that calls to mind the divine or holy for you.",NA,NA,NA,"I feel God’s presence.",NA,NA,"Most days",NA,4,"NC"
"CV_OASIS_ODSIS_PPE_Novak_2020_DSES","CV_OASIS_ODSIS_PPE_Novak_2020_DSES_1","DSES_1","Daily Spiritual Experience Scale (DSES), Czech 15-item version","Czech","The list that follows includes items you may or may not experience. Please consider how often you directly have this experience, and try to disregard whether you feel you should or should not have these experiences. A number of items use the word ‘God.’ If this word is not a comfortable one for you, please substitute another word that calls to mind the divine or holy for you.",NA,NA,NA,"I feel God’s presence.",NA,NA,"Every day",NA,5,"NC"
"CV_OASIS_ODSIS_PPE_Novak_2020_DSES","CV_OASIS_ODSIS_PPE_Novak_2020_DSES_1","DSES_1","Daily Spiritual Experience Scale (DSES), Czech 15-item version","Czech","The list that follows includes items you may or may not experience. Please consider how often you directly have this experience, and try to disregard whether you feel you should or should not have these experiences. A number of items use the word ‘God.’ If this word is not a comfortable one for you, please substitute another word that calls to mind the divine or holy for you.",NA,NA,NA,"I feel God’s presence.",NA,NA,"Many times a day",NA,6,"NC"
"CV_OASIS_ODSIS_PPE_Novak_2020_DSES","CV_OASIS_ODSIS_PPE_Novak_2020_DSES_1","DSES_10","Daily Spiritual Experience Scale (DSES), Czech 15-item version","Czech","The list that follows includes items you may or may not experience. Please consider how often you directly have this experience, and try to disregard whether you feel you should or should not have these experiences. A number of items use the word ‘God.’ If this word is not a comfortable one for you, please substitute another word that calls to mind the divine or holy for you.",NA,NA,NA,"I am spiritually touched by the beauty of creation.",NA,NA,"Never or almost never",NA,1,"NC"
"CV_OASIS_ODSIS_PPE_Novak_2020_DSES","CV_OASIS_ODSIS_PPE_Novak_2020_DSES_1","DSES_10","Daily Spiritual Experience Scale (DSES), Czech 15-item version","Czech","The list that follows includes items you may or may not experience. Please consider how often you directly have this experience, and try to disregard whether you feel you should or should not have these experiences. A number of items use the word ‘God.’ If this word is not a comfortable one for you, please substitute another word that calls to mind the divine or holy for you.",NA,NA,NA,"I am spiritually touched by the beauty of creation.",NA,NA,"Once in a while",NA,2,"NC"
"CV_OASIS_ODSIS_PPE_Novak_2020_DSES","CV_OASIS_ODSIS_PPE_Novak_2020_DSES_1","DSES_10","Daily Spiritual Experience Scale (DSES), Czech 15-item version","Czech","The list that follows includes items you may or may not experience. Please consider how often you directly have this experience, and try to disregard whether you feel you should or should not have these experiences. A number of items use the word ‘God.’ If this word is not a comfortable one for you, please substitute another word that calls to mind the divine or holy for you.",NA,NA,NA,"I am spiritually touched by the beauty of creation.",NA,NA,"Some days",NA,3,"NC"
"CV_OASIS_ODSIS_PPE_Novak_2020_DSES","CV_OASIS_ODSIS_PPE_Novak_2020_DSES_1","DSES_10","Daily Spiritual Experience Scale (DSES), Czech 15-item version","Czech","The list that follows includes items you may or may not experience. Please consider how often you directly have this experience, and try to disregard whether you feel you should or should not have these experiences. A number of items use the word ‘God.’ If this word is not a comfortable one for you, please substitute another word that calls to mind the divine or holy for you.",NA,NA,NA,"I am spiritually touched by the beauty of creation.",NA,NA,"Most days",NA,4,"NC"
"CV_OASIS_ODSIS_PPE_Novak_2020_DSES","CV_OASIS_ODSIS_PPE_Novak_2020_DSES_1","DSES_10","Daily Spiritual Experience Scale (DSES), Czech 15-item version","Czech","The list that follows includes items you may or may not experience. Please consider how often you directly have this experience, and try to disregard whether you feel you should or should not have these experiences. A number of items use the word ‘God.’ If this word is not a comfortable one for you, please substitute another word that calls to mind the divine or holy for you.",NA,NA,NA,"I am spiritually touched by the beauty of creation.",NA,NA,"Every day",NA,5,"NC"
"CV_OASIS_ODSIS_PPE_Novak_2020_DSES","CV_OASIS_ODSIS_PPE_Novak_2020_DSES_1","DSES_10","Daily Spiritual Experience Scale (DSES), Czech 15-item version","Czech","The list that follows includes items you may or may not experience. Please consider how often you directly have this experience, and try to disregard whether you feel you should or should not have these experiences. A number of items use the word ‘God.’ If this word is not a comfortable one for you, please substitute another word that calls to mind the divine or holy for you.",NA,NA,NA,"I am spiritually touched by the beauty of creation.",NA,NA,"Many times a day",NA,6,"NC"
"CV_OASIS_ODSIS_PPE_Novak_2020_DSES","CV_OASIS_ODSIS_PPE_Novak_2020_DSES_1","DSES_11","Daily Spiritual Experience Scale (DSES), Czech 15-item version","Czech","The list that follows includes items you may or may not experience. Please consider how often you directly have this experience, and try to disregard whether you feel you should or should not have these experiences. A number of items use the word ‘God.’ If this word is not a comfortable one for you, please substitute another word that calls to mind the divine or holy for you.",NA,NA,NA,"I feel thankful for my blessings.",NA,NA,"Never or almost never",NA,1,"NC"
"CV_OASIS_ODSIS_PPE_Novak_2020_DSES","CV_OASIS_ODSIS_PPE_Novak_2020_DSES_1","DSES_11","Daily Spiritual Experience Scale (DSES), Czech 15-item version","Czech","The list that follows includes items you may or may not experience. Please consider how often you directly have this experience, and try to disregard whether you feel you should or should not have these experiences. A number of items use the word ‘God.’ If this word is not a comfortable one for you, please substitute another word that calls to mind the divine or holy for you.",NA,NA,NA,"I feel thankful for my blessings.",NA,NA,"Once in a while",NA,2,"NC"
"CV_OASIS_ODSIS_PPE_Novak_2020_DSES","CV_OASIS_ODSIS_PPE_Novak_2020_DSES_1","DSES_11","Daily Spiritual Experience Scale (DSES), Czech 15-item version","Czech","The list that follows includes items you may or may not experience. Please consider how often you directly have this experience, and try to disregard whether you feel you should or should not have these experiences. A number of items use the word ‘God.’ If this word is not a comfortable one for you, please substitute another word that calls to mind the divine or holy for you.",NA,NA,NA,"I feel thankful for my blessings.",NA,NA,"Some days",NA,3,"NC"
"CV_OASIS_ODSIS_PPE_Novak_2020_DSES","CV_OASIS_ODSIS_PPE_Novak_2020_DSES_1","DSES_11","Daily Spiritual Experience Scale (DSES), Czech 15-item version","Czech","The list that follows includes items you may or may not experience. Please consider how often you directly have this experience, and try to disregard whether you feel you should or should not have these experiences. A number of items use the word ‘God.’ If this word is not a comfortable one for you, please substitute another word that calls to mind the divine or holy for you.",NA,NA,NA,"I feel thankful for my blessings.",NA,NA,"Most days",NA,4,"NC"
"CV_OASIS_ODSIS_PPE_Novak_2020_DSES","CV_OASIS_ODSIS_PPE_Novak_2020_DSES_1","DSES_11","Daily Spiritual Experience Scale (DSES), Czech 15-item version","Czech","The list that follows includes items you may or may not experience. Please consider how often you directly have this experience, and try to disregard whether you feel you should or should not have these experiences. A number of items use the word ‘God.’ If this word is not a comfortable one for you, please substitute another word that calls to mind the divine or holy for you.",NA,NA,NA,"I feel thankful for my blessings.",NA,NA,"Every day",NA,5,"NC"
