"table","section_id","item","instrument","language","instructions","section_prompt","item_text","correct_response","resp","option_text"
"pellerin2020_asti","pellerin2020_asti_1","ST_1","Adult Self-Transcendence Inventory (ASTI), self-transcendence dimension","French",NA,NA,"I feel that my individual life is a part of a greater whole.",NA,1,"strongly disagree"
"pellerin2020_asti","pellerin2020_asti_1","ST_1","Adult Self-Transcendence Inventory (ASTI), self-transcendence dimension","French",NA,NA,"I feel that my individual life is a part of a greater whole.",NA,2,NA
"pellerin2020_asti","pellerin2020_asti_1","ST_1","Adult Self-Transcendence Inventory (ASTI), self-transcendence dimension","French",NA,NA,"I feel that my individual life is a part of a greater whole.",NA,3,NA
"pellerin2020_asti","pellerin2020_asti_1","ST_1","Adult Self-Transcendence Inventory (ASTI), self-transcendence dimension","French",NA,NA,"I feel that my individual life is a part of a greater whole.",NA,4,NA
"pellerin2020_asti","pellerin2020_asti_1","ST_1","Adult Self-Transcendence Inventory (ASTI), self-transcendence dimension","French",NA,NA,"I feel that my individual life is a part of a greater whole.",NA,5,NA
"pellerin2020_asti","pellerin2020_asti_1","ST_1","Adult Self-Transcendence Inventory (ASTI), self-transcendence dimension","French",NA,NA,"I feel that my individual life is a part of a greater whole.",NA,6,NA
"pellerin2020_asti","pellerin2020_asti_1","ST_1","Adult Self-Transcendence Inventory (ASTI), self-transcendence dimension","French",NA,NA,"I feel that my individual life is a part of a greater whole.",NA,7,"strongly agree"
"pellerin2020_asti","pellerin2020_asti_1","ST_2","Adult Self-Transcendence Inventory (ASTI), self-transcendence dimension","French",NA,NA,"I feel a sense of belonging with both earlier and future generations.",NA,1,"strongly disagree"
"pellerin2020_asti","pellerin2020_asti_1","ST_2","Adult Self-Transcendence Inventory (ASTI), self-transcendence dimension","French",NA,NA,"I feel a sense of belonging with both earlier and future generations.",NA,2,NA
"pellerin2020_asti","pellerin2020_asti_1","ST_2","Adult Self-Transcendence Inventory (ASTI), self-transcendence dimension","French",NA,NA,"I feel a sense of belonging with both earlier and future generations.",NA,3,NA
"pellerin2020_asti","pellerin2020_asti_1","ST_2","Adult Self-Transcendence Inventory (ASTI), self-transcendence dimension","French",NA,NA,"I feel a sense of belonging with both earlier and future generations.",NA,4,NA
"pellerin2020_asti","pellerin2020_asti_1","ST_2","Adult Self-Transcendence Inventory (ASTI), self-transcendence dimension","French",NA,NA,"I feel a sense of belonging with both earlier and future generations.",NA,5,NA
"pellerin2020_asti","pellerin2020_asti_1","ST_2","Adult Self-Transcendence Inventory (ASTI), self-transcendence dimension","French",NA,NA,"I feel a sense of belonging with both earlier and future generations.",NA,6,NA
"pellerin2020_asti","pellerin2020_asti_1","ST_2","Adult Self-Transcendence Inventory (ASTI), self-transcendence dimension","French",NA,NA,"I feel a sense of belonging with both earlier and future generations.",NA,7,"strongly agree"
"pellerin2020_asti","pellerin2020_asti_1","ST_3","Adult Self-Transcendence Inventory (ASTI), self-transcendence dimension","French",NA,NA,"I feel part of something greater than myself.",NA,1,"strongly disagree"
