"table","status","n_items_live","n_items_candidate","item_set_match","resp_set_match","uses_raw_resp","canonical_nulls","pct_item_text_missing","pct_option_text_missing","note"
"ecps_sahm_2024_distrust","WARN",13,13,TRUE,TRUE,FALSE,TRUE,0,0,"row-count anomaly (possible item-code conflation or missingness skew), median=12991: misperception1_1, misperception1_2, misperception2_1, misperception2_2, misperception3_1, misperception3_2"
"ecps_sahm_2024_dtl","PASS",11,11,TRUE,TRUE,FALSE,TRUE,0,0,""
"ecps_sahm_2024_emotion","PASS",8,8,TRUE,TRUE,FALSE,TRUE,0,57.1,"57.1% of rows have blank option_text"
"ecps_sahm_2024_ia","PASS",7,7,TRUE,TRUE,FALSE,TRUE,0,80,"80% of rows have blank option_text"
"ecps_sahm_2024_identity","PASS",4,4,TRUE,TRUE,FALSE,TRUE,0,0,""
"ecps_sahm_2024_moral","PASS",11,11,TRUE,TRUE,FALSE,TRUE,0,0,""
"ecps_sahm_2024_sscd","WARN",24,24,TRUE,TRUE,FALSE,TRUE,0,47.6,"row-count anomaly (possible item-code conflation or missingness skew), median=3821.5: compliance_1, compliance_2, compliance_3, compliance_4, compliance_5, compliance_6, compliance_7, compliance_8 | 47.6% of rows have blank option_text"
"ecps_sahm_2024_stress","WARN",28,28,TRUE,TRUE,FALSE,TRUE,0,0,"row-count anomaly (possible item-code conflation or missingness skew), median=12840: secondary_stressors__10, secondary_stressors__11, secondary_stressors__12, secondary_stressors__13, secondary_stressors__14, secondary_stressors__5, secondary_stressors__8, secondary_stressors__9"
"ecps_sahm_2024_support","PASS",3,3,TRUE,TRUE,FALSE,TRUE,0,0,""
"ecps_sahm_2024_trust","PASS",7,7,TRUE,TRUE,FALSE,TRUE,0,9.1,"9.1% of rows have blank option_text"
"ecps_sahm_2024_vaccine","PASS",7,7,TRUE,TRUE,FALSE,TRUE,0,4.3,"4.3% of rows have blank option_text"
"promis1wave1_anger","PASS",56,56,TRUE,TRUE,FALSE,TRUE,0,0,""
"promis1wave1_anxiety","PASS",56,56,TRUE,TRUE,FALSE,TRUE,0,0,""
"promis1wave1_cesd","PASS",20,20,TRUE,TRUE,FALSE,TRUE,0,0,""
"promis1wave1_depression","PASS",56,56,TRUE,TRUE,FALSE,TRUE,0,0,""
"promis1wave1_fatigue","PASS",112,112,TRUE,TRUE,FALSE,TRUE,0,0,""
"promis1wave1_haq","PASS",24,24,TRUE,TRUE,FALSE,TRUE,0,0,""
"promis1wave1_pain","PASS",168,168,TRUE,TRUE,FALSE,TRUE,0,0,""
"promis1wave1_physicalfunction","WARN",56,56,TRUE,TRUE,FALSE,TRUE,0,0,"row-count anomaly (possible item-code conflation or missingness skew), median=2497.5: PFC1, PFC2"
"promis1wave1_social","PASS",112,112,TRUE,TRUE,FALSE,TRUE,0,0,""
