"table","section_id","item","instrument","language","instructions","section_prompt","item_text","item_text_translated","correct_response","resp","option_text","option_text_translated"
"IJLS_Eersel_2024_IJLSreaction","IJLS_Eersel_2024_IJLSreaction_1","IJLS_1","Imminent Job Loss Scale (IJLS)","Dutch",NA,NA,"Ik verlangde sterk naar hoe mijn leven was voordat ik mijn baan dreigde kwijt te raken","I longed strongly for how my life was before the impending loss of my job",NA,1,"Never",NA
"IJLS_Eersel_2024_IJLSreaction","IJLS_Eersel_2024_IJLSreaction_1","IJLS_1","Imminent Job Loss Scale (IJLS)","Dutch",NA,NA,"Ik verlangde sterk naar hoe mijn leven was voordat ik mijn baan dreigde kwijt te raken","I longed strongly for how my life was before the impending loss of my job",NA,2,"Rarely",NA
"IJLS_Eersel_2024_IJLSreaction","IJLS_Eersel_2024_IJLSreaction_1","IJLS_1","Imminent Job Loss Scale (IJLS)","Dutch",NA,NA,"Ik verlangde sterk naar hoe mijn leven was voordat ik mijn baan dreigde kwijt te raken","I longed strongly for how my life was before the impending loss of my job",NA,3,"Sometimes",NA
"IJLS_Eersel_2024_IJLSreaction","IJLS_Eersel_2024_IJLSreaction_1","IJLS_1","Imminent Job Loss Scale (IJLS)","Dutch",NA,NA,"Ik verlangde sterk naar hoe mijn leven was voordat ik mijn baan dreigde kwijt te raken","I longed strongly for how my life was before the impending loss of my job",NA,4,"Often",NA
"IJLS_Eersel_2024_IJLSreaction","IJLS_Eersel_2024_IJLSreaction_1","IJLS_1","Imminent Job Loss Scale (IJLS)","Dutch",NA,NA,"Ik verlangde sterk naar hoe mijn leven was voordat ik mijn baan dreigde kwijt te raken","I longed strongly for how my life was before the impending loss of my job",NA,5,"Always",NA
"IJLS_Eersel_2024_IJLSreaction","IJLS_Eersel_2024_IJLSreaction_1","IJLS_2","Imminent Job Loss Scale (IJLS)","Dutch",NA,NA,"Ik dacht voortdurend aan het dreigende verlies van mijn baan","I constantly thought about the impending loss of my job",NA,1,"Never",NA
"IJLS_Eersel_2024_IJLSreaction","IJLS_Eersel_2024_IJLSreaction_1","IJLS_2","Imminent Job Loss Scale (IJLS)","Dutch",NA,NA,"Ik dacht voortdurend aan het dreigende verlies van mijn baan","I constantly thought about the impending loss of my job",NA,2,"Rarely",NA
"IJLS_Eersel_2024_IJLSreaction","IJLS_Eersel_2024_IJLSreaction_1","IJLS_2","Imminent Job Loss Scale (IJLS)","Dutch",NA,NA,"Ik dacht voortdurend aan het dreigende verlies van mijn baan","I constantly thought about the impending loss of my job",NA,3,"Sometimes",NA
"IJLS_Eersel_2024_IJLSreaction","IJLS_Eersel_2024_IJLSreaction_1","IJLS_2","Imminent Job Loss Scale (IJLS)","Dutch",NA,NA,"Ik dacht voortdurend aan het dreigende verlies van mijn baan","I constantly thought about the impending loss of my job",NA,4,"Often",NA
"IJLS_Eersel_2024_IJLSreaction","IJLS_Eersel_2024_IJLSreaction_1","IJLS_2","Imminent Job Loss Scale (IJLS)","Dutch",NA,NA,"Ik dacht voortdurend aan het dreigende verlies van mijn baan","I constantly thought about the impending loss of my job",NA,5,"Always",NA
