"table","section_id","item","instrument","language","instructions","section_prompt","item_text","correct_response","option_text","resp"
"moon_2023_spousal_support","moon_2023_spousal_support_1","socialsupportp1","Spousal support (Prenatal Psychosocial Profile social support scale, partner items; Curry, Campbell & Christian, 1994; Kim, 2000)","Korean; Vietnamese; Chinese; Filipino; English","It's about how much help you get from your husband during this pregnancy. Please circle (O) the number that matches your opinion.",NA,"He shares similar experiences with me",NA,"Very dissatisfied",1
"moon_2023_spousal_support","moon_2023_spousal_support_1","socialsupportp1","Spousal support (Prenatal Psychosocial Profile social support scale, partner items; Curry, Campbell & Christian, 1994; Kim, 2000)","Korean; Vietnamese; Chinese; Filipino; English","It's about how much help you get from your husband during this pregnancy. Please circle (O) the number that matches your opinion.",NA,"He shares similar experiences with me",NA,NA,2
"moon_2023_spousal_support","moon_2023_spousal_support_1","socialsupportp1","Spousal support (Prenatal Psychosocial Profile social support scale, partner items; Curry, Campbell & Christian, 1994; Kim, 2000)","Korean; Vietnamese; Chinese; Filipino; English","It's about how much help you get from your husband during this pregnancy. Please circle (O) the number that matches your opinion.",NA,"He shares similar experiences with me",NA,NA,3
"moon_2023_spousal_support","moon_2023_spousal_support_1","socialsupportp1","Spousal support (Prenatal Psychosocial Profile social support scale, partner items; Curry, Campbell & Christian, 1994; Kim, 2000)","Korean; Vietnamese; Chinese; Filipino; English","It's about how much help you get from your husband during this pregnancy. Please circle (O) the number that matches your opinion.",NA,"He shares similar experiences with me",NA,NA,4
"moon_2023_spousal_support","moon_2023_spousal_support_1","socialsupportp1","Spousal support (Prenatal Psychosocial Profile social support scale, partner items; Curry, Campbell & Christian, 1994; Kim, 2000)","Korean; Vietnamese; Chinese; Filipino; English","It's about how much help you get from your husband during this pregnancy. Please circle (O) the number that matches your opinion.",NA,"He shares similar experiences with me",NA,NA,5
"moon_2023_spousal_support","moon_2023_spousal_support_1","socialsupportp1","Spousal support (Prenatal Psychosocial Profile social support scale, partner items; Curry, Campbell & Christian, 1994; Kim, 2000)","Korean; Vietnamese; Chinese; Filipino; English","It's about how much help you get from your husband during this pregnancy. Please circle (O) the number that matches your opinion.",NA,"He shares similar experiences with me",NA,"Very satisfied",6
"moon_2023_spousal_support","moon_2023_spousal_support_1","socialsupportp2","Spousal support (Prenatal Psychosocial Profile social support scale, partner items; Curry, Campbell & Christian, 1994; Kim, 2000)","Korean; Vietnamese; Chinese; Filipino; English","It's about how much help you get from your husband during this pregnancy. Please circle (O) the number that matches your opinion.",NA,"He helps me keep my morale high",NA,"Very dissatisfied",1
"moon_2023_spousal_support","moon_2023_spousal_support_1","socialsupportp2","Spousal support (Prenatal Psychosocial Profile social support scale, partner items; Curry, Campbell & Christian, 1994; Kim, 2000)","Korean; Vietnamese; Chinese; Filipino; English","It's about how much help you get from your husband during this pregnancy. Please circle (O) the number that matches your opinion.",NA,"He helps me keep my morale high",NA,NA,2
"moon_2023_spousal_support","moon_2023_spousal_support_1","socialsupportp2","Spousal support (Prenatal Psychosocial Profile social support scale, partner items; Curry, Campbell & Christian, 1994; Kim, 2000)","Korean; Vietnamese; Chinese; Filipino; English","It's about how much help you get from your husband during this pregnancy. Please circle (O) the number that matches your opinion.",NA,"He helps me keep my morale high",NA,NA,3
"moon_2023_spousal_support","moon_2023_spousal_support_1","socialsupportp2","Spousal support (Prenatal Psychosocial Profile social support scale, partner items; Curry, Campbell & Christian, 1994; Kim, 2000)","Korean; Vietnamese; Chinese; Filipino; English","It's about how much help you get from your husband during this pregnancy. Please circle (O) the number that matches your opinion.",NA,"He helps me keep my morale high",NA,NA,4
