"table","section_id","item","instrument","instructions","section_prompt","item_text","item_text_translated","correct_response","option_text","option_text_translated","resp","language"
"dalichaouche_2026_covid_attitudes","dalichaouche_2026_covid_attitudes_1","A1","KAP Survey (Knowledge-Attitudes-Practices) regarding COVID-19 among Students: III - Attitudes",NA,NA,"Do you fear being infected with COVID-19?",NA,NA,NA,NA,0,"French"
"dalichaouche_2026_covid_attitudes","dalichaouche_2026_covid_attitudes_1","A1","KAP Survey (Knowledge-Attitudes-Practices) regarding COVID-19 among Students: III - Attitudes",NA,NA,"Do you fear being infected with COVID-19?",NA,NA,NA,NA,1,"French"
"dalichaouche_2026_covid_attitudes","dalichaouche_2026_covid_attitudes_1","A1","KAP Survey (Knowledge-Attitudes-Practices) regarding COVID-19 among Students: III - Attitudes",NA,NA,"Do you fear being infected with COVID-19?",NA,NA,"Non, je suis rationnel et je peux me protéger","No, I am rational and can protect myself",2,"French"
"dalichaouche_2026_covid_attitudes","dalichaouche_2026_covid_attitudes_1","A2","KAP Survey (Knowledge-Attitudes-Practices) regarding COVID-19 among Students: III - Attitudes",NA,NA,"What is your attitude towards adapting teaching methods in universities to this new situation?",NA,NA,"C'est contraignant, j'ai pas pu m'adapter à ce changement","It is restrictive; I could not adapt to this change",0,"French"
"dalichaouche_2026_covid_attitudes","dalichaouche_2026_covid_attitudes_1","A2","KAP Survey (Knowledge-Attitudes-Practices) regarding COVID-19 among Students: III - Attitudes",NA,NA,"What is your attitude towards adapting teaching methods in universities to this new situation?",NA,NA,"J'ai pas de réponse","No opinion",1,"French"
"dalichaouche_2026_covid_attitudes","dalichaouche_2026_covid_attitudes_1","A2","KAP Survey (Knowledge-Attitudes-Practices) regarding COVID-19 among Students: III - Attitudes",NA,NA,"What is your attitude towards adapting teaching methods in universities to this new situation?",NA,NA,"D'accord, c'est indispensable pour limiter la propagation de la maladie","Agree, it is necessary to limit disease spread",2,"French"
"dalichaouche_2026_covid_attitudes","dalichaouche_2026_covid_attitudes_1","A3","KAP Survey (Knowledge-Attitudes-Practices) regarding COVID-19 among Students: III - Attitudes",NA,NA,"Do you think this epidemic had an impact on your studies?",NA,NA,"Oui","Yes",0,"French"
"dalichaouche_2026_covid_attitudes","dalichaouche_2026_covid_attitudes_1","A3","KAP Survey (Knowledge-Attitudes-Practices) regarding COVID-19 among Students: III - Attitudes",NA,NA,"Do you think this epidemic had an impact on your studies?",NA,NA,"Je suis indifférent","I am indifferent",1,"French"
"dalichaouche_2026_covid_attitudes","dalichaouche_2026_covid_attitudes_1","A3","KAP Survey (Knowledge-Attitudes-Practices) regarding COVID-19 among Students: III - Attitudes",NA,NA,"Do you think this epidemic had an impact on your studies?",NA,NA,"Non,Je suis auto-discipliné et mon étude n'a pas été affectée","No, I am self-disciplined and my studies were not affected",2,"French"
"dalichaouche_2026_covid_attitudes","dalichaouche_2026_covid_attitudes_1","A4","KAP Survey (Knowledge-Attitudes-Practices) regarding COVID-19 among Students: III - Attitudes",NA,NA,"Do you hope the epidemic will end quickly so that studies can continue as before?",NA,NA,"Non, je veux continuer mes études à distance","No, I want to continue distance learning",0,"French"
"dalichaouche_2026_covid_attitudes","dalichaouche_2026_covid_attitudes_1","A4","KAP Survey (Knowledge-Attitudes-Practices) regarding COVID-19 among Students: III - Attitudes",NA,NA,"Do you hope the epidemic will end quickly so that studies can continue as before?",NA,NA,"Pas du tout inquiet","Not worried at all",1,"French"
"dalichaouche_2026_covid_attitudes","dalichaouche_2026_covid_attitudes_1","A4","KAP Survey (Knowledge-Attitudes-Practices) regarding COVID-19 among Students: III - Attitudes",NA,NA,"Do you hope the epidemic will end quickly so that studies can continue as before?",NA,NA,"Oui","Yes",2,"French"
"dalichaouche_2026_covid_attitudes","dalichaouche_2026_covid_attitudes_1","A5","KAP Survey (Knowledge-Attitudes-Practices) regarding COVID-19 among Students: III - Attitudes",NA,NA,"What is your attitude towards the evolution of the COVID-19 epidemic in the coming period?",NA,NA,"Pessimiste","Pessimistic",0,"French"
"dalichaouche_2026_covid_attitudes","dalichaouche_2026_covid_attitudes_1","A5","KAP Survey (Knowledge-Attitudes-Practices) regarding COVID-19 among Students: III - Attitudes",NA,NA,"What is your attitude towards the evolution of the COVID-19 epidemic in the coming period?",NA,NA,"Indifférent","Indifferent",1,"French"
"dalichaouche_2026_covid_attitudes","dalichaouche_2026_covid_attitudes_1","A5","KAP Survey (Knowledge-Attitudes-Practices) regarding COVID-19 among Students: III - Attitudes",NA,NA,"What is your attitude towards the evolution of the COVID-19 epidemic in the coming period?",NA,NA,"Optimiste","Optimistic",2,"French"
