"table","section_id","item","instrument","instructions","section_prompt","item_text","correct_response","option_text","resp","wording_rights"
"esiason_2024_aaqii","esiason_2024_aaqii_1","aaq1","Acceptance and Action Questionnaire-II (AAQ-II)",NA,NA,"My painful experiences and memories make it difficult for me to live a life that I would value.",NA,"never true",1,"NC"
"esiason_2024_aaqii","esiason_2024_aaqii_1","aaq1","Acceptance and Action Questionnaire-II (AAQ-II)",NA,NA,"My painful experiences and memories make it difficult for me to live a life that I would value.",NA,"very seldom true",2,"NC"
"esiason_2024_aaqii","esiason_2024_aaqii_1","aaq1","Acceptance and Action Questionnaire-II (AAQ-II)",NA,NA,"My painful experiences and memories make it difficult for me to live a life that I would value.",NA,"seldom true",3,"NC"
"esiason_2024_aaqii","esiason_2024_aaqii_1","aaq1","Acceptance and Action Questionnaire-II (AAQ-II)",NA,NA,"My painful experiences and memories make it difficult for me to live a life that I would value.",NA,"sometimes true",4,"NC"
"esiason_2024_aaqii","esiason_2024_aaqii_1","aaq1","Acceptance and Action Questionnaire-II (AAQ-II)",NA,NA,"My painful experiences and memories make it difficult for me to live a life that I would value.",NA,"frequently true",5,"NC"
"esiason_2024_aaqii","esiason_2024_aaqii_1","aaq2","Acceptance and Action Questionnaire-II (AAQ-II)",NA,NA,"I'm afraid of my feelings.",NA,"never true",1,"NC"
"esiason_2024_aaqii","esiason_2024_aaqii_1","aaq2","Acceptance and Action Questionnaire-II (AAQ-II)",NA,NA,"I'm afraid of my feelings.",NA,"very seldom true",2,"NC"
"esiason_2024_aaqii","esiason_2024_aaqii_1","aaq2","Acceptance and Action Questionnaire-II (AAQ-II)",NA,NA,"I'm afraid of my feelings.",NA,"seldom true",3,"NC"
"esiason_2024_aaqii","esiason_2024_aaqii_1","aaq2","Acceptance and Action Questionnaire-II (AAQ-II)",NA,NA,"I'm afraid of my feelings.",NA,"sometimes true",4,"NC"
"esiason_2024_aaqii","esiason_2024_aaqii_1","aaq2","Acceptance and Action Questionnaire-II (AAQ-II)",NA,NA,"I'm afraid of my feelings.",NA,"frequently true",5,"NC"
"esiason_2024_aaqii","esiason_2024_aaqii_1","aaq3","Acceptance and Action Questionnaire-II (AAQ-II)",NA,NA,"I worry about not being able to control my worries and feelings.",NA,"never true",1,"NC"
"esiason_2024_aaqii","esiason_2024_aaqii_1","aaq3","Acceptance and Action Questionnaire-II (AAQ-II)",NA,NA,"I worry about not being able to control my worries and feelings.",NA,"very seldom true",2,"NC"
"esiason_2024_aaqii","esiason_2024_aaqii_1","aaq3","Acceptance and Action Questionnaire-II (AAQ-II)",NA,NA,"I worry about not being able to control my worries and feelings.",NA,"seldom true",3,"NC"
