"doi","status","refined_flag","journal","title","url","pmcid","license","n_participants","n_items","data_file","external_link","reasons","note"
"10.1038/s41598-024-58598-3","unworked","worth_retrying","screports","Psychological flexibility and cognitive-affective processes in young adults' daily lives.","https://europepmc.org/article/PMC/PMC11001944","PMC11001944","cc-by","11861.0","45.0","41598_2024_58598_MOESM1_ESM.xlsx","","QC failed on: dup_id_item | QC warnings to review: id_na, resp_ordinal*, resp_direction*, imputed_values*, multi_scale*, resp_scale_mixed",""
"10.1038/s41598-026-57381-w","unworked","recoverable_format","screports","Cognitive mechanisms underlying the recall of positive relationships in social networks.","https://europepmc.org/article/PMC/PMC13538378","PMC13538378","cc-by","21343.0","23.0","friends_other_choice.RDS","https://osf.io/2v4qa/overview","via Data Availability link https://osf.io/2v4qa/overview | Column mapping was a low-confidence guess. | QC warnings to review: resp_direction*, imputed_values*, multi_scale*, resp_scale_mixed, composite_items*",""
"10.1038/s41598-026-66551-9","unworked","recoverable_format","screports","Environmental context effects on affective and cognitive empathy in virtual reality.","https://europepmc.org/article/PMC/PMC13476244","PMC13476244","cc-by","20415.0","12.0","VRF.rds","https://osf.io/vcnp4/files/osfstorage","via Data Availability link https://osf.io/vcnp4/files/osfstorage | Column mapping was a low-confidence guess. | QC warnings to review: resp_ordinal*, resp_direction*, resp_scale_mixed",""
"10.1038/s41598-022-10019-z","shipped","recoverable_format","screports","Pet ownership and psychological well-being during the COVID-19 pandemic.","https://europepmc.org/article/PMC/PMC9002031","PMC9002031","unknown","2424.0","101.0","Leger sociodresub.sav","https://osf.io/56sbh/?view_only=bbca7561fdff46618666454a0d66c892","via Data Availability link https://osf.io/56sbh/?view_only=bbca7561fdff46618666454a0d66c892 | Column mapping was a low-confidence guess. | QC warnings to review: resp_ordinal*, resp_direction*, imputed_values*, multi_scale*, resp_scale_mixed, composite_items* | license_unknown* — license 'unknown' not recognised as open; verify before submission","five amiot_2022_* tables, 122,927 responses, uploaded 2026-09-20, plus UCLA item text to irw_text_2"
"10.7717/peerj.20280","unworked","worth_retrying","peerj","Development and validation of a functional assessment tool for Chinese inpatient rehabilitation: insights from a Delphi study based on the International Classification of Functioning, Disability, and Health (ICF).","https://europepmc.org/article/PMC/PMC12614094","PMC12614094","cc-by","2574.0","37.0","peerj-13-20280-s001.xlsx","","Column mapping was a low-confidence guess. | QC warnings to review: resp_ordinal*, resp_direction*, imputed_values*, multi_scale*, item_scale_outlier",""
"10.1038/s41598-023-37195-w","shipped","recoverable_format","screports","A causal link between mental imagery and affect-laden perception of climate change related risks.","https://europepmc.org/article/PMC/PMC10284903","PMC10284903","unknown","1001.0","75.0","Mental_Imagery_Emotion_Environmental_Risk_October+20,+2022_20.sav","https://osf.io/k6vp9/?view_only=5aa191c0ad0041b8aed85df0ae9f25f0","via Data Availability link https://osf.io/k6vp9/?view_only=5aa191c0ad0041b8aed85df0ae9f25f0 | Column mapping was a low-confidence guess. | QC warnings to review: resp_ordinal*, resp_direction*, imputed_values*, multi_scale*, resp_scale_mixed, composite_items* | license_unknown* — license 'unknown' not recognised as open; verify before submission","karlsson_2023_climate_risk, 12,012 responses, uploaded 2026-09-20. MPost_Risk_DV_4 renamed to Post_Risk_DV_4"
"10.1038/s41598-023-33749-0","blocked_licence","worth_retrying","screports","Emotion regulation mediates the relationship between social frailty and stress, anxiety, and depression.","https://europepmc.org/article/PMC/PMC10119122","PMC10119122","cc-by-sa","697.0","85.0","dat_used.xlsx","https://osf.io/v7k3d/?view_only=383f27b12700410d9fbf86f7d804761f","via Data Availability link https://osf.io/v7k3d/?view_only=383f27b12700410d9fbf86f7d804761f | QC failed on: dup_id_item | QC warnings to review: resp_ordinal*, resp_direction*, imputed_values*, multi_scale*, resp_scale_mixed, composite_items*","Demichelis 2023. Built and QC'd clean (790 ids, 53,718 responses) then withdrawn: data is on a PRIVATE unlicensed OSF node. See license_blocked_candidates.csv"
"10.1038/s41598-026-57354-z","skipped_pii","worth_retrying","screports","PERMA-Profiler as a multidimensional measure of well-being in a French context.","https://europepmc.org/article/PMC/PMC13518861","PMC13518861","unknown","603.0","64.0","Data_PERMA-Profiler.xlsx","https://osf.io/53t8c","via Data Availability link https://osf.io/53t8c | QC failed on: dup_id_item | QC warnings to review: resp_ordinal*, resp_direction*, imputed_values*, multi_scale*, resp_scale_mixed, composite_items* | license_unknown* — license 'unknown' not recognised as open; verify before submission","PERMA-Profiler FR. OSF 53t8c publishes full dates of birth beside ten psychiatric diagnosis columns"
"10.1186/s12889-022-14103-x","rejected_content","recoverable_format","bmcpubhealth","Life under stay-at-home orders: a panel study of change in social interaction and emotional wellbeing among older Americans during COVID-19 pandemic.","https://europepmc.org/article/PMC/PMC9484850","PMC9484850","cc-by","1394.0","20.0","12889_2022_14103_MOESM1_ESM.csv","","Column mapping was a low-confidence guess. | QC warnings to review: resp_ordinal*, resp_direction*, imputed_values*, imputed_values*, resp_scale_mixed","seven single-item measures of different constructs on four scales, plus an imputed column. No instrument"
"10.3390/bs15020224","shipped","good","behavsci","Psychometric Properties of the Behavioral-Emotional Regulation Questionnaire in Peruvian Adults (BERQ-PA).","https://europepmc.org/article/PMC/PMC11851976","PMC11851976","unknown","403","63","Base de datos BERQ_OSF.csv","https://osf.io/t4kna/?view_only=852e4af94fb74df8be5f885b8024d051","via Data Availability link https://osf.io/t4kna/?view_only=852e4af94fb74df8be5f885b8024d051 | Passed (no errors); 4 note(s) to glance at before submitting. | QC warnings to review: resp_direction*, imputed_values*, multi_scale*, resp_scale_mixed | license_unknown* — license 'unknown' not recognised as open; verify before submission","lopezodar_2025_berq + _ghq28, 19,344 responses, uploaded 2026-09-20. ERQ block held: paper documents 7-point, deposit holds 5 levels"
