tier,score,source,title,doi,url,license,n_files,tabular,signals
A,13,dataverse,Intercultural Proficiency Questionnaire Results,10.7910/dvn/ifv44m,https://doi.org/10.7910/DVN/IFV44M,CC0 1.0,1,Merged Dataset IP.sav,title:instrument;file:survey-format;file:raw-ish;files:tractable;lic:cc0
A,13,surf,The Positive and Negative Experiences of Psychotherapy Questionnaire (PNEP):  First Psychometric Findings of a New Instrument for Monitoring Clients’ Experiences,10.34894/vdk1l5,https://doi.org/10.34894/VDK1L5,"Our data, or part of the data,  has been set to restrictive because the data is pseudonymous and therefore subject to the EU GDPR privacy regulations. 
According to our policy, the researcher who deposited the data will be informed about the access request. The depositor of the data might contact the requester for further consultation about the (re)use of the data. If the researcher decides to make the data available an agreement needs to be signed. 
If this dataset also contains unrestricted data, a 'cc-zero public domain dedication' applies to these unrestricted data.

",4,Dataset_Study1_Pilot.sav|PNEP_Data_after_cleaning_Completers_Final_8-12-2020.sav|PNEP_Data_after_cleaning_ Noncompleters_Completers.sav|PNEP_meting1_meting2_M2_MERGED_COMPLETERS.sav,title:instrument;file:survey-format;file:raw-ish;files:tractable;lic:cc0
A,13,surf,"Data for ""Phases in novice university teachers’ development of self-efficacy across and within teacher tasks: A Rasch analysis""",10.34894/keiqrd,https://doi.org/10.34894/KEIQRD,CC0-1.0,1,anonymous_data_se_nov_univ_teach.sav,title:instrument;file:survey-format;file:raw-ish;files:tractable;lic:cc0
A,12,datacite,Data for: Confirmatory factor analysis of the Barratt Impulsiveness Scale–short form (BIS–15) in patients with mental disorders,10.17632/3x3bzfdmbs,https://data.mendeley.com/datasets/3x3bzfdmbs,CC BY 4.0,1,open data.sav,title:instrument;file:survey-format;file:raw-ish;files:tractable
A,12,datacite,"Data for ""Financial knowledge in university students: analysis by Item Response Theory"" published by REMAT-Revista de Educação Matemática",10.17632/fzw7dthwh6.1,https://data.mendeley.com/datasets/fzw7dthwh6/1,CC BY 4.0,1,FinalDataBase.dta,title:instrument;file:survey-format;file:raw-ish;files:tractable
A,12,datacite,"COVID-19 Impact Scale, Event-Related Rumination Inventory, Beck Depression Inventory, and Beck Anxiety Inventory Data from Online Sample",10.17632/2f6t9pff4n,https://data.mendeley.com/datasets/2f6t9pff4n,CC BY 4.0,5,dataset_analyzed_n1069_CSV.csv|dataset_analyzed_n1069_MPlus_headers.csv|dataset_analyzed_n1069.sav|dataset_filtered_n1507_CSV.csv|dataset_filtered_n1507.sav,title:instrument;file:survey-format;file:raw-ish;files:tractable
A,12,datacite,Psychometric Characteristics and Factorial Structures of the Defensive Pessimism Questionnaire - Spanish Version (DPQ-SV),10.17632/zvj6cz68sc,https://data.mendeley.com/datasets/zvj6cz68sc,CC BY 4.0,1,DATA.sav,title:instrument;file:survey-format;file:raw-ish;files:tractable
A,12,mendeley,"Factor structure, measurement invariance, and psychometric properties of the Posttraumatic Cognitions Inventory-9 in Chinese adolescents and adults",10.17632/3f8hh825b5,https://data.mendeley.com/datasets/3f8hh825b5,CC BY 4.0,2,PTCI_data.sav|PTCI_retest.sav,title:instrument;file:survey-format;file:raw-ish;files:tractable
A,12,mendeley,ERPSAS - Validation of the Emotional Reasoning in Public Speaking Anxiety Scale,10.17632/fyv5gddfxj,https://data.mendeley.com/datasets/fyv5gddfxj,CC BY 4.0,1,Dataset_ERPSAS.sav,title:instrument;file:survey-format;file:raw-ish;files:tractable
A,12,mendeley,Turkish Adaptation and Psychometric Evaluation of the of the Transgender Congruence Scale,10.17632/rj6t9w4v2j,https://data.mendeley.com/datasets/rj6t9w4v2j,CC BY 4.0,1,TCS main data.sav,title:instrument;file:survey-format;file:raw-ish;files:tractable
A,12,mendeley,Validation of the Self-Compassion Scale–Short Form for Turkish Adolescents,10.17632/p6j6wyzczr,https://data.mendeley.com/datasets/p6j6wyzczr,CC BY 4.0,3,SCS-SF__longitudinal.sav|SCS-SF_CFA.sav|scs2026_incremental.sav,title:instrument;file:survey-format;file:raw-ish;files:tractable
A,12,datacite,Data for Internal Structure of the Cognitive Emotion Regulation Questionnaire (CERQ): CFA and ESEM Analysis in a Large Argentinean Sample.,10.17632/48y8tkf5wh,https://data.mendeley.com/datasets/48y8tkf5wh,CC BY 4.0,1,Data_Mendeley.sav,title:instrument;file:survey-format;file:raw-ish;files:tractable
A,12,mendeley,Validation of the Romanian version of Autism Spectrum Quotient (AQ) and Empathy Quotient (EQ) in the general population,10.17632/5tjkv36r3s,https://data.mendeley.com/datasets/5tjkv36r3s,CC BY 4.0,4,dat_AQ.sav|dat_EQ.sav|val_2.xlsx|w1 full dataset.sav,title:instrument;file:survey-format;file:raw-ish;files:tractable
A,12,mendeley,Polish adaptation of Physician’s Trust in the Patient Scale (PTPS) – psychometric properties and validation,10.17632/x2rxtpzg4v,https://data.mendeley.com/datasets/x2rxtpzg4v,CC BY 4.0,4,Database - PTPS - Mendeley .csv|database - ptps - mendeley .sas7bdat|Database - PTPS - Mendeley .sav|Database - PTPS - Mendeley .xlsx,title:instrument;file:survey-format;file:raw-ish;files:tractable
