"doi","journal","title","flag","license","n_participants","n_items","n_responses","shape","data_file","external_link","url","status","note"
"10.1186/s12889-022-14834-x","bmcpubhealth","Association of anticipated HIV testing stigma and provider mistrust on preference for HIV self-testing among cisgender men who have sex with men in the Philippines.","recoverable_format","cc0","899","61","54404","","PLOSONE_OSison HIVST data 2022-1.tab","https://doi.org/10.7910/DVN/PFUMZM","https://europepmc.org/article/PMC/PMC9756449","shipped","Dataverse PFUMZM (CC0 1.0 on the deposit record); the one 7-point agreement block q16,q18-q23 split per the paper's Methods into anticipated stigma (3 items) and provider mistrust (4 items); everything else is single-question covariates or authors' recodes. Tables: sison_2022_hiv_testing_stigma, sison_2022_provider_mistrust."
"10.1186/s12889-024-19295-y","bmcpubhealth","Breaking down barriers: rationalisations and motivation to stop among Chinese male smokers under cigarette dependence.","recoverable_format","cc-by","616","43","26488","","12889_2024_19295_MOESM2_ESM.sav","","https://europepmc.org/article/PMC/PMC11229221","shipped","Article-attached .sav (CC BY 4.0 article + BMC CC0 data waiver); split into the 26-item Smoking Rationalisation Scale (1-5) and the 6-item FTCD (0-3/0-1 by design); MTSS is a single item -> covariate; FTND/HSI totals dropped. Tables: zhang_2024_smoking_rationalisation, zhang_2024_ftcd."
"10.1016/j.heliyon.2023.e15742","heliyon","Work design, employee well-being, and retention intention: A case study of China's young workforce.","recoverable_format","cc-by","804","63","50652","","mmc2.csv","","https://europepmc.org/article/PMC/PMC10163660","rejected_content","The last 50 of 804 rows (rows 754-803) are exact copies of earlier respondents' full 44-item response vectors; 45 also copy the demographics and 5 copy them with one or two codes bumped (e.g. Marital_S 3->4, Annual_paid_leave 3->4). The paper's Table 1 counts include the copies, so N=804 is padded; not shipped on corpus-trust grounds. If Ben prefers, rows 0-753 (N=754, 9 clean 5-point blocks: JA SV TI TS FB WR WC EW RI) are otherwise ready; item text sits in mmc1.docx (S1, codes match headers), but EW1-5 is Diener's Flourishing Scale (register DIENER-NC = block)."
"10.7717/peerj.17134","peerj","Validation of the questionnaire ""Pregnancy Vaccine Hesitancy Scale (pVHS)"" toward COVID-19 vaccine for Malaysian pregnant women.","worth_retrying","cc-by","200","10","2000","","peerj-12-17134-s001.xlsx","","https://europepmc.org/article/PMC/PMC10977085","shipped","No id column in the deposit (triage guessed pL1 as id); id = row index, 200 respondents x 10 items. Item text shipped (Malay + authors' English), mapping verified against Table 3 loadings. Tables: che_mood_2024_pvhs."
"10.1186/s12889-022-14147-z","bmcpubhealth","Validity and reliability of knowledge, attitude, and practice regarding exercise and exergames experiences questionnaire among high school students.","worth_retrying","cc-by","188","6","1128","","12889_2022_14147_MOESM1_ESM.xlsx","","https://europepmc.org/article/PMC/PMC9472413","shipped","The only SI file holds all 33 columns (triage saw 6); split into knowledge (9, 1-3), attitude (10, 1-5) and exergames (5, 0/1) by administered block; practice block (GPAQ-style counts) skipped; 2 duplicate submissions dropped (N=186). Item text shipped from the stem headers. Tables: abdulkader_mohamed_2022_exer_knowledge, abdulkader_mohamed_2022_exer_attitude, abdulkader_mohamed_2022_exergame_exp."
"10.1038/s41598-023-33307-8","screports","Perceiver and target partisanship shift facial trustworthiness effects on likability.","aggregate_continuous","unknown","300","222","66596","","Exp2_data.xlsx","https://osf.io/xdf6m/?view_only=a97a8ee15b044bcfbc0cbe7715ff610a","https://europepmc.org/article/PMC/PMC10105733","blocked_licence","Data on OSF node xdf6m: public but carries NO licence (node_license null, root node, no children); the article's CC BY does not reach a DAS-linked deposit. Structurally strong: Exp2_data.xlsx has 300 perceivers x 90 face likability ratings (Face1-Face90, integer 1-7; plus ID1-90/Party1-90 per-face blocks) and Exp1 has 150 x 90; ResponseId is a Qualtrics ID only, no PII seen. Logged to license_blocked_rows."
"10.1038/s41598-023-40095-8","screports","Alternating capture of attention by multiple visual working memory representations.","worth_retrying","cc-by","","","","","41598_2023_40095_MOESM1_ESM.xlsx","","https://europepmc.org/article/PMC/PMC10415262","rejected_content","The SI xlsx is a table of post-hoc pairwise test results (mean diff, significance stars, p), not respondent data. Raw data on OSF twcvs is eye-tracking visual-search trials with ~39 (Exp1, F(3,114)) and ~34 (Exp2, F(3,99)) participants, so it is below the N>=100 floor as well as not item-response data."
"10.7717/peerj.4105","peerj","Ability to predict repetitions to momentary failure is not perfectly accurate, though improves with resistance training experience.","worth_retrying","cc-by","140","24","3522","","peerj-05-4105-s001.xlsx","","https://europepmc.org/article/PMC/PMC5712461","skipped_pii","peerj-05-4105-s001.xlsx has a full date-of-birth column (e.g. 1988-01-25) on every sheet, so the whole candidate is skipped under the PII rule. It would fail on content anyway: predicted vs actual repetitions-to-failure counts for 6 exercises plus difference columns, with the same participants duplicated across the experience-level sheets (which is where the dup_id_item came from). These are performance counts, not item responses."
"10.1038/s41598-025-96602-6","screports","A proof of concept study on digital interventions for reducing socio-evaluative stress and anxiety in youth.","aggregate_continuous","unknown","117","2","234","","5.ObjectivePerformance.xlsx","https://osf.io/ej9by/","https://europepmc.org/article/PMC/PMC11992151","rejected_content","OSF ej9by has only preprocessed scale scores in long format by phase (state_meta, SPAI and MCQ30 totals, subjective and objective performance scores); there is no item-level questionnaire data. The node is also public but unlicensed (node_license null), so it would be a licence skip too."
"10.1038/s41598-024-52856-0","screports","Lifestyle and behavioural changes in older adults during the Covid-19 pandemic are associated with subjective cognitive complaints.","human_review","cc-by","","","","","41598_2024_52856_MOESM1_ESM.xlsx","","https://europepmc.org/article/PMC/PMC10827799","rejected_content","Only supplement (MOESM1_ESM.xlsx) is two aggregate tables: a Pearson cross-correlation matrix (Table S1) and regression excluded-variables output (Table S2). No person-level data attached."
