"doi","journal","title","flag","license","n_participants","n_items","n_responses","shape","data_file","external_link","url","status","note"
"10.7717/peerj.5271","peerj","Shape and size of the arenas affect amphipod behaviours: implications for ecotoxicology.","recoverable_format","unknown","1452","6","8712","","raw data.xlsx","https://osf.io/j7b52/","https://europepmc.org/article/PMC/PMC6064634","rejected_content","OSF j7b52 (public node 67hkx, no licence set) holds continuous video-tracking measures of individual amphipods (distance, velocity, zone duration, % mobility per 2-min bin); not item responses."
"10.7717/peerj.17497","peerj","Identifying risk zones and landscape features that affect common leopard depredation.","not_item_response","cc-by","","","","","peerj-12-17497-s002.xlsx","","https://europepmc.org/article/PMC/PMC11146323","rejected_content","Leopard depredation GIS/landscape data: locations and landscape covariates, no respondents or items."
"10.1038/s41598-024-63536-4","screports","Relationship between the cost of illness and quality of life among adolescents with type 1 diabetes-a mixed method study.","human_review","cc-by","","","","","41598_2024_63536_MOESM2_ESM.xlsx","","https://europepmc.org/article/PMC/PMC11167017","skipped_pii","Raw file (MOESM3_ESM.xlsx, 113 x 72) carries a Name column with adolescent patients' first names. Would have failed anyway: DSQoL subscale/total scores only, no per-item responses."
"10.1038/s41598-023-41594-4","screports","Association of workplace bullying and burnout with nurses' suicidal ideation in Bangladesh.","recoverable_format","cc-by","1264","30","37783","","41598_2023_41594_MOESM2_ESM.csv","","https://europepmc.org/article/PMC/PMC10480219","shipped","SI MOESM2 csv (CC BY 4.0 article SI), no id or PII -> row index. Split per the paper into S-NAQ-9 (1-5), BMS-10 (1-7) and SIDAS-5 (0-10); 3 exact double-entry rows dropped (1264 -> 1261). Tables: kabir_2023_snaq, kabir_2023_bms10, kabir_2023_sidas. Sibling PLOS ONE paper Chowdhury 2022 (10.1371/journal.pone.0274965) likely shares respondents; its figshare holds only regression tables."
"10.1038/s41598-025-00556-8","screports","Working memory filtering at encoding and maintenance in healthy ageing, Alzheimer's and Parkinson's disease.","download_failed","cc-by","","","","","","https://osf.io/3s6ze/","https://europepmc.org/article/PMC/PMC12059157","blocked_licence","Data on OSF node 3s6ze, which is private (api.osf.io/v2/nodes/3s6ze/ returns 401; the DAS says registration through personal credentials is required), so the article's CC BY 4.0 does not reach it. SI is one docx of summary/ANOVA tables. Weak fit anyway: continuous angular-error recall, n=28 per group (~112 total); not logged to license_blocked_candidates.csv."
"10.1038/s41598-023-45172-6","screports","Understanding public perceptions toward sustainable healthcare through psychological network analysis of material preference and attitudes toward plastic medical devices.","human_review","unknown","","","","","Thought listing_Plastic medical devices_OSF_def.xlsx","https://osf.io/5etma/","https://europepmc.org/article/PMC/PMC10589264","blocked_licence","OSF 5etma is public but has no licence (node_license null, no parent). Strong otherwise: .sav, 1,598 finished x ~70 Likert items with Dutch labels. Logged to license_blocked_candidates.csv."
"10.1038/s41598-023-48536-0","screports","Validation of the shortened 24-item multidimensional assessment of interoceptive awareness, version 2 (Brief MAIA-2).","aggregate_continuous","cc-by","323","56","18085","","41598_2023_48536_MOESM1_ESM.xlsx","","https://europepmc.org/article/PMC/PMC10693589","shipped","SI xlsx holds raw per-item MAIA-2 (Polish) responses, 37 items 0-5 for 323 respondents, plus composites and the Polish questionnaire. One table (the Brief MAIA-2 is a 24-item subset of the same columns). Two fractional imputed cells dropped. Table: rogowska_2023_maia2."
"10.1038/s41598-023-36118-z","screports","The effects of everyday-life social interactions on anxiety-related autonomic responses differ between men and women.","download_failed","cc-by","","","","","Manuscript_data.Rda","https://osf.io/d3tg5/?view_only=0679d2a299254ac0a0d60672c8ad6975","https://europepmc.org/article/PMC/PMC10261044","below_n","OSF d3tg5 is public and CC BY 4.0, but Manuscript_data.Rda has only 96 unique participants. The one item-level block is 10 repeated state-anxiety items across 1,536 EMA prompts (1-8); trait questionnaires are sums only."
"10.3390/bs16071107","behavsci","Well-Being at the University: The Contribution of Social and Emotional Competence and Self-Care Practices as Seen by Students.","download_failed","cc-by","","","","","","https://doi.org/10.17605/OSF.IO/R3XFY","https://europepmc.org/article/PMC/PMC13406037","blocked_licence","Already blocked in PMC batch 3 (private MDPI OSF node, no licence; license_blocked_candidates.csv row 2026-09-23). Resurfaced because download_failed rows are not ledgered as seen."
"10.3390/bs16071228","behavsci","The Anxious Mind: Examining the Conflicting Relationships Between Distinct Aspects of Social Anxiety and Social Cognition.","download_failed","cc-by","","","","","","https://osf.io/87ew5","https://europepmc.org/article/PMC/PMC13405778","below_n","N=78 children analysed (97 recruited). The data node OSF 87ew5 is also private (401) despite the DAS saying openly available; SI is only a PDF of item wording."
