"doi","journal","title","flag","license","n_participants","n_items","n_responses","shape","data_file","external_link","url","status","note"
"10.7717/peerj.3953","peerj","Male sex pheromone components in &lt;i&gt;Heliconius&lt;/i&gt; butterflies released by the androconia affect female choice.","recoverable_format","cc-by","15773","3","46335","","peerj-05-3953-s001.csv","","https://europepmc.org/article/PMC/PMC5680698","rejected_content","Butterfly pheromone choice trials; not item responses."
"10.7717/peerj.7790","peerj","Cognitive performance in distinct groups of children undergoing epilepsy surgery-a single-centre experience.","aggregate_continuous","cc-by","203","4","800","","peerj-07-7790-s002.xlsx","","https://europepmc.org/article/PMC/PMC6788437","unworked",""
"10.1038/s41598-025-25523-1","screports","Hepatic vein-derived factors may affect pulmonary arteriovenous malformations after single ventricle palliation by modulating vascular cell behavior.","aggregate_continuous","cc-by","364","34","11984","","41598_2025_25523_MOESM2_ESM.xlsx","","https://europepmc.org/article/PMC/PMC12644721","rejected_content","Vascular cell biology measures; no respondents or items."
"10.1186/s12889-021-10351-5","bmcpubhealth","Impacts of the Covid-19 lockdown and relevant vulnerabilities on capability well-being, mental health and social support: an Austrian survey study.","aggregate_continuous","cc-by","560","16","8960","","Dataset_Data_share_13112020_DHE_MUW.xlsx","https://doi.org/10.5281/zenodo.4271534","https://europepmc.org/article/PMC/PMC7868863","rejected_content","Zenodo 4271534 (CC BY 4.0) holds only totals: OXCAP, HADS anx/dep, MSPSS, WHO-5 scores plus covariates; no item-level responses."
"10.3390/bs16060921","behavsci","Fitting in or Not Fitting in: Cultural Congruity as a Correlate of Motivation for Intergroup Contact","aggregate_continuous","unknown","247","17","3635","","Data_Intercultural_Twinnings.csv","https://osf.io/yux3t/overview?view_only=eb69c07965ee426ba09f5ecc84dd42a5","https://europepmc.org/article/PMC/PMC13295900","blocked_licence","CSV is on private OSF yux3t (view_only, no licence); SI zip holds only a PDF. Strong: 247 rows x 92 item-level 1-7 items. Logged in license_blocked_candidates.csv."
"10.1186/s12889-021-10952-0","bmcpubhealth","Effects of precarious work on symptomatology of anxiety and depression in Chilean workers, a cross sectional study.","aggregate_continuous","cc-by","9503","310","2934877","","12889_2021_10952_MOESM1_ESM.xlsx","","https://europepmc.org/article/PMC/PMC8127182","skipped_pii","ENETS 2009-2010 SI xlsx (9,503 x 661) carries full dates of birth (fnac_1..3, fec_nac)."
"10.1186/s12889-022-13328-0","bmcpubhealth","Validation of the medium and short version of CENSOPAS-COPSOQ: a psychometric study in the Peruvian population.","worth_retrying","cc-by","1707","72","122892","","5. Database.xlsx","https://doi.org/10.6084/m9.figshare.14138660","https://europepmc.org/article/PMC/PMC9077908","rejected_content","figshare 14138660 (CC BY 4.0), 1,707 x 69 COPSOQ items 1-5. Held on trust per the Chen 2023 ruling: 67 rows exact copies of earlier rows (16 clusters, up to 16 copies) and 137 rows in a near-duplicate network (<=5 of 72 cells differ vs a median nearest-neighbour distance of 27), concentrated in rows 600-1000. A script that drops the exact copies (1,640 ids) was written and set aside, not committed."
"10.1038/s41598-022-22017-2","screports","Factor structure of the parental bonding instrument for pregnant Japanese women.","human_review","cc-by","","","","","41598_2022_22017_MOESM1_ESM.xlsx","","https://europepmc.org/article/PMC/PMC9646826","blocked_licence","No data deposited: DAS says participating institutions did not permit sharing; SI xlsx is only a fit-statistics table."
"10.1038/s41598-023-40290-7","screports","A brief questionnaire for measuring alarm fatigue in nurses and physicians in intensive care units.","human_review","cc-by","","","","","41598_2023_40290_MOESM3_ESM.xlsx","","https://europepmc.org/article/PMC/PMC10449802","blocked_licence","Data on request only (DAS); SI = demographics PDF, COSMIN checklist, item-development/expert ratings. N=585 x 27 items; logged in license_blocked_candidates.csv."
"10.1038/s41598-021-84127-7","screports","The impact of the COVID-19 pandemic on wellbeing and cognitive functioning of older adults.","human_review","cc-by","","","","","De Pue et al. raw data.csv","https://osf.io/re7sm/","https://europepmc.org/article/PMC/PMC7907111","unworked",""
