doi,refined_flag,license,n_participants,n_items,title,url,shape_ok
10.17632/zktjjx93sv,worth_retrying,cc-by,509.0,260.0,Health literacy data,https://data.mendeley.com/datasets/zktjjx93sv,True
10.17632/826gmw6ypw,worth_retrying,cc-by,108.0,168.0,Psychometric Properties of the Turkish Version of the Entrepreneurs' Social Identity Scale,https://data.mendeley.com/datasets/826gmw6ypw,True
10.17632/94p8m47y58,worth_retrying,cc-by,1402.0,126.0,The Influence of Intolerance of Uncertainty on Anxiety and Depression Symptoms in Chinese-speaking Samples: Structure and Validity of The Chinese Translation of The Intolerance of Uncertainty Scale,https://data.mendeley.com/datasets/94p8m47y58,True
10.17632/bj5vtsj7bj,worth_retrying,cc-by,225.0,113.0,Data for learning and motivation in H E,https://data.mendeley.com/datasets/bj5vtsj7bj,True
10.17632/4n5x4ffzn5,worth_retrying,cc-by,495.0,101.0,Data marital quality of Javanese people's using rasch model,https://data.mendeley.com/datasets/4n5x4ffzn5,True
10.17632/bsxgbt8wnp,worth_retrying,cc-by,347.0,82.0,Academic motivation and learning strategies: Dataset in a public university sample,https://data.mendeley.com/datasets/bsxgbt8wnp,True
10.17632/6y7sbzjbny,good,cc-by,785.0,81.0,Psychometric Dataset for The Development of The Teacher Executive Regulation Scale (TERS) among Indonesian Higher Education Students,https://data.mendeley.com/datasets/6y7sbzjbny,True
10.17632/htwjk32j59,worth_retrying,cc-by,456.0,79.0,Digital Burnout,https://data.mendeley.com/datasets/htwjk32j59,True
10.17632/hwp4wsb549,worth_retrying,cc-by,388.0,65.0,Personality Traits and Academic Motivation as Predictors of Attitudes Toward Distance Education,https://data.mendeley.com/datasets/hwp4wsb549,True
10.17632/n45sjtxmzy,worth_retrying,cc-by,2763.0,43.0,"dataset on mental health, academic motivation, and perceived academic performance among Vietnamese students in online learning from a self-determination theory perspective",https://data.mendeley.com/datasets/n45sjtxmzy,True
10.17632/wjsv27cc7v,worth_retrying,cc-by,578.0,40.0,Psychometric Evaluation of the Whole Brain Model - Adaptation of the HBDI for Business Students,https://data.mendeley.com/datasets/wjsv27cc7v,True
10.17632/hg4x8cn7zb,worth_retrying,cc-by,591.0,39.0,Academic Motivation of Incoming Freshmen (2019),https://data.mendeley.com/datasets/hg4x8cn7zb,True
10.17632/tdsspksw83,worth_retrying,cc-by,580.0,38.0,"Survey data on students’ learning experience, engagement, and academic achievement in blended learning courses in engineering-related universities in Vietnam",https://data.mendeley.com/datasets/tdsspksw83,True
10.17632/6n78w5pz74,worth_retrying,cc-by,568.0,35.0,Data for: Academic motivation scale: validity in Portuguese public higher education published by RAC-Revista de Administração Contemporânea,https://data.mendeley.com/datasets/6n78w5pz74,True
10.17632/c5gpdtj8jv,worth_retrying,cc-by,892.0,35.0,Depression symptoms and psychological factors among university students in Bangladesh: A CES-D-oriented survey dataset,https://data.mendeley.com/datasets/c5gpdtj8jv,True
10.17632/whsbpyxy6w,worth_retrying,cc-by,1489.0,34.0,The impact of academic stress and academic motivation on learner autonomy among Vietnamese lower secondary students,https://data.mendeley.com/datasets/whsbpyxy6w,True
10.17632/ywjhb9mw82,worth_retrying,cc-by,392.0,33.0,From Cognitive-Emotional Interaction to Identity Construction: How Personality and Technology of Religious Virtual Influencer Affect Behavioral Intention,https://data.mendeley.com/datasets/ywjhb9mw82,True
10.17632/3fhcxn3zd3,worth_retrying,cc-by,178.0,33.0,Data for: Reliable Change Index of WHODAS 2.0 in patients with mental health disorders: results of applying Classical Test Theory and Rasch models,https://data.mendeley.com/datasets/3fhcxn3zd3,True
10.17632/tpgsnk4928,good,cc-by,676.0,31.0,The effectiveness of knowledge management systems in motivation and satisfaction in higher education Institutions: Data from Vietnam,https://data.mendeley.com/datasets/tpgsnk4928,True
10.17632/mhfkgs7z3c,worth_retrying,cc-by,423.0,31.0,Algorithm Awareness and User Motivation as Predictors of TikTok Engagement Among Generation Z in South Jakarta,https://data.mendeley.com/datasets/mhfkgs7z3c,True
10.17632/2hkrbgv5kb,worth_retrying,cc-by,1145.0,29.0,Multi-Dimensional Cognitive dataset for Educational Datamining,https://data.mendeley.com/datasets/2hkrbgv5kb,True
10.17632/xd27t4g547,good,cc-by,145.0,28.0,Generative AI competency of Arabic language and literature students: a four-dimension questionnaire dataset with open-ended responses,https://data.mendeley.com/datasets/xd27t4g547,True
10.17632/4sn3936svj,worth_retrying,cc-by,478.0,28.0,Rasch gender analysis ,https://data.mendeley.com/datasets/4sn3936svj,True
10.17632/ry2dvfydjd,worth_retrying,cc-by,162.0,26.0,Data for: A Rasch Analysis of the Integrated Palliative Care Outcome Scale (IPOS),https://data.mendeley.com/datasets/ry2dvfydjd,True
10.17632/mrrc83rt3b,good,cc-by,237.0,21.0,Well-being of Healthcare professionals in India during COVID-19 pandemic,https://data.mendeley.com/datasets/mrrc83rt3b,True
10.17632/hwvsd5zd4d,good,cc-by,356.0,21.0,MUSIC® Academic Motivation Validation: Chinese Legal English/Translation Context,https://data.mendeley.com/datasets/hwvsd5zd4d,True
10.17632/j8tkztz636,worth_retrying,cc-by,1823.0,19.0,"Dataset on online learning misfit, technostress, performance-related difficulties, dissatisfaction, and motivation loss among teacher education students",https://data.mendeley.com/datasets/j8tkztz636,True
10.17632/hd2z967zjh,worth_retrying,cc-by,1823.0,19.0,"Dataset Technology Gap, Academic Performance, Learning Satisfaction, and Learning Motivation The Mediating Roles of Technostress and Learning Misfit",https://data.mendeley.com/datasets/hd2z967zjh,True
10.17632/h3yhs5gy3w,worth_retrying,cc-by,499.0,12.0,Data for: A snapshot of g ? Binary and Polytomous Item-Response Theory investigations of the Last Series of the Standard Progressive Matrices (SPM-LS),https://data.mendeley.com/datasets/h3yhs5gy3w,True
10.17632/kmkhx3tzjx,recoverable_format,cc-by,,,The Perceived Stress Scale: Reliability and Validity Study in the Czech Republic,https://data.mendeley.com/datasets/kmkhx3tzjx,False
10.17632/hk7syttw3b,worth_retrying,cc-by,,,"Impact of Artificial Intelligence on Educational Processes in Latin America: Academic Performance, Motivation and Self-Regulation of Learning",https://data.mendeley.com/datasets/hk7syttw3b,False
