table,batch,mapping_basis,uploaded,route,status,evidence
dpt_noncog__intolerance_of_uncertainty,batch_028,data_labels,,"source data-file labels (row-1 code / row-4 question) + route 9 response-frequency matching, item axis",VERIFIED,"Route 9 applied on the item axis. For each of the 16 source columns Q16_1..Q16_16 in the Dataverse xlsx, the full response-level count vector was compared cell-for-cell with the live IRW per-item counts for the iu_* code data/dpt_noncognitive_traits.py assigns it. All 16 x 5 = 80 cells matched exactly: Q16_1/iu_2 138,94,55,11,0; Q16_2/iu_3 103,118,61,16,0; Q16_3/iu_4 158,93,37,10,0; Q16_4/iu_5 70,92,76,51,9; Q16_5/iu_8 22,58,86,103,29; Q16_6/iu_10 19,80,108,65,26; Q16_7/iu_11 86,130,55,22,5; Q16_8/iu_14 128,115,47,7,1; Q16_9/iu_15 101,118,55,24,0; Q16_10/iu_16 143,84,55,14,2; Q16_11/iu_18 26,84,92,81,15; Q16_12/iu_21a 30,86,96,69,17; Q16_13/iu_21b 110,101,59,26,2; Q16_14/iu_23 195,70,22,10,1; Q16_15/iu_26 54,128,72,39,5; Q16_16/iu_27 89,112,58,36,3. All 16 source count-vectors are mutually distinct (16 unique of 16), so the match distinguishes every item from every other item, not just a block or a direction; combined with the file's own code->text header this settles the item_text<->item mapping outright. What it does NOT establish: the option_text<->resp mapping. The 1/5 endpoint anchors are the study's own stated wording, but the anchors for resp 2, 3 and 4 are the canonical IUS-27 labels and are not verified against anything in this study's materials."
duboz_2021_pss10,batch_028,paper_order,,6 (keying polarity) + option-axis direction check against the sibling SWLS total,PARTIAL,"Route 6 (keying polarity) on all 1493 respondents in the live table: mean r with the six helplessness items vs the four self-efficacy items is Stress1 +0.294/-0.108, Stress2 +0.308/-0.138, Stress3 +0.296/-0.118, Stress4 -0.095/+0.230, Stress5 -0.157/+0.220, Stress6 +0.189/-0.033, Stress7 -0.074/+0.206, Stress8 -0.092/+0.299, Stress9 +0.329/-0.102, Stress10 +0.360/-0.128 -- all 10 items fall on the side predicted by the paper's own stated split (negative 1,2,3,6,9,10 / positive 4,5,7,8), and the positives are stored unreversed. Option-axis direction: PSS total scored on the shipped 1=Never..5=Very Often anchors (mean 26.69, SD 5.78, range 10-46 on 10-50) correlates -0.3312 with the same 1493 respondents' duboz_2021_swls total, versus +0.3312 under the flipped anchors; the paper reports life satisfaction falling as stress rises, so only the shipped direction reproduces it. PARTIAL, not VERIFIED: this pins each item's polarity class and the anchor direction, but NOT the order of items within a polarity class -- no per-item statistics are published for this sample, so Stress1 and Stress2 (or Stress4 and Stress5) cannot be told apart by any available route; that assignment rests on the source column numbering matching canonical PSS-10 numbering."
duboz_2021_swls,batch_028,unknown,,"route 3 (published totals/subscale totals) + route 1 (per-item stats, unavailable)",NO_ROUTE,"NO_ROUTE because the table is BLOCKED on rights and ships no CSV, so no item_text<->item mapping reaches the corpus to be verified (same convention as dominguez_2018_uwes, batch_027). The mapping evidence that WAS gathered, recorded so an unblock needs no re-investigation: route 3 reproduces the paper's published SWLS totals exactly from the five live items summed raw -- Dakar live mean 21.432 SD 5.926 (n=993) vs published 21.427 / 5.918 (N=1000 before the 7 duplicate rows data/duboz_2021_swls_pss.py drops); Tessekere live 23.220 / 5.744 (n=500) vs published 23.220 / 5.743; live Welch t=-5.616 vs published t=-5.585; live Cronbach alpha 0.7259 vs published 0.725. A reversed 1-7 anchor assignment would give 40-21.43=18.57 for Dakar, missing the published mean by 2.86 points, so the option_text<->resp direction (1=strongly disagree .. 7=strongly agree) is pinned. What this does NOT establish: the sum is invariant to any permutation of the five items, so which canonical SWLS item corresponds to which of Q1..Q5 is NOT distinguished by it, and route 1 is unavailable (the paper publishes no per-item statistics, only totals). Contrary signal worth recording: live corrected item-total correlations are Q1 0.33, Q2 0.53, Q3 0.61, Q4 0.59, Q5 0.43, whereas the SWLS literature's weakest item is consistently item 5; on canonical order the weakest here is Q1, so the marker route does not corroborate the canonical-order assumption either. Had this shipped it would have been PARTIAL, not VERIFIED."
dudasova_2021_cpc12,batch_028,paper_order,,published per-item CFA loadings (Table 2) + subscale summary scores (Table 1) + in-text item-rest correlations,VERIFIED,"Route 1+3 (published per-item loadings and subscale totals), computed on live irw_fetch data (N=282 complete). Subscale sums reproduce Table 1 exactly: items 1-3 M=13.149 (pub 13.149), 4-6 M=14.227 (14.227), 7-9 M=13.089 (13.089), 10-12 M=14.004 (14.004), total 54.468 (54.470); SDs 3.093/2.286/2.300/8.131 match to 3dp (hope SD 2.500 vs published 2.410, the one discrepancy). Re-estimating the paper's 3-first-order+1-second-order MLR CFA reproduces Table 2's 12 DISTINCT standardized loadings item by item: .670/.686/.723/.861/.930/.773/.342/.769/.325/.857/.753/.703 vs published .670/.686/.723/.861/.930/.773/.372/.769/.325/.857/.753/.703 - 11 of 12 exact to 3dp, PsyCap7 off by .030; second-order .988/.689/.836 exact; chisq.scaled 105.034 df 51 vs published 105.038 df 51. In-text item-rest correlations for resilience items 1 and 3 reproduce exactly: PsyCap7 .355 (pub .355), PsyCap9 .238 (pub .238). Because every published loading is distinct, any permutation of two item_texts would move a loading to the wrong code, so every item is distinguished from every other - including the decisive test that PsyCap1-3 are the hope block and PsyCap4-6 optimism (the CPC-12 order) rather than the reversed CPC-12R order printed in this paper's own appendix. NOT established by this route: the correctness of the appendix-to-appendix English-string crosswalk itself, and nothing about the 3 items whose Czech wording was never published."
dudasova_2021_cpc12_study3,batch_028,paper_explicit,,1 (published per-item statistics: CFA standardized loadings) + 5 (subscale block structure) + paper prose,PARTIAL,"Refitting Dudasova et al. (2021) Table 7's 4+1 factor model on the live IRW table, with the S1-Appendix grouping cpc1-3=Hope, cpc4-6=Optimism, cpc7-9=Resilience, cpc10-12=Self-efficacy, reproduces all 16 published standardized loadings to 3 dp: cpc1 .659/.659, cpc2 .624/.624, cpc3 .780/.780, cpc4 .752/.752, cpc5 .781/.781, cpc6 .683/.683, cpc7 .282/.282, cpc8 .817/.817, cpc9 .385/.385, cpc10 .633/.633, cpc11 .620/.620, cpc12 .759/.759, and second-order Hope .789/.789, Optimism .582/.582, Resilience .863/.863, Self-efficacy .821/.821 (largest deviation 0.0005). The paper's prose independently pins the resilience block's internal order - it names 'items one and three that measure resilience' as the low-loading pair and quotes their wording, matching cpc7=.282 and cpc9=.385 against cpc8=.817. This does NOT independently establish the order WITHIN the hope, optimism and self-efficacy blocks: a within-block permutation would permute the loadings printed against Table 7's own row labels, which were themselves assigned in cpc column order, so those three blocks rest on the S1 Appendix numbering matching the column numbering (paper_explicit). A within-hope facet check (SHS pathways items 1 and 3 vs agency item 2) was not discriminating: r(cpc1,cpc3)=.50 against r(cpc2,cpc3)=.55 and r(cpc1,cpc2)=.34, a difference well inside sampling error at N=202. Hence PARTIAL, not VERIFIED."
dudasova_2021_engagement,batch_028,unknown,,none available (source publishes no item wording; route 5 subscale structure attempted and underpowered),NO_ROUTE,"NO_ROUTE recorded because the table is BLOCKED and ships no CSV, so no item_text<->item or option_text<->resp mapping reaches the corpus to be verified (batch_026/027 convention for blocked tables). The block basis is itself reproducible and is what verify_dudasova_2021_engagement.R re-runs, from the source .sav and the article HTML, with no Redivis export: (1) across the four PLOS supplements the labelled-column counts are 2/0/0/1 (S1 .s001 282x103, S2 .s002 321x12, S3 .s003 202x12, S4 .s004 338x88) and the only two labels in S1 are ""REGR factor score 1 for analysis 1""/""...2...""; Eng1-Eng9 have 0 variable labels and all four files have 0 value-label sets. (2) The article text contains 0 occurrences each of ""engagement"", ""UWES"", ""Utrecht"" and ""Schaufeli"" in 64,546 characters of de-tagged body text. (3) Instrument identity is unpinned rather than merely unlabelled: under the canonical UWES-9 facet assignment (1,2,5 / 3,4,7 / 6,8,9) the S1 data give mean within-facet r = 0.593 vs between-facet r = 0.494, and only 6 of 9 items have their strongest partner inside their own facet (Eng5 -> Eng3 r=0.622; Eng6 -> Eng7 r=0.641), which is the same underpowered result as algner2022_uwes and does not distinguish the UWES-9 from another 9-item engagement block; live resp is 1-7 against the UWES's published 0-6. What this does NOT establish: it does not identify the instrument, and it does not order any item -- it establishes only that no source ties Eng1..Eng9 to any wording."
dudasova_2021_gratitude,batch_028,reconstructed,,6 (keying polarity) + instrument structural signature; corroborated by 8 (semantic coherence of the response distribution),PARTIAL,"Live data, N=282, 6 items. Mean off-diagonal r per item: Grat1 +0.38, Grat2 +0.39, Grat3i +0.33, Grat4 +0.33, Grat5 +0.26, Grat6 -0.45. Grat6 is the UNIQUE negatively keyed item (r = -0.49/-0.54/-0.50/-0.38/-0.35 against Grat1/2/3i/4/5). The GQ-6 has exactly two reverse-worded items, 3 and 6; the .sav marks recoded reverse items with a trailing 'i' (verified convention: JS3i r_rest +0.53, Hope3i/5i/7i/11i +0.23/+0.35/+0.28/+0.45, Perf14i-18i +0.34..+0.47, all positive despite negative content). So the two reverse items sit at exactly positions 3 (marked, recoded) and 6 (unmarked, raw) -- probability 1/30 under a random assignment of the six texts to the six codes. Secondary check: mean |r| Grat5 0.40 and Grat6 0.45 are the two lowest (Grat1 0.58, Grat2 0.60, Grat3i 0.53, Grat4 0.48), matching the GQ-6 literature in which items 5 and 6 are the weakest indicators (item 6 is the one dropped to form the GQ-5). Item means 5.9/5.5/3.9/4.7/6.0/2.2 are consistent (Grat6 raw-reverse mean 2.2 = 5.8 reversed). NOT ESTABLISHED: this does not distinguish Grat1 from Grat2 (r=0.81, near-duplicate GQ-6 content, means 5.9 vs 5.5), does not separate Grat4 from Grat5 other than by the weak-indicator argument, and does not prove Grat3i is GQ-6 item 3 rather than item 6 except by the 'i' recode marker plus its higher mean |r| (0.53 vs 0.45). Hence PARTIAL, not VERIFIED. Re-runnable as verify_dudasova_2021_gratitude.R (VERDICT: PASS)."
dudasova_2021_swls,batch_028,reconstructed,,1 (per-item descriptives/loadings vs published SWLS profile) + 7 (marker item 5) + 9-analogue (direction via PsyCap anchor),PARTIAL,"item_stats/.sav (N=282, resp 1-7): means LifeSat1..5 = 4.52, 4.66, 5.28, 5.07, 4.57; SD = 1.40, 1.51, 1.31, 1.36, 1.58; corrected item-total r = 0.704, 0.753, 0.802, 0.700, 0.687. Predictions from the SWLS literature (Diener et al. 1985 loadings .84/.77/.84/.72/.61) all hold: highest mean is LifeSat3 (5.28, predicted item 3), second highest LifeSat4 (5.07, predicted item 4), lowest item-total is LifeSat5 (0.687 vs 0.700-0.802, predicted item 5), largest SD is LifeSat5 (1.58); Spearman corr(observed item-total, 1985 loadings) = 0.821. Option direction: corr(SWLS mean, PsyCap1-12 mean) = +0.497, and PsyCap is documented as 1 = strongly disagree .. 6 = strongly agree in this paper's own S1 Appendix, so higher resp = more agreement = more satisfied, confirming resp 1 = Strongly disagree .. 7 = Strongly agree. NOT established: LifeSat1 vs LifeSat2 are not distinguished -- their means differ by 0.14 and their item-total correlations (0.704 vs 0.753) run opposite to the 1985 loadings (.84 vs .77); that pair rests on the numeric suffix alone. Hence PARTIAL, not VERIFIED."
dulger2024_wordcompletion,batch_028,data_labels,,"exemption: self-describing item codes (item code IS the word fragment) + route 9 variant (response-frequency/key reconstruction) for correct_response, plus published-total check for the resp direction",VERIFIED,"Item axis needs no statistical route: the IRW item code is the source file's WordFragment string verbatim (data/dulger2024_wordcompletion.py renames WordFragment -> item with no recoding), and item_text is that same fragment, so a permutation is impossible. The inference verified here is correct_response and the resp direction. (a) correct_response: filling each fragment's blanks with the letters participants actually typed (MissingLetters, word_completion_coded.sav) yields the claimed target word at p_key vs the item's live mean(resp) -- ac_e_ted 0.943/0.950, at_r_ct_ve 0.944/1.000, con__d_nt 0.908/0.903, de_ic_ted 0.838/0.835, excl__ed 0.961/0.955, re_ect_d 0.901/0.888, unt_le_ted 0.914/0.920 -- and for all 60 items the claimed word is the UNIQUE maximum, every other item's claimed word scoring exactly 0.000. All 24 fragments whose key the study states outright agree with the derived key 24/24. The single item below the 0.80*accuracy threshold, hu_ri_d_y (0.506 vs 0.880), is a source-stated key whose coding document explicitly lists rdl/re/rei/rl/rle/ral as also scored correct. (b) resp direction: live per-participant accuracy M=0.968 SD=0.054 (n=179) against the paper's reported M=0.96 SD=0.07; the flipped reading would give 0.032. What this does NOT establish: the scenario that preceded each fragment is not shipped (never published), so nothing here bears on scenario wording; and acc_d_nt vs ac_id_nt cannot be told apart by this route because both fragments resolve to 'accident' -- they carry the same correct_response, so no swap is possible."
dussel_2022_pcl17,batch_028,paper_order,,"self-describing codes exemption + route 3 (published total/cutoff prevalence) + route 8 (cross-instrument content correlations) + route 5 (block structure, underpowered)",PARTIAL,"Two axes. (a) option_text<->resp, DECISIVE: summing the 17 live items over the 780 complete cases gives mean 28.94, min 17, max 85 -- exactly the 17-85 range of a 1-5 scale, impossible under the 0-4 scale the study's own S1 Appendix prints (0-68) -- and reproduces the source file's result_pcl column case for case; 13.7% score >44 against the paper's reported 14% above that cutoff, while the reversed anchoring would put 96.0% above it. (b) item_text<->item, PARTIAL: 15 of the 17 source column headers are self-describing content mnemonics (Step 5b exemption 1), corroborated against the same file's HADS by two cross-instrument content predictions -- HAD_enjoy ('I still enjoy the things I used to enjoy') correlates most with PCL_loss_interest of all 17 PCL items (0.514 vs 0.449 next) and HAD_slow ('I feel as if I am slowed down') most with PCL_concentration (0.543 vs 0.447 next) -- and the five items assigned hyperarousal text each correlate more within that block than outside it (0.588/0.698/0.654/0.669/0.688 vs 0.479/0.494/0.499/0.524/0.486). NOT ESTABLISHED: PCL_defensive vs PCL_watchful, both hyperarousal and both plausible names for appendix item 16; their means are 1.783 and 1.767 (diff 0.017) and no route separates them -- they are assigned to appendix items 16 and 17 by source-column position only (the file's first 15 PCL columns follow appendix order 1-15 exactly). Subscale route 5 was run and is underpowered here: the DSM-IV 3-cluster assignment scores only 10/17 because items 6-8 group with re-experiencing and 9-12 with hyperarousal, the well-documented avoidance/numbing split, not a mapping error."
