"table","status","n_items_live","n_items_candidate","item_set_match","resp_set_match","uses_raw_resp","canonical_nulls","pct_item_text_missing","pct_option_text_missing","note"
"dpt_noncog__intolerance_of_uncertainty","PASS",16,16,TRUE,TRUE,FALSE,TRUE,0,0,""
"duboz_2021_pss10","PASS",10,10,TRUE,TRUE,FALSE,TRUE,0,0,""
"dudasova_2021_cpc12","PASS",12,12,TRUE,TRUE,FALSE,TRUE,0,0,""
"dudasova_2021_cpc12_study3","PASS",12,12,TRUE,TRUE,FALSE,TRUE,0,66.7,"66.7% of rows have blank option_text"
"dudasova_2021_gratitude","PASS",6,6,TRUE,TRUE,FALSE,TRUE,0,0,""
"dudasova_2021_swls","PASS",5,5,TRUE,TRUE,FALSE,TRUE,0,0,""
"dulger2024_wordcompletion","PASS",60,60,TRUE,TRUE,FALSE,TRUE,0,0,""
"dussel_2022_pcl17","PASS",17,17,TRUE,TRUE,FALSE,TRUE,0,0,""
"dvivdtws_ppmial_marcatto_2023_cwb","PASS",22,22,TRUE,TRUE,FALSE,TRUE,0,100,"100% of rows have blank option_text"
"dvivdtws_ppmial_marcatto_2023_dtw","PASS",22,22,TRUE,TRUE,FALSE,TRUE,0,100,"100% of rows have blank option_text"
