"table","section_id","item","instrument","instructions","section_prompt","item_text","correct_response","option_text","wording_rights","resp"
"conspiracy_asd__asd_aq10","conspiracy_asd__asd_aq10_1","aq10_1","Autism Spectrum Quotient - 10 items (AQ-10) (Adult)","Please use this scale to indicate the extent to which you agree or disagree with the following statements:",NA,"I often notice small sounds when others do not",NA,"Definitely disagree","NC",1
"conspiracy_asd__asd_aq10","conspiracy_asd__asd_aq10_1","aq10_1","Autism Spectrum Quotient - 10 items (AQ-10) (Adult)","Please use this scale to indicate the extent to which you agree or disagree with the following statements:",NA,"I often notice small sounds when others do not",NA,"Slightly disagree","NC",2
"conspiracy_asd__asd_aq10","conspiracy_asd__asd_aq10_1","aq10_1","Autism Spectrum Quotient - 10 items (AQ-10) (Adult)","Please use this scale to indicate the extent to which you agree or disagree with the following statements:",NA,"I often notice small sounds when others do not",NA,"Slightly agree","NC",3
"conspiracy_asd__asd_aq10","conspiracy_asd__asd_aq10_1","aq10_1","Autism Spectrum Quotient - 10 items (AQ-10) (Adult)","Please use this scale to indicate the extent to which you agree or disagree with the following statements:",NA,"I often notice small sounds when others do not",NA,"Definitely agree","NC",4
"conspiracy_asd__asd_aq10","conspiracy_asd__asd_aq10_1","aq10_2","Autism Spectrum Quotient - 10 items (AQ-10) (Adult)","Please use this scale to indicate the extent to which you agree or disagree with the following statements:",NA,"I usually concentrate more on the whole picture, rather than the small details",NA,"Definitely disagree","NC",1
"conspiracy_asd__asd_aq10","conspiracy_asd__asd_aq10_1","aq10_2","Autism Spectrum Quotient - 10 items (AQ-10) (Adult)","Please use this scale to indicate the extent to which you agree or disagree with the following statements:",NA,"I usually concentrate more on the whole picture, rather than the small details",NA,"Slightly disagree","NC",2
"conspiracy_asd__asd_aq10","conspiracy_asd__asd_aq10_1","aq10_2","Autism Spectrum Quotient - 10 items (AQ-10) (Adult)","Please use this scale to indicate the extent to which you agree or disagree with the following statements:",NA,"I usually concentrate more on the whole picture, rather than the small details",NA,"Slightly agree","NC",3
"conspiracy_asd__asd_aq10","conspiracy_asd__asd_aq10_1","aq10_2","Autism Spectrum Quotient - 10 items (AQ-10) (Adult)","Please use this scale to indicate the extent to which you agree or disagree with the following statements:",NA,"I usually concentrate more on the whole picture, rather than the small details",NA,"Definitely agree","NC",4
"conspiracy_asd__asd_aq10","conspiracy_asd__asd_aq10_1","aq10_3","Autism Spectrum Quotient - 10 items (AQ-10) (Adult)","Please use this scale to indicate the extent to which you agree or disagree with the following statements:",NA,"I find it easy to do more than one thing at once",NA,"Definitely disagree","NC",1
"conspiracy_asd__asd_aq10","conspiracy_asd__asd_aq10_1","aq10_3","Autism Spectrum Quotient - 10 items (AQ-10) (Adult)","Please use this scale to indicate the extent to which you agree or disagree with the following statements:",NA,"I find it easy to do more than one thing at once",NA,"Slightly disagree","NC",2
