table,note
cogcontrol_gyurkovics_2019_sart,"Pass with caveats. (1) MAPPING IS INFERENCE-FREE: the OSF readme.txt defines the source column targ as ""the actual digit the participant saw on screen"", and data/cogcontrol_gyurkovics.py sets item = 'digit_' + targ verbatim (no positional or generated code), so digit_N IS the digit N. The item code is also self-describing, so SKILL Step 5b's two exemptions both apply and mapping_basis=data_labels; no verification_/verify_ sidecar is owed. Free corroboration recorded anyway: irw_table_sets() gives n=3276 for every one of the 9 items, exactly matching sart_merge.csv's 117 participants x 28 trials per digit (26,208 Go + 3,276 No Go = 29,484 rows live), and in the raw file targ==3 is exactly the code==2 (No Go) set with accuracy 0.7497 against 0.9850-0.9884 for the other eight digits -- the classic SART commission-error signature on the one digit the paper names as the No Go stimulus. (2) item_text is the bare digit, which is the whole stimulus: the paper states ""With the exception of number identity, Go and No Go trials were identical"" (a white digit on black, 1250 ms, screen centre), so there is no stem to transcribe and nothing was padded. Go/No-Go status is not written into item_text because the response table already carries it as itemcov_nogo. (3) instructions is blank: neither the paper nor the deposit reproduces the text shown to participants. The Method describes the rule (""press the SPACE bar every time a digit between 1 and 9 appeared on screen, except if that number was 3"") but that is the authors' description, not a verbatim instruction screen, so it was not shipped as instructions -- same call as the sibling table cogcontrol_gyurkovics_2019_flanker in batch_020. (4) option_text holds the readme's own accuracy value labels (0 = incorrect, 1 = correct) because resp in this table is trial accuracy; participants either pressed SPACE or withheld, so these are not response options anyone read. (5) correct_response describes the required action rather than a resp level: SPACE for the eight Go digits, ""withhold response (No Go)"" for digit 3, both stated outright in the paper's Method (key_source=source_published). (6) RIGHTS: no NC or other restriction found -- the OSF node states no license and the manuscript states none; the stimuli are the digits 1-9, and no rights-holder clause could be quoted, so the irw#1891 rule does not fire and no wording_rights column is emitted. RETRY TEST: NO -- a determinate verdict was reached and an 18-row CSV shipped. An unchanged retry would reproduce it exactly. The only thing that would change the output is the authors publishing their MATLAB task code or verbatim instruction screens, which would let `instructions` be filled."
cogcontrol_gyurkovics_2019_simon,"Clean pass with caveats. (1) item_text is a rendering of the stimulus DISPLAY, not published wording: the OSF readme documents targ only as ""the identifier of the specific target image"" and the deposit ships no stimulus images or MATLAB task code, so each targ_NN was decoded from the trial data. Direction comes from the key code on correct trials (98/100/102/104 = Windows numeric-keypad virtual-key codes 96+n for keypad 2/4/6/8 = down/left/right/up, the key-to-direction mapping stated in the paper's Method); the assignment is 100% pure -- every one of the 34,338 trials' correct responses used a single key per targ code, identically for all 118 participants. Location comes from cong (invariant within targ) plus the paper's rule that congruent = direction and location match, incongruent = opposite; the deposit's 3-letter feature-repetition code corroborates this independently, its outer letter equalling its middle letter on 17,157/17,157 congruent and 0/17,181 incongruent trials. Live per-item n matches the raw per-targ n exactly for all 8 codes (4289/4310/4291/4306/4294/4280/4283/4285). (2) instructions is blank: neither the paper nor the deposit reproduces the text shown to participants. (3) option_text holds the readme's own accuracy value labels (0 = incorrect, 1 = correct) because resp in this table is trial accuracy; participants pressed one of four keypad keys, so these are not response options anyone read. (4) correct_response is the keypad key implied by the decoded arrow direction, derived by IRW rather than published as a key. (5) The paper's own example of an incongruent trial (""a downward pointing arrow below fixation"") is self-contradictory under its own definition -- that display is congruent; the stated rule, not the example, was used, and the data agree with the rule. RETRY TEST: NO -- a determinate verdict was reached and a CSV shipped; an unchanged retry would reproduce it. Only the study releasing its MATLAB stimulus files or verbatim instruction screens would change the output, upgrading the rendering to a transcription and filling `instructions`."
cognitive_load_klimova_2023_mlq,"PASS WITH CAVEATS. (1) The table holds 9 of the MLQ's 10 items: codes a..i map to MLQ items 1..9 and item 10 (""I am searching for meaning in my life."", a Search item) is absent from the IRW table -- data/cognitive_load_klimova_2023.py melts whatever MLQ* columns the deposit's Final_data.csv carries, and no 'j' column survives it. Not padded, not forced. (2) Administered in Russian (Russian university, Russian undergraduates; the deposit and the article both say so of the study, neither is reachable). The Russian wording is NOT recoverable: openICPSR 194063 is behind Cloudflare + a registration wall (403 to curl, WebFetch and r.jina.ai), and Field Methods 10.1177/1525822X251344709 is closed access with no repository copy (OpenAlex oa_status=closed). So the FALLBACK applies -- canonical English MLQ wording in the base fields, _translated columns empty, language=Russian, text_source=translated_substitute. (3) The two item blocks are the study's two experimental conditions and their response scales differ: MLQControl* = the fully-labeled 7-point scale (all seven anchors shipped), MLQExp* = the end-labeled scale (only resp 1 and 7 carry option_text; 2-6 are deliberately blank, not padded with their own numbers). Which block is which is an INFERENCE from the naming convention shared across the deposit's other scales (STOMPCONTR = the traditional verbally-labeled STOMP vs STOMPEXP = the emoji version; the pre-registration calls the fully-labeled MAS-R form 'the original version'), and the MLQ's own published form is fully labeled. Weak corroboration only from the data: extreme responding is 16.5% (123/747) in Control vs 19.0% (149/783) in Exp, the direction the end-labeled literature predicts but not a significant separation. (4) instructions left BLANK on purpose: the study names the instrument but nothing accessible states what instructions respondents read, and asserting the canonical MLQ preamble would be a claim about this administration that nothing supports. (5) The scale direction was taken from the DATA, not from the study's own pre-registration, which states '1 (Absolutely True) to 7 (Absolutely Untrue)'. Presence 4.42/4.44 and Search 4.89/4.68 sit above the midpoint while the reverse item 9 sits at 3.41/3.15 -- matching Steger's student norms (P~4.6, S~5.1) under the canonical 1=Absolutely Untrue..7=Absolutely True coding and mirroring them under the pre-registration's. The pre-registration's anchors are read as a slip. (6) Batch-level normalize_nulls.R / audit_batch.R NOT run: this is a parallel round and both rewrite sibling agents' files. The CSV was written by R's write.csv, so absent values are already the bare NA token. RETRY TEST: NO -- an unchanged retry would not change anything. Both remaining gaps are determinate, not transient: the administered Russian wording is gated behind openICPSR registration and a closed-access SAGE article, and the within-subscale item order is unverifiable because no per-item statistics are published anywhere reachable. What would flip it: an authenticated openICPSR download of the 194063 deposit's questionnaire/codebook, or a copy of the Field Methods article if it prints per-item descriptives."
cognitive_load_klimova_2023_pwi,"BLOCKED - no __items.csv written. No source publishes the item wording. SOURCE RANKING EXHAUSTED. Level 1 (the data file's own labels): the openICPSR deposit doi:10.3886/E194063V2 (CC BY 4.0) contains exactly two files - Aggregated_pupil_data.csv (69.8 KB) and Final_data.csv (313.8 KB) - and nothing else; there is no codebook, README or questionnaire, and the IRW item codes ARE the Final_data.csv column headers verbatim (data/cognitive_load_klimova_2023.py melts every column starting 'PWI' with no rename), so the headers are known to be the opaque strings PWICONTROLa..h / PWIEXPa..h - a letter carrying no content. File list confirmed from the Wayback capture 20250508064650 of the project page; the live openICPSR page is Cloudflare-walled (403) and downloads require a login in any case. Level 2 (the study's own paper): Klimova, Deviatko, Lebedev & Semenova, 'Fully Labeled Scales Are More Cognitively Demanding: A Multimodal Cognitive Load Approach', Field Methods 38(1):46-61, doi:10.1177/1525822X251344709 - closed access, Unpaywall reports oa_status=closed with zero OA locations and has_repository_copy=false, and journals.sagepub.com returns 403 (Cloudflare) for the landing page, the Crossref TDM PDF link and the full-xml link alike. No preprint, no HSE repository copy and no Russian-language sibling publication were found; the one free same-lab pupillometry paper (Deviatko, Bogdanov & Lebedev 2021, Vestnik RUDN Sociology, on CyberLeninka) is a different experiment and contains zero occurrences of PWI or 'blagopoluchie'. Level 3 (the published instrument) does not rescue it, for two reasons. (i) COMPOSITION IS AMBIGUOUS: an 8-column PWI block is standard under two different readings - the seven core PWI-A domains plus the optional spirituality/religion domain, or the global 'life as a whole' item followed by the seven core domains - and letters a..h contain nothing that decides between them, let alone fixes the order within the seven domains. The data disfavour the first reading (letter h, which would be spirituality/religion, sits in the upper half in both conditions: mean 4.41 / rank 8 of 8 in CONTROL and 4.41 / rank 5 of 8 in EXP, where a secular Russian undergraduate sample should put it at the floor; the actual minimum is letter g at 3.00 and 3.45) but they do not establish the second, so no defensible a..h -> domain assignment exists. (ii) THE INSTRUMENT WAS MODIFIED: the canonical PWI is an 11-point 0-10 scale with end labels only, while the live resp set is 1-6, and the whole point of this experiment is that each scale was rendered in a fully-labeled and an end-labeled version. Canonical PWI anchors would therefore be wrong for both blocks, and the six Russian labels actually shown - the experimental manipulation itself - appear in no published source. Shipping canonical English PWI domain wording against guessed letters, with no option_text, would be exactly the 'confidently-wrong mapping no downstream check will catch' that Step 5b exists to prevent. STRUCTURE THAT WAS ESTABLISHED, for a future attempt (see verify_cognitive_load_klimova_2023_pwi.R, VERDICT: PASS): the table is two BETWEEN-SUBJECTS label conditions of the same eight items - 170 respondents, 83 answering only PWICONTROL* and 87 only PWIEXP*, zero answering both, 83+87=170 matching the N in the deposit description and the paper; per-item n is a flat 83 and 87; and the letterwise means track across conditions at r=0.761, so letter a..h identifies one PWI item and the CONTROL/EXP prefix identifies the response-scale version. A future extraction therefore needs one item_text per letter, shared by the pair, and two different sets of option_text. LANGUAGE: administered in Russian (HSE University undergraduates, Moscow, Jan-Mar 2023). RETRY TEST: NO - an unchanged retry right now would not plausibly produce a different result. The deposit's file list is a verified fact, not an access failure, and the SAGE 403 is a paywall corroborated by Unpaywall's zero OA locations rather than a transient block. What would flip it: publisher or institutional access to Field Methods 38(1):46-61 AND that article actually reproducing the two scale versions' eight items and six Russian labels (a 16-page methods paper may well show only one example item, so access alone may not be enough), or the authors depositing the questionnaire, or an author-contact request for it."
cognitive_load_klimova_2023_stomp,"BLOCKED -- no __items.csv written. No source publishes the wording of these 18 item codes, and no source ties the letters a-i to anything.
GROUND TRUTH (irw_table_sets, no export): 18 items STOMPCONTRa..i and STOMPEXPa..i, 1,530 rows, resp set {1,2,3,4,5,6}; per-item n = 83 for every CONTR item and 87 for every EXP item.
CODE DERIVATION: the safest pattern -- data/cognitive_load_klimova_2023.py does a pd.melt over the raw columns with no renaming, so the IRW item code IS the source column name in raw_data/Final_data.csv. There is therefore nothing to infer about the mapping; the problem is purely that the code carries no content ('a'..'i') and the file that would decode it is unreachable.
SOURCE ACCESS: the only deposit is openICPSR project 194063 v2 (doi:10.3886/E194063V2). Every route to it returned HTTP 403 behind a Cloudflare bot challenge -- plain curl with a browser UA, the WebFetch tool, the r.jina.ai reader (with and without cache opt-out), and the doi.org redirect to icpsr.umich.edu -- and openICPSR additionally requires an account and terms acceptance before any file can be downloaded, so the questionnaire/codebook and the raw Final_data.csv headers were never seen. DataCite metadata for the DOI was retrievable and is the only description obtained: it names the study's scales as 'PWI, BZGS, MAS-R, MLQ' and does not mention STOMP at all, so even the deposit's own abstract documents nothing about this block. No OSF project or public preregistration by any of the four authors carries the materials (checked the OSF API for Aigul Klimova, user 6heg4: one unrelated registration).
PAPER: Klimova, Deviatko, Lebedev & Semenova, 'Fully Labeled Scales Are More Cognitively Demanding: A Multimodal Cognitive Load Approach', Field Methods 38(1):46-61, doi:10.1177/1525822x251344709. Unpaywall reports oa_status=closed, is_oa=false, has_repository_copy=false, zero OA locations; no PMC/Europe PMC/institutional copy exists. Its subject is the MAS-R and MLQ manipulation, so it is unlikely to reproduce the STOMP block even if opened.
CANONICAL INSTRUMENT DOES NOT RESCUE IT: the dictionary Description reads 'Short Test of Musical Preferences'. The published STOMP (Rentfrow & Gosling 2003) has 14 genres and the STOMP-R 23; this block has 9 (a..i) on a 1-6 response scale, so it is a reduced and/or Russian-adapted genre list that no published source I could find describes, and no search turned up a 9-genre Russian STOMP. Crucially, even with a canonical genre list in hand the letters a..i carry no ordering information whatsoever, so the item_text<->item mapping would still be a guess -- transcribing 9 genre names against 9 arbitrary letters would be fabrication, not extraction. The administration was in Russian (HSE University, Moscow), so the administered wording is also not the English canonical wording.
WHAT THE DATA DOES SHOW (re-runnable in verify_cognitive_load_klimova_2023_stomp.R, which ends VERDICT: PASS): the CONTR/EXP suffix is the study's between-subjects labelling arm -- 170 ids, 747 CONTR rows and 783 EXP rows, 0 ids in both arms -- and letter x denotes the same item in both arms. Matching each CONTR letter's full resp 1-6 frequency profile to each EXP letter's by total variation distance: own-letter TVD 0.073-0.221 (mean 0.137) against cross-letter 0.098-0.776 (mean 0.383); identity is the closest EXP letter for 6 of 9 letters and the 3 misses lose by at most 0.045; total TVD under the identity pairing is 1.229 against a mean of 3.207 and a minimum of 1.452 over 20,000 random pairings (p = 0.00005). resp=6 also looks like an off-scale category rather than the top of a 6-point preference scale: it is used 0-18 times per item (never by 5 of the 18 items) out of 83-87 responses, 4.2% overall, while 1-5 are populated almost throughout. None of that recovers a single word of item text.
STEP 3b: no instrument mismatch could be confirmed or ruled out -- the deposit abstract's scale list (PWI, BZGS, MAS-R, MLQ) omits STOMP entirely, so the dictionary's 'Short Test of Musical Preferences' reading rests on the column prefix alone. It is consistent with 9 preference-style items on a short ordinal scale, but nothing was seen that confirms it.
RETRY TEST: NO. An unchanged retry right now would hit the same Cloudflare 403 and the same closed-access paywall, and the deposit sits behind a registration gate that no automated retry can clear. The letters-carry-no-content problem is determinate on its own: it would survive even a successful fetch of the paper. TO FLIP IT: a human with an openICPSR account downloads E194063V2 and supplies the questionnaire/codebook (or the Final_data.csv column headers/labels, which are the level-1 source here), or institutional SAGE access shows that Field Methods 38(1):46-61 reproduces the STOMP block keyed to a..i."
colomer_perez_2021_soc13,"PASS WITH CAVEATS. The source paper (PLOS ONE 10.1371/journal.pone.0260827) publishes no SOC-13 item wording -- its only supporting file is the S1 .sav, which has zero variable labels and no value labels other than SEX -- so the shipped text is the canonical English SOC-13/OLQ wording, not this study's Spanish administration. language=Spanish with empty _translated columns marks that fallback. Mapping is reconstructed from the code numbering and verified only to polarity class (see verification_colomer_perez_2021_soc13.csv, status PARTIAL). option_text is populated at resp 1 and 7 only; the OLQ labels no intermediate point, and points 2-6 are deliberately blank rather than padded. instructions blank -- not published in either source. RETRY TEST: NO. An unchanged retry would not change anything -- every access succeeded (the .sav, the article, the CC BY corroborating paper all fetched fine) and the limits are properties of the sources: the study never published its Spanish wording, and no source ties an individual code to an individual item. What would flip it: the authors depositing the administered Spanish questionnaire, or any per-item statistic from this sample that separates items within a polarity class."
conner_2017_bfi,"Item wording is the canonical BFI-44 (John, Donahue & Kentle 1991); the study .sav (PLOS S1 File, 10.1371/journal.pone.0171206.s001) labels bfi1-bfi44 with the same 44 items and five of its labels carry evident typos ('orginal' bfi5, 'unselfish with other' bfi7, 'sometime shy' bfi31, 'Perserveres' bfi28, 'few artistic interested' bfi41), which were corrected to the published wording rather than transcribed. Sixteen items (2,6,8,9,12,18,21,23,24,27,31,34,35,37,41,43 - exactly the canonical reverse-keyed set) are stored ALREADY REVERSED: the .sav variable labels say so and the data confirm it (all 16 correlate +0.12..+0.53 with the rest of their own Big Five domain; raw storage would make all 16 negative). Their option_text therefore runs 1='Strongly Agree' .. 5='Strongly disagree', the opposite of the other 28 items and the opposite of the .sav's own value-label set (labels18: 1=Strongly disagree .. 5=Strongly Agree), which describes the pre-reversal administration. instructions holds only the BFI's item stem 'I see myself as Someone who...'; neither the paper nor the .sav records the instructions as administered, so the canonical paper-form instruction ('Please write a number next to each statement') was deliberately NOT shipped for an online study. Retry test: NO - a determinate clean pass, nothing pending."
conner_2017_cesd,"Clean pass with two disclosed deviations. (1) item_text is the PLOS S1 .sav's own variable labels with the constant prefix 'CES-D Depression Scale - ' and the trailing scoring annotation '(already reverse scored)' stripped; nothing else altered (curly apostrophe in item1 and the straight quotes in item20 kept verbatim). (2) For the four positively-worded items (item4, item8, item12, item16) the .sav's value labels still read 0='Rarely or none of the time' .. 3='Most or all of the time', but its variable labels state those variables are already reverse scored, and the data agree: all four correlate positively with the item6/item14/item18 depression block (r=0.443/0.429/0.572/0.542, min r over all 20 items 0.210, n=342 person-waves). Their anchors are therefore shipped REVERSED to match the stored numbers, overriding the file's value labels; see verify_conner_2017_cesd.R. instructions/section_prompt left blank: neither the .sav nor the paper reproduces verbatim CES-D instructions (the paper says only that participants rated symptoms 'in the past week' on a 0-3 scale), and the recall window is carried by the option anchors themselves. Step 3b: 20 live items and a 0-3 resp set match the full 20-item CES-D named in the paper, not the CESD-10 short form. RETRY TEST: not applicable - this is a clean pass, not a block; nothing is pending."
conner_2017_curiosity,"Pass with caveats. Item text and 1-5 anchors come verbatim from the study's own SPSS file (PLOS S1 File, .s001) variable labels (cei1-cei10) and value label set 'labels20'. Transcribed literally, so item 1 keeps the source's grammatical slip ""I actively seeks as much information as I can in a new situation"" (canonical CEI-II reads ""I actively seek ... in new situations"") and items 1 and 8 keep their trailing full stops while the other eight have none. The label prefix ""Curiousity and Engagement Inventory II - "" was stripped from every item; that prefix also misnames the instrument, which the paper's own reference 47 identifies as Kashdan et al. (2009) Curiosity and Exploration Inventory-II, the name shipped in the instrument field. instructions left blank: neither the .sav nor the paper reproduces the CEI-II administration instructions, and nothing unsourced was substituted. The paper's Measures section describes only the single daily smartphone curiosity item; the 10-item CEI-II was administered pre/post and is documented only in the data file. Retry test: NO - a determinate clean verdict was reached, an unchanged retry would produce the same file."
conner_2017_flourishing,"Pass with caveat. Mapping is level-1: the study's SPSS supplement (PLOS S1, 10.1371/journal.pone.0171206.s001) labels fs1-fs8 with terse content descriptions ('Flourishing Scale - purposeful and meaningful life' etc.) in canonical FS order, and data/conner_2017_fruit.py renames fs<i>/rfs<i> -> item<i> number-preservingly, so item<i> = FS item i. Corroborated numerically without any export: per-item n and resp range recomputed from the local .sav (fs+rfs stacked, non-integer cells dropped as the script does) reproduce irw_table_sets() exactly for all 8 items -- n=342 each, min=2 for items 3, 5 and 8 and min=1 for the other five, max=7 throughout. CAVEAT 1: item_text and instructions are the canonical Flourishing Scale (Diener et al. 2010) wording, not a study-published transcript; the .sav labels are terse internal descriptions that fix the mapping but are not what respondents read, and the paper does not reproduce the items. CAVEAT 2: option_text is populated only for resp 1, 4 and 7 ('Strongly disagree' / 'Neither agree nor disagree' / 'Strongly agree'), which is the full extent of the .sav's value-label set for these variables; resp 2, 3, 5, 6 are left blank rather than padded with canonical intermediate anchors the study's own file does not carry. RETRY TEST: NO -- a determinate verdict was reached; nothing was blocked and an unchanged retry would produce the same file."
