"table","section_id","item","instrument","instructions","section_prompt","item_text","correct_response","option_text","resp","language"
"zeng_2026_gai_self_efficacy","zeng_2026_gai_self_efficacy_1","SE1","Self Efficacy (SE) scale, GAI-assisted learning questionnaire (Zeng, Kang & Piaw 2026)",NA,NA,"I am confident in my ability to use GAI tools efficiently.",NA,"Strongly Disagree",1,"Chinese"
"zeng_2026_gai_self_efficacy","zeng_2026_gai_self_efficacy_1","SE1","Self Efficacy (SE) scale, GAI-assisted learning questionnaire (Zeng, Kang & Piaw 2026)",NA,NA,"I am confident in my ability to use GAI tools efficiently.",NA,NA,2,"Chinese"
"zeng_2026_gai_self_efficacy","zeng_2026_gai_self_efficacy_1","SE1","Self Efficacy (SE) scale, GAI-assisted learning questionnaire (Zeng, Kang & Piaw 2026)",NA,NA,"I am confident in my ability to use GAI tools efficiently.",NA,NA,3,"Chinese"
"zeng_2026_gai_self_efficacy","zeng_2026_gai_self_efficacy_1","SE1","Self Efficacy (SE) scale, GAI-assisted learning questionnaire (Zeng, Kang & Piaw 2026)",NA,NA,"I am confident in my ability to use GAI tools efficiently.",NA,NA,4,"Chinese"
"zeng_2026_gai_self_efficacy","zeng_2026_gai_self_efficacy_1","SE1","Self Efficacy (SE) scale, GAI-assisted learning questionnaire (Zeng, Kang & Piaw 2026)",NA,NA,"I am confident in my ability to use GAI tools efficiently.",NA,NA,5,"Chinese"
"zeng_2026_gai_self_efficacy","zeng_2026_gai_self_efficacy_1","SE1","Self Efficacy (SE) scale, GAI-assisted learning questionnaire (Zeng, Kang & Piaw 2026)",NA,NA,"I am confident in my ability to use GAI tools efficiently.",NA,NA,6,"Chinese"
"zeng_2026_gai_self_efficacy","zeng_2026_gai_self_efficacy_1","SE1","Self Efficacy (SE) scale, GAI-assisted learning questionnaire (Zeng, Kang & Piaw 2026)",NA,NA,"I am confident in my ability to use GAI tools efficiently.",NA,"Strongly Agree",7,"Chinese"
"zeng_2026_gai_self_efficacy","zeng_2026_gai_self_efficacy_1","SE2","Self Efficacy (SE) scale, GAI-assisted learning questionnaire (Zeng, Kang & Piaw 2026)",NA,NA,"Even without guidance from others, I can independently use GAI to complete learning tasks.",NA,"Strongly Disagree",1,"Chinese"
"zeng_2026_gai_self_efficacy","zeng_2026_gai_self_efficacy_1","SE2","Self Efficacy (SE) scale, GAI-assisted learning questionnaire (Zeng, Kang & Piaw 2026)",NA,NA,"Even without guidance from others, I can independently use GAI to complete learning tasks.",NA,NA,2,"Chinese"
"zeng_2026_gai_self_efficacy","zeng_2026_gai_self_efficacy_1","SE2","Self Efficacy (SE) scale, GAI-assisted learning questionnaire (Zeng, Kang & Piaw 2026)",NA,NA,"Even without guidance from others, I can independently use GAI to complete learning tasks.",NA,NA,3,"Chinese"
"zeng_2026_gai_self_efficacy","zeng_2026_gai_self_efficacy_1","SE2","Self Efficacy (SE) scale, GAI-assisted learning questionnaire (Zeng, Kang & Piaw 2026)",NA,NA,"Even without guidance from others, I can independently use GAI to complete learning tasks.",NA,NA,4,"Chinese"
"zeng_2026_gai_self_efficacy","zeng_2026_gai_self_efficacy_1","SE2","Self Efficacy (SE) scale, GAI-assisted learning questionnaire (Zeng, Kang & Piaw 2026)",NA,NA,"Even without guidance from others, I can independently use GAI to complete learning tasks.",NA,NA,5,"Chinese"
"zeng_2026_gai_self_efficacy","zeng_2026_gai_self_efficacy_1","SE2","Self Efficacy (SE) scale, GAI-assisted learning questionnaire (Zeng, Kang & Piaw 2026)",NA,NA,"Even without guidance from others, I can independently use GAI to complete learning tasks.",NA,NA,6,"Chinese"
"zeng_2026_gai_self_efficacy","zeng_2026_gai_self_efficacy_1","SE2","Self Efficacy (SE) scale, GAI-assisted learning questionnaire (Zeng, Kang & Piaw 2026)",NA,NA,"Even without guidance from others, I can independently use GAI to complete learning tasks.",NA,"Strongly Agree",7,"Chinese"
"zeng_2026_gai_self_efficacy","zeng_2026_gai_self_efficacy_1","SE3","Self Efficacy (SE) scale, GAI-assisted learning questionnaire (Zeng, Kang & Piaw 2026)",NA,NA,"I believe I can handle different types of GAI tools.",NA,"Strongly Disagree",1,"Chinese"
