"table","section_id","item","item_text","correct_response","instrument","language","instructions","section_prompt","option_text","resp","instructions_translated","section_prompt_translated","item_text_translated","option_text_translated"
"mexico_2023_mobility_services","mexico_2023_mobility_services_1","p95a","agua entubada dentro de la vivienda",NA,"ESRU-EMOVI 2023 (Encuesta ESRU de Movilidad Social en México 2023, Centro de Estudios Espinosa Yglesias), Cuestionario básico, P.95: servicios de la vivienda","Spanish","¿En esta vivienda tienen...?",NA,"Sí",1,"In this dwelling, do you have...?",NA,"piped water inside the dwelling","Yes"
"mexico_2023_mobility_services","mexico_2023_mobility_services_1","p95a","agua entubada dentro de la vivienda",NA,"ESRU-EMOVI 2023 (Encuesta ESRU de Movilidad Social en México 2023, Centro de Estudios Espinosa Yglesias), Cuestionario básico, P.95: servicios de la vivienda","Spanish","¿En esta vivienda tienen...?",NA,"No",2,"In this dwelling, do you have...?",NA,"piped water inside the dwelling","No"
"mexico_2023_mobility_services","mexico_2023_mobility_services_1","p95b","electricidad",NA,"ESRU-EMOVI 2023 (Encuesta ESRU de Movilidad Social en México 2023, Centro de Estudios Espinosa Yglesias), Cuestionario básico, P.95: servicios de la vivienda","Spanish","¿En esta vivienda tienen...?",NA,"Sí",1,"In this dwelling, do you have...?",NA,"electricity","Yes"
"mexico_2023_mobility_services","mexico_2023_mobility_services_1","p95b","electricidad",NA,"ESRU-EMOVI 2023 (Encuesta ESRU de Movilidad Social en México 2023, Centro de Estudios Espinosa Yglesias), Cuestionario básico, P.95: servicios de la vivienda","Spanish","¿En esta vivienda tienen...?",NA,"No",2,"In this dwelling, do you have...?",NA,"electricity","No"
"mexico_2023_mobility_services","mexico_2023_mobility_services_1","p95c","baño dentro de la vivienda",NA,"ESRU-EMOVI 2023 (Encuesta ESRU de Movilidad Social en México 2023, Centro de Estudios Espinosa Yglesias), Cuestionario básico, P.95: servicios de la vivienda","Spanish","¿En esta vivienda tienen...?",NA,"Sí",1,"In this dwelling, do you have...?",NA,"bathroom inside the dwelling","Yes"
"mexico_2023_mobility_services","mexico_2023_mobility_services_1","p95c","baño dentro de la vivienda",NA,"ESRU-EMOVI 2023 (Encuesta ESRU de Movilidad Social en México 2023, Centro de Estudios Espinosa Yglesias), Cuestionario básico, P.95: servicios de la vivienda","Spanish","¿En esta vivienda tienen...?",NA,"No",2,"In this dwelling, do you have...?",NA,"bathroom inside the dwelling","No"
"mexico_2023_mobility_services","mexico_2023_mobility_services_1","p95d","calentador de agua (boiler, solar)",NA,"ESRU-EMOVI 2023 (Encuesta ESRU de Movilidad Social en México 2023, Centro de Estudios Espinosa Yglesias), Cuestionario básico, P.95: servicios de la vivienda","Spanish","¿En esta vivienda tienen...?",NA,"Sí",1,"In this dwelling, do you have...?",NA,"water heater (boiler, solar)","Yes"
"mexico_2023_mobility_services","mexico_2023_mobility_services_1","p95d","calentador de agua (boiler, solar)",NA,"ESRU-EMOVI 2023 (Encuesta ESRU de Movilidad Social en México 2023, Centro de Estudios Espinosa Yglesias), Cuestionario básico, P.95: servicios de la vivienda","Spanish","¿En esta vivienda tienen...?",NA,"No",2,"In this dwelling, do you have...?",NA,"water heater (boiler, solar)","No"
"mexico_2023_mobility_services","mexico_2023_mobility_services_1","p95e","servicio doméstico (personas que reciben un pago por limpiar, lavar, planchar; jardinero, chofer particular)",NA,"ESRU-EMOVI 2023 (Encuesta ESRU de Movilidad Social en México 2023, Centro de Estudios Espinosa Yglesias), Cuestionario básico, P.95: servicios de la vivienda","Spanish","¿En esta vivienda tienen...?",NA,"Sí",1,"In this dwelling, do you have...?",NA,"domestic service (people who are paid to clean, wash, iron; gardener, private driver)","Yes"
"mexico_2023_mobility_services","mexico_2023_mobility_services_1","p95e","servicio doméstico (personas que reciben un pago por limpiar, lavar, planchar; jardinero, chofer particular)",NA,"ESRU-EMOVI 2023 (Encuesta ESRU de Movilidad Social en México 2023, Centro de Estudios Espinosa Yglesias), Cuestionario básico, P.95: servicios de la vivienda","Spanish","¿En esta vivienda tienen...?",NA,"No",2,"In this dwelling, do you have...?",NA,"domestic service (people who are paid to clean, wash, iron; gardener, private driver)","No"
