"table","section_id","item","instrument","instructions","section_prompt","item_text","correct_response","option_text","resp","item_text_translated","option_text_translated","instructions_translated","section_prompt_translated","language"
"COACH_Chen_2022_IADL","COACH_Chen_2022_IADL_1","ra_iadl_q1","Instrumental Activities of Daily Living (IADL), COACH Study",NA,NA,"Shopping",NA,"Completely unable to shop",0,NA,NA,NA,NA,"Chinese"
"COACH_Chen_2022_IADL","COACH_Chen_2022_IADL_1","ra_iadl_q1","Instrumental Activities of Daily Living (IADL), COACH Study",NA,NA,"Shopping",NA,"Needs to be accompanied on any shopping trip",1,NA,NA,NA,NA,"Chinese"
"COACH_Chen_2022_IADL","COACH_Chen_2022_IADL_1","ra_iadl_q1","Instrumental Activities of Daily Living (IADL), COACH Study",NA,NA,"Shopping",NA,"Shops independently for small purchases",2,NA,NA,NA,NA,"Chinese"
"COACH_Chen_2022_IADL","COACH_Chen_2022_IADL_1","ra_iadl_q1","Instrumental Activities of Daily Living (IADL), COACH Study",NA,NA,"Shopping",NA,"Takes care of all shopping needs independently",3,NA,NA,NA,NA,"Chinese"
"COACH_Chen_2022_IADL","COACH_Chen_2022_IADL_1","ra_iadl_q2","Instrumental Activities of Daily Living (IADL), COACH Study",NA,NA,"Mode of Transportation",NA,"Does not travel at all",0,NA,NA,NA,NA,"Chinese"
"COACH_Chen_2022_IADL","COACH_Chen_2022_IADL_1","ra_iadl_q2","Instrumental Activities of Daily Living (IADL), COACH Study",NA,NA,"Mode of Transportation",NA,"Travel limited to taxi or automobile with assistance of another",1,NA,NA,NA,NA,"Chinese"
"COACH_Chen_2022_IADL","COACH_Chen_2022_IADL_1","ra_iadl_q2","Instrumental Activities of Daily Living (IADL), COACH Study",NA,NA,"Mode of Transportation",NA,"Arranges own travel via taxi, but does not otherwise use public transportation",2,NA,NA,NA,NA,"Chinese"
"COACH_Chen_2022_IADL","COACH_Chen_2022_IADL_1","ra_iadl_q2","Instrumental Activities of Daily Living (IADL), COACH Study",NA,NA,"Mode of Transportation",NA,"Travels on public transportation",3,NA,NA,NA,NA,"Chinese"
"COACH_Chen_2022_IADL","COACH_Chen_2022_IADL_1","ra_iadl_q2","Instrumental Activities of Daily Living (IADL), COACH Study",NA,NA,"Mode of Transportation",NA,"Travels independently on public transportation or drives own car",4,NA,NA,NA,NA,"Chinese"
"COACH_Chen_2022_IADL","COACH_Chen_2022_IADL_1","ra_iadl_q3","Instrumental Activities of Daily Living (IADL), COACH Study",NA,NA,"Food Preparation",NA,"Needs to have meals prepared and served",0,NA,NA,NA,NA,"Chinese"
"COACH_Chen_2022_IADL","COACH_Chen_2022_IADL_1","ra_iadl_q3","Instrumental Activities of Daily Living (IADL), COACH Study",NA,NA,"Food Preparation",NA,"Heats and serves prepared meals or prepares meals but does not maintain adequate diet",1,NA,NA,NA,NA,"Chinese"
"COACH_Chen_2022_IADL","COACH_Chen_2022_IADL_1","ra_iadl_q3","Instrumental Activities of Daily Living (IADL), COACH Study",NA,NA,"Food Preparation",NA,"Prepares adequate meals if supplied with ingredients",2,NA,NA,NA,NA,"Chinese"
"COACH_Chen_2022_IADL","COACH_Chen_2022_IADL_1","ra_iadl_q3","Instrumental Activities of Daily Living (IADL), COACH Study",NA,NA,"Food Preparation",NA,"Plans, prepares, and serves adequate meals",3,NA,NA,NA,NA,"Chinese"
"COACH_Chen_2022_IADL","COACH_Chen_2022_IADL_1","ra_iadl_q4","Instrumental Activities of Daily Living (IADL), COACH Study",NA,NA,"Housekeeping",NA,"Does not participate in any housekeeping tasks",0,NA,NA,NA,NA,"Chinese"
"COACH_Chen_2022_IADL","COACH_Chen_2022_IADL_1","ra_iadl_q4","Instrumental Activities of Daily Living (IADL), COACH Study",NA,NA,"Housekeeping",NA,"Needs help with all home maintenance tasks",1,NA,NA,NA,NA,"Chinese"
"COACH_Chen_2022_IADL","COACH_Chen_2022_IADL_1","ra_iadl_q4","Instrumental Activities of Daily Living (IADL), COACH Study",NA,NA,"Housekeeping",NA,"Performs light daily tasks, but cannot maintain acceptable level of cleanliness",2,NA,NA,NA,NA,"Chinese"
"COACH_Chen_2022_IADL","COACH_Chen_2022_IADL_1","ra_iadl_q4","Instrumental Activities of Daily Living (IADL), COACH Study",NA,NA,"Housekeeping",NA,"Performs light daily tasks such as dishwashing, bed making",3,NA,NA,NA,NA,"Chinese"
"COACH_Chen_2022_IADL","COACH_Chen_2022_IADL_1","ra_iadl_q4","Instrumental Activities of Daily Living (IADL), COACH Study",NA,NA,"Housekeeping",NA,"Maintains house alone with occasion assistance (heavy work)",4,NA,NA,NA,NA,"Chinese"
"COACH_Chen_2022_IADL","COACH_Chen_2022_IADL_1","ra_iadl_q5","Instrumental Activities of Daily Living (IADL), COACH Study",NA,NA,"Laundry",NA,"All laundry must be done by others",0,NA,NA,NA,NA,"Chinese"
"COACH_Chen_2022_IADL","COACH_Chen_2022_IADL_1","ra_iadl_q5","Instrumental Activities of Daily Living (IADL), COACH Study",NA,NA,"Laundry",NA,"Launders small items, rinses socks, stockings, etc",1,NA,NA,NA,NA,"Chinese"
"COACH_Chen_2022_IADL","COACH_Chen_2022_IADL_1","ra_iadl_q5","Instrumental Activities of Daily Living (IADL), COACH Study",NA,NA,"Laundry",NA,"Does personal laundry completely",2,NA,NA,NA,NA,"Chinese"
"COACH_Chen_2022_IADL","COACH_Chen_2022_IADL_1","ra_iadl_q6","Instrumental Activities of Daily Living (IADL), COACH Study",NA,NA,"Ability to Use Telephone",NA,"can't finish",0,NA,NA,NA,NA,"Chinese"
"COACH_Chen_2022_IADL","COACH_Chen_2022_IADL_1","ra_iadl_q6","Instrumental Activities of Daily Living (IADL), COACH Study",NA,NA,"Ability to Use Telephone",NA,"need help to do",1,NA,NA,NA,NA,"Chinese"
"COACH_Chen_2022_IADL","COACH_Chen_2022_IADL_1","ra_iadl_q6","Instrumental Activities of Daily Living (IADL), COACH Study",NA,NA,"Ability to Use Telephone",NA,"have some trouble to do",2,NA,NA,NA,NA,"Chinese"
"COACH_Chen_2022_IADL","COACH_Chen_2022_IADL_1","ra_iadl_q6","Instrumental Activities of Daily Living (IADL), COACH Study",NA,NA,"Ability to Use Telephone",NA,"on one's own",3,NA,NA,NA,NA,"Chinese"
"COACH_Chen_2022_IADL","COACH_Chen_2022_IADL_1","ra_iadl_q7","Instrumental Activities of Daily Living (IADL), COACH Study",NA,NA,"Responsibility for Own Medications",NA,"Is not capable of dispensing own medication",0,NA,NA,NA,NA,"Chinese"
"COACH_Chen_2022_IADL","COACH_Chen_2022_IADL_1","ra_iadl_q7","Instrumental Activities of Daily Living (IADL), COACH Study",NA,NA,"Responsibility for Own Medications",NA,"Takes responsibility if medication is prepared in advance in separate dosages",1,NA,NA,NA,NA,"Chinese"
"COACH_Chen_2022_IADL","COACH_Chen_2022_IADL_1","ra_iadl_q7","Instrumental Activities of Daily Living (IADL), COACH Study",NA,NA,"Responsibility for Own Medications",NA,"need reminder or assistance",2,NA,NA,NA,NA,"Chinese"
"COACH_Chen_2022_IADL","COACH_Chen_2022_IADL_1","ra_iadl_q7","Instrumental Activities of Daily Living (IADL), COACH Study",NA,NA,"Responsibility for Own Medications",NA,"Is responsible for taking medication in correct dosages at correct time",3,NA,NA,NA,NA,"Chinese"
"COACH_Chen_2022_IADL","COACH_Chen_2022_IADL_1","ra_iadl_q8","Instrumental Activities of Daily Living (IADL), COACH Study",NA,NA,"Ability to Handle Finances",NA,"Incapable of handling money",0,NA,NA,NA,NA,"Chinese"
"COACH_Chen_2022_IADL","COACH_Chen_2022_IADL_1","ra_iadl_q8","Instrumental Activities of Daily Living (IADL), COACH Study",NA,NA,"Ability to Handle Finances",NA,"Manages day-to-day purchases, but needs help with banking, major purchases, etc",1,NA,NA,NA,NA,"Chinese"
"COACH_Chen_2022_IADL","COACH_Chen_2022_IADL_1","ra_iadl_q8","Instrumental Activities of Daily Living (IADL), COACH Study",NA,NA,"Ability to Handle Finances",NA,"Manages financial matters independently (budgets, writes checks, pays rent and bills, goes to bank)",2,NA,NA,NA,NA,"Chinese"
