table,Rater,Construct Name,Context Text,Item text available?,Age Range,Child Age (for child-focused studies),Sample,Construct type,Measurement tool,Item format,Primary Language(s),Notes
should match what is on redivis,,"If the construct has a formal name, please include it here.",Please excerpt the text passage from the paper where the measure is described,"Please indicate whether the raw item text is available in the paper/supplementary materials/etc. If you cannot tell, leave blank. ",,,,,,,(ISO 639-2 code),
asap20train,,,,,,,,,,,,
blum_2018_imak_nominal,,,,,,,,,,,,
borges_brazil_residency_2024_cbt,,,,,,,,,,,,
borges_brazil_residency_2024_pbt,,,,,,,,,,,,
cos101_2026_openended,,,,,,,,,,,,
goldberg_2018_spa_computer_use,,,,,,,,,,,,
himmelstein-berlin_numeracy-2025,,,,,,,,,,,,
mthimkhulu_2023_pirls_reading_mc,,,,,,,,,,,,
much_tte_2025_concentrationtask,,,,,,,,,,,,
much_tte_2025_matrixreasoning,,,,,,,,,,,,
persuade_learningagency,,,,,,,,,,,,
preference_inventory,,,,,,,,,,,,
wilmer-mrmet-normative-data-set-2022,,,,,,,,,,,,
wilmer-rmet-normative-data-set-2022,,,,,,,,,,,,
