table,n_id,n_age,min_age,max_age,n_distinct,n_u18,n_a18,share_under_18,n_lt6,n_6_12,n_12_18,verdict,age range,child age,reason
aappss_malpas_2019_scl,611,611,18.0,87.0,61,0,611,0.0,0,0,0,derived,Adult (18+),,
abouhashish_2025_chatgpt_attitudes,240,240,19.0,23.0,5,0,240,0.0,0,0,0,derived,Adult (18+),,
act_kay_2025,492,492,18.0,81.0,62,0,492,0.0,0,0,0,derived,Adult (18+),,
acunamora_2018_gypes,273,273,12.0,999.0,18,79,194,0.289377,0,0,79,unusable,,,"ages outside [0, 120]: 12.0-999.0"
addy_2021_sdq_ghana,405,405,12.0,24.0,10,200,205,0.493827,0,0,200,derived,Mixed,Adolescent (12-18y),
aditama_2024_strs,1924,1924,12.0,17.0,6,1924,0,0.0,0,0,1924,derived,Child (<18y),Adolescent (12-18y),
afaya_2020_complications_knowledge,330,330,30.0,91.0,54,0,330,0.0,0,0,0,derived,Adult (18+),,
afaya_2020_diet_knowledge,330,330,30.0,91.0,54,0,330,0.0,0,0,0,derived,Adult (18+),,
afaya_2020_exercise_knowledge,330,330,30.0,91.0,54,0,330,0.0,0,0,0,derived,Adult (18+),,
afaya_2020_footcare_knowledge,330,330,30.0,91.0,54,0,330,0.0,0,0,0,derived,Adult (18+),,
afaya_2020_general_knowledge,330,330,30.0,91.0,54,0,330,0.0,0,0,0,derived,Adult (18+),,
afaya_2020_medication_knowledge,330,330,30.0,91.0,54,0,330,0.0,0,0,0,derived,Adult (18+),,
afaya_2020_monitoring_knowledge,330,330,30.0,91.0,54,0,330,0.0,0,0,0,derived,Adult (18+),,
agn_kay_2025,492,492,18.0,81.0,62,0,492,0.0,0,0,0,derived,Adult (18+),,
agogue_2020_self_perceived_creativity,200,200,18.0,66.0,49,0,200,0.0,0,0,0,derived,Adult (18+),,
aguirre_camacho_2021_champion,442,442,17.0,35.0,19,6,436,0.013575,0,0,6,derived,Adult (18+),,"both sides of 18 present but the smaller group is 1.357% (< 2%), so not Mixed"
aguirre_camacho_2021_shai,244,244,18.0,34.0,16,0,244,0.0,0,0,0,derived,Adult (18+),,
ai_fear_dong_2026_ai,10000,10000,18.0,92.0,74,0,10000,0.0,0,0,0,derived,Adult (18+),,
ai_fear_dong_2026_incentive,1000,1000,18.0,91.0,70,0,1000,0.0,0,0,0,derived,Adult (18+),,
ai_fear_dong_2026_other_fear,10000,10000,18.0,92.0,74,0,10000,0.0,0,0,0,derived,Adult (18+),,
ai_fear_dong_2026_own_fear,10000,10000,18.0,92.0,74,0,10000,0.0,0,0,0,derived,Adult (18+),,
ai_fear_dong_2026_requirement,10000,10000,18.0,92.0,74,0,10000,0.0,0,0,0,derived,Adult (18+),,
aiquipa_2026_dgs,806,806,18.0,75.0,51,0,806,0.0,0,0,0,derived,Adult (18+),,
alasmari_2025_ai_trust_compare,327,0,nan,nan,0,0,0,,0,0,0,unusable,,,only 0 respondents with an age
alasmari_2025_ai_trust_confidence,335,0,nan,nan,0,0,0,,0,0,0,unusable,,,only 0 respondents with an age
alsuhibani_2022_gcbs,2146,2146,18.0,86.0,68,0,2146,0.0,0,0,0,derived,Adult (18+),,
alsuhibani_2022_consp_s1,481,479,17.0,72.0,50,1,478,0.002088,0,0,1,derived,Adult (18+),,"both sides of 18 present but the smaller group is 0.209% (< 2%), so not Mixed"
