table,Rater,Construct Name,Context Text,Item text available?,Age Range,Child Age (for child-focused studies),Sample,Construct type,Measurement tool,Item format,Primary Language(s),Notes
pellerin2020_asti,claude-auto,Adult Self-Transcendence Inventory (ASTI) — self-transcendence dimension,"Self-transcendent wisdom was assessed using the most recently published version of the Adult Self-Transcendence Inventory (ASTI, Koller et al., 2017)... We selected all seven items of the dimension of self-transcendence as a measure of self-transcendent wisdom (e.g., ""I feel that my individual life is part of a greater whole"", alpha = 0.81).",No,Mixed,,General/non-specific,Personality,Survey/questionnaire,Likert Scale/selected response,fre,"Age Range set to Mixed because reported sample range is 15-82y (M=42.7); language inferred from French lockdown sample/population, not explicitly stated as the administered language in the methods text."
pellerin2020_3dws,claude-auto,"Three-Dimensional Wisdom Scale, abbreviated (3D-WS-12)","Personal wisdom was assessed with the 12-Item Abbreviated Three-Dimensional Wisdom Scale (3D-WS-12, Thomas et al., 2017), which uses four items to measure each of three dimensions of wisdom, as theorized by Ardelt (2003): cognitive (e.g., ""A problem has little attraction for me if I dont think it has a solution""), affective (e.g., ""Sometimes I feel a real compassion for everyone""), and reflective (e.g., ""When I am confused by a problem, one of the first things I do is survey the situation and consider all the relevant pieces of information"").",No,Mixed,,General/non-specific,Personality,Survey/questionnaire,Likert Scale/selected response,fre,"Age Range set to Mixed because reported sample range is 15-82y (M=42.7); language inferred from French lockdown sample/population, not explicitly stated as the administered language in the methods text."
dudasova_2021_hope,claude-auto,"Hope subscale (Compound Psychological Capital Scale, CPC-12R)",The CPC-12 contains four hope items within a 12-item compound measure rated on a 6-point Likert scale (ranging from 1 = strongly disagree to 6 = strongly agree).,Yes,Adult (18+),,Targeted/specific,"Personality, Affective/mental health",Survey/questionnaire,Likert Scale/selected response,"ces,eng","Table likely reflects only the hope items within the 12-item CPC-12R compound measure, not a standalone 12-item Hope scale. Item wording published in S1 Appendix (CPC-12R in Czech and English)."
wang_2016_study1_authalien,claude-auto,Authenticity Scale — self-alienation subscale,"The three subscales consist of: self-alienation (4 items, e.g. ""I dont know how I feel inside"")",No,Adult (18+),,Educational,Personality,Survey/questionnaire,Likert Scale/selected response,chi,"Study 1 only; N=104, age 18-33, Chinese university students. Full subscale item wording not reproduced in paper -- only one example item given; original scale is Wood et al. (2008)."
jordan_2020_mindfulness,claude-auto,,,,Adult (18+),,Educational,Affective/mental health,Survey/questionnaire,,eng,"mindfulness scale not named or described in the main PLOS ONE article text (only Brief Resiliency Scale, Copenhagen Burnout Inventory, and Perceived Stress Scale are detailed there) -- construct name and item format not confirmed; check supplementary files or contact authors."
dpt_noncog__emotional_intelligence,claude-auto,,,,,,,,,,,cannot fully access due to paywall
enkavi_2019_ant_flanker,claude-auto,,,,,,,,,,,cannot fully access due to paywall
enkavi_2019_navon,claude-auto,,,,,,,,,,,cannot fully access due to paywall
gao2025_spiritual_wellbeing,claude-auto,,,,,,,,,,,cannot fully access due to paywall
opladen2025_wi,claude-auto,,,,,,,,,,,cannot fully access due to paywall
