table,n_id,n_age,min_age,max_age,n_distinct,n_u18,n_a18,share_under_18,n_lt6,n_6_12,n_12_18,verdict,age range,child age,reason
alsyouf_2024_performance_expectancy,472,472,1.0,7.0,7,472,0,0.0,454,18,0,quarantine,,,"starts at 1.0 and covers 7 values up to 7.0: the shape of a band code, not an age"
alsyouf_2024_social_influence,472,472,1.0,7.0,7,472,0,0.0,454,18,0,quarantine,,,"starts at 1.0 and covers 7 values up to 7.0: the shape of a band code, not an age"
alsyouf_2024_openness,472,472,1.0,7.0,7,472,0,0.0,454,18,0,quarantine,,,"starts at 1.0 and covers 7 values up to 7.0: the shape of a band code, not an age"
alsyouf_2024_conscientiousness,472,472,1.0,7.0,7,472,0,0.0,454,18,0,quarantine,,,"starts at 1.0 and covers 7 values up to 7.0: the shape of a band code, not an age"
alsyouf_2024_effort_expectancy,472,472,1.0,7.0,7,472,0,0.0,454,18,0,quarantine,,,"starts at 1.0 and covers 7 values up to 7.0: the shape of a band code, not an age"
alsyouf_2024_management_support,472,472,1.0,7.0,7,472,0,0.0,454,18,0,quarantine,,,"starts at 1.0 and covers 7 values up to 7.0: the shape of a band code, not an age"
alsyouf_2024_extraversion,472,472,1.0,7.0,7,472,0,0.0,454,18,0,quarantine,,,"starts at 1.0 and covers 7 values up to 7.0: the shape of a band code, not an age"
alsyouf_2024_neuroticism,472,472,1.0,7.0,7,472,0,0.0,454,18,0,quarantine,,,"starts at 1.0 and covers 7 values up to 7.0: the shape of a band code, not an age"
alsyouf_2024_facilitating_conditions,472,472,1.0,7.0,7,472,0,0.0,454,18,0,quarantine,,,"starts at 1.0 and covers 7 values up to 7.0: the shape of a band code, not an age"
alsyouf_2024_continuance_intention,472,472,1.0,7.0,7,472,0,0.0,454,18,0,quarantine,,,"starts at 1.0 and covers 7 values up to 7.0: the shape of a band code, not an age"
alsyouf_2024_end_user_support,472,472,1.0,7.0,7,472,0,0.0,454,18,0,quarantine,,,"starts at 1.0 and covers 7 values up to 7.0: the shape of a band code, not an age"
alsyouf_2024_agreeableness,472,472,1.0,7.0,7,472,0,0.0,454,18,0,quarantine,,,"starts at 1.0 and covers 7 values up to 7.0: the shape of a band code, not an age"
biswas_2024_digital_center_quality,332,332,1.0,6.0,6,332,0,0.0,317,15,0,quarantine,,,"starts at 1.0 and covers 6 values up to 6.0: the shape of a band code, not an age"
boudreau_2022_police_reform,1621,1621,1.0,6.0,6,1621,0,0.0,1427,194,0,quarantine,,,"starts at 1.0 and covers 6 values up to 6.0: the shape of a band code, not an age"
carney_2023_substance_use,414,414,1.0,29.0,16,25,389,0.060386,2,0,23,quarantine,,,"ages 1.0-29.0 are equally consistent with months, and the unit changes the tag; not stated in the data"
gilbert_meta_22,5364,5359,6.0,21.0,16,5192,167,0.031163,0,1378,3814,quarantine,,,"ages 6.0-21.0 are equally consistent with months, and the unit changes the tag; not stated in the data"
gilbert_meta_30,14576,14575,2.0,20.0,19,14570,5,0.000343,4008,10109,453,quarantine,,,"ages 2.0-20.0 are equally consistent with months, and the unit changes the tag; not stated in the data"
gilbert_meta_29,14576,14575,2.0,20.0,19,14570,5,0.000343,4008,10109,453,quarantine,,,"ages 2.0-20.0 are equally consistent with months, and the unit changes the tag; not stated in the data"
gilbert_meta_70,6391,6026,1.0,20.0,19,6024,2,0.000332,1042,4563,419,quarantine,,,"ages 1.0-20.0 are equally consistent with months, and the unit changes the tag; not stated in the data"
gilbert_meta_68,9413,9413,0.0,18.25,132,9412,1,0.000106,23,8889,500,quarantine,,,"ages 0.0-18.25 are equally consistent with months, and the unit changes the tag; not stated in the data"
gilbert_meta_69,9410,9410,0.0,18.25,132,9409,1,0.000106,24,8886,499,quarantine,,,"ages 0.0-18.25 are equally consistent with months, and the unit changes the tag; not stated in the data"
gilbert_meta_71,6389,6026,1.0,20.0,19,6024,2,0.000332,1042,4563,419,quarantine,,,"ages 1.0-20.0 are equally consistent with months, and the unit changes the tag; not stated in the data"
li_2021_knowledge_sharing,336,336,1.0,6.0,6,336,0,0.0,322,14,0,quarantine,,,"starts at 1.0 and covers 6 values up to 6.0: the shape of a band code, not an age"
li_2021_sustainable_innov_behav,336,336,1.0,6.0,6,336,0,0.0,322,14,0,quarantine,,,"starts at 1.0 and covers 6 values up to 6.0: the shape of a band code, not an age"
li_2021_cultural_intelligence,336,336,1.0,6.0,6,336,0,0.0,322,14,0,quarantine,,,"starts at 1.0 and covers 6 values up to 6.0: the shape of a band code, not an age"
li_2021_org_cultural_diversity,336,336,1.0,6.0,6,336,0,0.0,322,14,0,quarantine,,,"starts at 1.0 and covers 6 values up to 6.0: the shape of a band code, not an age"
qiang_2025_surface_acting,396,396,1.0,7.0,7,396,0,0.0,385,11,0,quarantine,,,"starts at 1.0 and covers 7 values up to 7.0: the shape of a band code, not an age"
qiang_2025_job_performance,396,396,1.0,7.0,7,396,0,0.0,385,11,0,quarantine,,,"starts at 1.0 and covers 7 values up to 7.0: the shape of a band code, not an age"
qiang_2025_job_dissatisfaction,396,396,1.0,7.0,7,396,0,0.0,385,11,0,quarantine,,,"starts at 1.0 and covers 7 values up to 7.0: the shape of a band code, not an age"
qiang_2025_abusive_supervision,396,396,1.0,7.0,7,396,0,0.0,385,11,0,quarantine,,,"starts at 1.0 and covers 7 values up to 7.0: the shape of a band code, not an age"
qiang_2025_red_tape,396,396,1.0,7.0,7,396,0,0.0,385,11,0,quarantine,,,"starts at 1.0 and covers 7 values up to 7.0: the shape of a band code, not an age"
qiang_2025_coping,396,396,1.0,7.0,7,396,0,0.0,385,11,0,quarantine,,,"starts at 1.0 and covers 7 values up to 7.0: the shape of a band code, not an age"
qiang_2025_workplace_friendship,396,396,1.0,7.0,7,396,0,0.0,385,11,0,quarantine,,,"starts at 1.0 and covers 7 values up to 7.0: the shape of a band code, not an age"
qiang_2025_ne_scale,396,396,1.0,7.0,7,396,0,0.0,385,11,0,quarantine,,,"starts at 1.0 and covers 7 values up to 7.0: the shape of a band code, not an age"
wang_2026_technology_anxiety,500,500,1.0,7.0,7,500,0,0.0,359,141,0,quarantine,,,"starts at 1.0 and covers 7 values up to 7.0: the shape of a band code, not an age"
wang_2026_behavioral_intention,500,500,1.0,7.0,7,500,0,0.0,359,141,0,quarantine,,,"starts at 1.0 and covers 7 values up to 7.0: the shape of a band code, not an age"
