table,age range,child age (for child-focused studies),basis,min_age,max_age,n_age,share_under_18,generated
aappss_malpas_2019_scl,Adult (18+),,derived_cov_age,18.0,87.0,611,0.0,2026-09-01
abouhashish_2025_chatgpt_attitudes,Adult (18+),,derived_cov_age,19.0,23.0,240,0.0,2026-09-01
act_kay_2025,Adult (18+),,derived_cov_age,18.0,81.0,492,0.0,2026-09-01
addy_2021_sdq_ghana,Mixed,Adolescent (12-18y),derived_cov_age,12.0,24.0,405,0.493827,2026-09-01
aditama_2024_strs,Child (<18y),Adolescent (12-18y),derived_cov_age,12.0,17.0,1924,0.0,2026-09-01
afaya_2020_complications_knowledge,Adult (18+),,derived_cov_age,30.0,91.0,330,0.0,2026-09-01
afaya_2020_diet_knowledge,Adult (18+),,derived_cov_age,30.0,91.0,330,0.0,2026-09-01
afaya_2020_exercise_knowledge,Adult (18+),,derived_cov_age,30.0,91.0,330,0.0,2026-09-01
afaya_2020_footcare_knowledge,Adult (18+),,derived_cov_age,30.0,91.0,330,0.0,2026-09-01
afaya_2020_general_knowledge,Adult (18+),,derived_cov_age,30.0,91.0,330,0.0,2026-09-01
afaya_2020_medication_knowledge,Adult (18+),,derived_cov_age,30.0,91.0,330,0.0,2026-09-01
afaya_2020_monitoring_knowledge,Adult (18+),,derived_cov_age,30.0,91.0,330,0.0,2026-09-01
agn_kay_2025,Adult (18+),,derived_cov_age,18.0,81.0,492,0.0,2026-09-01
agogue_2020_self_perceived_creativity,Adult (18+),,derived_cov_age,18.0,66.0,200,0.0,2026-09-01
aguirre_camacho_2021_champion,Adult (18+),,derived_cov_age,17.0,35.0,442,0.013575,2026-09-01
aguirre_camacho_2021_shai,Adult (18+),,derived_cov_age,18.0,34.0,244,0.0,2026-09-01
ai_fear_dong_2026_ai,Adult (18+),,derived_cov_age,18.0,92.0,10000,0.0,2026-09-01
ai_fear_dong_2026_incentive,Adult (18+),,derived_cov_age,18.0,91.0,1000,0.0,2026-09-01
ai_fear_dong_2026_other_fear,Adult (18+),,derived_cov_age,18.0,92.0,10000,0.0,2026-09-01
ai_fear_dong_2026_own_fear,Adult (18+),,derived_cov_age,18.0,92.0,10000,0.0,2026-09-01
ai_fear_dong_2026_requirement,Adult (18+),,derived_cov_age,18.0,92.0,10000,0.0,2026-09-01
aiquipa_2026_dgs,Adult (18+),,derived_cov_age,18.0,75.0,806,0.0,2026-09-01
alsuhibani_2022_gcbs,Adult (18+),,derived_cov_age,18.0,86.0,2146,0.0,2026-09-01
alsuhibani_2022_consp_s1,Adult (18+),,derived_cov_age,17.0,72.0,479,0.002088,2026-09-01
alqerem_2024_diabetic_health_literacy,Mixed,"Child (6-12y), Adolescent (12-18y)",derived_cov_age,6.0,85.0,400,0.03,2026-09-01
alsuhibani_2022_gcbs_extra_s2,Adult (18+),,derived_cov_age,18.0,86.0,1508,0.0,2026-09-01
alloubani_2021_stai_trait,Adult (18+),,derived_cov_age,3.0,44.0,181,0.005525,2026-09-01
almuqbil_2022_epds,Adult (18+),,derived_cov_age,18.0,50.0,253,0.0,2026-09-01
alloubani_2021_stai_state,Adult (18+),,derived_cov_age,3.0,44.0,181,0.005525,2026-09-01
alsuhibani_2022_ecrs_s3,Adult (18+),,derived_cov_age,18.0,80.0,638,0.0,2026-09-01
algner2022_uwes,Adult (18+),,derived_cov_age,21.0,67.0,612,0.0,2026-09-01
algner2022_sia,Adult (18+),,derived_cov_age,19.0,69.0,500,0.0,2026-09-01
algner2022_cse,Adult (18+),,derived_cov_age,21.0,67.0,612,0.0,2026-09-01
algner2022_wis,Adult (18+),,derived_cov_age,19.0,69.0,500,0.0,2026-09-01
algner2022_oss,Adult (18+),,derived_cov_age,21.0,67.0,612,0.0,2026-09-01
algner2022_mimi16,Adult (18+),,derived_cov_age,21.0,67.0,612,0.0,2026-09-01
alexandrowicz_2018_cesd,Adult (18+),,derived_cov_age,21.0,66.5506849315069,514,0.0,2026-09-01
algner2022_mimi_pool,Adult (18+),,derived_cov_age,19.0,69.0,500,0.0,2026-09-01
alfort_2023_finger_fx_prom,Mixed,Adolescent (12-18y),derived_cov_age,7.0,97.0,5504,0.042333,2026-09-01
alcoholhealthwarninglabel_brennan_2022_emotional_arousal_followup,Adult (18+),,derived_cov_age,18.0,69.0,1087,0.0,2026-09-01
algner2022_tis,Adult (18+),,derived_cov_age,21.0,67.0,612,0.0,2026-09-01
algner2022_psgbi,Adult (18+),,derived_cov_age,19.0,69.0,500,0.0,2026-09-01
alcoholhealthwarninglabel_brennan_2022_awareness_harms_followup,Adult (18+),,derived_cov_age,18.0,69.0,1087,0.0,2026-09-01
alcoholhealthwarninglabel_brennan_2022_intentions_postexposure,Adult (18+),,derived_cov_age,18.0,69.0,1755,0.0,2026-09-01
amarilla_2020_barthel,Elderly (minimum age >50),,derived_cov_age,66.0,99.0,224,0.0,2026-09-01
amarilla_2020_eq5d,Elderly (minimum age >50),,derived_cov_age,66.0,99.0,224,0.0,2026-09-01
amatus_cipora_2024_amas,Adult (18+),,derived_cov_age,18.0,56.0,848,0.0,2026-09-01
alsuhibani_2022_pads_s2,Adult (18+),,derived_cov_age,18.0,86.0,1508,0.0,2026-09-01
alsuhibani_2022_pads_s1,Adult (18+),,derived_cov_age,17.0,72.0,447,0.002237,2026-09-01
alsuhibani_2022_sers,Adult (18+),,derived_cov_age,18.0,86.0,2146,0.0,2026-09-01
amarilla_2020_sf12,Elderly (minimum age >50),,derived_cov_age,66.0,99.0,224,0.0,2026-09-01
amarilla_2020_lawton_brody,Elderly (minimum age >50),,derived_cov_age,66.0,99.0,224,0.0,2026-09-01
altman_2020_capq,Adult (18+),,derived_cov_age,18.0,75.0,4023,0.0,2026-09-01
alsuhibani_2022_paranoia_s3,Adult (18+),,derived_cov_age,18.0,80.0,638,0.0,2026-09-01
alsuhibani_2022_npi_s3,Adult (18+),,derived_cov_age,18.0,80.0,638,0.0,2026-09-01
alsuhibani_2022_loc,Adult (18+),,derived_cov_age,17.0,86.0,2568,0.000389,2026-09-01
anunciacao_2024_intelligence_gmi,Mixed,Adolescent (12-18y),derived_cov_age,15.0,64.0,1316,0.103343,2026-09-01
anjum_2022_gad7,Child (<18y),Adolescent (12-18y),derived_cov_age,12.0,17.0,2313,0.0,2026-09-01
amorim_2025_climej_florescimentonotrabalho,Adult (18+),,derived_cov_age,2.0,59.0,1218,0.000821,2026-09-01
amorim_2025_climej_desenhonotrabalho,Adult (18+),,derived_cov_age,2.0,59.0,1218,0.000821,2026-09-01
amorim_2025_climej_suporteorganizacional,Adult (18+),,derived_cov_age,2.0,59.0,1218,0.000821,2026-09-01
amorim_2025_climej_climej,Adult (18+),,derived_cov_age,2.0,59.0,1218,0.000821,2026-09-01
amatus_cipora_2024_bfi_n,Adult (18+),,derived_cov_age,18.0,56.0,848,0.0,2026-09-01
amatus_cipora_2024_stai,Adult (18+),,derived_cov_age,18.0,56.0,848,0.0,2026-09-01
amatus_cipora_2024_arithmetic,Adult (18+),,derived_cov_age,18.0,56.0,846,0.0,2026-09-01
amatus_cipora_2024_gad,Adult (18+),,derived_cov_age,18.0,56.0,848,0.0,2026-09-01
amatus_cipora_2024_sdq_m,Adult (18+),,derived_cov_age,18.0,56.0,848,0.0,2026-09-01
