"id","item","resp"
1,"cbi1",0
1,"cbi2",0
1,"cbi3",0
1,"cbi4",0
1,"cbi5",0
1,"cbi6",0
1,"cbi7",0
1,"cbi8",0
1,"cbi9",0
1,"cbi10",0
1,"cbi11",0
1,"cbi12",0
1,"cbi13",0
1,"cbi14",1
1,"cbi15",0
1,"cbi16",0
1,"cbi17",0
1,"cbi18",0
1,"cbi19",0
1,"cbi20",0
1,"cbi21",0
1,"cbi22",0
1,"cbi23",0
1,"cbi24",0
1,"cbi25",1
1,"cbi26",0
1,"cbi27",0
1,"cbi28",1
2,"cbi1",0
2,"cbi2",1
2,"cbi3",0
2,"cbi4",0
2,"cbi5",1
2,"cbi6",0
2,"cbi7",0
2,"cbi8",0
2,"cbi9",3
2,"cbi10",1
2,"cbi11",1
2,"cbi12",0
2,"cbi13",0
2,"cbi14",1
2,"cbi15",0
2,"cbi16",0
2,"cbi17",0
2,"cbi18",0
2,"cbi19",1
2,"cbi20",3
2,"cbi21",3
2,"cbi22",1
2,"cbi23",1
2,"cbi24",0
2,"cbi25",3
2,"cbi26",1
2,"cbi27",1
2,"cbi28",0
3,"cbi1",3
3,"cbi2",0
3,"cbi3",1
3,"cbi4",0
3,"cbi5",3
3,"cbi6",2
3,"cbi7",2
3,"cbi8",0
3,"cbi9",0
3,"cbi10",0
3,"cbi11",3
3,"cbi12",0
3,"cbi13",2
3,"cbi14",3
3,"cbi15",2
3,"cbi16",2
3,"cbi17",2
3,"cbi18",1
3,"cbi19",3
3,"cbi20",1
3,"cbi21",0
3,"cbi22",1
3,"cbi23",3
3,"cbi24",3
3,"cbi25",1
3,"cbi26",3
3,"cbi27",0
3,"cbi28",3
4,"cbi1",0
4,"cbi2",1
4,"cbi3",0
4,"cbi4",0
4,"cbi5",0
4,"cbi6",0
4,"cbi7",1
4,"cbi8",0
4,"cbi9",0
4,"cbi10",0
4,"cbi11",1
4,"cbi12",0
4,"cbi13",0
4,"cbi14",1
4,"cbi15",0
4,"cbi16",0
4,"cbi17",0
4,"cbi18",0
4,"cbi19",0
4,"cbi20",2
4,"cbi21",2
4,"cbi22",1
4,"cbi23",0
4,"cbi24",1
4,"cbi25",1
4,"cbi26",1
4,"cbi27",0
4,"cbi28",0
5,"cbi1",0
5,"cbi2",1
5,"cbi3",0
5,"cbi4",0
5,"cbi5",1
5,"cbi6",1
5,"cbi7",0
5,"cbi8",1
5,"cbi9",0
5,"cbi10",0
5,"cbi11",0
5,"cbi12",0
5,"cbi13",0
5,"cbi14",0
5,"cbi15",0
5,"cbi16",0
