"table","section_id","item","instrument","instructions","section_prompt","item_text","item_text_translated","correct_response","option_text","option_text_translated","resp","language"
"FAD_fadplus_goto2021","FAD_fadplus_goto2021_G3","FAD_G_1","Free Will and Determinism-Plus, Japanese translation FAD-J (Goto et al. 2015)",NA,"Fatalistic Determinism","未来はいつも運命によって決められていると信じている","I believe that the future has already been determined by fate.",NA,"まったくあてはまらない","Strongly disagree",1,"Japanese"
"FAD_fadplus_goto2021","FAD_fadplus_goto2021_G3","FAD_G_1","Free Will and Determinism-Plus, Japanese translation FAD-J (Goto et al. 2015)",NA,"Fatalistic Determinism","未来はいつも運命によって決められていると信じている","I believe that the future has already been determined by fate.",NA,NA,NA,2,"Japanese"
"FAD_fadplus_goto2021","FAD_fadplus_goto2021_G3","FAD_G_1","Free Will and Determinism-Plus, Japanese translation FAD-J (Goto et al. 2015)",NA,"Fatalistic Determinism","未来はいつも運命によって決められていると信じている","I believe that the future has already been determined by fate.",NA,NA,NA,3,"Japanese"
"FAD_fadplus_goto2021","FAD_fadplus_goto2021_G3","FAD_G_1","Free Will and Determinism-Plus, Japanese translation FAD-J (Goto et al. 2015)",NA,"Fatalistic Determinism","未来はいつも運命によって決められていると信じている","I believe that the future has already been determined by fate.",NA,NA,NA,4,"Japanese"
"FAD_fadplus_goto2021","FAD_fadplus_goto2021_G3","FAD_G_1","Free Will and Determinism-Plus, Japanese translation FAD-J (Goto et al. 2015)",NA,"Fatalistic Determinism","未来はいつも運命によって決められていると信じている","I believe that the future has already been determined by fate.",NA,"とてもよくあてはまる","Strongly agree",5,"Japanese"
"FAD_fadplus_goto2021","FAD_fadplus_goto2021_G2","FAD_G_2","Free Will and Determinism-Plus, Japanese translation FAD-J (Goto et al. 2015)",NA,"Scientific Determinism","人の性格や才能は、（脳のつくりなどの）生物学的な構造によって決まっている","People's biological makeup determines their talents and personality.",NA,"まったくあてはまらない","Strongly disagree",1,"Japanese"
"FAD_fadplus_goto2021","FAD_fadplus_goto2021_G2","FAD_G_2","Free Will and Determinism-Plus, Japanese translation FAD-J (Goto et al. 2015)",NA,"Scientific Determinism","人の性格や才能は、（脳のつくりなどの）生物学的な構造によって決まっている","People's biological makeup determines their talents and personality.",NA,NA,NA,2,"Japanese"
"FAD_fadplus_goto2021","FAD_fadplus_goto2021_G2","FAD_G_2","Free Will and Determinism-Plus, Japanese translation FAD-J (Goto et al. 2015)",NA,"Scientific Determinism","人の性格や才能は、（脳のつくりなどの）生物学的な構造によって決まっている","People's biological makeup determines their talents and personality.",NA,NA,NA,3,"Japanese"
"FAD_fadplus_goto2021","FAD_fadplus_goto2021_G2","FAD_G_2","Free Will and Determinism-Plus, Japanese translation FAD-J (Goto et al. 2015)",NA,"Scientific Determinism","人の性格や才能は、（脳のつくりなどの）生物学的な構造によって決まっている","People's biological makeup determines their talents and personality.",NA,NA,NA,4,"Japanese"
"FAD_fadplus_goto2021","FAD_fadplus_goto2021_G2","FAD_G_2","Free Will and Determinism-Plus, Japanese translation FAD-J (Goto et al. 2015)",NA,"Scientific Determinism","人の性格や才能は、（脳のつくりなどの）生物学的な構造によって決まっている","People's biological makeup determines their talents and personality.",NA,"とてもよくあてはまる","Strongly agree",5,"Japanese"
