"table","status","n_items_live","n_items_candidate","item_set_match","resp_set_match","uses_raw_resp","canonical_nulls","pct_item_text_missing","pct_option_text_missing","note"
"chile_2023_social-welfare-survey_rr","WARN",33,33,TRUE,TRUE,FALSE,TRUE,0,29.1,"29.1% of rows have blank option_text | 1 of 33 items have NO option_text rows while others do (rr1)"
"chile_2023_social-welfare-survey_ss","WARN",13,13,TRUE,TRUE,FALSE,TRUE,0,30.6,"30.6% of rows have blank option_text | 1 of 13 items have NO option_text rows while others do (ss8)"
"chile_2023_social-welfare-survey_u","WARN",38,38,TRUE,TRUE,FALSE,TRUE,0,91.5,"91.5% of rows have blank option_text | 14 of 38 items have NO option_text rows while others do (u1_a, u10_a, u11_a, u15_a, u16_a, u17_a, ...)"
"estcrm_selfeff","PASS",10,10,TRUE,TRUE,FALSE,TRUE,0,100,"100% of rows have blank option_text"
"FAD_fadplus_goto2021","PASS",54,54,TRUE,TRUE,FALSE,TRUE,0,60,"60% of rows have blank option_text"
"FEDSP_Trzcinska_2023_MonKnow","PASS",2,2,TRUE,TRUE,FALSE,TRUE,0,100,"100% of rows have blank option_text"
"FIVPEI_Perrig_2023_AttDiff","PASS",21,21,TRUE,TRUE,FALSE,TRUE,0,71.4,"71.4% of rows have blank option_text"
"florida_twins_par","WARN",31,31,TRUE,TRUE,FALSE,TRUE,0,34.2,"row-count anomaly (possible item-code conflation or missingness skew), median=797: par14, par15, par16, par17, par18 | 34.2% of rows have blank option_text | 2 of 31 items have NO option_text rows while others do (parstrict, parwarmth)"
"gilbert_meta_112","WARN",8,8,TRUE,TRUE,FALSE,TRUE,43.5,69.6,"43.5% of rows have blank item_text | 69.6% of rows have blank option_text | 6 of 8 items have NO option_text rows while others do (item_2, item_3, item_4, item_6, item_7, item_8)"
"NAMPRB_Siwiak_2024_SSUB","WARN",25,25,TRUE,TRUE,FALSE,TRUE,0,0,"row-count anomaly (possible item-code conflation or missingness skew), median=967: SSUB_NAB_1, SSUB_NAB_14, SSUB_NAB_15, SSUB_NAB_19, SSUB_NAB_5"
"wine_luckett2021","PASS",3,3,TRUE,TRUE,FALSE,TRUE,0,100,"100% of rows have blank option_text"
