"table","section_id","item","instrument","instructions","section_prompt","section_prompt_translated","item_text","item_text_translated","correct_response","option_text","option_text_translated","resp","language"
"chile_2023_social-welfare-survey_rr","chile_2023_social-welfare-survey_rr_1","rr1","Encuesta de Bienestar Social 2023 (EBS 2023), Subsecretaría de Evaluación Social / Instituto Nacional de Estadísticas, Chile",NA,"Módulo RR: Relaciones sociales","Module RR: Social relations","Amistades cercanas para pedir ayuda, ¿cuántas diría que tiene?","Close friends you could ask for help -- how many would you say you have?",NA,NA,NA,0,"Spanish"
"chile_2023_social-welfare-survey_rr","chile_2023_social-welfare-survey_rr_1","rr1","Encuesta de Bienestar Social 2023 (EBS 2023), Subsecretaría de Evaluación Social / Instituto Nacional de Estadísticas, Chile",NA,"Módulo RR: Relaciones sociales","Module RR: Social relations","Amistades cercanas para pedir ayuda, ¿cuántas diría que tiene?","Close friends you could ask for help -- how many would you say you have?",NA,NA,NA,1,"Spanish"
"chile_2023_social-welfare-survey_rr","chile_2023_social-welfare-survey_rr_1","rr1","Encuesta de Bienestar Social 2023 (EBS 2023), Subsecretaría de Evaluación Social / Instituto Nacional de Estadísticas, Chile",NA,"Módulo RR: Relaciones sociales","Module RR: Social relations","Amistades cercanas para pedir ayuda, ¿cuántas diría que tiene?","Close friends you could ask for help -- how many would you say you have?",NA,NA,NA,2,"Spanish"
"chile_2023_social-welfare-survey_rr","chile_2023_social-welfare-survey_rr_1","rr1","Encuesta de Bienestar Social 2023 (EBS 2023), Subsecretaría de Evaluación Social / Instituto Nacional de Estadísticas, Chile",NA,"Módulo RR: Relaciones sociales","Module RR: Social relations","Amistades cercanas para pedir ayuda, ¿cuántas diría que tiene?","Close friends you could ask for help -- how many would you say you have?",NA,NA,NA,3,"Spanish"
"chile_2023_social-welfare-survey_rr","chile_2023_social-welfare-survey_rr_1","rr1","Encuesta de Bienestar Social 2023 (EBS 2023), Subsecretaría de Evaluación Social / Instituto Nacional de Estadísticas, Chile",NA,"Módulo RR: Relaciones sociales","Module RR: Social relations","Amistades cercanas para pedir ayuda, ¿cuántas diría que tiene?","Close friends you could ask for help -- how many would you say you have?",NA,NA,NA,4,"Spanish"
"chile_2023_social-welfare-survey_rr","chile_2023_social-welfare-survey_rr_1","rr1","Encuesta de Bienestar Social 2023 (EBS 2023), Subsecretaría de Evaluación Social / Instituto Nacional de Estadísticas, Chile",NA,"Módulo RR: Relaciones sociales","Module RR: Social relations","Amistades cercanas para pedir ayuda, ¿cuántas diría que tiene?","Close friends you could ask for help -- how many would you say you have?",NA,NA,NA,5,"Spanish"
"chile_2023_social-welfare-survey_rr","chile_2023_social-welfare-survey_rr_1","rr1","Encuesta de Bienestar Social 2023 (EBS 2023), Subsecretaría de Evaluación Social / Instituto Nacional de Estadísticas, Chile",NA,"Módulo RR: Relaciones sociales","Module RR: Social relations","Amistades cercanas para pedir ayuda, ¿cuántas diría que tiene?","Close friends you could ask for help -- how many would you say you have?",NA,NA,NA,6,"Spanish"
"chile_2023_social-welfare-survey_rr","chile_2023_social-welfare-survey_rr_1","rr1","Encuesta de Bienestar Social 2023 (EBS 2023), Subsecretaría de Evaluación Social / Instituto Nacional de Estadísticas, Chile",NA,"Módulo RR: Relaciones sociales","Module RR: Social relations","Amistades cercanas para pedir ayuda, ¿cuántas diría que tiene?","Close friends you could ask for help -- how many would you say you have?",NA,NA,NA,7,"Spanish"
"chile_2023_social-welfare-survey_rr","chile_2023_social-welfare-survey_rr_1","rr1","Encuesta de Bienestar Social 2023 (EBS 2023), Subsecretaría de Evaluación Social / Instituto Nacional de Estadísticas, Chile",NA,"Módulo RR: Relaciones sociales","Module RR: Social relations","Amistades cercanas para pedir ayuda, ¿cuántas diría que tiene?","Close friends you could ask for help -- how many would you say you have?",NA,NA,NA,8,"Spanish"
"chile_2023_social-welfare-survey_rr","chile_2023_social-welfare-survey_rr_1","rr1","Encuesta de Bienestar Social 2023 (EBS 2023), Subsecretaría de Evaluación Social / Instituto Nacional de Estadísticas, Chile",NA,"Módulo RR: Relaciones sociales","Module RR: Social relations","Amistades cercanas para pedir ayuda, ¿cuántas diría que tiene?","Close friends you could ask for help -- how many would you say you have?",NA,NA,NA,9,"Spanish"
"chile_2023_social-welfare-survey_rr","chile_2023_social-welfare-survey_rr_1","rr1","Encuesta de Bienestar Social 2023 (EBS 2023), Subsecretaría de Evaluación Social / Instituto Nacional de Estadísticas, Chile",NA,"Módulo RR: Relaciones sociales","Module RR: Social relations","Amistades cercanas para pedir ayuda, ¿cuántas diría que tiene?","Close friends you could ask for help -- how many would you say you have?",NA,NA,NA,10,"Spanish"
"chile_2023_social-welfare-survey_rr","chile_2023_social-welfare-survey_rr_1","rr1","Encuesta de Bienestar Social 2023 (EBS 2023), Subsecretaría de Evaluación Social / Instituto Nacional de Estadísticas, Chile",NA,"Módulo RR: Relaciones sociales","Module RR: Social relations","Amistades cercanas para pedir ayuda, ¿cuántas diría que tiene?","Close friends you could ask for help -- how many would you say you have?",NA,NA,NA,11,"Spanish"
"chile_2023_social-welfare-survey_rr","chile_2023_social-welfare-survey_rr_1","rr1","Encuesta de Bienestar Social 2023 (EBS 2023), Subsecretaría de Evaluación Social / Instituto Nacional de Estadísticas, Chile",NA,"Módulo RR: Relaciones sociales","Module RR: Social relations","Amistades cercanas para pedir ayuda, ¿cuántas diría que tiene?","Close friends you could ask for help -- how many would you say you have?",NA,NA,NA,12,"Spanish"
"chile_2023_social-welfare-survey_rr","chile_2023_social-welfare-survey_rr_1","rr1","Encuesta de Bienestar Social 2023 (EBS 2023), Subsecretaría de Evaluación Social / Instituto Nacional de Estadísticas, Chile",NA,"Módulo RR: Relaciones sociales","Module RR: Social relations","Amistades cercanas para pedir ayuda, ¿cuántas diría que tiene?","Close friends you could ask for help -- how many would you say you have?",NA,NA,NA,13,"Spanish"
"chile_2023_social-welfare-survey_rr","chile_2023_social-welfare-survey_rr_1","rr1","Encuesta de Bienestar Social 2023 (EBS 2023), Subsecretaría de Evaluación Social / Instituto Nacional de Estadísticas, Chile",NA,"Módulo RR: Relaciones sociales","Module RR: Social relations","Amistades cercanas para pedir ayuda, ¿cuántas diría que tiene?","Close friends you could ask for help -- how many would you say you have?",NA,NA,NA,14,"Spanish"
"chile_2023_social-welfare-survey_rr","chile_2023_social-welfare-survey_rr_1","rr1","Encuesta de Bienestar Social 2023 (EBS 2023), Subsecretaría de Evaluación Social / Instituto Nacional de Estadísticas, Chile",NA,"Módulo RR: Relaciones sociales","Module RR: Social relations","Amistades cercanas para pedir ayuda, ¿cuántas diría que tiene?","Close friends you could ask for help -- how many would you say you have?",NA,NA,NA,15,"Spanish"
"chile_2023_social-welfare-survey_rr","chile_2023_social-welfare-survey_rr_1","rr1","Encuesta de Bienestar Social 2023 (EBS 2023), Subsecretaría de Evaluación Social / Instituto Nacional de Estadísticas, Chile",NA,"Módulo RR: Relaciones sociales","Module RR: Social relations","Amistades cercanas para pedir ayuda, ¿cuántas diría que tiene?","Close friends you could ask for help -- how many would you say you have?",NA,NA,NA,16,"Spanish"
"chile_2023_social-welfare-survey_rr","chile_2023_social-welfare-survey_rr_1","rr1","Encuesta de Bienestar Social 2023 (EBS 2023), Subsecretaría de Evaluación Social / Instituto Nacional de Estadísticas, Chile",NA,"Módulo RR: Relaciones sociales","Module RR: Social relations","Amistades cercanas para pedir ayuda, ¿cuántas diría que tiene?","Close friends you could ask for help -- how many would you say you have?",NA,NA,NA,17,"Spanish"
"chile_2023_social-welfare-survey_rr","chile_2023_social-welfare-survey_rr_1","rr1","Encuesta de Bienestar Social 2023 (EBS 2023), Subsecretaría de Evaluación Social / Instituto Nacional de Estadísticas, Chile",NA,"Módulo RR: Relaciones sociales","Module RR: Social relations","Amistades cercanas para pedir ayuda, ¿cuántas diría que tiene?","Close friends you could ask for help -- how many would you say you have?",NA,NA,NA,18,"Spanish"
"chile_2023_social-welfare-survey_rr","chile_2023_social-welfare-survey_rr_1","rr1","Encuesta de Bienestar Social 2023 (EBS 2023), Subsecretaría de Evaluación Social / Instituto Nacional de Estadísticas, Chile",NA,"Módulo RR: Relaciones sociales","Module RR: Social relations","Amistades cercanas para pedir ayuda, ¿cuántas diría que tiene?","Close friends you could ask for help -- how many would you say you have?",NA,NA,NA,20,"Spanish"
"chile_2023_social-welfare-survey_rr","chile_2023_social-welfare-survey_rr_1","rr1","Encuesta de Bienestar Social 2023 (EBS 2023), Subsecretaría de Evaluación Social / Instituto Nacional de Estadísticas, Chile",NA,"Módulo RR: Relaciones sociales","Module RR: Social relations","Amistades cercanas para pedir ayuda, ¿cuántas diría que tiene?","Close friends you could ask for help -- how many would you say you have?",NA,NA,NA,22,"Spanish"
"chile_2023_social-welfare-survey_rr","chile_2023_social-welfare-survey_rr_1","rr1","Encuesta de Bienestar Social 2023 (EBS 2023), Subsecretaría de Evaluación Social / Instituto Nacional de Estadísticas, Chile",NA,"Módulo RR: Relaciones sociales","Module RR: Social relations","Amistades cercanas para pedir ayuda, ¿cuántas diría que tiene?","Close friends you could ask for help -- how many would you say you have?",NA,NA,NA,23,"Spanish"
"chile_2023_social-welfare-survey_rr","chile_2023_social-welfare-survey_rr_1","rr1","Encuesta de Bienestar Social 2023 (EBS 2023), Subsecretaría de Evaluación Social / Instituto Nacional de Estadísticas, Chile",NA,"Módulo RR: Relaciones sociales","Module RR: Social relations","Amistades cercanas para pedir ayuda, ¿cuántas diría que tiene?","Close friends you could ask for help -- how many would you say you have?",NA,NA,NA,24,"Spanish"
