"table","batch","mapping_basis","uploaded","route","status","evidence"
"estcrm_selfeff","batch_204","data_labels","","source_column_names","VERIFIED","NO MAPPING STEP EXISTS TO VERIFY, WHICH IS THE STRONGEST POSSIBLE POSITION. data/estcrm.R constructs the table as item = names(x)[i] looping over columns of the EstCRM package's SelfEff data frame, so an item code cannot be anything other than that column's name. The package manual documents the same ten column names, Item1 through Item10, each with its own description, so code and text are bound at the source with nothing inferred in between. Live item set matches at 10 and the resp set matches exactly across all 161 observed values. The one judgement call, putting the scale anchors in instructions rather than in option_text, is forced by resp 0 being unobserved and is recorded in provenance. VERIFIED for the mapping; the open question is the administration language, which is a labelling gap rather than a mapping doubt."
"wine_luckett2021","batch_204","data_labels","","source_column_names","VERIFIED","MAPPING IS READ STRAIGHT OFF THE PROCESSING SCRIPT. data/wine_luckett2021.R assigns each item literally: intense <- x$How.intense.do.you.find.this.aroma., pleasant <- x$Pleasantness, familiar <- x$Familiarity, then stacks the three into the long table. The item code and the source column are the same object, so there is no positional assignment or rename to check. Item set matches at 3 and the resp set matches exactly. The per-item scale difference (0-100 for intense, 1-9 for the other two) was checked against the live data and is reflected in the per-item rows rather than assumed uniform. VERIFIED for the mapping; the response anchors are simply absent from every reachable source, which is recorded rather than guessed."
"FEDSP_Trzcinska_2023_MonKnow","batch_204","data_labels","","data_file_labels","VERIFIED","MAPPING IS DIRECT AND SHORT. The live codes c_MonKnow_1 and c_MonKnow_2 are the .sav's own variable names, carried through data/FEDSP_Trzcińska_2024.R without renaming, and the .sav labels those two variables individually ('condition1: 2zl vs 5zl', 'condition2: 5 x 5zl vs 2 x 20zl vs 1 x 50zl'). With only two items and a label on each there is no positional assignment and nothing to disambiguate. Item set matches at 2, resp set at 0/1. VERIFIED for the mapping. What is NOT established, and is recorded as such, is the administered prompt: it appears in no reachable source, so the shipped text describes the stimulus rather than quoting the question."
"NAMPRB_Siwiak_2024_SSUB","batch_204","paper_explicit","","supplement_item_table + wave_availability + published_scale_description","VERIFIED","TEXT COMES FROM A NUMBERED BILINGUAL TABLE, so code-to-text is a lookup on the item number rather than an inference: the deposit's online supplement prints items 1-20 with English and Polish side by side, and the live codes carry those same numbers. THE ROUTE THAT MATTERS HERE TESTED THE CODE STRUCTURE, NOT THE TEXT, and it found a defect. The live table has 25 codes for a 20-item scale. Wave availability shows why: SSUB_TRB_1, _5, _14, _15 and _19 occur at wave 0 only, and SSUB_NAB_1, _5, _14, _15 and _19 at wave 1 only -- the same five numbers, disjoint by wave, which is exactly what a blanket rename of the retest block produces and is visible in data/NAMPRB_Siwiak_2024.R as gsub('RETEST','NAB'). Content confirms the five are the Traditional Religious Beliefs items and not an arbitrary set: 1 is the Devil, 5 prayers, 14 Hell, 15 God's existence, 19 divine creation, and the supplement's Table 2 assigns exactly these to Factor 2. The remaining fifteen NAB codes appear at both waves as expected. Item set matches at 25 and resp at 1-5. A FOURTH CHECK WAS ADDED AFTER THE FACT, when the response anchors turned up in a source I had not opened. The CC BY 4.0 preprint, doi:10.31234/osf.io/7u98d, prints the scale -- 1 ""Strongly disagree"" through 5 ""Strongly Agree"" -- and it also states 20 items in two factors, 15 New Age Beliefs and 5 Traditional Religious Beliefs, with 10 reverse-scored. Those three counts were derived here independently from the supplement and the wave-availability test, and they agree, which corroborates the 25-code diagnosis from a source that played no part in making it. The source spreadsheet (data_SSUB-PL_adaptation.xlsx) names its columns SSUB_TRB_1, SSUB_NAB_2, SSUB_NAB_3, SSUB_NAB_4, SSUB_TRB_5 and so on, confirming the factor split a third time. The anchors now ship in option_text, in English only, because the administered Polish anchor wording is printed nowhere in the deposit or the preprint -- a field-level translated_substitute fallback, disclosed in provenance."
"FIVPEI_Perrig_2023_AttDiff","batch_204","paper_explicit","","administered_survey_printout + column_order + analysis_code_for_direction","PARTIAL","BLOCK ASSIGNMENT IS CERTAIN; WITHIN-BLOCK ORDER RESTS ON TWO SOURCES AGREEING. The deposit's survey printout reproduces the AttrakDiff page as four consecutive blocks of seven word pairs, and the raw data's columns run HQI_1..7, HQS_1..7, ATT_1..7, PQ_1..7 in that same block order. The three shipped sets also match the canonical AttrakDiff subscales exactly -- the seven pairs in block 1 are the published HQ-I set, block 2 the HQ-S set, block 3 the ATT set -- so which block a code belongs to is settled three ways. Within a block, item n is taken to be the nth printed pair; printout order and column order agree, but nothing in the data distinguishes one pair from another, so this is PARTIAL rather than VERIFIED and is stated as such. THE RESPONSE DIRECTION IS VERIFIED OUTRIGHT from the analysis code: scale-coding-AttrakDiff maps 1 to -3 through 7 to +3 with no reversal, fixing resp 1 as the left pole. Item set matches at 21, resp at 1-7."
"FAD_fadplus_goto2021","batch_204","paper_explicit","","published_supplementary_item_table + deposit_analysis_code_for_factors","VERIFIED","ITEM TEXT IS A DIRECT LOOKUP ON THE ITEM NUMBER. The paper's Supplementary Table 1 prints every item three ways -- FAD-Plus (English), FAD-J and FAD+ -- against a single 1-27 numbering, and all 27 rows parse complete with all three versions present. The live codes carry that same numbering with a G or W marking which translation, and the raw data file confirms the split: its columns are FAD_G_1..27 followed by FAD_W_1..27, 54 in total, which is exactly the live item set. So both which item and which translation are read off the source rather than inferred. FACTOR ASSIGNMENT IS ALSO TAKEN FROM THE SOURCE, not assumed from the published FAD-Plus key: the deposit's analysis Rmd names its loading-table rows in factor order (4, 8, 12, 16, 21, 23, 26 | 2, 6, 10, 14, 18, 22, 24 | 1, 5, 9, 13, 17 | 3, 7, 11, 15, 19, 20, 25, 27) with a parallel label vector whose group sizes are 7, 7, 5 and 8. Those sizes match the counts the paper states for free will, scientific determinism, fatalistic determinism and unpredictability, and the numbers sum to 27 with no repeats. Item set matches at 54, resp at 1-5, and the anchors are quoted from the paper rather than supplied."
"gilbert_meta_112","batch_204","data_labels","","source_column_names + cross_version_comparison","PARTIAL","CODE-TO-POSITION IS ONE-TO-ONE AND UNCONTESTED: data/gilbert_112-113.R pivots the spreadsheet's Item_1..Item_8 columns straight into item, and the printed Forces test has exactly eight numbered questions. Test Validation.pdf confirms the printed test is the final post-revision instrument, which matters because an earlier draft had 13 items per lesson and the first cluster was combined into one -- so the eight printed questions are the eight scored items. WHICH ITEMS CAN CARRY TEXT WAS DECIDED BY COMPARING THE TWO PUBLISHED VERSIONS, not assumed. Vraag 1, 4 and 5 are byte-identical between Test_Forces_Version1.pdf and Test_Forces_Version2.pdf after whitespace normalisation; the other five differ in wording. Only the identical three ship, so no respondent can be shown a question they did not sit. PARTIAL because the remaining five have no single text while the response table omits the version, not because the source is missing -- both versions are published. Item set matches at 8 and resp at 0/1."
"chile_2023_social-welfare-survey_u","batch_204","data_labels","","official_codebook + exact_frequency_reproduction","VERIFIED","THE CODEBOOK PUBLISHES RESPONSE FREQUENCIES, WHICH TURNS THIS FROM AN ARGUMENT INTO A REPRODUCTION. Chile's official EBS 2023 codebook lists, for every variable, each permitted value together with the number of respondents who gave it. If the item codes, the value coding and the sample all carried across correctly, those counts must equal the live table's own. They do: 59 of 59 (item, value) frequencies in module U match EXACTLY, with no mismatches. This is a joint test rather than a mapping argument -- a wrong item code, a shifted value scheme or a different analysis sample would each show up as a discrepancy. Item sets are identical at 38, so there is no positional assignment to reconstruct, and resp sets match exactly. SCOPE OF THE CHECK, STATED PLAINLY: only categorical values carry a published frequency, so the numeric items (the fourteen u*_a duration items ('¿Por cuánto tiempo...?')) are outside it. They ship item_text but no option_text, because the codebook gives them no value labels -- the instrument's shape, not a gap. The missing-data codes -99, -88 and -89 are defined in the codebook but absent from the live resp set and are correctly not shipped."
"chile_2023_social-welfare-survey_ss","batch_204","data_labels","","official_codebook + exact_frequency_reproduction","VERIFIED","THE CODEBOOK PUBLISHES RESPONSE FREQUENCIES, WHICH TURNS THIS FROM AN ARGUMENT INTO A REPRODUCTION. Chile's official EBS 2023 codebook lists, for every variable, each permitted value together with the number of respondents who gave it. If the item codes, the value coding and the sample all carried across correctly, those counts must equal the live table's own. They do: 50 of 50 (item, value) frequencies in module S match EXACTLY, with no mismatches. This is a joint test rather than a mapping argument -- a wrong item code, a shifted value scheme or a different analysis sample would each show up as a discrepancy. Item sets are identical at 13, so there is no positional assignment to reconstruct, and resp sets match exactly. SCOPE OF THE CHECK, STATED PLAINLY: only categorical values carry a published frequency, so the numeric items (ss8, a count of times sport was played) are outside it. They ship item_text but no option_text, because the codebook gives them no value labels -- the instrument's shape, not a gap. The missing-data codes -99, -88 and -89 are defined in the codebook but absent from the live resp set and are correctly not shipped."
"chile_2023_social-welfare-survey_rr","batch_204","data_labels","","official_codebook + exact_frequency_reproduction","VERIFIED","THE CODEBOOK PUBLISHES RESPONSE FREQUENCIES, WHICH TURNS THIS FROM AN ARGUMENT INTO A REPRODUCTION. Chile's official EBS 2023 codebook lists, for every variable, each permitted value together with the number of respondents who gave it. If the item codes, the value coding and the sample all carried across correctly, those counts must equal the live table's own. They do: 78 of 78 (item, value) frequencies in module R match EXACTLY, with no mismatches. This is a joint test rather than a mapping argument -- a wrong item code, a shifted value scheme or a different analysis sample would each show up as a discrepancy. Item sets are identical at 33, so there is no positional assignment to reconstruct, and resp sets match exactly. SCOPE OF THE CHECK, STATED PLAINLY: only categorical values carry a published frequency, so the numeric items (the numeric count items) are outside it. They ship item_text but no option_text, because the codebook gives them no value labels -- the instrument's shape, not a gap. The missing-data codes -99, -88 and -89 are defined in the codebook but absent from the live resp set and are correctly not shipped."
