"table","section_id","item","instrument","instructions","section_prompt","item_text","item_text_translated","correct_response","option_text","option_text_translated","resp","raw_resp","language"
"gilbert_meta_112","gilbert_meta_112_1","item_1","Achievement test on Forces, ESTAFETT team-teaching crossover experiment (Klopp, Brünken & Stark 2026)",NA,NA,"Welke soort kracht wordt afgebeeld op onderstaande figuren? Duid het best passende antwoord aan.","Which kind of force is shown in the figures below? Mark the most fitting answer.",NA,"Duwkracht","push force",NA,"Duwkracht","Dutch"
"gilbert_meta_112","gilbert_meta_112_1","item_1","Achievement test on Forces, ESTAFETT team-teaching crossover experiment (Klopp, Brünken & Stark 2026)",NA,NA,"Welke soort kracht wordt afgebeeld op onderstaande figuren? Duid het best passende antwoord aan.","Which kind of force is shown in the figures below? Mark the most fitting answer.",NA,"Trekkracht","pull force",NA,"Trekkracht","Dutch"
"gilbert_meta_112","gilbert_meta_112_1","item_1","Achievement test on Forces, ESTAFETT team-teaching crossover experiment (Klopp, Brünken & Stark 2026)",NA,NA,"Welke soort kracht wordt afgebeeld op onderstaande figuren? Duid het best passende antwoord aan.","Which kind of force is shown in the figures below? Mark the most fitting answer.",NA,"Wrijvingskracht","frictional force",NA,"Wrijvingskracht","Dutch"
"gilbert_meta_112","gilbert_meta_112_1","item_1","Achievement test on Forces, ESTAFETT team-teaching crossover experiment (Klopp, Brünken & Stark 2026)",NA,NA,"Welke soort kracht wordt afgebeeld op onderstaande figuren? Duid het best passende antwoord aan.","Which kind of force is shown in the figures below? Mark the most fitting answer.",NA,"Zwaartekracht","gravity",NA,"Zwaartekracht","Dutch"
"gilbert_meta_112","gilbert_meta_112_1","item_1","Achievement test on Forces, ESTAFETT team-teaching crossover experiment (Klopp, Brünken & Stark 2026)",NA,NA,"Welke soort kracht wordt afgebeeld op onderstaande figuren? Duid het best passende antwoord aan.","Which kind of force is shown in the figures below? Mark the most fitting answer.",NA,NA,NA,0,NA,"Dutch"
"gilbert_meta_112","gilbert_meta_112_1","item_1","Achievement test on Forces, ESTAFETT team-teaching crossover experiment (Klopp, Brünken & Stark 2026)",NA,NA,"Welke soort kracht wordt afgebeeld op onderstaande figuren? Duid het best passende antwoord aan.","Which kind of force is shown in the figures below? Mark the most fitting answer.",NA,NA,NA,1,NA,"Dutch"
"gilbert_meta_112","gilbert_meta_112_1","item_2","Achievement test on Forces, ESTAFETT team-teaching crossover experiment (Klopp, Brünken & Stark 2026)",NA,NA,NA,NA,NA,NA,NA,0,NA,"Dutch"
"gilbert_meta_112","gilbert_meta_112_1","item_2","Achievement test on Forces, ESTAFETT team-teaching crossover experiment (Klopp, Brünken & Stark 2026)",NA,NA,NA,NA,NA,NA,NA,1,NA,"Dutch"
"gilbert_meta_112","gilbert_meta_112_1","item_3","Achievement test on Forces, ESTAFETT team-teaching crossover experiment (Klopp, Brünken & Stark 2026)",NA,NA,NA,NA,NA,NA,NA,0,NA,"Dutch"
"gilbert_meta_112","gilbert_meta_112_1","item_3","Achievement test on Forces, ESTAFETT team-teaching crossover experiment (Klopp, Brünken & Stark 2026)",NA,NA,NA,NA,NA,NA,NA,1,NA,"Dutch"
