"table","section_id","item","instrument","language","instructions","section_prompt","item_text","correct_response","option_text","resp"
"peters_2025_nrm_inj_motivation","peters_2025_nrm_inj_motivation_1","boss","COVID-19 Risk Assessment Tool (Your COVID-19 Risk / YCR) -- Injunctive Norm items, motivation-to-comply component","English; Dutch; Romanian; Italian; Portuguese (Brazil); Turkish; French; Spanish; Indonesian; Portuguese; Greek; German; Hungarian; Arabic; Chinese (Traditional, Hong Kong); Chinese (Simplified); Amharic; Japanese; Hebrew; Korean; Polish; Urdu",NA,NA,"When it comes to keeping at least {{distRec}} distance from others, I want to do what my boss thinks I should do.",NA,"not at all",1
"peters_2025_nrm_inj_motivation","peters_2025_nrm_inj_motivation_1","boss","COVID-19 Risk Assessment Tool (Your COVID-19 Risk / YCR) -- Injunctive Norm items, motivation-to-comply component","English; Dutch; Romanian; Italian; Portuguese (Brazil); Turkish; French; Spanish; Indonesian; Portuguese; Greek; German; Hungarian; Arabic; Chinese (Traditional, Hong Kong); Chinese (Simplified); Amharic; Japanese; Hebrew; Korean; Polish; Urdu",NA,NA,"When it comes to keeping at least {{distRec}} distance from others, I want to do what my boss thinks I should do.",NA,NA,2
"peters_2025_nrm_inj_motivation","peters_2025_nrm_inj_motivation_1","boss","COVID-19 Risk Assessment Tool (Your COVID-19 Risk / YCR) -- Injunctive Norm items, motivation-to-comply component","English; Dutch; Romanian; Italian; Portuguese (Brazil); Turkish; French; Spanish; Indonesian; Portuguese; Greek; German; Hungarian; Arabic; Chinese (Traditional, Hong Kong); Chinese (Simplified); Amharic; Japanese; Hebrew; Korean; Polish; Urdu",NA,NA,"When it comes to keeping at least {{distRec}} distance from others, I want to do what my boss thinks I should do.",NA,NA,3
"peters_2025_nrm_inj_motivation","peters_2025_nrm_inj_motivation_1","boss","COVID-19 Risk Assessment Tool (Your COVID-19 Risk / YCR) -- Injunctive Norm items, motivation-to-comply component","English; Dutch; Romanian; Italian; Portuguese (Brazil); Turkish; French; Spanish; Indonesian; Portuguese; Greek; German; Hungarian; Arabic; Chinese (Traditional, Hong Kong); Chinese (Simplified); Amharic; Japanese; Hebrew; Korean; Polish; Urdu",NA,NA,"When it comes to keeping at least {{distRec}} distance from others, I want to do what my boss thinks I should do.",NA,NA,4
"peters_2025_nrm_inj_motivation","peters_2025_nrm_inj_motivation_1","boss","COVID-19 Risk Assessment Tool (Your COVID-19 Risk / YCR) -- Injunctive Norm items, motivation-to-comply component","English; Dutch; Romanian; Italian; Portuguese (Brazil); Turkish; French; Spanish; Indonesian; Portuguese; Greek; German; Hungarian; Arabic; Chinese (Traditional, Hong Kong); Chinese (Simplified); Amharic; Japanese; Hebrew; Korean; Polish; Urdu",NA,NA,"When it comes to keeping at least {{distRec}} distance from others, I want to do what my boss thinks I should do.",NA,"very much",5
"peters_2025_nrm_inj_motivation","peters_2025_nrm_inj_motivation_1","colleagues","COVID-19 Risk Assessment Tool (Your COVID-19 Risk / YCR) -- Injunctive Norm items, motivation-to-comply component","English; Dutch; Romanian; Italian; Portuguese (Brazil); Turkish; French; Spanish; Indonesian; Portuguese; Greek; German; Hungarian; Arabic; Chinese (Traditional, Hong Kong); Chinese (Simplified); Amharic; Japanese; Hebrew; Korean; Polish; Urdu",NA,NA,"When it comes to keeping at least {{distRec}} distance from others, I want to do what my colleagues think I should do.",NA,"not at all",1
"peters_2025_nrm_inj_motivation","peters_2025_nrm_inj_motivation_1","colleagues","COVID-19 Risk Assessment Tool (Your COVID-19 Risk / YCR) -- Injunctive Norm items, motivation-to-comply component","English; Dutch; Romanian; Italian; Portuguese (Brazil); Turkish; French; Spanish; Indonesian; Portuguese; Greek; German; Hungarian; Arabic; Chinese (Traditional, Hong Kong); Chinese (Simplified); Amharic; Japanese; Hebrew; Korean; Polish; Urdu",NA,NA,"When it comes to keeping at least {{distRec}} distance from others, I want to do what my colleagues think I should do.",NA,NA,2
"peters_2025_nrm_inj_motivation","peters_2025_nrm_inj_motivation_1","colleagues","COVID-19 Risk Assessment Tool (Your COVID-19 Risk / YCR) -- Injunctive Norm items, motivation-to-comply component","English; Dutch; Romanian; Italian; Portuguese (Brazil); Turkish; French; Spanish; Indonesian; Portuguese; Greek; German; Hungarian; Arabic; Chinese (Traditional, Hong Kong); Chinese (Simplified); Amharic; Japanese; Hebrew; Korean; Polish; Urdu",NA,NA,"When it comes to keeping at least {{distRec}} distance from others, I want to do what my colleagues think I should do.",NA,NA,3
"peters_2025_nrm_inj_motivation","peters_2025_nrm_inj_motivation_1","colleagues","COVID-19 Risk Assessment Tool (Your COVID-19 Risk / YCR) -- Injunctive Norm items, motivation-to-comply component","English; Dutch; Romanian; Italian; Portuguese (Brazil); Turkish; French; Spanish; Indonesian; Portuguese; Greek; German; Hungarian; Arabic; Chinese (Traditional, Hong Kong); Chinese (Simplified); Amharic; Japanese; Hebrew; Korean; Polish; Urdu",NA,NA,"When it comes to keeping at least {{distRec}} distance from others, I want to do what my colleagues think I should do.",NA,NA,4
"peters_2025_nrm_inj_motivation","peters_2025_nrm_inj_motivation_1","colleagues","COVID-19 Risk Assessment Tool (Your COVID-19 Risk / YCR) -- Injunctive Norm items, motivation-to-comply component","English; Dutch; Romanian; Italian; Portuguese (Brazil); Turkish; French; Spanish; Indonesian; Portuguese; Greek; German; Hungarian; Arabic; Chinese (Traditional, Hong Kong); Chinese (Simplified); Amharic; Japanese; Hebrew; Korean; Polish; Urdu",NA,NA,"When it comes to keeping at least {{distRec}} distance from others, I want to do what my colleagues think I should do.",NA,"very much",5
