"table","section_id","item","instrument","language","instructions","section_prompt","item_text","correct_response","option_text","resp"
"peters_2025_nrm_desc_ident","peters_2025_nrm_desc_ident_1","doctor","COVID-19 Risk Assessment Tool (Your COVID-19 Risk / YCR) -- Descriptive Norm items, identification-with-referent component","English; Dutch; Romanian; Italian; Portuguese (Brazil); Turkish; French; Spanish; Portuguese; Greek; Indonesian; German; Hungarian; Chinese (Traditional, Hong Kong); Arabic; Amharic; Chinese (Simplified); Polish; Japanese; Urdu",NA,NA,"When it comes to keeping at least {{distRec}} distance from others, I want to be like my doctor …",NA,"as little as possible",1
"peters_2025_nrm_desc_ident","peters_2025_nrm_desc_ident_1","doctor","COVID-19 Risk Assessment Tool (Your COVID-19 Risk / YCR) -- Descriptive Norm items, identification-with-referent component","English; Dutch; Romanian; Italian; Portuguese (Brazil); Turkish; French; Spanish; Portuguese; Greek; Indonesian; German; Hungarian; Chinese (Traditional, Hong Kong); Arabic; Amharic; Chinese (Simplified); Polish; Japanese; Urdu",NA,NA,"When it comes to keeping at least {{distRec}} distance from others, I want to be like my doctor …",NA,NA,2
"peters_2025_nrm_desc_ident","peters_2025_nrm_desc_ident_1","doctor","COVID-19 Risk Assessment Tool (Your COVID-19 Risk / YCR) -- Descriptive Norm items, identification-with-referent component","English; Dutch; Romanian; Italian; Portuguese (Brazil); Turkish; French; Spanish; Portuguese; Greek; Indonesian; German; Hungarian; Chinese (Traditional, Hong Kong); Arabic; Amharic; Chinese (Simplified); Polish; Japanese; Urdu",NA,NA,"When it comes to keeping at least {{distRec}} distance from others, I want to be like my doctor …",NA,NA,3
"peters_2025_nrm_desc_ident","peters_2025_nrm_desc_ident_1","doctor","COVID-19 Risk Assessment Tool (Your COVID-19 Risk / YCR) -- Descriptive Norm items, identification-with-referent component","English; Dutch; Romanian; Italian; Portuguese (Brazil); Turkish; French; Spanish; Portuguese; Greek; Indonesian; German; Hungarian; Chinese (Traditional, Hong Kong); Arabic; Amharic; Chinese (Simplified); Polish; Japanese; Urdu",NA,NA,"When it comes to keeping at least {{distRec}} distance from others, I want to be like my doctor …",NA,NA,4
"peters_2025_nrm_desc_ident","peters_2025_nrm_desc_ident_1","doctor","COVID-19 Risk Assessment Tool (Your COVID-19 Risk / YCR) -- Descriptive Norm items, identification-with-referent component","English; Dutch; Romanian; Italian; Portuguese (Brazil); Turkish; French; Spanish; Portuguese; Greek; Indonesian; German; Hungarian; Chinese (Traditional, Hong Kong); Arabic; Amharic; Chinese (Simplified); Polish; Japanese; Urdu",NA,NA,"When it comes to keeping at least {{distRec}} distance from others, I want to be like my doctor …",NA,NA,5
"peters_2025_nrm_desc_ident","peters_2025_nrm_desc_ident_1","doctor","COVID-19 Risk Assessment Tool (Your COVID-19 Risk / YCR) -- Descriptive Norm items, identification-with-referent component","English; Dutch; Romanian; Italian; Portuguese (Brazil); Turkish; French; Spanish; Portuguese; Greek; Indonesian; German; Hungarian; Chinese (Traditional, Hong Kong); Arabic; Amharic; Chinese (Simplified); Polish; Japanese; Urdu",NA,NA,"When it comes to keeping at least {{distRec}} distance from others, I want to be like my doctor …",NA,NA,6
"peters_2025_nrm_desc_ident","peters_2025_nrm_desc_ident_1","doctor","COVID-19 Risk Assessment Tool (Your COVID-19 Risk / YCR) -- Descriptive Norm items, identification-with-referent component","English; Dutch; Romanian; Italian; Portuguese (Brazil); Turkish; French; Spanish; Portuguese; Greek; Indonesian; German; Hungarian; Chinese (Traditional, Hong Kong); Arabic; Amharic; Chinese (Simplified); Polish; Japanese; Urdu",NA,NA,"When it comes to keeping at least {{distRec}} distance from others, I want to be like my doctor …",NA,"as much as possible",7
"peters_2025_nrm_desc_ident","peters_2025_nrm_desc_ident_1","family","COVID-19 Risk Assessment Tool (Your COVID-19 Risk / YCR) -- Descriptive Norm items, identification-with-referent component","English; Dutch; Romanian; Italian; Portuguese (Brazil); Turkish; French; Spanish; Portuguese; Greek; Indonesian; German; Hungarian; Chinese (Traditional, Hong Kong); Arabic; Amharic; Chinese (Simplified); Polish; Japanese; Urdu",NA,NA,"When it comes to keeping at least {{distRec}} distance from others, I want to be like my family members …",NA,"as little as possible",1
"peters_2025_nrm_desc_ident","peters_2025_nrm_desc_ident_1","family","COVID-19 Risk Assessment Tool (Your COVID-19 Risk / YCR) -- Descriptive Norm items, identification-with-referent component","English; Dutch; Romanian; Italian; Portuguese (Brazil); Turkish; French; Spanish; Portuguese; Greek; Indonesian; German; Hungarian; Chinese (Traditional, Hong Kong); Arabic; Amharic; Chinese (Simplified); Polish; Japanese; Urdu",NA,NA,"When it comes to keeping at least {{distRec}} distance from others, I want to be like my family members …",NA,NA,2
"peters_2025_nrm_desc_ident","peters_2025_nrm_desc_ident_1","family","COVID-19 Risk Assessment Tool (Your COVID-19 Risk / YCR) -- Descriptive Norm items, identification-with-referent component","English; Dutch; Romanian; Italian; Portuguese (Brazil); Turkish; French; Spanish; Portuguese; Greek; Indonesian; German; Hungarian; Chinese (Traditional, Hong Kong); Arabic; Amharic; Chinese (Simplified); Polish; Japanese; Urdu",NA,NA,"When it comes to keeping at least {{distRec}} distance from others, I want to be like my family members …",NA,NA,3
