"table","instrument","language","instructions","section_id","section_prompt","item","item_text","correct_response","resp","option_text"
"hoorani_2022_ps","Young Lives child questionnaire (India, older cohort, round two): self-esteem pride/shame items","Telugu",NA,"hoorani_2022_ps_1",NA,"PS1","I feel proud to show my friends where I live",NA,1,"Strongly disagree"
"hoorani_2022_ps","Young Lives child questionnaire (India, older cohort, round two): self-esteem pride/shame items","Telugu",NA,"hoorani_2022_ps_1",NA,"PS1","I feel proud to show my friends where I live",NA,2,"Disagree"
"hoorani_2022_ps","Young Lives child questionnaire (India, older cohort, round two): self-esteem pride/shame items","Telugu",NA,"hoorani_2022_ps_1",NA,"PS1","I feel proud to show my friends where I live",NA,3,"Agree"
"hoorani_2022_ps","Young Lives child questionnaire (India, older cohort, round two): self-esteem pride/shame items","Telugu",NA,"hoorani_2022_ps_1",NA,"PS1","I feel proud to show my friends where I live",NA,4,"Strongly agree"
"hoorani_2022_ps","Young Lives child questionnaire (India, older cohort, round two): self-esteem pride/shame items","Telugu",NA,"hoorani_2022_ps_1",NA,"PS2","I am ashamed of my clothes",NA,1,"Strongly disagree"
"hoorani_2022_ps","Young Lives child questionnaire (India, older cohort, round two): self-esteem pride/shame items","Telugu",NA,"hoorani_2022_ps_1",NA,"PS2","I am ashamed of my clothes",NA,2,"Disagree"
"hoorani_2022_ps","Young Lives child questionnaire (India, older cohort, round two): self-esteem pride/shame items","Telugu",NA,"hoorani_2022_ps_1",NA,"PS2","I am ashamed of my clothes",NA,3,"Agree"
"hoorani_2022_ps","Young Lives child questionnaire (India, older cohort, round two): self-esteem pride/shame items","Telugu",NA,"hoorani_2022_ps_1",NA,"PS2","I am ashamed of my clothes",NA,4,"Strongly agree"
"hoorani_2022_ps","Young Lives child questionnaire (India, older cohort, round two): self-esteem pride/shame items","Telugu",NA,"hoorani_2022_ps_1",NA,"PS3","I am often embarrassed because I do not have the right supplies for school",NA,1,"Strongly disagree"
"hoorani_2022_ps","Young Lives child questionnaire (India, older cohort, round two): self-esteem pride/shame items","Telugu",NA,"hoorani_2022_ps_1",NA,"PS3","I am often embarrassed because I do not have the right supplies for school",NA,2,"Disagree"
"hoorani_2022_ps","Young Lives child questionnaire (India, older cohort, round two): self-esteem pride/shame items","Telugu",NA,"hoorani_2022_ps_1",NA,"PS3","I am often embarrassed because I do not have the right supplies for school",NA,3,"Agree"
"hoorani_2022_ps","Young Lives child questionnaire (India, older cohort, round two): self-esteem pride/shame items","Telugu",NA,"hoorani_2022_ps_1",NA,"PS3","I am often embarrassed because I do not have the right supplies for school",NA,4,"Strongly agree"
"hoorani_2022_ps","Young Lives child questionnaire (India, older cohort, round two): self-esteem pride/shame items","Telugu",NA,"hoorani_2022_ps_1",NA,"PS4","I am worried that I don't have the correct uniform",NA,1,"Strongly disagree"
"hoorani_2022_ps","Young Lives child questionnaire (India, older cohort, round two): self-esteem pride/shame items","Telugu",NA,"hoorani_2022_ps_1",NA,"PS4","I am worried that I don't have the correct uniform",NA,2,"Disagree"
"hoorani_2022_ps","Young Lives child questionnaire (India, older cohort, round two): self-esteem pride/shame items","Telugu",NA,"hoorani_2022_ps_1",NA,"PS4","I am worried that I don't have the correct uniform",NA,3,"Agree"
"hoorani_2022_ps","Young Lives child questionnaire (India, older cohort, round two): self-esteem pride/shame items","Telugu",NA,"hoorani_2022_ps_1",NA,"PS4","I am worried that I don't have the correct uniform",NA,4,"Strongly agree"
