"table","section_id","item","instrument","language","instructions","section_prompt","item_text","item_text_translated","correct_response","resp","option_text","option_text_translated"
"ramadan_2026_attitudes","ramadan_2026_attitudes_1","AS1","Generative AI Competency Questionnaire for Arabic Language and Literature Students - Dimension 4: Aspiration & Vision","Arabic",NA,NA,"ضرورة إنشاء ""مختبر لغويّ ذكيّ"" في قسم اللُّغة العربيّة بجامعة السلطان قابوس.","There is a need to establish a smart language laboratory in the Arabic Language Department at the university.",NA,1,"strongly disagree",NA
"ramadan_2026_attitudes","ramadan_2026_attitudes_1","AS1","Generative AI Competency Questionnaire for Arabic Language and Literature Students - Dimension 4: Aspiration & Vision","Arabic",NA,NA,"ضرورة إنشاء ""مختبر لغويّ ذكيّ"" في قسم اللُّغة العربيّة بجامعة السلطان قابوس.","There is a need to establish a smart language laboratory in the Arabic Language Department at the university.",NA,2,"disagree",NA
"ramadan_2026_attitudes","ramadan_2026_attitudes_1","AS1","Generative AI Competency Questionnaire for Arabic Language and Literature Students - Dimension 4: Aspiration & Vision","Arabic",NA,NA,"ضرورة إنشاء ""مختبر لغويّ ذكيّ"" في قسم اللُّغة العربيّة بجامعة السلطان قابوس.","There is a need to establish a smart language laboratory in the Arabic Language Department at the university.",NA,3,"neutral",NA
"ramadan_2026_attitudes","ramadan_2026_attitudes_1","AS1","Generative AI Competency Questionnaire for Arabic Language and Literature Students - Dimension 4: Aspiration & Vision","Arabic",NA,NA,"ضرورة إنشاء ""مختبر لغويّ ذكيّ"" في قسم اللُّغة العربيّة بجامعة السلطان قابوس.","There is a need to establish a smart language laboratory in the Arabic Language Department at the university.",NA,4,"agree",NA
"ramadan_2026_attitudes","ramadan_2026_attitudes_1","AS1","Generative AI Competency Questionnaire for Arabic Language and Literature Students - Dimension 4: Aspiration & Vision","Arabic",NA,NA,"ضرورة إنشاء ""مختبر لغويّ ذكيّ"" في قسم اللُّغة العربيّة بجامعة السلطان قابوس.","There is a need to establish a smart language laboratory in the Arabic Language Department at the university.",NA,5,"strongly agree",NA
"ramadan_2026_attitudes","ramadan_2026_attitudes_1","AS2","Generative AI Competency Questionnaire for Arabic Language and Literature Students - Dimension 4: Aspiration & Vision","Arabic",NA,NA,"أتطلع لتلقي مقرَّراتٍ، تجمع بين ""أصول النَّحو"" و""خوارزميات الذَّكاء الاصطناعيّ"".","I aspire to courses that combine principles of grammar (nahw) with AI algorithms.",NA,1,"strongly disagree",NA
"ramadan_2026_attitudes","ramadan_2026_attitudes_1","AS2","Generative AI Competency Questionnaire for Arabic Language and Literature Students - Dimension 4: Aspiration & Vision","Arabic",NA,NA,"أتطلع لتلقي مقرَّراتٍ، تجمع بين ""أصول النَّحو"" و""خوارزميات الذَّكاء الاصطناعيّ"".","I aspire to courses that combine principles of grammar (nahw) with AI algorithms.",NA,2,"disagree",NA
"ramadan_2026_attitudes","ramadan_2026_attitudes_1","AS2","Generative AI Competency Questionnaire for Arabic Language and Literature Students - Dimension 4: Aspiration & Vision","Arabic",NA,NA,"أتطلع لتلقي مقرَّراتٍ، تجمع بين ""أصول النَّحو"" و""خوارزميات الذَّكاء الاصطناعيّ"".","I aspire to courses that combine principles of grammar (nahw) with AI algorithms.",NA,3,"neutral",NA
"ramadan_2026_attitudes","ramadan_2026_attitudes_1","AS2","Generative AI Competency Questionnaire for Arabic Language and Literature Students - Dimension 4: Aspiration & Vision","Arabic",NA,NA,"أتطلع لتلقي مقرَّراتٍ، تجمع بين ""أصول النَّحو"" و""خوارزميات الذَّكاء الاصطناعيّ"".","I aspire to courses that combine principles of grammar (nahw) with AI algorithms.",NA,4,"agree",NA
"ramadan_2026_attitudes","ramadan_2026_attitudes_1","AS2","Generative AI Competency Questionnaire for Arabic Language and Literature Students - Dimension 4: Aspiration & Vision","Arabic",NA,NA,"أتطلع لتلقي مقرَّراتٍ، تجمع بين ""أصول النَّحو"" و""خوارزميات الذَّكاء الاصطناعيّ"".","I aspire to courses that combine principles of grammar (nahw) with AI algorithms.",NA,5,"strongly agree",NA
"ramadan_2026_attitudes","ramadan_2026_attitudes_1","AS3","Generative AI Competency Questionnaire for Arabic Language and Literature Students - Dimension 4: Aspiration & Vision","Arabic",NA,NA,"يمكن أن يسهم الذَّكاء الاصطناعيّ في تعزيز مكانة العربيّة محليًّا وإقليميًّا وعالميًّا.","AI can help strengthen the status of Arabic locally, regionally, and globally.",NA,1,"strongly disagree",NA
"ramadan_2026_attitudes","ramadan_2026_attitudes_1","AS3","Generative AI Competency Questionnaire for Arabic Language and Literature Students - Dimension 4: Aspiration & Vision","Arabic",NA,NA,"يمكن أن يسهم الذَّكاء الاصطناعيّ في تعزيز مكانة العربيّة محليًّا وإقليميًّا وعالميًّا.","AI can help strengthen the status of Arabic locally, regionally, and globally.",NA,2,"disagree",NA
"ramadan_2026_attitudes","ramadan_2026_attitudes_1","AS3","Generative AI Competency Questionnaire for Arabic Language and Literature Students - Dimension 4: Aspiration & Vision","Arabic",NA,NA,"يمكن أن يسهم الذَّكاء الاصطناعيّ في تعزيز مكانة العربيّة محليًّا وإقليميًّا وعالميًّا.","AI can help strengthen the status of Arabic locally, regionally, and globally.",NA,3,"neutral",NA
"ramadan_2026_attitudes","ramadan_2026_attitudes_1","AS3","Generative AI Competency Questionnaire for Arabic Language and Literature Students - Dimension 4: Aspiration & Vision","Arabic",NA,NA,"يمكن أن يسهم الذَّكاء الاصطناعيّ في تعزيز مكانة العربيّة محليًّا وإقليميًّا وعالميًّا.","AI can help strengthen the status of Arabic locally, regionally, and globally.",NA,4,"agree",NA
"ramadan_2026_attitudes","ramadan_2026_attitudes_1","AS3","Generative AI Competency Questionnaire for Arabic Language and Literature Students - Dimension 4: Aspiration & Vision","Arabic",NA,NA,"يمكن أن يسهم الذَّكاء الاصطناعيّ في تعزيز مكانة العربيّة محليًّا وإقليميًّا وعالميًّا.","AI can help strengthen the status of Arabic locally, regionally, and globally.",NA,5,"strongly agree",NA
"ramadan_2026_attitudes","ramadan_2026_attitudes_1","AS4","Generative AI Competency Questionnaire for Arabic Language and Literature Students - Dimension 4: Aspiration & Vision","Arabic",NA,NA,"أتطلع إلى دَمْج أخلاقيات استخدام الذَّكاء الاصطناعيّ في البحث اللُّغويّ والأدبي ضمن الخطة الدِّراسية.","I aspire to integrate the ethics of AI use in linguistic and literary research into the curriculum.",NA,1,"strongly disagree",NA
"ramadan_2026_attitudes","ramadan_2026_attitudes_1","AS4","Generative AI Competency Questionnaire for Arabic Language and Literature Students - Dimension 4: Aspiration & Vision","Arabic",NA,NA,"أتطلع إلى دَمْج أخلاقيات استخدام الذَّكاء الاصطناعيّ في البحث اللُّغويّ والأدبي ضمن الخطة الدِّراسية.","I aspire to integrate the ethics of AI use in linguistic and literary research into the curriculum.",NA,2,"disagree",NA
