"table","section_id","item","item_text","correct_response","instrument","language","instructions","section_prompt","option_text","resp","instructions_translated","section_prompt_translated","item_text_translated","option_text_translated"
"mexico_2023_mobility_neighborhood","mexico_2023_mobility_neighborhood_1","p33a","el alumbrado público iluminaba bien las calles y áreas públicas (servían los focos)",NA,"ESRU-EMOVI 2023 (Encuesta ESRU de Movilidad Social en México), Servicios públicos, pregunta 33","Spanish","Ahora quisiera saber cómo percibía usted las condiciones de la colonia o barrio donde vivía a los 14 años de edad, así como los servicios públicos que había. Según lo que recuerda, ¿en la colonia o barrio donde usted vivía a los 14 años, …?",NA,"Sí",1,"Now I would like to know how you perceived the conditions of the neighborhood where you lived at age 14, as well as the public services there were. As far as you remember, in the neighborhood where you lived at age 14, …?",NA,"street lighting properly lit the streets and public areas (the bulbs worked)","Yes"
"mexico_2023_mobility_neighborhood","mexico_2023_mobility_neighborhood_1","p33a","el alumbrado público iluminaba bien las calles y áreas públicas (servían los focos)",NA,"ESRU-EMOVI 2023 (Encuesta ESRU de Movilidad Social en México), Servicios públicos, pregunta 33","Spanish","Ahora quisiera saber cómo percibía usted las condiciones de la colonia o barrio donde vivía a los 14 años de edad, así como los servicios públicos que había. Según lo que recuerda, ¿en la colonia o barrio donde usted vivía a los 14 años, …?",NA,"No",2,"Now I would like to know how you perceived the conditions of the neighborhood where you lived at age 14, as well as the public services there were. As far as you remember, in the neighborhood where you lived at age 14, …?",NA,"street lighting properly lit the streets and public areas (the bulbs worked)","No"
"mexico_2023_mobility_neighborhood","mexico_2023_mobility_neighborhood_1","p33b","había escuelas o bibliotecas públicas cercanas (Cercano implica a 15 minutos caminando)",NA,"ESRU-EMOVI 2023 (Encuesta ESRU de Movilidad Social en México), Servicios públicos, pregunta 33","Spanish","Ahora quisiera saber cómo percibía usted las condiciones de la colonia o barrio donde vivía a los 14 años de edad, así como los servicios públicos que había. Según lo que recuerda, ¿en la colonia o barrio donde usted vivía a los 14 años, …?",NA,"Sí",1,"Now I would like to know how you perceived the conditions of the neighborhood where you lived at age 14, as well as the public services there were. As far as you remember, in the neighborhood where you lived at age 14, …?",NA,"there were public schools or libraries nearby (Nearby means within a 15-minute walk)","Yes"
"mexico_2023_mobility_neighborhood","mexico_2023_mobility_neighborhood_1","p33b","había escuelas o bibliotecas públicas cercanas (Cercano implica a 15 minutos caminando)",NA,"ESRU-EMOVI 2023 (Encuesta ESRU de Movilidad Social en México), Servicios públicos, pregunta 33","Spanish","Ahora quisiera saber cómo percibía usted las condiciones de la colonia o barrio donde vivía a los 14 años de edad, así como los servicios públicos que había. Según lo que recuerda, ¿en la colonia o barrio donde usted vivía a los 14 años, …?",NA,"No",2,"Now I would like to know how you perceived the conditions of the neighborhood where you lived at age 14, as well as the public services there were. As far as you remember, in the neighborhood where you lived at age 14, …?",NA,"there were public schools or libraries nearby (Nearby means within a 15-minute walk)","No"
"mexico_2023_mobility_neighborhood","mexico_2023_mobility_neighborhood_1","p33c","había centros médicos cercanos (hospitales, clínicas o centros de atención a adicciones) (Cercano implica a 15 minutos caminando)",NA,"ESRU-EMOVI 2023 (Encuesta ESRU de Movilidad Social en México), Servicios públicos, pregunta 33","Spanish","Ahora quisiera saber cómo percibía usted las condiciones de la colonia o barrio donde vivía a los 14 años de edad, así como los servicios públicos que había. Según lo que recuerda, ¿en la colonia o barrio donde usted vivía a los 14 años, …?",NA,"Sí",1,"Now I would like to know how you perceived the conditions of the neighborhood where you lived at age 14, as well as the public services there were. As far as you remember, in the neighborhood where you lived at age 14, …?",NA,"there were medical centers nearby (hospitals, clinics or addiction treatment centers) (Nearby means within a 15-minute walk)","Yes"
"mexico_2023_mobility_neighborhood","mexico_2023_mobility_neighborhood_1","p33c","había centros médicos cercanos (hospitales, clínicas o centros de atención a adicciones) (Cercano implica a 15 minutos caminando)",NA,"ESRU-EMOVI 2023 (Encuesta ESRU de Movilidad Social en México), Servicios públicos, pregunta 33","Spanish","Ahora quisiera saber cómo percibía usted las condiciones de la colonia o barrio donde vivía a los 14 años de edad, así como los servicios públicos que había. Según lo que recuerda, ¿en la colonia o barrio donde usted vivía a los 14 años, …?",NA,"No",2,"Now I would like to know how you perceived the conditions of the neighborhood where you lived at age 14, as well as the public services there were. As far as you remember, in the neighborhood where you lived at age 14, …?",NA,"there were medical centers nearby (hospitals, clinics or addiction treatment centers) (Nearby means within a 15-minute walk)","No"
"mexico_2023_mobility_neighborhood","mexico_2023_mobility_neighborhood_1","p33d","había guarderías o estancias infantiles cercanas (Cercano implica a 15 minutos caminando)",NA,"ESRU-EMOVI 2023 (Encuesta ESRU de Movilidad Social en México), Servicios públicos, pregunta 33","Spanish","Ahora quisiera saber cómo percibía usted las condiciones de la colonia o barrio donde vivía a los 14 años de edad, así como los servicios públicos que había. Según lo que recuerda, ¿en la colonia o barrio donde usted vivía a los 14 años, …?",NA,"Sí",1,"Now I would like to know how you perceived the conditions of the neighborhood where you lived at age 14, as well as the public services there were. As far as you remember, in the neighborhood where you lived at age 14, …?",NA,"there were daycare centers or child care facilities nearby (Nearby means within a 15-minute walk)","Yes"
"mexico_2023_mobility_neighborhood","mexico_2023_mobility_neighborhood_1","p33d","había guarderías o estancias infantiles cercanas (Cercano implica a 15 minutos caminando)",NA,"ESRU-EMOVI 2023 (Encuesta ESRU de Movilidad Social en México), Servicios públicos, pregunta 33","Spanish","Ahora quisiera saber cómo percibía usted las condiciones de la colonia o barrio donde vivía a los 14 años de edad, así como los servicios públicos que había. Según lo que recuerda, ¿en la colonia o barrio donde usted vivía a los 14 años, …?",NA,"No",2,"Now I would like to know how you perceived the conditions of the neighborhood where you lived at age 14, as well as the public services there were. As far as you remember, in the neighborhood where you lived at age 14, …?",NA,"there were daycare centers or child care facilities nearby (Nearby means within a 15-minute walk)","No"
"mexico_2023_mobility_neighborhood","mexico_2023_mobility_neighborhood_1","p33e","había lugares de esparcimiento cercanos (plazas públicas, parques o jardines) (Cercano implica a 15 minutos caminando)",NA,"ESRU-EMOVI 2023 (Encuesta ESRU de Movilidad Social en México), Servicios públicos, pregunta 33","Spanish","Ahora quisiera saber cómo percibía usted las condiciones de la colonia o barrio donde vivía a los 14 años de edad, así como los servicios públicos que había. Según lo que recuerda, ¿en la colonia o barrio donde usted vivía a los 14 años, …?",NA,"Sí",1,"Now I would like to know how you perceived the conditions of the neighborhood where you lived at age 14, as well as the public services there were. As far as you remember, in the neighborhood where you lived at age 14, …?",NA,"there were recreational places nearby (public squares, parks or gardens) (Nearby means within a 15-minute walk)","Yes"
"mexico_2023_mobility_neighborhood","mexico_2023_mobility_neighborhood_1","p33e","había lugares de esparcimiento cercanos (plazas públicas, parques o jardines) (Cercano implica a 15 minutos caminando)",NA,"ESRU-EMOVI 2023 (Encuesta ESRU de Movilidad Social en México), Servicios públicos, pregunta 33","Spanish","Ahora quisiera saber cómo percibía usted las condiciones de la colonia o barrio donde vivía a los 14 años de edad, así como los servicios públicos que había. Según lo que recuerda, ¿en la colonia o barrio donde usted vivía a los 14 años, …?",NA,"No",2,"Now I would like to know how you perceived the conditions of the neighborhood where you lived at age 14, as well as the public services there were. As far as you remember, in the neighborhood where you lived at age 14, …?",NA,"there were recreational places nearby (public squares, parks or gardens) (Nearby means within a 15-minute walk)","No"
