"table","note"
"bakker_2020_rses","The S4 .sav's RSES variable labels and its column NAMES disagree for 7 of 10 columns (GitHub issue #1654). Resolved in favour of the LABELS: the labels reproduce the RSES in the widely-circulated administration order (person of worth / good qualities / failure / do things as well / not much to be proud of / positive attitude / satisfied with myself / more respect / useless at times / no good at all), while the names follow the Rosenberg-1965 numbering, and the keying-polarity structure of the raw data matches the labels on all four diagnostic columns. So the shipped item_text for e.g. nogood302 is 'I feel that I have a number of good qualities' and for goodqualities303 is 'All in all, I am inclined to feel that I am a failure' -- the item CODES are misleading and must not be read as item content. Data are stored raw/unreversed, so the same 1-4 Strongly Disagree..Strongly Agree anchors apply to every item. The paper's Methods states the RSES 'ranges from 1 (strongly agree) to 4 (strongly disagree)', which is the reverse of the .sav's own value labels; the data follow the .sav (see verification row)."
"bakumenko_2023_adyghe_values","item_text is the source .xlsx column header verbatim (Russian, as administered); the same wording appears as Table 2 rows 1-7 of the study's own questionnaire PDF (doi:10.7910/DVN/KWMARH) and as the item_text column already carried in the live IRW table. Only the two endpoints of the 1-5 importance scale are labelled in the questionnaire ('1' = совсем не важно, '5' = очень важно); resp 1 was never used by any respondent, and 2/3/4 are unlabelled so option_text is blank rather than padded. Option rows emitted only for the levels each item's own respondents used (items 2 and 4 have only 4 and 5; items 1, 5 and 6 have no 2)."
"bang_2023_self_esteem","The source .xlsx has no item text at all -- checked both the data sheet headers (bare codes S1..S10) and its 'Data dictionary' sheet, which documents only the scale-level meaning of the H/D/A/S/PS prefixes. The paper names the instrument (Korean RSES, Jon 1974) but does not reproduce items, so item_text is the canonical English RSES wording placed in the administration order that the data's keying structure identifies -- NOT the Korean wording participants saw. Anchors '1 = almost never' and '4 = always' are the paper's own words; levels 2 and 3 are unlabelled and left blank. S10 has no resp=4 in the live data, so it gets 3 option rows."
"bartoli_2022_badge_notifications","Single-task behavioural experiment, not a questionnaire: each of the 1010 participants saw one Android home screen with 15 app icons and a badge notification on exactly one app (the cov_group app) and made ONE click. The 15 'items' are the click targets; resp 0/100 is the source file's percentage coding of not-clicked/clicked (one 100 per participant; one participant clicked outside any icon and contributes only zeros). option_text ('Did not click this app first' / 'Clicked this app first') is descriptive, not verbatim: the task offered no labelled response options. item_text restores the apps' conventional names where the spreadsheet headers differ in casing/spacing (Youtube->YouTube, Linkedin->LinkedIn, Justeat->Just Eat); Italian default-app labels (Impostazioni, Telefono, Calendario) are left as administered. The source file's 'Badge' column is not an item and is not shipped."
"beck_2021_iesr","Live resp has FOUR levels (1-4), not the five of the English IES-R -- consistent with the German version the paper actually cites (Maercker & Schuetzwohl 1998), which has exactly four anchors: ueberhaupt nicht / selten / manchmal / oft. Item text is therefore transcribed verbatim from the official German IES-R form (University of Zurich copy, (c) Maercker & Schuetzwohl 1998), incl. the pre-1996 orthography of the original ('musste' as 'mußte', 'dass' as 'daß', 'bisschen' as 'bißchen'); the blank event line in the instructions was shortened to '______'. NOTE for consumers: IRW resp stores the CATEGORY INDEX 1-4, not the German version's traditional scoring weights 0/1/3/5. The study administered it 30 days after hospital discharge to COVID-19 patients and their relatives (cov_role), keeping the instrument's own 'past week' frame. Item set is a genuine 22-item IES-R (Step 3b check passed): canonical intrusion/avoidance/hyperarousal grouping reproduces in the live correlations (19/22)."
"beck_2021_pss10","Live resp is 1-5, i.e. the canonical PSS-10 0-4 coding shifted by +1 (1=Never ... 5=Very often). The four positively-worded items 4,5,7,8 are stored RAW/UNREVERSED (means 3.6-4.3 vs 1.7-2.8 for the helplessness items), same convention as bakker_2020_pss10 -- users must reverse them before scoring. The source columns name the subscales outright (PP/PR_D30_PSS_PH_1,2,3,6,9,10 and _PSE_4,5,7,8), which matches the canonical PSS-10 assignment exactly. Questionnaire was administered in German (German-language fluency was an inclusion criterion) but the paper cites only the English sources (Cohen et al. 1983; Taylor 2015) and names no German translation, so the shipped text is the original English PSS-10 -- see public_note."
"benitezsillero_2021_bullying","Item text transcribed verbatim from the paper's Table 1 (PLOS ONE 10.1371/journal.pone.0259087), which numbers all 14 EBIPQ items 1-14 matching the source XLSX columns EBIPQ_1..EBIPQ_14 (7 victimisation, 7 aggression). Response anchors (0=never .. 4=more than once a week) taken from the Methods text. Instrument administered in Spanish; the paper reports items in English. No instructions text is disclosed by the paper, so instructions is blank."
"bitew_2020_lte","Source .sav (PLOS ONE 10.1371/journal.pone.0240914 S1 File) has no item wording, only terse SPSS variable labels ('1 self illness', '2 accident on relatives', ...). item_text is those labels with the leading item number stripped; they are the study's own abbreviated descriptors, NOT the administered Amharic wording, which is not published anywhere. Canonical LTE-Q wording was deliberately NOT substituted because this version deviates from the original LTE-Q order/content (items 8-11 reordered relative to the canonical unemployment/sacked/financial/court sequence, and item 12 'intimate partner violence' is not an LTE-Q item). Options 'no'/'yes' for 0/1 follow the paper's description ('12 dichotomous items asking whether students experienced the events in the last 12 months') and are confirmed by LTET = count of 1s (703/704 exact)."
"bitew_2020_osss3","Source .sav variable labels are terse paraphrases ('others worry for me', 'others worry for my duties', 'can get help from neighbours'); item_text ships the canonical OSSS-3 English wording and per-item anchors instead, because the anchor sets differ by item and are only recoverable from the published instrument. Position was pinned by the response-range signature: OSSS1 uses 1-4 only and OSSS2/OSSS3 use 1-5, exactly the canonical OSSS-3 structure, and OSSST = OSSS1+OSSS2+OSSS3 for 100% of cases. Caveat: OSSS1's own variable label ('others worry for me') does not obviously correspond to the canonical item-1 content (number of close people you can count on); the range structure was treated as decisive. The IRW processing script drops 2-4 raw '0' responses per item as sentinel values, so no 0 level appears."
"bitew_2020_phq9","Full PHQ-9: all 9 items (PHQ1-PHQ9) present in the live table, unlike the GAD-7 case (anjum_2022_gad7) - nothing dropped by data/bitew_2020_ethiopia_battery.py. Source .sav variable labels are numbered symptom mnemonics ('1 reduced motivation' ... '9 sucidal ideation') in canonical PHQ-9 order; item text shipped is the canonical English PHQ-9 wording because the study administered a locally validated Amharic version whose wording is not reproduced anywhere. Mapping independently confirmed against the paper's per-item means (loss of interest 1.61, getting weak 1.22, hopelessness 1.21)."
