"table","status","n_items_live","n_items_candidate","item_set_match","resp_set_match","uses_raw_resp","canonical_nulls","pct_item_text_missing","pct_option_text_missing","note"
"bakker_2020_rses","PASS",10,10,TRUE,TRUE,FALSE,TRUE,0,0,""
"bakumenko_2023_adyghe_values","PASS",7,7,TRUE,TRUE,FALSE,TRUE,0,66.7,"66.7% of rows have blank option_text"
"bang_2023_self_esteem","PASS",10,10,TRUE,TRUE,FALSE,TRUE,0,51.3,"51.3% of rows have blank option_text"
"bartoli_2022_badge_notifications","PASS",15,15,TRUE,TRUE,FALSE,TRUE,0,0,""
"beck_2021_iesr","PASS",22,22,TRUE,TRUE,FALSE,TRUE,0,0,""
"beck_2021_pss10","PASS",10,10,TRUE,TRUE,FALSE,TRUE,0,0,""
"benitezsillero_2021_bullying","PASS",14,14,TRUE,TRUE,FALSE,TRUE,0,0,""
"bitew_2020_lte","PASS",12,12,TRUE,TRUE,FALSE,TRUE,0,0,""
"bitew_2020_osss3","PASS",3,3,TRUE,TRUE,FALSE,TRUE,0,0,""
"bitew_2020_phq9","PASS",9,9,TRUE,TRUE,FALSE,TRUE,0,0,""
"bitew_2020_self_efficacy","PASS",9,9,TRUE,TRUE,FALSE,TRUE,0,0,""
"boyd_prism_2024","PASS",22,22,TRUE,TRUE,FALSE,TRUE,0,0,""
