"table","section_id","item","instrument","language","instructions","section_prompt","item_text","correct_response","option_text","resp"
"risticdedic_2025_dhq_importance","dhq_A","development1","Democratic Health Questionnaire (DHQ), School Version","Croatian; Dutch; Finnish; German; English; Catalan; Slovenian; French; Greek; Spanish","We will ask you to estimate a variety of democratic practices and values in your school across three dimensions on a scale from 0% (not at all) to 100% (very much). The dimensions are: IMPORTANCE - how important do you consider this practice/value? CURRENT LEVEL - to what extent is this practice/value currently present in your school? EXPECTATION - to what extent do you expect this practice/value will be present in your school in 5 years? The following sections list several practices the schools can use in their work with students, staff members and the wider community. These practices in educational programmes are divided into four areas: A. Development B. Access C. Delivery D. Outcomes and impact. Please estimate the Importance, Current State, and Expectation for each of these practices in your school. IMPORTANCE: How important do you consider this practice?","A school’s educational programme refers to activities that are planned in a specific school year. These activities may be informed by national, regional, local and/or school level curricular documents. School’s educational programme encompasses all educational aspects of school life.","Staff members are encouraged to propose ideas for the school's educational programme.",NA,"not at all",0
"risticdedic_2025_dhq_importance","dhq_A","development1","Democratic Health Questionnaire (DHQ), School Version","Croatian; Dutch; Finnish; German; English; Catalan; Slovenian; French; Greek; Spanish","We will ask you to estimate a variety of democratic practices and values in your school across three dimensions on a scale from 0% (not at all) to 100% (very much). The dimensions are: IMPORTANCE - how important do you consider this practice/value? CURRENT LEVEL - to what extent is this practice/value currently present in your school? EXPECTATION - to what extent do you expect this practice/value will be present in your school in 5 years? The following sections list several practices the schools can use in their work with students, staff members and the wider community. These practices in educational programmes are divided into four areas: A. Development B. Access C. Delivery D. Outcomes and impact. Please estimate the Importance, Current State, and Expectation for each of these practices in your school. IMPORTANCE: How important do you consider this practice?","A school’s educational programme refers to activities that are planned in a specific school year. These activities may be informed by national, regional, local and/or school level curricular documents. School’s educational programme encompasses all educational aspects of school life.","Staff members are encouraged to propose ideas for the school's educational programme.",NA,NA,5
"risticdedic_2025_dhq_importance","dhq_A","development1","Democratic Health Questionnaire (DHQ), School Version","Croatian; Dutch; Finnish; German; English; Catalan; Slovenian; French; Greek; Spanish","We will ask you to estimate a variety of democratic practices and values in your school across three dimensions on a scale from 0% (not at all) to 100% (very much). The dimensions are: IMPORTANCE - how important do you consider this practice/value? CURRENT LEVEL - to what extent is this practice/value currently present in your school? EXPECTATION - to what extent do you expect this practice/value will be present in your school in 5 years? The following sections list several practices the schools can use in their work with students, staff members and the wider community. These practices in educational programmes are divided into four areas: A. Development B. Access C. Delivery D. Outcomes and impact. Please estimate the Importance, Current State, and Expectation for each of these practices in your school. IMPORTANCE: How important do you consider this practice?","A school’s educational programme refers to activities that are planned in a specific school year. These activities may be informed by national, regional, local and/or school level curricular documents. School’s educational programme encompasses all educational aspects of school life.","Staff members are encouraged to propose ideas for the school's educational programme.",NA,NA,10
"risticdedic_2025_dhq_importance","dhq_A","development1","Democratic Health Questionnaire (DHQ), School Version","Croatian; Dutch; Finnish; German; English; Catalan; Slovenian; French; Greek; Spanish","We will ask you to estimate a variety of democratic practices and values in your school across three dimensions on a scale from 0% (not at all) to 100% (very much). The dimensions are: IMPORTANCE - how important do you consider this practice/value? CURRENT LEVEL - to what extent is this practice/value currently present in your school? EXPECTATION - to what extent do you expect this practice/value will be present in your school in 5 years? The following sections list several practices the schools can use in their work with students, staff members and the wider community. These practices in educational programmes are divided into four areas: A. Development B. Access C. Delivery D. Outcomes and impact. Please estimate the Importance, Current State, and Expectation for each of these practices in your school. IMPORTANCE: How important do you consider this practice?","A school’s educational programme refers to activities that are planned in a specific school year. These activities may be informed by national, regional, local and/or school level curricular documents. School’s educational programme encompasses all educational aspects of school life.","Staff members are encouraged to propose ideas for the school's educational programme.",NA,NA,15
"risticdedic_2025_dhq_importance","dhq_A","development1","Democratic Health Questionnaire (DHQ), School Version","Croatian; Dutch; Finnish; German; English; Catalan; Slovenian; French; Greek; Spanish","We will ask you to estimate a variety of democratic practices and values in your school across three dimensions on a scale from 0% (not at all) to 100% (very much). The dimensions are: IMPORTANCE - how important do you consider this practice/value? CURRENT LEVEL - to what extent is this practice/value currently present in your school? EXPECTATION - to what extent do you expect this practice/value will be present in your school in 5 years? The following sections list several practices the schools can use in their work with students, staff members and the wider community. These practices in educational programmes are divided into four areas: A. Development B. Access C. Delivery D. Outcomes and impact. Please estimate the Importance, Current State, and Expectation for each of these practices in your school. IMPORTANCE: How important do you consider this practice?","A school’s educational programme refers to activities that are planned in a specific school year. These activities may be informed by national, regional, local and/or school level curricular documents. School’s educational programme encompasses all educational aspects of school life.","Staff members are encouraged to propose ideas for the school's educational programme.",NA,NA,20
"risticdedic_2025_dhq_importance","dhq_A","development1","Democratic Health Questionnaire (DHQ), School Version","Croatian; Dutch; Finnish; German; English; Catalan; Slovenian; French; Greek; Spanish","We will ask you to estimate a variety of democratic practices and values in your school across three dimensions on a scale from 0% (not at all) to 100% (very much). The dimensions are: IMPORTANCE - how important do you consider this practice/value? CURRENT LEVEL - to what extent is this practice/value currently present in your school? EXPECTATION - to what extent do you expect this practice/value will be present in your school in 5 years? The following sections list several practices the schools can use in their work with students, staff members and the wider community. These practices in educational programmes are divided into four areas: A. Development B. Access C. Delivery D. Outcomes and impact. Please estimate the Importance, Current State, and Expectation for each of these practices in your school. IMPORTANCE: How important do you consider this practice?","A school’s educational programme refers to activities that are planned in a specific school year. These activities may be informed by national, regional, local and/or school level curricular documents. School’s educational programme encompasses all educational aspects of school life.","Staff members are encouraged to propose ideas for the school's educational programme.",NA,NA,25
"risticdedic_2025_dhq_importance","dhq_A","development1","Democratic Health Questionnaire (DHQ), School Version","Croatian; Dutch; Finnish; German; English; Catalan; Slovenian; French; Greek; Spanish","We will ask you to estimate a variety of democratic practices and values in your school across three dimensions on a scale from 0% (not at all) to 100% (very much). The dimensions are: IMPORTANCE - how important do you consider this practice/value? CURRENT LEVEL - to what extent is this practice/value currently present in your school? EXPECTATION - to what extent do you expect this practice/value will be present in your school in 5 years? The following sections list several practices the schools can use in their work with students, staff members and the wider community. These practices in educational programmes are divided into four areas: A. Development B. Access C. Delivery D. Outcomes and impact. Please estimate the Importance, Current State, and Expectation for each of these practices in your school. IMPORTANCE: How important do you consider this practice?","A school’s educational programme refers to activities that are planned in a specific school year. These activities may be informed by national, regional, local and/or school level curricular documents. School’s educational programme encompasses all educational aspects of school life.","Staff members are encouraged to propose ideas for the school's educational programme.",NA,NA,30
"risticdedic_2025_dhq_importance","dhq_A","development1","Democratic Health Questionnaire (DHQ), School Version","Croatian; Dutch; Finnish; German; English; Catalan; Slovenian; French; Greek; Spanish","We will ask you to estimate a variety of democratic practices and values in your school across three dimensions on a scale from 0% (not at all) to 100% (very much). The dimensions are: IMPORTANCE - how important do you consider this practice/value? CURRENT LEVEL - to what extent is this practice/value currently present in your school? EXPECTATION - to what extent do you expect this practice/value will be present in your school in 5 years? The following sections list several practices the schools can use in their work with students, staff members and the wider community. These practices in educational programmes are divided into four areas: A. Development B. Access C. Delivery D. Outcomes and impact. Please estimate the Importance, Current State, and Expectation for each of these practices in your school. IMPORTANCE: How important do you consider this practice?","A school’s educational programme refers to activities that are planned in a specific school year. These activities may be informed by national, regional, local and/or school level curricular documents. School’s educational programme encompasses all educational aspects of school life.","Staff members are encouraged to propose ideas for the school's educational programme.",NA,NA,35
"risticdedic_2025_dhq_importance","dhq_A","development1","Democratic Health Questionnaire (DHQ), School Version","Croatian; Dutch; Finnish; German; English; Catalan; Slovenian; French; Greek; Spanish","We will ask you to estimate a variety of democratic practices and values in your school across three dimensions on a scale from 0% (not at all) to 100% (very much). The dimensions are: IMPORTANCE - how important do you consider this practice/value? CURRENT LEVEL - to what extent is this practice/value currently present in your school? EXPECTATION - to what extent do you expect this practice/value will be present in your school in 5 years? The following sections list several practices the schools can use in their work with students, staff members and the wider community. These practices in educational programmes are divided into four areas: A. Development B. Access C. Delivery D. Outcomes and impact. Please estimate the Importance, Current State, and Expectation for each of these practices in your school. IMPORTANCE: How important do you consider this practice?","A school’s educational programme refers to activities that are planned in a specific school year. These activities may be informed by national, regional, local and/or school level curricular documents. School’s educational programme encompasses all educational aspects of school life.","Staff members are encouraged to propose ideas for the school's educational programme.",NA,NA,40
"risticdedic_2025_dhq_importance","dhq_A","development1","Democratic Health Questionnaire (DHQ), School Version","Croatian; Dutch; Finnish; German; English; Catalan; Slovenian; French; Greek; Spanish","We will ask you to estimate a variety of democratic practices and values in your school across three dimensions on a scale from 0% (not at all) to 100% (very much). The dimensions are: IMPORTANCE - how important do you consider this practice/value? CURRENT LEVEL - to what extent is this practice/value currently present in your school? EXPECTATION - to what extent do you expect this practice/value will be present in your school in 5 years? The following sections list several practices the schools can use in their work with students, staff members and the wider community. These practices in educational programmes are divided into four areas: A. Development B. Access C. Delivery D. Outcomes and impact. Please estimate the Importance, Current State, and Expectation for each of these practices in your school. IMPORTANCE: How important do you consider this practice?","A school’s educational programme refers to activities that are planned in a specific school year. These activities may be informed by national, regional, local and/or school level curricular documents. School’s educational programme encompasses all educational aspects of school life.","Staff members are encouraged to propose ideas for the school's educational programme.",NA,NA,45
