"table","section_id","item","item_text","correct_response","instrument","language","instructions","section_prompt","option_text","resp","instructions_translated","section_prompt_translated","item_text_translated","option_text_translated"
"mexico_2023_mobility_utilities","mexico_2023_mobility_utilities_1","p26a","agua entubada dentro de la vivienda",NA,"ESRU-EMOVI 2023 (Encuesta ESRU de Movilidad Social en México 2023, Centro de Estudios Espinosa Yglesias), Cuestionario básico, P.26: servicios de la vivienda (hogar de origen, a los 14 años)","Spanish","En la vivienda en donde usted vivía cuando tenía 14 años, ¿tenían…?",NA,"Sí",1,"In the dwelling where you lived when you were 14 years old, did you have…?",NA,"piped water inside the dwelling","Yes"
"mexico_2023_mobility_utilities","mexico_2023_mobility_utilities_1","p26a","agua entubada dentro de la vivienda",NA,"ESRU-EMOVI 2023 (Encuesta ESRU de Movilidad Social en México 2023, Centro de Estudios Espinosa Yglesias), Cuestionario básico, P.26: servicios de la vivienda (hogar de origen, a los 14 años)","Spanish","En la vivienda en donde usted vivía cuando tenía 14 años, ¿tenían…?",NA,"No",2,"In the dwelling where you lived when you were 14 years old, did you have…?",NA,"piped water inside the dwelling","No"
"mexico_2023_mobility_utilities","mexico_2023_mobility_utilities_1","p26b","electricidad",NA,"ESRU-EMOVI 2023 (Encuesta ESRU de Movilidad Social en México 2023, Centro de Estudios Espinosa Yglesias), Cuestionario básico, P.26: servicios de la vivienda (hogar de origen, a los 14 años)","Spanish","En la vivienda en donde usted vivía cuando tenía 14 años, ¿tenían…?",NA,"Sí",1,"In the dwelling where you lived when you were 14 years old, did you have…?",NA,"electricity","Yes"
"mexico_2023_mobility_utilities","mexico_2023_mobility_utilities_1","p26b","electricidad",NA,"ESRU-EMOVI 2023 (Encuesta ESRU de Movilidad Social en México 2023, Centro de Estudios Espinosa Yglesias), Cuestionario básico, P.26: servicios de la vivienda (hogar de origen, a los 14 años)","Spanish","En la vivienda en donde usted vivía cuando tenía 14 años, ¿tenían…?",NA,"No",2,"In the dwelling where you lived when you were 14 years old, did you have…?",NA,"electricity","No"
"mexico_2023_mobility_utilities","mexico_2023_mobility_utilities_1","p26c","baño dentro de la vivienda",NA,"ESRU-EMOVI 2023 (Encuesta ESRU de Movilidad Social en México 2023, Centro de Estudios Espinosa Yglesias), Cuestionario básico, P.26: servicios de la vivienda (hogar de origen, a los 14 años)","Spanish","En la vivienda en donde usted vivía cuando tenía 14 años, ¿tenían…?",NA,"Sí",1,"In the dwelling where you lived when you were 14 years old, did you have…?",NA,"bathroom inside the dwelling","Yes"
"mexico_2023_mobility_utilities","mexico_2023_mobility_utilities_1","p26c","baño dentro de la vivienda",NA,"ESRU-EMOVI 2023 (Encuesta ESRU de Movilidad Social en México 2023, Centro de Estudios Espinosa Yglesias), Cuestionario básico, P.26: servicios de la vivienda (hogar de origen, a los 14 años)","Spanish","En la vivienda en donde usted vivía cuando tenía 14 años, ¿tenían…?",NA,"No",2,"In the dwelling where you lived when you were 14 years old, did you have…?",NA,"bathroom inside the dwelling","No"
"mexico_2023_mobility_utilities","mexico_2023_mobility_utilities_1","p26d","calentador de agua (boiler o solar)",NA,"ESRU-EMOVI 2023 (Encuesta ESRU de Movilidad Social en México 2023, Centro de Estudios Espinosa Yglesias), Cuestionario básico, P.26: servicios de la vivienda (hogar de origen, a los 14 años)","Spanish","En la vivienda en donde usted vivía cuando tenía 14 años, ¿tenían…?",NA,"Sí",1,"In the dwelling where you lived when you were 14 years old, did you have…?",NA,"water heater (boiler or solar)","Yes"
"mexico_2023_mobility_utilities","mexico_2023_mobility_utilities_1","p26d","calentador de agua (boiler o solar)",NA,"ESRU-EMOVI 2023 (Encuesta ESRU de Movilidad Social en México 2023, Centro de Estudios Espinosa Yglesias), Cuestionario básico, P.26: servicios de la vivienda (hogar de origen, a los 14 años)","Spanish","En la vivienda en donde usted vivía cuando tenía 14 años, ¿tenían…?",NA,"No",2,"In the dwelling where you lived when you were 14 years old, did you have…?",NA,"water heater (boiler or solar)","No"
"mexico_2023_mobility_utilities","mexico_2023_mobility_utilities_1","p26e","servicio doméstico (personas que reciben un pago por limpiar, lavar, planchar; jardinero, chofer particular)",NA,"ESRU-EMOVI 2023 (Encuesta ESRU de Movilidad Social en México 2023, Centro de Estudios Espinosa Yglesias), Cuestionario básico, P.26: servicios de la vivienda (hogar de origen, a los 14 años)","Spanish","En la vivienda en donde usted vivía cuando tenía 14 años, ¿tenían…?",NA,"Sí",1,"In the dwelling where you lived when you were 14 years old, did you have…?",NA,"domestic service (people who are paid to clean, wash, iron; gardener, private driver)","Yes"
"mexico_2023_mobility_utilities","mexico_2023_mobility_utilities_1","p26e","servicio doméstico (personas que reciben un pago por limpiar, lavar, planchar; jardinero, chofer particular)",NA,"ESRU-EMOVI 2023 (Encuesta ESRU de Movilidad Social en México 2023, Centro de Estudios Espinosa Yglesias), Cuestionario básico, P.26: servicios de la vivienda (hogar de origen, a los 14 años)","Spanish","En la vivienda en donde usted vivía cuando tenía 14 años, ¿tenían…?",NA,"No",2,"In the dwelling where you lived when you were 14 years old, did you have…?",NA,"domestic service (people who are paid to clean, wash, iron; gardener, private driver)","No"
