"table","status","n_items_live","n_items_candidate","item_set_match","resp_set_match","uses_raw_resp","canonical_nulls","pct_item_text_missing","pct_option_text_missing","note"
"abdullah_2024_bsq_sev24","PASS",5,5,TRUE,TRUE,FALSE,TRUE,0,100,"100% of rows have blank option_text"
"algner2022_cse","PASS",12,12,TRUE,TRUE,FALSE,TRUE,0,0,""
"almuqbil_2022_epds","PASS",10,10,TRUE,TRUE,FALSE,TRUE,0,0,""
"ALSECYPIAMH_WU_2022_PHQ","PASS",2,2,TRUE,TRUE,FALSE,TRUE,0,0,""
"ALSECYPIAMH_WU_2022_SDQ","FAIL",5,6,FALSE,TRUE,FALSE,TRUE,0,0,"item set: 1 csv item(s) not in live data (SDQ_Pro)"
"altahla_2024_swls","PASS",5,5,TRUE,TRUE,FALSE,TRUE,0,0,""
"altahla_2024_whoqol","PASS",26,26,TRUE,TRUE,FALSE,TRUE,0,0,""
"avilesgonzalez2019_ces","PASS",30,30,TRUE,TRUE,FALSE,TRUE,0,0,""
"bang_2023_self_esteem","PASS",10,10,TRUE,TRUE,FALSE,TRUE,0,51.3,"51.3% of rows have blank option_text"
"beck_2021_pss10","PASS",10,10,TRUE,TRUE,FALSE,TRUE,0,0,""
"brederecke_2020_phq4","PASS",4,4,TRUE,TRUE,FALSE,TRUE,0,0,""
"bukurov_2022_sf36","PASS",36,36,TRUE,TRUE,FALSE,TRUE,0,0,""
"buzgova_2023_gai","PASS",20,20,TRUE,TRUE,FALSE,TRUE,0,0,""
"buzgova_2023_lsita","PASS",12,12,TRUE,TRUE,FALSE,TRUE,0,0,""
"buzgova_2023_rses","PASS",10,10,TRUE,TRUE,FALSE,TRUE,0,0,""
"buzgova_2023_soc","PASS",13,13,TRUE,TRUE,FALSE,TRUE,0,71.4,"71.4% of rows have blank option_text"
"chen_2022_sasc","PASS",22,22,TRUE,TRUE,FALSE,TRUE,0,0,""
