"table","instrument","language","instructions","instructions_translated","section_id","section_prompt","section_prompt_translated","item","item_text","item_text_translated","correct_response","resp","option_text","option_text_translated"
"jutte_2024_loneliness","Three items from the revised UCLA Loneliness Scale","German","How often do you feel...",NA,"jutte_2024_loneliness_1",NA,NA,"Loneliness_I1","...alone?",NA,NA,0,"never",NA
"jutte_2024_loneliness","Three items from the revised UCLA Loneliness Scale","German","How often do you feel...",NA,"jutte_2024_loneliness_1",NA,NA,"Loneliness_I1","...alone?",NA,NA,1,NA,NA
"jutte_2024_loneliness","Three items from the revised UCLA Loneliness Scale","German","How often do you feel...",NA,"jutte_2024_loneliness_1",NA,NA,"Loneliness_I1","...alone?",NA,NA,2,NA,NA
"jutte_2024_loneliness","Three items from the revised UCLA Loneliness Scale","German","How often do you feel...",NA,"jutte_2024_loneliness_1",NA,NA,"Loneliness_I1","...alone?",NA,NA,3,NA,NA
"jutte_2024_loneliness","Three items from the revised UCLA Loneliness Scale","German","How often do you feel...",NA,"jutte_2024_loneliness_1",NA,NA,"Loneliness_I1","...alone?",NA,NA,4,NA,NA
"jutte_2024_loneliness","Three items from the revised UCLA Loneliness Scale","German","How often do you feel...",NA,"jutte_2024_loneliness_1",NA,NA,"Loneliness_I1","...alone?",NA,NA,5,NA,NA
"jutte_2024_loneliness","Three items from the revised UCLA Loneliness Scale","German","How often do you feel...",NA,"jutte_2024_loneliness_1",NA,NA,"Loneliness_I1","...alone?",NA,NA,6,"very frequently",NA
"jutte_2024_loneliness","Three items from the revised UCLA Loneliness Scale","German","How often do you feel...",NA,"jutte_2024_loneliness_1",NA,NA,"Loneliness_I2","...lonely?",NA,NA,0,"never",NA
"jutte_2024_loneliness","Three items from the revised UCLA Loneliness Scale","German","How often do you feel...",NA,"jutte_2024_loneliness_1",NA,NA,"Loneliness_I2","...lonely?",NA,NA,1,NA,NA
"jutte_2024_loneliness","Three items from the revised UCLA Loneliness Scale","German","How often do you feel...",NA,"jutte_2024_loneliness_1",NA,NA,"Loneliness_I2","...lonely?",NA,NA,2,NA,NA
"jutte_2024_loneliness","Three items from the revised UCLA Loneliness Scale","German","How often do you feel...",NA,"jutte_2024_loneliness_1",NA,NA,"Loneliness_I2","...lonely?",NA,NA,3,NA,NA
"jutte_2024_loneliness","Three items from the revised UCLA Loneliness Scale","German","How often do you feel...",NA,"jutte_2024_loneliness_1",NA,NA,"Loneliness_I2","...lonely?",NA,NA,4,NA,NA
"jutte_2024_loneliness","Three items from the revised UCLA Loneliness Scale","German","How often do you feel...",NA,"jutte_2024_loneliness_1",NA,NA,"Loneliness_I2","...lonely?",NA,NA,5,NA,NA
"jutte_2024_loneliness","Three items from the revised UCLA Loneliness Scale","German","How often do you feel...",NA,"jutte_2024_loneliness_1",NA,NA,"Loneliness_I2","...lonely?",NA,NA,6,"very frequently",NA
"jutte_2024_loneliness","Three items from the revised UCLA Loneliness Scale","German","How often do you feel...",NA,"jutte_2024_loneliness_1",NA,NA,"Loneliness_I3","...left out?",NA,NA,0,"never",NA
"jutte_2024_loneliness","Three items from the revised UCLA Loneliness Scale","German","How often do you feel...",NA,"jutte_2024_loneliness_1",NA,NA,"Loneliness_I3","...left out?",NA,NA,1,NA,NA
"jutte_2024_loneliness","Three items from the revised UCLA Loneliness Scale","German","How often do you feel...",NA,"jutte_2024_loneliness_1",NA,NA,"Loneliness_I3","...left out?",NA,NA,2,NA,NA
"jutte_2024_loneliness","Three items from the revised UCLA Loneliness Scale","German","How often do you feel...",NA,"jutte_2024_loneliness_1",NA,NA,"Loneliness_I3","...left out?",NA,NA,3,NA,NA
"jutte_2024_loneliness","Three items from the revised UCLA Loneliness Scale","German","How often do you feel...",NA,"jutte_2024_loneliness_1",NA,NA,"Loneliness_I3","...left out?",NA,NA,4,NA,NA
"jutte_2024_loneliness","Three items from the revised UCLA Loneliness Scale","German","How often do you feel...",NA,"jutte_2024_loneliness_1",NA,NA,"Loneliness_I3","...left out?",NA,NA,5,NA,NA
"jutte_2024_loneliness","Three items from the revised UCLA Loneliness Scale","German","How often do you feel...",NA,"jutte_2024_loneliness_1",NA,NA,"Loneliness_I3","...left out?",NA,NA,6,"very frequently",NA
