collection,label,kind,definition,rule,maintainer,added
rct,RCT,design,Carries a `treat` column: an experimental assignment is recorded alongside the responses.,var:treat,bd,2026-08-29
longitudinal,Longitudinal,design,"Flagged longitudinal by 01_metadata.R. That flag greps the concatenated variable string, so it also matches names like cov_birthdate and cov_startdate; 9 of its members match only that way.",meta:longitudinal,bd,2026-08-29
intensive_longitudinal,Intensive longitudinal,design,"Has both `date` and `wave`. Timestamped repeated measures: daily diaries, panel waves and experience sampling are all included, so this is not an EMA collection.",var:date+wave,bd,2026-08-29
response_time,Response time,design,Carries `rt`: per-response latencies are available.,var:rt,bd,2026-08-29
rater_mediated,Rater-mediated,design,"Carries `rater`: responses are attributed to a judge, not only to a respondent.",var:rater,bd,2026-08-29
multistage,Multistage / booklet,design,Carries `booklet` or `block_id`: items were administered in structured blocks.,var_any:booklet|block_id,bd,2026-08-29
clustered,Clustered,design,Carries `cluster_id`: respondents are nested in groups.,var:cluster_id,bd,2026-08-29
item_position,Item position,design,Carries `position`: administration order is recorded per response.,var:position,bd,2026-08-29
q_matrix,Q matrix,design,"Carries qmatrix* columns, the IRW standard item-by-attribute encoding for cognitive diagnostic modeling (datastandard.md).",var_prefix:qmatrix,bd,2026-08-29
continuous_response,Continuous response,design,"Responses fall on a (near-)continuous scale rather than a small ordered set. Not derivable: item_format and n_categories disagree on most candidates, so membership is curated. Seeded from irw_site/continuous_scout_candidates.csv; see continuous_response.review.csv for unpromoted candidates.",curated,bd,2026-08-29
big_five,Big Five / FFM,instrument,"Five-factor and HEXACO personality inventories, including tables covering a single subscale.",cname:big.?five|five.?factor|\bipip\b|neo.?(pi|ffi)|\bbfi\b|hexaco,bd,2026-08-29
dark_triad,Dark Triad,instrument,"Narcissism, Machiavellianism and psychopathy measures.",cname:dark triad|machiavell|narciss|psychopath,bd,2026-08-29
promis,PROMIS,instrument,The PROMIS instrument family.,cname:promis,bd,2026-08-29
intl_assessment,International assessments,instrument,"Large-scale international assessments: PISA, TIMSS, PIRLS, NAEP.",cname:\bpisa\b|timss|\bpirls\b|\bnaep\b,bd,2026-08-29
affect_panas,PANAS affect,instrument,The Positive and Negative Affect Schedule.,cname:panas|positive and negative af,bd,2026-08-29
self_esteem,Self-esteem,instrument,Rosenberg and other self-esteem scales.,cname:rosenberg|self.?esteem|\brses\b,bd,2026-08-29
mindfulness,Mindfulness,instrument,Mindfulness inventories including FFMQ and MAAS.,cname:mindful|\bffmq\b|\bmaas\b,bd,2026-08-29
math,Mathematics,construct,Mathematics attainment and closely related constructs.,cname:\bmath|arithmetic|algebra|fraction,bd,2026-08-29
anxiety,Anxiety,construct,Anxiety scales including GAD-7 and STAI.,cname:anxiet|\bgad.?7\b|\bstai\b,bd,2026-08-29
depression,Depression,construct,"Depression scales including PHQ, CES-D, BDI and DASS.",cname:depress|\bphq\b|ces.?d\b|\bbdi\b|\bdass\b,bd,2026-08-29
reading_vocab,Reading & vocabulary,construct,"Reading, vocabulary, lexical and spelling measures.",cname:read(ing)?\b|vocab|lexical|spelling,bd,2026-08-29
wellbeing,Wellbeing,construct,"Wellbeing, life satisfaction and quality of life measures.",cname:well.?being|life satisfaction|\bswls\b|quality of life|whoqol,bd,2026-08-29
