"table","section_id","item","instrument","language","instructions","section_prompt","item_text","correct_response","option_text","resp"
"mede_2025_clim_emotions","mede_2025_clim_emotions_1","CLIM_EMO_helpless","Emotions about climate change (TISP core questionnaire, block CLIM_EMO)","English; Albanian; Egyptian Arabic; Modern Arabic; Standard Arabic; Bengali; Bulgarian; Czech; Danish; Dutch; Filipino; Finnish; French; Georgian; German; Greek; Hebrew; Hungarian; Indonesian; Italian; Japanese; Kazakh; Korean; Mandarin (simplified); Mandarin (traditional); Norwegian; Polish; Portuguese; Romanian; Russian; Serbian; Slovak; Slovenian; Spanish; Swedish; Turkish; Ukrainian","To what extent does climate change make you feel any of the following?",NA,"Helpless",NA,"Not at all",1
"mede_2025_clim_emotions","mede_2025_clim_emotions_1","CLIM_EMO_helpless","Emotions about climate change (TISP core questionnaire, block CLIM_EMO)","English; Albanian; Egyptian Arabic; Modern Arabic; Standard Arabic; Bengali; Bulgarian; Czech; Danish; Dutch; Filipino; Finnish; French; Georgian; German; Greek; Hebrew; Hungarian; Indonesian; Italian; Japanese; Kazakh; Korean; Mandarin (simplified); Mandarin (traditional); Norwegian; Polish; Portuguese; Romanian; Russian; Serbian; Slovak; Slovenian; Spanish; Swedish; Turkish; Ukrainian","To what extent does climate change make you feel any of the following?",NA,"Helpless",NA,NA,2
"mede_2025_clim_emotions","mede_2025_clim_emotions_1","CLIM_EMO_helpless","Emotions about climate change (TISP core questionnaire, block CLIM_EMO)","English; Albanian; Egyptian Arabic; Modern Arabic; Standard Arabic; Bengali; Bulgarian; Czech; Danish; Dutch; Filipino; Finnish; French; Georgian; German; Greek; Hebrew; Hungarian; Indonesian; Italian; Japanese; Kazakh; Korean; Mandarin (simplified); Mandarin (traditional); Norwegian; Polish; Portuguese; Romanian; Russian; Serbian; Slovak; Slovenian; Spanish; Swedish; Turkish; Ukrainian","To what extent does climate change make you feel any of the following?",NA,"Helpless",NA,NA,3
"mede_2025_clim_emotions","mede_2025_clim_emotions_1","CLIM_EMO_helpless","Emotions about climate change (TISP core questionnaire, block CLIM_EMO)","English; Albanian; Egyptian Arabic; Modern Arabic; Standard Arabic; Bengali; Bulgarian; Czech; Danish; Dutch; Filipino; Finnish; French; Georgian; German; Greek; Hebrew; Hungarian; Indonesian; Italian; Japanese; Kazakh; Korean; Mandarin (simplified); Mandarin (traditional); Norwegian; Polish; Portuguese; Romanian; Russian; Serbian; Slovak; Slovenian; Spanish; Swedish; Turkish; Ukrainian","To what extent does climate change make you feel any of the following?",NA,"Helpless",NA,NA,4
"mede_2025_clim_emotions","mede_2025_clim_emotions_1","CLIM_EMO_helpless","Emotions about climate change (TISP core questionnaire, block CLIM_EMO)","English; Albanian; Egyptian Arabic; Modern Arabic; Standard Arabic; Bengali; Bulgarian; Czech; Danish; Dutch; Filipino; Finnish; French; Georgian; German; Greek; Hebrew; Hungarian; Indonesian; Italian; Japanese; Kazakh; Korean; Mandarin (simplified); Mandarin (traditional); Norwegian; Polish; Portuguese; Romanian; Russian; Serbian; Slovak; Slovenian; Spanish; Swedish; Turkish; Ukrainian","To what extent does climate change make you feel any of the following?",NA,"Helpless",NA,"Very strongly",5
"mede_2025_clim_emotions","mede_2025_clim_emotions_1","CLIM_EMO_anxious","Emotions about climate change (TISP core questionnaire, block CLIM_EMO)","English; Albanian; Egyptian Arabic; Modern Arabic; Standard Arabic; Bengali; Bulgarian; Czech; Danish; Dutch; Filipino; Finnish; French; Georgian; German; Greek; Hebrew; Hungarian; Indonesian; Italian; Japanese; Kazakh; Korean; Mandarin (simplified); Mandarin (traditional); Norwegian; Polish; Portuguese; Romanian; Russian; Serbian; Slovak; Slovenian; Spanish; Swedish; Turkish; Ukrainian","To what extent does climate change make you feel any of the following?",NA,"Anxious",NA,"Not at all",1
"mede_2025_clim_emotions","mede_2025_clim_emotions_1","CLIM_EMO_anxious","Emotions about climate change (TISP core questionnaire, block CLIM_EMO)","English; Albanian; Egyptian Arabic; Modern Arabic; Standard Arabic; Bengali; Bulgarian; Czech; Danish; Dutch; Filipino; Finnish; French; Georgian; German; Greek; Hebrew; Hungarian; Indonesian; Italian; Japanese; Kazakh; Korean; Mandarin (simplified); Mandarin (traditional); Norwegian; Polish; Portuguese; Romanian; Russian; Serbian; Slovak; Slovenian; Spanish; Swedish; Turkish; Ukrainian","To what extent does climate change make you feel any of the following?",NA,"Anxious",NA,NA,2
"mede_2025_clim_emotions","mede_2025_clim_emotions_1","CLIM_EMO_anxious","Emotions about climate change (TISP core questionnaire, block CLIM_EMO)","English; Albanian; Egyptian Arabic; Modern Arabic; Standard Arabic; Bengali; Bulgarian; Czech; Danish; Dutch; Filipino; Finnish; French; Georgian; German; Greek; Hebrew; Hungarian; Indonesian; Italian; Japanese; Kazakh; Korean; Mandarin (simplified); Mandarin (traditional); Norwegian; Polish; Portuguese; Romanian; Russian; Serbian; Slovak; Slovenian; Spanish; Swedish; Turkish; Ukrainian","To what extent does climate change make you feel any of the following?",NA,"Anxious",NA,NA,3
"mede_2025_clim_emotions","mede_2025_clim_emotions_1","CLIM_EMO_anxious","Emotions about climate change (TISP core questionnaire, block CLIM_EMO)","English; Albanian; Egyptian Arabic; Modern Arabic; Standard Arabic; Bengali; Bulgarian; Czech; Danish; Dutch; Filipino; Finnish; French; Georgian; German; Greek; Hebrew; Hungarian; Indonesian; Italian; Japanese; Kazakh; Korean; Mandarin (simplified); Mandarin (traditional); Norwegian; Polish; Portuguese; Romanian; Russian; Serbian; Slovak; Slovenian; Spanish; Swedish; Turkish; Ukrainian","To what extent does climate change make you feel any of the following?",NA,"Anxious",NA,NA,4
"mede_2025_clim_emotions","mede_2025_clim_emotions_1","CLIM_EMO_anxious","Emotions about climate change (TISP core questionnaire, block CLIM_EMO)","English; Albanian; Egyptian Arabic; Modern Arabic; Standard Arabic; Bengali; Bulgarian; Czech; Danish; Dutch; Filipino; Finnish; French; Georgian; German; Greek; Hebrew; Hungarian; Indonesian; Italian; Japanese; Kazakh; Korean; Mandarin (simplified); Mandarin (traditional); Norwegian; Polish; Portuguese; Romanian; Russian; Serbian; Slovak; Slovenian; Spanish; Swedish; Turkish; Ukrainian","To what extent does climate change make you feel any of the following?",NA,"Anxious",NA,"Very strongly",5
"mede_2025_clim_emotions","mede_2025_clim_emotions_1","CLIM_EMO_optimistic","Emotions about climate change (TISP core questionnaire, block CLIM_EMO)","English; Albanian; Egyptian Arabic; Modern Arabic; Standard Arabic; Bengali; Bulgarian; Czech; Danish; Dutch; Filipino; Finnish; French; Georgian; German; Greek; Hebrew; Hungarian; Indonesian; Italian; Japanese; Kazakh; Korean; Mandarin (simplified); Mandarin (traditional); Norwegian; Polish; Portuguese; Romanian; Russian; Serbian; Slovak; Slovenian; Spanish; Swedish; Turkish; Ukrainian","To what extent does climate change make you feel any of the following?",NA,"Optimistic",NA,"Not at all",1
