"table","section_id","item","instrument","instructions","section_prompt","item_text","correct_response","option_text","wording_rights","resp"
"EWAS_Sanford_2024_Flourish","EWAS_Sanford_2024_Flourish_1","flourish1","Flourishing Scale (FS)",NA,NA,"I lead a purposeful and meaningful life.",NA,"Strongly disagree","NC",1
"EWAS_Sanford_2024_Flourish","EWAS_Sanford_2024_Flourish_1","flourish1","Flourishing Scale (FS)",NA,NA,"I lead a purposeful and meaningful life.",NA,"Disagree","NC",2
"EWAS_Sanford_2024_Flourish","EWAS_Sanford_2024_Flourish_1","flourish1","Flourishing Scale (FS)",NA,NA,"I lead a purposeful and meaningful life.",NA,"Slightly disagree","NC",3
"EWAS_Sanford_2024_Flourish","EWAS_Sanford_2024_Flourish_1","flourish1","Flourishing Scale (FS)",NA,NA,"I lead a purposeful and meaningful life.",NA,"Mixed or neither agree nor disagree","NC",4
"EWAS_Sanford_2024_Flourish","EWAS_Sanford_2024_Flourish_1","flourish1","Flourishing Scale (FS)",NA,NA,"I lead a purposeful and meaningful life.",NA,"Slightly agree","NC",5
"EWAS_Sanford_2024_Flourish","EWAS_Sanford_2024_Flourish_1","flourish1","Flourishing Scale (FS)",NA,NA,"I lead a purposeful and meaningful life.",NA,"Agree","NC",6
"EWAS_Sanford_2024_Flourish","EWAS_Sanford_2024_Flourish_1","flourish1","Flourishing Scale (FS)",NA,NA,"I lead a purposeful and meaningful life.",NA,"Strongly agree","NC",7
"EWAS_Sanford_2024_Flourish","EWAS_Sanford_2024_Flourish_1","flourish2","Flourishing Scale (FS)",NA,NA,"My social relationships are supportive and rewarding.",NA,"Strongly disagree","NC",1
"EWAS_Sanford_2024_Flourish","EWAS_Sanford_2024_Flourish_1","flourish2","Flourishing Scale (FS)",NA,NA,"My social relationships are supportive and rewarding.",NA,"Disagree","NC",2
"EWAS_Sanford_2024_Flourish","EWAS_Sanford_2024_Flourish_1","flourish2","Flourishing Scale (FS)",NA,NA,"My social relationships are supportive and rewarding.",NA,"Slightly disagree","NC",3
"EWAS_Sanford_2024_Flourish","EWAS_Sanford_2024_Flourish_1","flourish2","Flourishing Scale (FS)",NA,NA,"My social relationships are supportive and rewarding.",NA,"Mixed or neither agree nor disagree","NC",4
