table,mapping_basis,text_source,source_ref,note,public_note,uploaded,translation_source
EWAS_Sanford_2024_Flourish,data_labels,study_materials,"Sanford K, Elkins G (2024) Psychological Assessment, doi:10.1037/pas0001336; OSF project osf.io/4td6k (CC BY 4.0, node_license CC-By Attribution 4.0 International), file ""2024 Sanford EWAS Study 2.sav"" (osf.io/download/yw79x) -- SPSS variable labels Flourish1-Flourish8 and their shared value-label set; rights clause from eddiener.com/scales (fetched 2026-09-04); IRW script data/EWAS_Sanford_2024.R","Both mapping axes come from the study own CC BY 4.0 SPSS file, so there is no inference to verify. item_text is the verbatim variable label of each Flourish<i> column (full canonical Flourishing Scale sentences, not terse internal labels) and option_text is the verbatim value-label set shared by all 8 columns (1=Strongly disagree, 2=Disagree, 3=Slightly disagree, 4=Mixed or neither agree nor disagree, 5=Slightly agree, 6=Agree, 7=Strongly agree). CODE DERIVATION: data/EWAS_Sanford_2024.R selects Flourish1..Flourish8 BY NAME and applies tolower(), so the IRW code IS the source column name -- no positional or generated step. STEP 3b: live data is 8 items on 1-7, matching the 8-item Flourishing Scale (Diener et al. 2010); the paper own EWAS items (mea/sat/enri/enga/prod, 1-6 anchors) are in the sibling table EWAS_Sanford_2024, so this is not the EWAS. SANITY CHECK on the labelled direction: all 8 columns are positively worded, all 482 respondents answered every item, means run 5.0-5.8 and every pairwise r is positive (min 0.43), which is only consistent with the labelled 1=disagree..7=agree direction. instructions left BLANK deliberately: the .sav carries no instruction text and neither the deposit nor the paper reproduces one; the canonical FS instruction was not substituted. RIGHTS: the Flourishing Scale is named explicitly on the rights holder page alongside a non-commercial clause -- ""These scales are copyrighted by Ed Diener and his co-authors ... The use of these scales is permitted for non-commercial purposes only."" (eddiener.com/scales, fetched 2026-09-04, listing Satisfaction with Life Scale (SWLS), Flourishing Scale (FS) and Scale of Positive and Negative Experience (SPANE)). Under the 2026-09-04 ECR-R/SWLS source-licence ruling that instrument-level NC clause does not bar shipping, because IRW copied the wording from the study own CC BY 4.0 OSF deposit rather than from that page; it IS recorded, so wording_rights=NC is set on all 56 rows. No redistribution bar and no licence fee is quotable anywhere in Diener materials, so neither the WHOQOL nor the TAS-20 rule fires. Precedent: conner_2017_flourishing (batch_030) shipped Flourishing Scale wording on 2026-09-04.","The Flourishing Scale wording shipped here is reproduced from the study own CC BY 4.0 data deposit, but the instrument rights holder states that his scales ""may be used by researchers as long as proper credit is given"" and ""for non-commercial purposes only"", so every row carries wording_rights=NC; the response anchors are the study SPSS value labels and the instrument instructions are not shipped because no source in the deposit reproduces them.",2026-09-05,
evpromisi_stone_2021_ddedanx,unknown,unknown,"Stone AA, Broderick JE (2021) ""Ecological Validity of PROMIS Instruments"", Harvard Dataverse V1, doi:10.7910/DVN/G4E2SR (CC0 1.0), codebook files 4807815 (hernia surgery) and 4807816 (chemotherapy) ; HealthMeasures Terms of Use, Approved Version 1.12-2017, healthmeasures.net/wp-content/uploads/2026/06/Terms-of-Use_HM_approved_1-12-17-Updated-Copyright-Notices.pdf","BLOCKED before any file was written, so mapping_basis and text_source are recorded as unknown rather than describing text that was not shipped. Sources actually opened: Harvard Dataverse doi:10.7910/DVN/G4E2SR (CC0 1.0) -- all five sample codebook .docx files read with python-docx; the anxiety block exists in the hernia-surgery and chemotherapy codebooks only (the community, osteoarthritis and premenstrual codebooks have no DDEDANX rows) and the two are word-for-word identical, giving DDEDANX01/05/30/40/46/53/54 against their stems and 1=Never..5=Always. Had it shipped, mapping_basis would have been paper_explicit (the codebook states the code) and text_source study_materials, exactly as the sibling evpromisi_stone_2021_cdiag. RIGHTS BASIS FOR THE BLOCK: HealthMeasures Terms of Use, Approved Version 1.12-2017, section ""Single Use, Reproducibility, and Distribution"", fetched 2026-09-04 (HTTP 200) from the rights holder's own current site -- ""User shall not distribute, publish, sell, license, or provide HealthMeasures products, by any means whatsoever, to third parties not involved with the authorized single use ... without the prior written agreement of the Provider"", plus ""Commercial Users must seek permission to use, reproduce, or distribute ... regardless of purpose, at all times"". Applied per the 2026-09-04 DSES ruling in references/itemtext_standard.md, under which a quotable redistribution bar outranks the source deposit's CC0. See notes_evpromisi_stone_2021_ddedanx.csv for the conflict with the seven PROMIS tables already shipped from batch_022.",,,
evpromisi_stone_2021_ddeddep,unknown,unknown,"Stone AA, Broderick JE (2021), ""Ecological Validity of PROMIS Instruments"", Harvard Dataverse V1, doi:10.7910/DVN/G4E2SR (CC0 1.0) -- the community/chemotherapy/premenstrual sample codebook .docx files (item stems and response coding) and the three promis_ecolval_{cs,bc,pms}_daily.sas7bdat files (per-item response counts used for verification)","ORCHESTRATOR OVERRIDE 2026-09-04: WITHDRAWN, nothing shipped. The extracting agent shipped this file after judging the PROMIS rights question on the precedent of the batch_022 promis1wave1_* uploads. The orchestrator withdrew it at Step 5b: the HealthMeasures Terms of Use (Approved Version 1.12-2017) state ""User shall not reproduce HealthMeasures Instruments except as needed to conduct the authorized single use ... User shall not distribute, publish, sell, license, or provide HealthMeasures products, by any means whatsoever, to third parties not involved with the authorized single use ... without the prior written agreement of the Provider"", verified directly by the orchestrator in the rights holder's own PDF (md5 fe672ca0c092d6b324a8098ac049c7e3, fetched independently and byte-identically by two sibling agents). Under itemtext_standard.md's 2026-09-04 ruling a quotable redistribution bar governs even where the wording came from an openly licensed deposit, so the deposit's CC0 licence is not sufficient, and the batch_022 precedent does not outrank the ruling (the standard records that sweep as outstanding). The extraction itself was clean and is preserved under itemtext/quarantine/batch_031/ ready to restore if Ben rules PROMIS an exception. Retry test: NO -- determinate rights verdict. ORIGINAL AGENT NOTE (describes the extraction that would have shipped): TEXT + MAPPING: the deposit's per-sample codebooks (Codebook - Ecological Validity of PROMIS - {community,chemotherapy,premenstrual symptoms} sample.docx, read with python-docx) each carry a 'Daily assessment data' table with columns Variable Name | Notes | Item Stem | Responses, listing DDEDDEP04..DDEDDEP41 against their stems ('In the last day ... I felt worthless.' etc.) and their 1=Never..5=Always coding. All three are word-for-word identical for these 8 rows (the hernia-surgery and osteoarthritis codebooks have no depression block, and their samples are absent from the live table: group is CS/BC/pms only). Transcribed verbatim, including the ' ... ' stem separator and the trailing full stop; nothing normalised, no instructions text exists in the codebook so instructions is blank. mapping_basis is paper_explicit rather than data_labels because the .sas7bdat files carry NO variable label on any DDEDDEP column (pyreadstat column_names_to_labels: all None) -- the code-to-text tie comes from the deposit's codebook document. The IRW item codes ARE the source column names verbatim, so there is no positional or rename step. VERIFIED by route 9: per-item x per-level counts pooled over the three *_daily.sas7bdat files reproduce the live 8x5 table in all 40 cells, and all 8 count-vectors are mutually distinct -- see verify_evpromisi_stone_2021_ddeddep.R. These are the study's own MODIFIED daily-diary versions of PROMIS Depression bank items (24h recall, Never..Always) and not the standard 7-day PROMIS short-form wording; the codebook labels each 'Modified daily diary version of EDDEPnn'. RIGHTS: deposit licence CC0 1.0, no termsOfUse/termsOfAccess on the Dataverse record; no quotable non-commercial, fee or no-redistribution clause was found for this wording, and PROMIS-derived item text from a CC0 codebook has shipped before (promis1wave1_*, batch_022), so wording_rights is omitted. English administration, so language and the _translated columns are omitted.",,,
evpromisi_stone_2021_ddpainin,paper_explicit,study_materials,"Stone AA, Broderick JE (2021), ""Ecological Validity of PROMIS Instruments"", Harvard Dataverse V1, doi:10.7910/DVN/G4E2SR (CC0 1.0) -- ""Codebook - Ecological Validity of PROMIS - {community,hernia surgery,osteoarthritis} sample.docx"" for the stems and coding, promis_ecolval_{cs,oa}_daily.sas7bdat for verification; rights checked against the HealthMeasures Terms of Use PDF (Approved Version 1.12-2017) linked from https://healthmeasures.net/terms-conditions/","BLOCKED ON RIGHTS -- NO __items.csv SHIPPED. This row records a completed, verified extraction that was withheld, not a shipped table; mapping_basis/text_source describe what would have been shipped. RIGHTS: the six items are the study's daily-diary adaptations of PROMIS Pain Interference bank items, and the HealthMeasures Terms of Use state an explicit redistribution bar -- ""User shall not reproduce HealthMeasures Instruments except as needed to conduct the authorized single use research, clinical, educational, or other activity. User shall not distribute, publish, sell, license, or provide HealthMeasures products, by any means whatsoever, to third parties not involved with the authorized single use as stated above, without the prior written agreement of the Provider. Users must request permission to reprint HealthMeasures Instruments for reasons not included in the single use case."" -- HealthMeasures Terms of Use, section ""Single Use, Reproducibility, and Distribution"", Approved Version 1.12-2017, fetched 2026-09-04 from https://healthmeasures.net/wp-content/uploads/2026/06/Terms-of-Use_HM_approved_1-12-17-Updated-Copyright-Notices.pdf -- plus a standing permission requirement for commercial users and a bar on derivative works. Under the 2026-09-04 no-redistribution ruling (DSES) that clause governs even though IRW's copy came from a CC0 Dataverse deposit with no termsOfUse. TEXT + MAPPING (for the record): the deposit codebooks tabulate Variable Name | Notes | Item Stem | Responses and give all six DDPAININ codes with their stems and a shared 1=Not at all .. 5=Very much coding; the IRW item codes ARE the source column names, so there is no positional step. mapping_basis is paper_explicit rather than data_labels because the sas7bdat files carry no variable label on any DDPAININ column (pyreadstat: all None). VERIFIED by route 9, 60/60 raw-vs-live cells across the CS and OA groups, six distinct count vectors per group. Also flagged: the same clause reaches the three PROMIS-content sibling tables in this deposit and the seven already-uploaded promis1wave1_* tables from batch_022.",,,
evpromisi_stone_2021_global,paper_explicit,study_materials,"Stone AA, Broderick JE (2021), ""Ecological Validity of PROMIS Instruments"", Harvard Dataverse V1, doi:10.7910/DVN/G4E2SR (CC0 1.0) -- the five per-sample codebook .docx files (Participant characteristics table: Variable Name | Notes | Item Stem | Responses). RIGHTS SOURCE: HealthMeasures Terms of Use, Approved Version 1.12-2017, healthmeasures.net/wp-content/uploads/2026/06/Terms-of-Use_HM_approved_1-12-17-Updated-Copyright-Notices.pdf","BLOCKED, no item text shipped. Source located and fully sufficient: the deposit's five sample codebook .docx files tie Global01..Global10 to their stems and response coding explicitly (paper_explicit; the codes ARE the source column names in the promis_ecolval_*_demos.sas7bdat files, so no positional step). Mapping additionally corroborated structurally: the codebook predicts Global07 alone is a 0-10 numeric rating and the other nine are 1-5, and irw::irw_table_sets() reports exactly that (Global07 min 0 max 10, 11 levels; Global01-06,08-10 min 1 max 5, 5 levels each) -- see verify_evpromisi_stone_2021_global.R. RIGHTS BASIS FOR THE BLOCK: ""User shall not reproduce HealthMeasures Instruments except as needed to conduct the authorized single use research, clinical, educational, or other activity. User shall not distribute, publish, sell, license, or provide HealthMeasures products, by any means whatsoever, to third parties not involved with the authorized single use as stated above, without the prior written agreement of the Provider. Users must request permission to reprint HealthMeasures Instruments for reasons not included in the single use case."" -- HealthMeasures Terms of Use, Approved Version 1.12-2017, section ""Single Use, Reproducibility, and Distribution"", fetched 2026-09-04 (HTTP 200) from the rights holder's own live site: healthmeasures.net/wp-content/uploads/2026/06/Terms-of-Use_HM_approved_1-12-17-Updated-Copyright-Notices.pdf Deposit licence is CC0 1.0 with no termsOfUse/termsOfAccess, but per the 2026-09-04 DSES ruling the rights holder's own redistribution bar outranks the source deposit's licence. mapping_basis/text_source below describe the extraction that WOULD have shipped; nothing was written.","IRW does not publish item text for this table: the PROMIS Global Health wording is subject to the HealthMeasures Terms of Use, which bar reproducing or distributing the instrument to third parties without prior written agreement.",,
experimental_iq,unknown,unknown,"openpsychometrics.org raw-data release http://openpsychometrics.org/_rawdata/IQ1.zip (IQ1/codebook.txt, IQ1/data.csv, IQ1/questions/1..25/*.png); IRW script data/experimental_iq.R","No item text extracted, so no code-to-text mapping was established -- mapping_basis=unknown is recorded honestly. The code derivation itself is nevertheless settled and re-runnable: data/experimental_iq.R assigns item as row_number() over unique(item) after pivoting the lowercased columns (SKILL core model s3 pattern 4, script-generated integer), and re-running that derivation over the released IQ1 data.csv reproduces the live per-item n and per-item number correct for all 25 items exactly (e.g. item 1 / q1: 394 rows, 352 correct; item 22 / q22: 367 rows, 32 correct), so item N = source column QN = questions/N/. Per-item proportion correct spans 0.087-0.912, so a shifted assignment could not have matched. See verify_experimental_iq.R. Block reason in notes_experimental_iq.csv: the items are matrix images with picture options and no wording exists in the codebook, the data file, the file names, or the (404, unarchived) test page.",,,
extremera_2016_ei,paper_order,study_materials,"Extremera N, Rey L (2016) PLOS ONE 11(9):e0163656, doi:10.1371/journal.pone.0163656 (CC BY 4.0); S1 File s001 (SPSS, item codes and data). Wording: Extremera N, Rey L, Sanchez-Alvarez N, 'Adaptacion al castellano del Wong and Law Emotional Intelligence Scale', Univ. de Malaga / Grupo CTS-1048, https://www.appliedpositivelab.com/media/archivosPublicaciones/Validacion_WLEIS.pdf. English glosses and instructions: Extremera, Rey & Sanchez-Alvarez (2019) Psicothema 31(1):94-100, doi:10.7334/psicothema2018.147, Table 1, https://www.psicothema.com/pdf/4520.pdf. Processing script: data/extremera_2016_unemployment_wellbeing.py","translation_source=mixed. MAPPING: the IRW item codes ARE the source SPSS column names -- data/extremera_2016_unemployment_wellbeing.py melts ei1..ei15 plus ie16 (renamed to ei16, a naming typo in the raw file) by name, no positional assignment -- but the .sav carries NO variable labels and NO value labels for any ei column (checked with pyreadstat: all 16 column_names_to_labels entries are None; only IE_total/Happiness_Scores/ZIE_total etc. are labelled), and the 2016 PLOS paper reproduces no items, quoting only two examples. So which of the 16 WLEIS-S sentences each number names had to be inferred from the instrument's printed order, and that is genuinely ambiguous here: the same authors publish the scale under TWO numberings -- the UMA administration form is INTERLEAVED (SEA=1,5,9,13; OEA=2,6,10,14; UOE=3,7,11,15; ROE=4,8,12,16) while Psicothema 2019 Table 1 is BLOCKED (SEA=1-4 ... ROE=13-16). The shipped mapping is the UMA form order, chosen by route 5 against the raw .sav (see verify_extremera_2016_ei.R): within-subscale r .526 vs between .401 (gap +.125, 33/48 top-3 neighbours in-subscale) for the interleaved numbering against .432/.425 (gap +.007, 9/48) for the blocked one. Subscale membership is pinned for all 16 items; order WITHIN a subscale is not, so verification is PARTIAL. TEXT: Spanish item wording transcribed verbatim from the authors' own administration form (appliedpositivelab.com Validacion_WLEIS.pdf, Univ. de Malaga 2019), which is character-identical to Psicothema 2019 Table 1 including its 'porque' spelling of 'por que' in item 1 -- left as printed. The terminal full stops the form prints after each item were dropped; nothing else altered. instructions are the two sentences Psicothema Table 1 prints as the WLEIS-S instruction (identical to the form's first two sentences); the form additionally prints three procedural sentences ('Senale con un circulo la respuesta que mas se aproxime a sus preferencias. No hay respuestas correctas o incorrectas, ni buenas o malas. No emplee mucho tiempo en cada respuesta.') that were NOT shipped, since the 2016 administration's own form is not in the deposit and those sentences are specific to the 2019 printed form. option_text is the form's seven anchor labels; the 2016 paper independently confirms the direction, '1 (strongly disagree) to 7 (strongly agree)', matching 1=Completamente en desacuerdo .. 7=Completamente de acuerdo. TRANSLATION (mixed): item_text_translated is the authors' own published English, transcribed from the bracketed glosses in Psicothema 2019 Table 1 (these are Wong & Law's 2002 original English items); instructions_translated is likewise their bracketed English. option_text_translated is NOT published anywhere -- the 2016 paper gives only the two endpoints -- so the seven anchor labels were translated literally by this project (IRW-generated English; see public_note). RIGHTS: irw#1891 does not fire. The wording was copied from the UMA group's own freely distributed adaptation PDF and from the Psicothema article; neither carries any quotable non-commercial, no-redistribution or fee clause (both show a bare copyright line only: 'Copyright(c) 2019 Facultad de Psicologia, Universidad de Malaga' and 'Copyright (c) 2019 Psicothema'), and Wong & Law's WLEIS is not fee-licensed. No wording_rights column.","The Spanish item wording is the authors' own WLEIS-S adaptation, but the study's SPSS deposit carries no variable labels and the paper reproduces no items, so the assignment of the 16 sentences to codes ei1..ei16 is an inference from the administration form's printed order; it is confirmed at the subscale level against the data (within-subscale r .53 vs .40 between, which rules out the alternative blocked numbering the same authors use in Psicothema 2019) but the order of the four items within each subscale is not independently verified. The English in option_text_translated for the five intermediate anchors was generated by IRW, not published by the authors, who state only the 1 = strongly disagree / 7 = strongly agree endpoints.",2026-09-05,mixed
extremera_2016_sbq,paper_order,translated_substitute,"Extremera N, Rey L (2016) PLOS ONE 11(9):e0163656 (CC BY 4.0), doi:10.1371/journal.pone.0163656 -- Materials section; S1 Database (s001.sav, the only supplement); data/extremera_2016_unemployment_wellbeing.py; wording from Osman et al. (2001) SBQ-R as distributed at https://youthsuicideprevention.nebraska.edu/wp-content/uploads/2019/09/SBQ-R.pdf (STABLE Resource Toolkit, footer '(c) Osman et al (1999) Revised. Permission for use granted by A.Osman, MD')","FALLBACK LANGUAGE CASE. The paper states the SBQ-R 'was professionally translated from English to Spanish and then independently back-translated'; that Spanish wording is published nowhere in the paper or in its only supplement (S1 Database, an SPSS .sav). I opened the .sav: all 48 variables carry NULL variable labels, and the only value labels present are for sex, marital_status, unemployment_benefits, level_education and previous_job -- none for sbq1-sbq4. So the administered Spanish is not recoverable in scope; the English SBQ-R ships in the base fields, _translated stays empty, language=Spanish per the fallback rule. mapping_basis=paper_order: the IRW item codes ARE the .sav column names (the processing script only melts sbq1..sbq4), so nothing is positional, but the tie from 'sbq3' to the SBQ-R's third item rests on the shared 1..4 numbering plus the paper's in-order description of the four items ('lifetime suicidal ideation and attempt, frequency of suicidal ideation over the past year, threat of suicidal behaviour, and self-reported likelihood of future suicidal behaviour'), not on any label in the file. Verified PARTIAL -- see verify_extremera_2016_sbq.R. resp is the RAW printed option index, not the SBQ-R's collapsed scoring: sbq1 takes 6 distinct values (scoring would collapse to 4) and sbq3 5 (scoring would collapse to 3), and the deposit's own SuicideBehaviours_Scores column equals the raw sum of the four items exactly (960/960 rows) and reaches 19, above the SBQ-R's published 3-18 range. Two of 961 sbq3 responses are coded 0, outside that item's five printed options; no option row is shipped for that value (it is supplied by sbq4) and it is logged as a data defect rather than labelled. Rights: no non-commercial, fee or redistribution clause found on the source we copied from -- the STABLE Toolkit sheet states only copyright plus 'Permission for use granted by A.Osman, MD', so the 2026-09-04 rulings do not fire and no wording_rights flag is set.","Item text is the English SBQ-R; the study administered its own unpublished professional Spanish translation, which is not reproduced in the paper or its SPSS deposit. resp values are the questionnaire's raw printed option numbers (item 1: 1-6, item 4: 0-6), not the SBQ-R's collapsed 3-18 scoring -- summing them does not give a standard SBQ-R total.",2026-09-05,
extremera_2016_shs,paper_explicit,study_materials,"Extremera N, Rey L (2016) PLOS ONE 11(9):e0163656, doi:10.1371/journal.pone.0163656 (CC BY 4.0); data S1 File doi:10.1371/journal.pone.0163656.s001 (SPSS .sav, columns shs1-shs4, derived Happiness_Scores); administered wording from 'Adaptacion al castellano del Subjective Happiness Scale', Grupo de investigacion CTS-1048, Facultad de Psicologia, Universidad de Malaga (Extremera & Fernandez-Berrocal, 2014), https://www.appliedpositivelab.com/media/archivosPublicaciones/Validacion_SHS.pdf; original instrument Lyubomirsky S, Lepper H (1999) Social Indicators Research 46:137-155; rights statement at sonjalyubomirsky.com; processing script data/extremera_2016_unemployment_wellbeing.py","Item codes ARE the source column names: data/extremera_2016_unemployment_wellbeing.py melts the PLOS S1 SPSS file's shs1..shs4 columns by name, no positional or generated assignment. The .sav itself carries NO variable labels and no value labels for the item columns (checked with pyreadstat: column_names_to_labels is null for every shs/swls/ei/sbq column; value labels exist only for sex, marital_status, unemployment_benefits, level_education, previous_job), so mapping_basis is NOT data_labels. WORDING: the paper (Materials) reproduces no SHS items beyond an English fragment of item 1 and cites 'a well-validated Spanish version [42]' = Extremera & Fernandez-Berrocal (2014); the administered Spanish questionnaire is distributed by those same authors' own research group as 'Adaptacion al castellano del Subjective Happiness Scale' (Grupo CTS-1048, Facultad de Psicologia, Universidad de Malaga, Copyright 2014), a 3-page PDF that prints the instructions, all four items numbered 1-4, the endpoint anchors, the scoring rule, and lists this very PLOS paper among the studies using it. All Spanish text is transcribed verbatim from that PDF (fetched 2026-09-04, cached), including its punctuation and its mixed usted/tu address across items ('le describe' in the instructions, 'te consideras' in items 3-4) -- not normalised. Only points 1 and 7 are labelled on the printed form; points 2-6 carry no wording, so option_text is left blank rather than padded with its own number. MAPPING: the questionnaire numbers its items 1-4 and the data columns are shs1..shs4, so the tie is the authors' own numbering (paper_explicit); verified against the data in verify_extremera_2016_shs.R -- the file's own derived score Happiness_Scores (SPSS label 'Felicidad Subjetiva') equals (shs1+shs2+shs3+(8-shs4))/4 on 1124/1125 rows, against <=217/1125 for reversing any other item or none, which pins shs4 to the questionnaire's reverse-scored item 4 exactly as its printed rule states ('Contrabalancear puntuaciones del item 4 (4r)'); shs4 also correlates -0.22..-0.27 with the other three, which correlate +0.59..+0.67 among themselves, i.e. the items are stored RAW, unreversed. Order within shs1/shs2/shs3 is not separated by any statistic, so verification status is PARTIAL. TRANSLATION: no English rendering of this Spanish adaptation exists in the deposit or the paper, so the _translated columns are this project's own translation of the administered Spanish (machine_translation), deliberately literal rather than swapped for Lyubomirsky & Lepper's original English wording. RIGHTS: the wording shipped was copied from the Malaga group's own PDF, which states only 'Copyright 2014 Facultad de Psicologia Universidad de Malaga' and no non-commercial, fee or no-redistribution term; appliedpositivelab.com, which hosts it, states none either (both fetched 2026-09-04). Under the ECR-R/SWLS rule (the licence of the source actually copied from governs) it ships. The instrument's rights holder does state a non-commercial term -- sonjalyubomirsky.com: 'Permission is granted for all non-commercial use, including scholarly/academic.' -- so wording_rights=NC is set on every row and a public_note is carried, per the 'recorded, not ignored' clause of the irw#1891 ruling.","Item wording is the Spanish adaptation the study administered (Extremera & Fernandez-Berrocal's 'Adaptacion al castellano del Subjective Happiness Scale', Universidad de Malaga 2014); the English in the _translated columns was produced by IRW, not by the authors or by the instrument's publisher. Only scale points 1 and 7 are labelled on the administered form, so option_text is blank for points 2-6. The Subjective Happiness Scale's rights holder states that 'Permission is granted for all non-commercial use, including scholarly/academic' (sonjalyubomirsky.com), so every row carries wording_rights=NC.",2026-09-05,machine_translation
extremera_2016_swls,paper_order,translated_substitute,"Extremera N, Rey L (2016) PLOS ONE 11(9):e0163656, doi:10.1371/journal.pone.0163656 (CC BY 4.0); S1 File s001.sav (item codes swls1..swls5, data) and Table 1 image (.../article/figure/image?size=large&id=10.1371/journal.pone.0163656.t001) for the published M/SD/alpha; wording from SWLS_English.doc at labs.psychology.illinois.edu/~ediener/Documents/SWLS_English.doc, linked from labs.psychology.illinois.edu/~ediener/SWLS.html (Diener, Emmons, Larsen & Griffin 1985)","SWLS RIGHTS: wording taken from SWLS_English.doc at labs.psychology.illinois.edu/~ediener/Documents/SWLS_English.doc, linked from labs.psychology.illinois.edu/~ediener/SWLS.html (both fetched directly 2026-09-04). That page's only stated term is permissive -- ""The scale is copyrighted but you are free to use it without permission or charge by all professionals (researchers and practitioners) as long as you give credit to the authors of the scale: Ed Diener, Robert A. Emmons, Randy J. Larsen and Sharon Griffin"". eddiener.com/scales, which does carry ""The use of these scales is permitted for non-commercial purposes only."", was NOT opened as a source, so under Ben's 2026-09-04 SWLS ruling (the terms of the page actually copied from govern) its clause does not apply and wording_rights is omitted. MAPPING: the item codes ARE the source column names -- data/extremera_2016_unemployment_wellbeing.py melts the PLOS S1 .sav columns swls1..swls5 BY NAME, no positional assignment -- but the .sav carries NO variable labels and NO value labels for any swls column (checked with pyreadstat: all 39 item columns have label None; value labels exist only for sex, marital_status, unemployment_benefits, level_education, previous_job), and the paper reproduces no items. So tying swlsN to canonical SWLS item N is an inference from the trailing digit matching the instrument's published item order, not a label match. Route 3 (published totals) reproduces Table 1 to the third decimal and pins scale identity, raw (unreversed) storage and the 1=Strongly disagree..7=Strongly agree direction; route 7 (marker item) pins swls5; swls1..swls4 are not separated. PARTIAL, see verify_extremera_2016_swls.R. TEXT: transcribed verbatim from SWLS_English.doc, including its instructions and its seven anchor labels; the doc's scoring bands (31-35 Extremely satisfied, etc.) are not item text and were not shipped. LANGUAGE: the paper states ""Participants completed the Spanish version of the Satisfaction with Life Scale"" (Atienza, Balaguer & Garcia-Merita 2003), and the sample is Spanish unemployed adults, so administration was Spanish. No Spanish wording exists in the study deposit (S1 File is the .sav, data only, unlabelled headers) or anywhere in the paper, so the English original ships in the base fields with the _translated columns empty -- the documented translated_substitute fallback, with language=Spanish retained per the standard. Diener's Illinois page does host SWLS_Spanish.doc, but it is an unattributed translation absent from that site's own SWLS_Translators.pdf and its wording (""En la mayoria de las cosas, mi vida esta cerca de mi ideal"") is not the Atienza et al. adaptation this study names, so shipping it would assert an administered wording that cannot be verified (same call as duboz_2021_swls on SWLS_French.doc).","The SWLS was administered in Spanish (the Atienza, Balaguer & Garcia-Merita adaptation), but neither the study's PLOS deposit (an unlabelled SPSS file) nor the paper reproduces any Spanish wording, so the item text shown is the original English SWLS from the instrument's own distribution page; note also that the shipped instructions describe a self-completed paper form (""placing the appropriate number on the line preceding that item""), and that which of the five canonical SWLS items corresponds to swls1..swls4 rests on the source column numbering rather than on any published item-level statistic (swls5 is pinned independently by having the lowest corrected item-total correlation, 0.49 against 0.64-0.74).",2026-09-05,
