"table","section_id","item","instrument","language","instructions","section_prompt","item_text","item_text_translated","correct_response","option_text","option_text_translated","resp","instructions_translated","section_prompt_translated"
"rosharudin_2023_ders18","rosharudin_2023_ders18_1","@1_A","Difficulties in Emotion Regulation Scale-18 (DERS-18), Malay version","Malay",NA,NA,"Saya memberi perhatian terhadap apa yang saya rasa.","I pay attention to how I feel.",NA,"Almost Never",NA,1,NA,NA
"rosharudin_2023_ders18","rosharudin_2023_ders18_1","@1_A","Difficulties in Emotion Regulation Scale-18 (DERS-18), Malay version","Malay",NA,NA,"Saya memberi perhatian terhadap apa yang saya rasa.","I pay attention to how I feel.",NA,"Sometimes",NA,2,NA,NA
"rosharudin_2023_ders18","rosharudin_2023_ders18_1","@1_A","Difficulties in Emotion Regulation Scale-18 (DERS-18), Malay version","Malay",NA,NA,"Saya memberi perhatian terhadap apa yang saya rasa.","I pay attention to how I feel.",NA,"About Half the Time",NA,3,NA,NA
"rosharudin_2023_ders18","rosharudin_2023_ders18_1","@1_A","Difficulties in Emotion Regulation Scale-18 (DERS-18), Malay version","Malay",NA,NA,"Saya memberi perhatian terhadap apa yang saya rasa.","I pay attention to how I feel.",NA,"Most of the Time",NA,4,NA,NA
"rosharudin_2023_ders18","rosharudin_2023_ders18_1","@1_A","Difficulties in Emotion Regulation Scale-18 (DERS-18), Malay version","Malay",NA,NA,"Saya memberi perhatian terhadap apa yang saya rasa.","I pay attention to how I feel.",NA,"Almost Always",NA,5,NA,NA
"rosharudin_2023_ders18","rosharudin_2023_ders18_1","@2_C","Difficulties in Emotion Regulation Scale-18 (DERS-18), Malay version","Malay",NA,NA,"Saya tidak tahu apakah sebenarnya yang saya rasa.","I have no idea how I am feeling.",NA,"Almost Never",NA,1,NA,NA
"rosharudin_2023_ders18","rosharudin_2023_ders18_1","@2_C","Difficulties in Emotion Regulation Scale-18 (DERS-18), Malay version","Malay",NA,NA,"Saya tidak tahu apakah sebenarnya yang saya rasa.","I have no idea how I am feeling.",NA,"Sometimes",NA,2,NA,NA
"rosharudin_2023_ders18","rosharudin_2023_ders18_1","@2_C","Difficulties in Emotion Regulation Scale-18 (DERS-18), Malay version","Malay",NA,NA,"Saya tidak tahu apakah sebenarnya yang saya rasa.","I have no idea how I am feeling.",NA,"About Half the Time",NA,3,NA,NA
"rosharudin_2023_ders18","rosharudin_2023_ders18_1","@2_C","Difficulties in Emotion Regulation Scale-18 (DERS-18), Malay version","Malay",NA,NA,"Saya tidak tahu apakah sebenarnya yang saya rasa.","I have no idea how I am feeling.",NA,"Most of the Time",NA,4,NA,NA
"rosharudin_2023_ders18","rosharudin_2023_ders18_1","@2_C","Difficulties in Emotion Regulation Scale-18 (DERS-18), Malay version","Malay",NA,NA,"Saya tidak tahu apakah sebenarnya yang saya rasa.","I have no idea how I am feeling.",NA,"Almost Always",NA,5,NA,NA
"rosharudin_2023_ders18","rosharudin_2023_ders18_1","@3_C","Difficulties in Emotion Regulation Scale-18 (DERS-18), Malay version","Malay",NA,NA,"Saya mengalami kesukaran untuk memahami isi hati saya sendiri.","I have difficulty making sense out of my feelings.",NA,"Almost Never",NA,1,NA,NA
"rosharudin_2023_ders18","rosharudin_2023_ders18_1","@3_C","Difficulties in Emotion Regulation Scale-18 (DERS-18), Malay version","Malay",NA,NA,"Saya mengalami kesukaran untuk memahami isi hati saya sendiri.","I have difficulty making sense out of my feelings.",NA,"Sometimes",NA,2,NA,NA
