table,section_id,item,instrument,instructions,section_prompt,item_text,option_text,resp
pezzuti_2025_coolpeople_main_big5_SouthKorea,main,korean_big5_conservative,Big Five personality trait assessments for South Korean nominees,NA,NA,Conservative.,strongly disagree,1
pezzuti_2025_coolpeople_main_big5_SouthKorea,main,korean_big5_conservative,Big Five personality trait assessments for South Korean nominees,NA,NA,Conservative.,NA,2
pezzuti_2025_coolpeople_main_big5_SouthKorea,main,korean_big5_conservative,Big Five personality trait assessments for South Korean nominees,NA,NA,Conservative.,NA,3
pezzuti_2025_coolpeople_main_big5_SouthKorea,main,korean_big5_conservative,Big Five personality trait assessments for South Korean nominees,NA,NA,Conservative.,NA,4
pezzuti_2025_coolpeople_main_big5_SouthKorea,main,korean_big5_conservative,Big Five personality trait assessments for South Korean nominees,NA,NA,Conservative.,NA,5
pezzuti_2025_coolpeople_main_big5_SouthKorea,main,korean_big5_conservative,Big Five personality trait assessments for South Korean nominees,NA,NA,Conservative.,NA,6
pezzuti_2025_coolpeople_main_big5_SouthKorea,main,korean_big5_conservative,Big Five personality trait assessments for South Korean nominees,NA,NA,Conservative.,strongly agree,7
pezzuti_2025_coolpeople_main_big5_SouthKorea,main,korean_big5_trustworthy,Big Five personality trait assessments for South Korean nominees,NA,NA,Trustworthy.,strongly disagree,1
pezzuti_2025_coolpeople_main_big5_SouthKorea,main,korean_big5_trustworthy,Big Five personality trait assessments for South Korean nominees,NA,NA,Trustworthy.,NA,2
pezzuti_2025_coolpeople_main_big5_SouthKorea,main,korean_big5_trustworthy,Big Five personality trait assessments for South Korean nominees,NA,NA,Trustworthy.,NA,3
pezzuti_2025_coolpeople_main_big5_SouthKorea,main,korean_big5_trustworthy,Big Five personality trait assessments for South Korean nominees,NA,NA,Trustworthy.,NA,4
pezzuti_2025_coolpeople_main_big5_SouthKorea,main,korean_big5_trustworthy,Big Five personality trait assessments for South Korean nominees,NA,NA,Trustworthy.,NA,5
pezzuti_2025_coolpeople_main_big5_SouthKorea,main,korean_big5_trustworthy,Big Five personality trait assessments for South Korean nominees,NA,NA,Trustworthy.,NA,6
pezzuti_2025_coolpeople_main_big5_SouthKorea,main,korean_big5_trustworthy,Big Five personality trait assessments for South Korean nominees,NA,NA,Trustworthy.,strongly agree,7
pezzuti_2025_coolpeople_main_big5_SouthKorea,main,korean_big5_lazy,Big Five personality trait assessments for South Korean nominees,NA,NA,Lazy.,strongly disagree,1
pezzuti_2025_coolpeople_main_big5_SouthKorea,main,korean_big5_lazy,Big Five personality trait assessments for South Korean nominees,NA,NA,Lazy.,NA,2
pezzuti_2025_coolpeople_main_big5_SouthKorea,main,korean_big5_lazy,Big Five personality trait assessments for South Korean nominees,NA,NA,Lazy.,NA,3
pezzuti_2025_coolpeople_main_big5_SouthKorea,main,korean_big5_lazy,Big Five personality trait assessments for South Korean nominees,NA,NA,Lazy.,NA,4
pezzuti_2025_coolpeople_main_big5_SouthKorea,main,korean_big5_lazy,Big Five personality trait assessments for South Korean nominees,NA,NA,Lazy.,NA,5
pezzuti_2025_coolpeople_main_big5_SouthKorea,main,korean_big5_lazy,Big Five personality trait assessments for South Korean nominees,NA,NA,Lazy.,NA,6
pezzuti_2025_coolpeople_main_big5_SouthKorea,main,korean_big5_lazy,Big Five personality trait assessments for South Korean nominees,NA,NA,Lazy.,strongly agree,7
pezzuti_2025_coolpeople_main_big5_SouthKorea,main,korean_big5_sociable,Big Five personality trait assessments for South Korean nominees,NA,NA,Likes to get along and is sociable.,strongly disagree,1
pezzuti_2025_coolpeople_main_big5_SouthKorea,main,korean_big5_sociable,Big Five personality trait assessments for South Korean nominees,NA,NA,Likes to get along and is sociable.,NA,2
pezzuti_2025_coolpeople_main_big5_SouthKorea,main,korean_big5_sociable,Big Five personality trait assessments for South Korean nominees,NA,NA,Likes to get along and is sociable.,NA,3
pezzuti_2025_coolpeople_main_big5_SouthKorea,main,korean_big5_sociable,Big Five personality trait assessments for South Korean nominees,NA,NA,Likes to get along and is sociable.,NA,4
