"id","item","resp","cov_gender","cov_individualism","cov_powerdistance","cov_hdi","cov_year","cov_age","cov_country"
3426,korean_big5_conservative,3,Female,18,60,0.925,2021,18,South Korea
3426,korean_big5_imaginative,7,Female,18,60,0.925,2021,18,South Korea
3426,korean_big5_laidback,4,Female,18,60,0.925,2021,18,South Korea
3426,korean_big5_nervous,7,Female,18,60,0.925,2021,18,South Korea
3426,korean_big5_thorough,7,Female,18,60,0.925,2021,18,South Korea
3426,korean_big5_faults,7,Female,18,60,0.925,2021,18,South Korea
3426,korean_big5_lazy,2,Female,18,60,0.925,2021,18,South Korea
3426,korean_big5_sociable,7,Female,18,60,0.925,2021,18,South Korea
3426,korean_big5_trustworthy,7,Female,18,60,0.925,2021,18,South Korea
3485,korean_big5_nervous,4,Male,18,60,0.925,2021,18,South Korea
3485,korean_big5_sociable,5,Male,18,60,0.925,2021,18,South Korea
3485,korean_big5_faults,5,Male,18,60,0.925,2021,18,South Korea
3485,korean_big5_laidback,4,Male,18,60,0.925,2021,18,South Korea
3485,korean_big5_lazy,6,Male,18,60,0.925,2021,18,South Korea
3485,korean_big5_thorough,3,Male,18,60,0.925,2021,18,South Korea
3485,korean_big5_imaginative,2,Male,18,60,0.925,2021,18,South Korea
3485,korean_big5_conservative,4,Male,18,60,0.925,2021,18,South Korea
3485,korean_big5_trustworthy,3,Male,18,60,0.925,2021,18,South Korea
3525,korean_big5_trustworthy,4,Female,18,60,0.925,2021,18,South Korea
3525,korean_big5_lazy,2,Female,18,60,0.925,2021,18,South Korea
3525,korean_big5_nervous,3,Female,18,60,0.925,2021,18,South Korea
3525,korean_big5_sociable,2,Female,18,60,0.925,2021,18,South Korea
3525,korean_big5_imaginative,4,Female,18,60,0.925,2021,18,South Korea
3525,korean_big5_laidback,3,Female,18,60,0.925,2021,18,South Korea
3525,korean_big5_thorough,5,Female,18,60,0.925,2021,18,South Korea
3525,korean_big5_faults,1,Female,18,60,0.925,2021,18,South Korea
3525,korean_big5_conservative,4,Female,18,60,0.925,2021,18,South Korea
3545,korean_big5_laidback,4,Female,18,60,0.925,2021,18,South Korea
3545,korean_big5_trustworthy,5,Female,18,60,0.925,2021,18,South Korea
3545,korean_big5_thorough,5,Female,18,60,0.925,2021,18,South Korea
3545,korean_big5_nervous,5,Female,18,60,0.925,2021,18,South Korea
3545,korean_big5_imaginative,3,Female,18,60,0.925,2021,18,South Korea
3545,korean_big5_lazy,2,Female,18,60,0.925,2021,18,South Korea
3545,korean_big5_faults,5,Female,18,60,0.925,2021,18,South Korea
3545,korean_big5_conservative,4,Female,18,60,0.925,2021,18,South Korea
3545,korean_big5_sociable,5,Female,18,60,0.925,2021,18,South Korea
3573,korean_big5_laidback,3,Female,18,60,0.925,2021,18,South Korea
3573,korean_big5_nervous,6,Female,18,60,0.925,2021,18,South Korea
3573,korean_big5_conservative,2,Female,18,60,0.925,2021,18,South Korea
3573,korean_big5_lazy,5,Female,18,60,0.925,2021,18,South Korea
3573,korean_big5_thorough,5,Female,18,60,0.925,2021,18,South Korea
3573,korean_big5_sociable,6,Female,18,60,0.925,2021,18,South Korea
3573,korean_big5_trustworthy,4,Female,18,60,0.925,2021,18,South Korea
3573,korean_big5_imaginative,4,Female,18,60,0.925,2021,18,South Korea
3573,korean_big5_faults,7,Female,18,60,0.925,2021,18,South Korea
3633,korean_big5_thorough,4,Male,18,60,0.925,2021,18,South Korea
3633,korean_big5_nervous,3,Male,18,60,0.925,2021,18,South Korea
3633,korean_big5_faults,2,Male,18,60,0.925,2021,18,South Korea
3633,korean_big5_imaginative,5,Male,18,60,0.925,2021,18,South Korea
3633,korean_big5_sociable,6,Male,18,60,0.925,2021,18,South Korea
3633,korean_big5_trustworthy,5,Male,18,60,0.925,2021,18,South Korea
3633,korean_big5_laidback,4,Male,18,60,0.925,2021,18,South Korea
3633,korean_big5_conservative,4,Male,18,60,0.925,2021,18,South Korea
3633,korean_big5_lazy,4,Male,18,60,0.925,2021,18,South Korea
3659,korean_big5_imaginative,5,Female,18,60,0.925,2021,18,South Korea
3659,korean_big5_nervous,4,Female,18,60,0.925,2021,18,South Korea
3659,korean_big5_sociable,7,Female,18,60,0.925,2021,18,South Korea
3659,korean_big5_faults,4,Female,18,60,0.925,2021,18,South Korea
3659,korean_big5_laidback,3,Female,18,60,0.925,2021,18,South Korea
3659,korean_big5_lazy,3,Female,18,60,0.925,2021,18,South Korea
3659,korean_big5_thorough,6,Female,18,60,0.925,2021,18,South Korea
3659,korean_big5_trustworthy,5,Female,18,60,0.925,2021,18,South Korea
3659,korean_big5_conservative,1,Female,18,60,0.925,2021,18,South Korea
3401,korean_big5_sociable,,Female,18,60,0.925,2021,19,South Korea
3401,korean_big5_imaginative,,Female,18,60,0.925,2021,19,South Korea
3401,korean_big5_conservative,,Female,18,60,0.925,2021,19,South Korea
3401,korean_big5_lazy,,Female,18,60,0.925,2021,19,South Korea
3401,korean_big5_faults,,Female,18,60,0.925,2021,19,South Korea
3401,korean_big5_nervous,,Female,18,60,0.925,2021,19,South Korea
3401,korean_big5_laidback,,Female,18,60,0.925,2021,19,South Korea
3401,korean_big5_trustworthy,,Female,18,60,0.925,2021,19,South Korea
3401,korean_big5_thorough,,Female,18,60,0.925,2021,19,South Korea
3434,korean_big5_conservative,3,Female,18,60,0.925,2021,19,South Korea
3434,korean_big5_imaginative,5,Female,18,60,0.925,2021,19,South Korea
3434,korean_big5_trustworthy,5,Female,18,60,0.925,2021,19,South Korea
3434,korean_big5_nervous,2,Female,18,60,0.925,2021,19,South Korea
3434,korean_big5_thorough,5,Female,18,60,0.925,2021,19,South Korea
3434,korean_big5_faults,2,Female,18,60,0.925,2021,19,South Korea
3434,korean_big5_lazy,2,Female,18,60,0.925,2021,19,South Korea
3434,korean_big5_sociable,5,Female,18,60,0.925,2021,19,South Korea
3434,korean_big5_laidback,5,Female,18,60,0.925,2021,19,South Korea
3464,korean_big5_conservative,4,Female,18,60,0.925,2021,19,South Korea
3464,korean_big5_laidback,4,Female,18,60,0.925,2021,19,South Korea
3464,korean_big5_trustworthy,5,Female,18,60,0.925,2021,19,South Korea
3464,korean_big5_sociable,3,Female,18,60,0.925,2021,19,South Korea
3464,korean_big5_imaginative,5,Female,18,60,0.925,2021,19,South Korea
3464,korean_big5_thorough,6,Female,18,60,0.925,2021,19,South Korea
3464,korean_big5_nervous,5,Female,18,60,0.925,2021,19,South Korea
3464,korean_big5_faults,2,Female,18,60,0.925,2021,19,South Korea
3464,korean_big5_lazy,5,Female,18,60,0.925,2021,19,South Korea
3510,korean_big5_conservative,4,Male,18,60,0.925,2021,19,South Korea
3510,korean_big5_sociable,6,Male,18,60,0.925,2021,19,South Korea
3510,korean_big5_faults,3,Male,18,60,0.925,2021,19,South Korea
3510,korean_big5_trustworthy,3,Male,18,60,0.925,2021,19,South Korea
3510,korean_big5_laidback,3,Male,18,60,0.925,2021,19,South Korea
3510,korean_big5_imaginative,5,Male,18,60,0.925,2021,19,South Korea
3510,korean_big5_nervous,6,Male,18,60,0.925,2021,19,South Korea
3510,korean_big5_lazy,2,Male,18,60,0.925,2021,19,South Korea
3510,korean_big5_thorough,6,Male,18,60,0.925,2021,19,South Korea
3533,korean_big5_faults,4,Female,18,60,0.925,2021,19,South Korea
3533,korean_big5_imaginative,3,Female,18,60,0.925,2021,19,South Korea
3533,korean_big5_thorough,4,Female,18,60,0.925,2021,19,South Korea
3533,korean_big5_laidback,5,Female,18,60,0.925,2021,19,South Korea
3533,korean_big5_nervous,3,Female,18,60,0.925,2021,19,South Korea
3533,korean_big5_sociable,3,Female,18,60,0.925,2021,19,South Korea
3533,korean_big5_conservative,5,Female,18,60,0.925,2021,19,South Korea
3533,korean_big5_lazy,5,Female,18,60,0.925,2021,19,South Korea
3533,korean_big5_trustworthy,4,Female,18,60,0.925,2021,19,South Korea
3554,korean_big5_conservative,1,Female,18,60,0.925,2021,19,South Korea
3554,korean_big5_sociable,5,Female,18,60,0.925,2021,19,South Korea
3554,korean_big5_trustworthy,5,Female,18,60,0.925,2021,19,South Korea
3554,korean_big5_lazy,5,Female,18,60,0.925,2021,19,South Korea
3554,korean_big5_nervous,1,Female,18,60,0.925,2021,19,South Korea
3554,korean_big5_laidback,7,Female,18,60,0.925,2021,19,South Korea
3554,korean_big5_imaginative,7,Female,18,60,0.925,2021,19,South Korea
3554,korean_big5_thorough,5,Female,18,60,0.925,2021,19,South Korea
