"table","instrument","instructions","section_id","section_prompt","item","item_text","correct_response","resp","option_text"
"goldberg_2018_spa_cultural_familiarity","Eugene-Springfield Community Sample, Skills, Possessions, & Abilities (SPA): What Are You Familiar With?","Please rate your familiarity with each item by filling in the appropriate number from 1 to 5. EXAMPLES 1. If you're asked about POLITICIANS and the item said ""Bill Clinton,"" you would probably mark '4' or '5' to indicate that you are familiar with him. 2. If the category was FAMOUS ATHLETES and the item said ""Fred Gruneburg,"" you would probably mark '1' because you have never heard of him or a '2' because he sounds vaguely familiar.","goldberg_2018_spa_cultural_familiarity_1","Jazz Artists:","FAMJAZ1","Art Blakey",NA,1,"Never heard of it"
"goldberg_2018_spa_cultural_familiarity","Eugene-Springfield Community Sample, Skills, Possessions, & Abilities (SPA): What Are You Familiar With?","Please rate your familiarity with each item by filling in the appropriate number from 1 to 5. EXAMPLES 1. If you're asked about POLITICIANS and the item said ""Bill Clinton,"" you would probably mark '4' or '5' to indicate that you are familiar with him. 2. If the category was FAMOUS ATHLETES and the item said ""Fred Gruneburg,"" you would probably mark '1' because you have never heard of him or a '2' because he sounds vaguely familiar.","goldberg_2018_spa_cultural_familiarity_1","Jazz Artists:","FAMJAZ1","Art Blakey",NA,2,NA
"goldberg_2018_spa_cultural_familiarity","Eugene-Springfield Community Sample, Skills, Possessions, & Abilities (SPA): What Are You Familiar With?","Please rate your familiarity with each item by filling in the appropriate number from 1 to 5. EXAMPLES 1. If you're asked about POLITICIANS and the item said ""Bill Clinton,"" you would probably mark '4' or '5' to indicate that you are familiar with him. 2. If the category was FAMOUS ATHLETES and the item said ""Fred Gruneburg,"" you would probably mark '1' because you have never heard of him or a '2' because he sounds vaguely familiar.","goldberg_2018_spa_cultural_familiarity_1","Jazz Artists:","FAMJAZ1","Art Blakey",NA,3,"Somewhat familiar"
"goldberg_2018_spa_cultural_familiarity","Eugene-Springfield Community Sample, Skills, Possessions, & Abilities (SPA): What Are You Familiar With?","Please rate your familiarity with each item by filling in the appropriate number from 1 to 5. EXAMPLES 1. If you're asked about POLITICIANS and the item said ""Bill Clinton,"" you would probably mark '4' or '5' to indicate that you are familiar with him. 2. If the category was FAMOUS ATHLETES and the item said ""Fred Gruneburg,"" you would probably mark '1' because you have never heard of him or a '2' because he sounds vaguely familiar.","goldberg_2018_spa_cultural_familiarity_1","Jazz Artists:","FAMJAZ1","Art Blakey",NA,4,NA
"goldberg_2018_spa_cultural_familiarity","Eugene-Springfield Community Sample, Skills, Possessions, & Abilities (SPA): What Are You Familiar With?","Please rate your familiarity with each item by filling in the appropriate number from 1 to 5. EXAMPLES 1. If you're asked about POLITICIANS and the item said ""Bill Clinton,"" you would probably mark '4' or '5' to indicate that you are familiar with him. 2. If the category was FAMOUS ATHLETES and the item said ""Fred Gruneburg,"" you would probably mark '1' because you have never heard of him or a '2' because he sounds vaguely familiar.","goldberg_2018_spa_cultural_familiarity_1","Jazz Artists:","FAMJAZ1","Art Blakey",NA,5,"Very familiar"
"goldberg_2018_spa_cultural_familiarity","Eugene-Springfield Community Sample, Skills, Possessions, & Abilities (SPA): What Are You Familiar With?","Please rate your familiarity with each item by filling in the appropriate number from 1 to 5. EXAMPLES 1. If you're asked about POLITICIANS and the item said ""Bill Clinton,"" you would probably mark '4' or '5' to indicate that you are familiar with him. 2. If the category was FAMOUS ATHLETES and the item said ""Fred Gruneburg,"" you would probably mark '1' because you have never heard of him or a '2' because he sounds vaguely familiar.","goldberg_2018_spa_cultural_familiarity_1","Jazz Artists:","FAMJAZ2","Louis Armstrong",NA,1,"Never heard of it"
"goldberg_2018_spa_cultural_familiarity","Eugene-Springfield Community Sample, Skills, Possessions, & Abilities (SPA): What Are You Familiar With?","Please rate your familiarity with each item by filling in the appropriate number from 1 to 5. EXAMPLES 1. If you're asked about POLITICIANS and the item said ""Bill Clinton,"" you would probably mark '4' or '5' to indicate that you are familiar with him. 2. If the category was FAMOUS ATHLETES and the item said ""Fred Gruneburg,"" you would probably mark '1' because you have never heard of him or a '2' because he sounds vaguely familiar.","goldberg_2018_spa_cultural_familiarity_1","Jazz Artists:","FAMJAZ2","Louis Armstrong",NA,2,NA
"goldberg_2018_spa_cultural_familiarity","Eugene-Springfield Community Sample, Skills, Possessions, & Abilities (SPA): What Are You Familiar With?","Please rate your familiarity with each item by filling in the appropriate number from 1 to 5. EXAMPLES 1. If you're asked about POLITICIANS and the item said ""Bill Clinton,"" you would probably mark '4' or '5' to indicate that you are familiar with him. 2. If the category was FAMOUS ATHLETES and the item said ""Fred Gruneburg,"" you would probably mark '1' because you have never heard of him or a '2' because he sounds vaguely familiar.","goldberg_2018_spa_cultural_familiarity_1","Jazz Artists:","FAMJAZ2","Louis Armstrong",NA,3,"Somewhat familiar"
"goldberg_2018_spa_cultural_familiarity","Eugene-Springfield Community Sample, Skills, Possessions, & Abilities (SPA): What Are You Familiar With?","Please rate your familiarity with each item by filling in the appropriate number from 1 to 5. EXAMPLES 1. If you're asked about POLITICIANS and the item said ""Bill Clinton,"" you would probably mark '4' or '5' to indicate that you are familiar with him. 2. If the category was FAMOUS ATHLETES and the item said ""Fred Gruneburg,"" you would probably mark '1' because you have never heard of him or a '2' because he sounds vaguely familiar.","goldberg_2018_spa_cultural_familiarity_1","Jazz Artists:","FAMJAZ2","Louis Armstrong",NA,4,NA
"goldberg_2018_spa_cultural_familiarity","Eugene-Springfield Community Sample, Skills, Possessions, & Abilities (SPA): What Are You Familiar With?","Please rate your familiarity with each item by filling in the appropriate number from 1 to 5. EXAMPLES 1. If you're asked about POLITICIANS and the item said ""Bill Clinton,"" you would probably mark '4' or '5' to indicate that you are familiar with him. 2. If the category was FAMOUS ATHLETES and the item said ""Fred Gruneburg,"" you would probably mark '1' because you have never heard of him or a '2' because he sounds vaguely familiar.","goldberg_2018_spa_cultural_familiarity_1","Jazz Artists:","FAMJAZ2","Louis Armstrong",NA,5,"Very familiar"
"goldberg_2018_spa_cultural_familiarity","Eugene-Springfield Community Sample, Skills, Possessions, & Abilities (SPA): What Are You Familiar With?","Please rate your familiarity with each item by filling in the appropriate number from 1 to 5. EXAMPLES 1. If you're asked about POLITICIANS and the item said ""Bill Clinton,"" you would probably mark '4' or '5' to indicate that you are familiar with him. 2. If the category was FAMOUS ATHLETES and the item said ""Fred Gruneburg,"" you would probably mark '1' because you have never heard of him or a '2' because he sounds vaguely familiar.","goldberg_2018_spa_cultural_familiarity_1","Jazz Artists:","FAMJAZ3","Spoony Weathers",NA,1,"Never heard of it"
"goldberg_2018_spa_cultural_familiarity","Eugene-Springfield Community Sample, Skills, Possessions, & Abilities (SPA): What Are You Familiar With?","Please rate your familiarity with each item by filling in the appropriate number from 1 to 5. EXAMPLES 1. If you're asked about POLITICIANS and the item said ""Bill Clinton,"" you would probably mark '4' or '5' to indicate that you are familiar with him. 2. If the category was FAMOUS ATHLETES and the item said ""Fred Gruneburg,"" you would probably mark '1' because you have never heard of him or a '2' because he sounds vaguely familiar.","goldberg_2018_spa_cultural_familiarity_1","Jazz Artists:","FAMJAZ3","Spoony Weathers",NA,2,NA
"goldberg_2018_spa_cultural_familiarity","Eugene-Springfield Community Sample, Skills, Possessions, & Abilities (SPA): What Are You Familiar With?","Please rate your familiarity with each item by filling in the appropriate number from 1 to 5. EXAMPLES 1. If you're asked about POLITICIANS and the item said ""Bill Clinton,"" you would probably mark '4' or '5' to indicate that you are familiar with him. 2. If the category was FAMOUS ATHLETES and the item said ""Fred Gruneburg,"" you would probably mark '1' because you have never heard of him or a '2' because he sounds vaguely familiar.","goldberg_2018_spa_cultural_familiarity_1","Jazz Artists:","FAMJAZ3","Spoony Weathers",NA,3,"Somewhat familiar"
"goldberg_2018_spa_cultural_familiarity","Eugene-Springfield Community Sample, Skills, Possessions, & Abilities (SPA): What Are You Familiar With?","Please rate your familiarity with each item by filling in the appropriate number from 1 to 5. EXAMPLES 1. If you're asked about POLITICIANS and the item said ""Bill Clinton,"" you would probably mark '4' or '5' to indicate that you are familiar with him. 2. If the category was FAMOUS ATHLETES and the item said ""Fred Gruneburg,"" you would probably mark '1' because you have never heard of him or a '2' because he sounds vaguely familiar.","goldberg_2018_spa_cultural_familiarity_1","Jazz Artists:","FAMJAZ3","Spoony Weathers",NA,4,NA
"goldberg_2018_spa_cultural_familiarity","Eugene-Springfield Community Sample, Skills, Possessions, & Abilities (SPA): What Are You Familiar With?","Please rate your familiarity with each item by filling in the appropriate number from 1 to 5. EXAMPLES 1. If you're asked about POLITICIANS and the item said ""Bill Clinton,"" you would probably mark '4' or '5' to indicate that you are familiar with him. 2. If the category was FAMOUS ATHLETES and the item said ""Fred Gruneburg,"" you would probably mark '1' because you have never heard of him or a '2' because he sounds vaguely familiar.","goldberg_2018_spa_cultural_familiarity_1","Jazz Artists:","FAMJAZ3","Spoony Weathers",NA,5,"Very familiar"
"goldberg_2018_spa_cultural_familiarity","Eugene-Springfield Community Sample, Skills, Possessions, & Abilities (SPA): What Are You Familiar With?","Please rate your familiarity with each item by filling in the appropriate number from 1 to 5. EXAMPLES 1. If you're asked about POLITICIANS and the item said ""Bill Clinton,"" you would probably mark '4' or '5' to indicate that you are familiar with him. 2. If the category was FAMOUS ATHLETES and the item said ""Fred Gruneburg,"" you would probably mark '1' because you have never heard of him or a '2' because he sounds vaguely familiar.","goldberg_2018_spa_cultural_familiarity_1","Jazz Artists:","FAMJAZ4","Doctor Nerve",NA,1,"Never heard of it"
"goldberg_2018_spa_cultural_familiarity","Eugene-Springfield Community Sample, Skills, Possessions, & Abilities (SPA): What Are You Familiar With?","Please rate your familiarity with each item by filling in the appropriate number from 1 to 5. EXAMPLES 1. If you're asked about POLITICIANS and the item said ""Bill Clinton,"" you would probably mark '4' or '5' to indicate that you are familiar with him. 2. If the category was FAMOUS ATHLETES and the item said ""Fred Gruneburg,"" you would probably mark '1' because you have never heard of him or a '2' because he sounds vaguely familiar.","goldberg_2018_spa_cultural_familiarity_1","Jazz Artists:","FAMJAZ4","Doctor Nerve",NA,2,NA
"goldberg_2018_spa_cultural_familiarity","Eugene-Springfield Community Sample, Skills, Possessions, & Abilities (SPA): What Are You Familiar With?","Please rate your familiarity with each item by filling in the appropriate number from 1 to 5. EXAMPLES 1. If you're asked about POLITICIANS and the item said ""Bill Clinton,"" you would probably mark '4' or '5' to indicate that you are familiar with him. 2. If the category was FAMOUS ATHLETES and the item said ""Fred Gruneburg,"" you would probably mark '1' because you have never heard of him or a '2' because he sounds vaguely familiar.","goldberg_2018_spa_cultural_familiarity_1","Jazz Artists:","FAMJAZ4","Doctor Nerve",NA,3,"Somewhat familiar"
"goldberg_2018_spa_cultural_familiarity","Eugene-Springfield Community Sample, Skills, Possessions, & Abilities (SPA): What Are You Familiar With?","Please rate your familiarity with each item by filling in the appropriate number from 1 to 5. EXAMPLES 1. If you're asked about POLITICIANS and the item said ""Bill Clinton,"" you would probably mark '4' or '5' to indicate that you are familiar with him. 2. If the category was FAMOUS ATHLETES and the item said ""Fred Gruneburg,"" you would probably mark '1' because you have never heard of him or a '2' because he sounds vaguely familiar.","goldberg_2018_spa_cultural_familiarity_1","Jazz Artists:","FAMJAZ4","Doctor Nerve",NA,4,NA
"goldberg_2018_spa_cultural_familiarity","Eugene-Springfield Community Sample, Skills, Possessions, & Abilities (SPA): What Are You Familiar With?","Please rate your familiarity with each item by filling in the appropriate number from 1 to 5. EXAMPLES 1. If you're asked about POLITICIANS and the item said ""Bill Clinton,"" you would probably mark '4' or '5' to indicate that you are familiar with him. 2. If the category was FAMOUS ATHLETES and the item said ""Fred Gruneburg,"" you would probably mark '1' because you have never heard of him or a '2' because he sounds vaguely familiar.","goldberg_2018_spa_cultural_familiarity_1","Jazz Artists:","FAMJAZ4","Doctor Nerve",NA,5,"Very familiar"
"goldberg_2018_spa_cultural_familiarity","Eugene-Springfield Community Sample, Skills, Possessions, & Abilities (SPA): What Are You Familiar With?","Please rate your familiarity with each item by filling in the appropriate number from 1 to 5. EXAMPLES 1. If you're asked about POLITICIANS and the item said ""Bill Clinton,"" you would probably mark '4' or '5' to indicate that you are familiar with him. 2. If the category was FAMOUS ATHLETES and the item said ""Fred Gruneburg,"" you would probably mark '1' because you have never heard of him or a '2' because he sounds vaguely familiar.","goldberg_2018_spa_cultural_familiarity_1","Jazz Artists:","FAMJAZ5","Richard ""Groove"" Holmes",NA,1,"Never heard of it"
"goldberg_2018_spa_cultural_familiarity","Eugene-Springfield Community Sample, Skills, Possessions, & Abilities (SPA): What Are You Familiar With?","Please rate your familiarity with each item by filling in the appropriate number from 1 to 5. EXAMPLES 1. If you're asked about POLITICIANS and the item said ""Bill Clinton,"" you would probably mark '4' or '5' to indicate that you are familiar with him. 2. If the category was FAMOUS ATHLETES and the item said ""Fred Gruneburg,"" you would probably mark '1' because you have never heard of him or a '2' because he sounds vaguely familiar.","goldberg_2018_spa_cultural_familiarity_1","Jazz Artists:","FAMJAZ5","Richard ""Groove"" Holmes",NA,2,NA
"goldberg_2018_spa_cultural_familiarity","Eugene-Springfield Community Sample, Skills, Possessions, & Abilities (SPA): What Are You Familiar With?","Please rate your familiarity with each item by filling in the appropriate number from 1 to 5. EXAMPLES 1. If you're asked about POLITICIANS and the item said ""Bill Clinton,"" you would probably mark '4' or '5' to indicate that you are familiar with him. 2. If the category was FAMOUS ATHLETES and the item said ""Fred Gruneburg,"" you would probably mark '1' because you have never heard of him or a '2' because he sounds vaguely familiar.","goldberg_2018_spa_cultural_familiarity_1","Jazz Artists:","FAMJAZ5","Richard ""Groove"" Holmes",NA,3,"Somewhat familiar"
"goldberg_2018_spa_cultural_familiarity","Eugene-Springfield Community Sample, Skills, Possessions, & Abilities (SPA): What Are You Familiar With?","Please rate your familiarity with each item by filling in the appropriate number from 1 to 5. EXAMPLES 1. If you're asked about POLITICIANS and the item said ""Bill Clinton,"" you would probably mark '4' or '5' to indicate that you are familiar with him. 2. If the category was FAMOUS ATHLETES and the item said ""Fred Gruneburg,"" you would probably mark '1' because you have never heard of him or a '2' because he sounds vaguely familiar.","goldberg_2018_spa_cultural_familiarity_1","Jazz Artists:","FAMJAZ5","Richard ""Groove"" Holmes",NA,4,NA
"goldberg_2018_spa_cultural_familiarity","Eugene-Springfield Community Sample, Skills, Possessions, & Abilities (SPA): What Are You Familiar With?","Please rate your familiarity with each item by filling in the appropriate number from 1 to 5. EXAMPLES 1. If you're asked about POLITICIANS and the item said ""Bill Clinton,"" you would probably mark '4' or '5' to indicate that you are familiar with him. 2. If the category was FAMOUS ATHLETES and the item said ""Fred Gruneburg,"" you would probably mark '1' because you have never heard of him or a '2' because he sounds vaguely familiar.","goldberg_2018_spa_cultural_familiarity_1","Jazz Artists:","FAMJAZ5","Richard ""Groove"" Holmes",NA,5,"Very familiar"
"goldberg_2018_spa_cultural_familiarity","Eugene-Springfield Community Sample, Skills, Possessions, & Abilities (SPA): What Are You Familiar With?","Please rate your familiarity with each item by filling in the appropriate number from 1 to 5. EXAMPLES 1. If you're asked about POLITICIANS and the item said ""Bill Clinton,"" you would probably mark '4' or '5' to indicate that you are familiar with him. 2. If the category was FAMOUS ATHLETES and the item said ""Fred Gruneburg,"" you would probably mark '1' because you have never heard of him or a '2' because he sounds vaguely familiar.","goldberg_2018_spa_cultural_familiarity_1","Jazz Artists:","FAMJAZ6","The Jazz Passengers",NA,1,"Never heard of it"
"goldberg_2018_spa_cultural_familiarity","Eugene-Springfield Community Sample, Skills, Possessions, & Abilities (SPA): What Are You Familiar With?","Please rate your familiarity with each item by filling in the appropriate number from 1 to 5. EXAMPLES 1. If you're asked about POLITICIANS and the item said ""Bill Clinton,"" you would probably mark '4' or '5' to indicate that you are familiar with him. 2. If the category was FAMOUS ATHLETES and the item said ""Fred Gruneburg,"" you would probably mark '1' because you have never heard of him or a '2' because he sounds vaguely familiar.","goldberg_2018_spa_cultural_familiarity_1","Jazz Artists:","FAMJAZ6","The Jazz Passengers",NA,2,NA
"goldberg_2018_spa_cultural_familiarity","Eugene-Springfield Community Sample, Skills, Possessions, & Abilities (SPA): What Are You Familiar With?","Please rate your familiarity with each item by filling in the appropriate number from 1 to 5. EXAMPLES 1. If you're asked about POLITICIANS and the item said ""Bill Clinton,"" you would probably mark '4' or '5' to indicate that you are familiar with him. 2. If the category was FAMOUS ATHLETES and the item said ""Fred Gruneburg,"" you would probably mark '1' because you have never heard of him or a '2' because he sounds vaguely familiar.","goldberg_2018_spa_cultural_familiarity_1","Jazz Artists:","FAMJAZ6","The Jazz Passengers",NA,3,"Somewhat familiar"
"goldberg_2018_spa_cultural_familiarity","Eugene-Springfield Community Sample, Skills, Possessions, & Abilities (SPA): What Are You Familiar With?","Please rate your familiarity with each item by filling in the appropriate number from 1 to 5. EXAMPLES 1. If you're asked about POLITICIANS and the item said ""Bill Clinton,"" you would probably mark '4' or '5' to indicate that you are familiar with him. 2. If the category was FAMOUS ATHLETES and the item said ""Fred Gruneburg,"" you would probably mark '1' because you have never heard of him or a '2' because he sounds vaguely familiar.","goldberg_2018_spa_cultural_familiarity_1","Jazz Artists:","FAMJAZ6","The Jazz Passengers",NA,4,NA
"goldberg_2018_spa_cultural_familiarity","Eugene-Springfield Community Sample, Skills, Possessions, & Abilities (SPA): What Are You Familiar With?","Please rate your familiarity with each item by filling in the appropriate number from 1 to 5. EXAMPLES 1. If you're asked about POLITICIANS and the item said ""Bill Clinton,"" you would probably mark '4' or '5' to indicate that you are familiar with him. 2. If the category was FAMOUS ATHLETES and the item said ""Fred Gruneburg,"" you would probably mark '1' because you have never heard of him or a '2' because he sounds vaguely familiar.","goldberg_2018_spa_cultural_familiarity_1","Jazz Artists:","FAMJAZ6","The Jazz Passengers",NA,5,"Very familiar"
