"table","n_gt_items","n_cand_items","n_missed_items","n_extra_items","item_coverage_ok","resp_alignment_rate","mean_item_text_similarity","mean_option_text_similarity","mean_context_similarity","n_context_swap_detected","classification"
"ccapsvtskhpacr_mercedes_2023_tsk",17,17,0,0,TRUE,1,1,1,NA,0,"confirm"
"chile_2023_social-welfare-survey_h",13,13,0,0,TRUE,0.9231,1,1,NA,0,"review"
"double_marking_steele_2022",6,6,0,0,TRUE,1,0.0188,1,NA,0,"review"
"dumas_organisciak_2022",10,10,0,0,TRUE,1,1,1,NA,0,"confirm"
"eammi_grahe_2018_npi",13,13,0,0,TRUE,1,NA,0.9948,NA,0,"confirm"
"eammi_grahe_2018_socmedia",12,12,0,0,TRUE,0.9167,1,1,1,0,"review"
"gilbert_meta_35",12,12,0,0,TRUE,1,1,1,NA,0,"confirm"
"gilbert_meta_42",20,20,0,0,TRUE,1,1,1,1,0,"confirm"
"gilbert_meta_78",192,189,3,0,FALSE,1,1,NA,NA,0,"review"
"gilbert_meta_80",44,36,8,0,FALSE,1,1,NA,NA,0,"review"
"preschool_sel_akt",17,65,0,48,FALSE,1,1,1,NA,0,"review"
"shu_2025_translation_eib",7,7,0,0,TRUE,0.8571,1,1,NA,0,"review"
"singh_2025_identity_cse",16,16,0,0,TRUE,1,1,0.8235,NA,0,"review"
"singh_2025_identity_pit",5,4,1,0,FALSE,1,1,1,NA,0,"review"
"sv-maia2_randelovic_2021_erq",10,10,0,0,TRUE,0,1,0.8095,1,0,"review"
"sv-maia2_randelovic_2021_hexaco60",60,60,0,0,TRUE,0.6,1,1,1,0,"review"
"threat_isler_2024_exp4_cog_crt",1,3,0,2,FALSE,1,1,1,NA,0,"review"
