"table","instrument","language","instructions","section_id","section_prompt","item","item_text","correct_response","resp","option_text"
"hoorani_2022_child_help","Young Lives child questionnaire (India, older cohort, round two): availability of someone to help","Telugu",NA,"hoorani_2022_child_help_1",NA,"CHELP01","Is there someone who could help you if you were having a problem with your studies at school?",NA,0,"No"
"hoorani_2022_child_help","Young Lives child questionnaire (India, older cohort, round two): availability of someone to help","Telugu",NA,"hoorani_2022_child_help_1",NA,"CHELP01","Is there someone who could help you if you were having a problem with your studies at school?",NA,1,"Yes"
"hoorani_2022_child_help","Young Lives child questionnaire (India, older cohort, round two): availability of someone to help","Telugu",NA,"hoorani_2022_child_help_1",NA,"CHELP02","Is there someone who could help you if you were worried about something at home?",NA,0,"No"
"hoorani_2022_child_help","Young Lives child questionnaire (India, older cohort, round two): availability of someone to help","Telugu",NA,"hoorani_2022_child_help_1",NA,"CHELP02","Is there someone who could help you if you were worried about something at home?",NA,1,"Yes"
"hoorani_2022_child_help","Young Lives child questionnaire (India, older cohort, round two): availability of someone to help","Telugu",NA,"hoorani_2022_child_help_1",NA,"CHELP03","Is there someone who could help if you were being teased or bullied by another child?",NA,0,"No"
"hoorani_2022_child_help","Young Lives child questionnaire (India, older cohort, round two): availability of someone to help","Telugu",NA,"hoorani_2022_child_help_1",NA,"CHELP03","Is there someone who could help if you were being teased or bullied by another child?",NA,1,"Yes"
"hoorani_2022_child_help","Young Lives child questionnaire (India, older cohort, round two): availability of someone to help","Telugu",NA,"hoorani_2022_child_help_1",NA,"CHELP04","Is there someone who could help you if you needed advice about a religious matter?",NA,0,"No"
"hoorani_2022_child_help","Young Lives child questionnaire (India, older cohort, round two): availability of someone to help","Telugu",NA,"hoorani_2022_child_help_1",NA,"CHELP04","Is there someone who could help you if you needed advice about a religious matter?",NA,1,"Yes"
"hoorani_2022_child_help","Young Lives child questionnaire (India, older cohort, round two): availability of someone to help","Telugu",NA,"hoorani_2022_child_help_1",NA,"CHELP05","Is there someone who could help you if you needed help getting to school or work?",NA,0,"No"
"hoorani_2022_child_help","Young Lives child questionnaire (India, older cohort, round two): availability of someone to help","Telugu",NA,"hoorani_2022_child_help_1",NA,"CHELP05","Is there someone who could help you if you needed help getting to school or work?",NA,1,"Yes"
