"table","instrument","language","instructions","section_id","section_prompt","item","item_text","item_text_translated","correct_response","resp","option_text","option_text_translated"
"horiuchi_2024_dissociation","Child Dissociative Checklist (CDC), Version 3","Japanese",NA,"horiuchi_2024_dissociation_1",NA,"dissoc1","The child does not remember or denies traumatic or painful experiences that are known to have occurred.",NA,NA,0,"NOT TRUE",NA
"horiuchi_2024_dissociation","Child Dissociative Checklist (CDC), Version 3","Japanese",NA,"horiuchi_2024_dissociation_1",NA,"dissoc1","The child does not remember or denies traumatic or painful experiences that are known to have occurred.",NA,NA,1,"SOMEWHAT or SOMETIMES TRUE",NA
"horiuchi_2024_dissociation","Child Dissociative Checklist (CDC), Version 3","Japanese",NA,"horiuchi_2024_dissociation_1",NA,"dissoc1","The child does not remember or denies traumatic or painful experiences that are known to have occurred.",NA,NA,2,"VERY TRUE",NA
"horiuchi_2024_dissociation","Child Dissociative Checklist (CDC), Version 3","Japanese",NA,"horiuchi_2024_dissociation_1",NA,"dissoc2","The child sometimes goes into a daze or trance-like state or often appears ""spaced out."" Teachers may report that they ""daydream"" frequently in school.",NA,NA,0,"NOT TRUE",NA
"horiuchi_2024_dissociation","Child Dissociative Checklist (CDC), Version 3","Japanese",NA,"horiuchi_2024_dissociation_1",NA,"dissoc2","The child sometimes goes into a daze or trance-like state or often appears ""spaced out."" Teachers may report that they ""daydream"" frequently in school.",NA,NA,1,"SOMEWHAT or SOMETIMES TRUE",NA
"horiuchi_2024_dissociation","Child Dissociative Checklist (CDC), Version 3","Japanese",NA,"horiuchi_2024_dissociation_1",NA,"dissoc2","The child sometimes goes into a daze or trance-like state or often appears ""spaced out."" Teachers may report that they ""daydream"" frequently in school.",NA,NA,2,"VERY TRUE",NA
"horiuchi_2024_dissociation","Child Dissociative Checklist (CDC), Version 3","Japanese",NA,"horiuchi_2024_dissociation_1",NA,"dissoc3","The child shows rapid personality changes. They may go from being shy to being outgoing, from feminine to masculine, from timid to aggressive.",NA,NA,0,"NOT TRUE",NA
"horiuchi_2024_dissociation","Child Dissociative Checklist (CDC), Version 3","Japanese",NA,"horiuchi_2024_dissociation_1",NA,"dissoc3","The child shows rapid personality changes. They may go from being shy to being outgoing, from feminine to masculine, from timid to aggressive.",NA,NA,1,"SOMEWHAT or SOMETIMES TRUE",NA
"horiuchi_2024_dissociation","Child Dissociative Checklist (CDC), Version 3","Japanese",NA,"horiuchi_2024_dissociation_1",NA,"dissoc3","The child shows rapid personality changes. They may go from being shy to being outgoing, from feminine to masculine, from timid to aggressive.",NA,NA,2,"VERY TRUE",NA
"horiuchi_2024_dissociation","Child Dissociative Checklist (CDC), Version 3","Japanese",NA,"horiuchi_2024_dissociation_1",NA,"dissoc4","The child is unusually forgetful or confused about things they should know, e.g., they may forget the names of friends, teachers, or other important people, loses possessions, or gets easily lost.",NA,NA,0,"NOT TRUE",NA
