"table","section_id","item","instrument","language","instructions","section_prompt","item_text","item_text_translated","correct_response","option_text","option_text_translated","resp"
"kitayama_2022_hweat","kitayama_2022_hweat_1","Q1","Japanese version of the Healthy Work Environment Assessment Tool (HWE-AT-J)","Japanese",NA,NA,"看護部管理者、看護師長、医師、看護師、その他のスタッフは、お互いに決定事項に驚いたり、不意をつかれる思いをしたりしないように、頻繁なコミュケーションを保っている。","Nursing administrators, nurse managers, physicians, nurses, and other staff maintain frequent communication with one another so that no one is surprised or caught off guard by decisions.",NA,NA,"strongly disagree with the statement",1
"kitayama_2022_hweat","kitayama_2022_hweat_1","Q1","Japanese version of the Healthy Work Environment Assessment Tool (HWE-AT-J)","Japanese",NA,NA,"看護部管理者、看護師長、医師、看護師、その他のスタッフは、お互いに決定事項に驚いたり、不意をつかれる思いをしたりしないように、頻繁なコミュケーションを保っている。","Nursing administrators, nurse managers, physicians, nurses, and other staff maintain frequent communication with one another so that no one is surprised or caught off guard by decisions.",NA,NA,NA,2
"kitayama_2022_hweat","kitayama_2022_hweat_1","Q1","Japanese version of the Healthy Work Environment Assessment Tool (HWE-AT-J)","Japanese",NA,NA,"看護部管理者、看護師長、医師、看護師、その他のスタッフは、お互いに決定事項に驚いたり、不意をつかれる思いをしたりしないように、頻繁なコミュケーションを保っている。","Nursing administrators, nurse managers, physicians, nurses, and other staff maintain frequent communication with one another so that no one is surprised or caught off guard by decisions.",NA,NA,NA,3
"kitayama_2022_hweat","kitayama_2022_hweat_1","Q1","Japanese version of the Healthy Work Environment Assessment Tool (HWE-AT-J)","Japanese",NA,NA,"看護部管理者、看護師長、医師、看護師、その他のスタッフは、お互いに決定事項に驚いたり、不意をつかれる思いをしたりしないように、頻繁なコミュケーションを保っている。","Nursing administrators, nurse managers, physicians, nurses, and other staff maintain frequent communication with one another so that no one is surprised or caught off guard by decisions.",NA,NA,NA,4
"kitayama_2022_hweat","kitayama_2022_hweat_1","Q1","Japanese version of the Healthy Work Environment Assessment Tool (HWE-AT-J)","Japanese",NA,NA,"看護部管理者、看護師長、医師、看護師、その他のスタッフは、お互いに決定事項に驚いたり、不意をつかれる思いをしたりしないように、頻繁なコミュケーションを保っている。","Nursing administrators, nurse managers, physicians, nurses, and other staff maintain frequent communication with one another so that no one is surprised or caught off guard by decisions.",NA,NA,"strongly agree with the statement",5
"kitayama_2022_hweat","kitayama_2022_hweat_1","Q2","Japanese version of the Healthy Work Environment Assessment Tool (HWE-AT-J)","Japanese",NA,NA,"看護部管理者、看護師長、医師は重要な決定を下す際、然るべき程度に看護師やその他のスタッフを関与させている。","Nursing administrators, nurse managers, and physicians involve nurses and other staff to an appropriate degree when making important decisions.",NA,NA,"strongly disagree with the statement",1
"kitayama_2022_hweat","kitayama_2022_hweat_1","Q2","Japanese version of the Healthy Work Environment Assessment Tool (HWE-AT-J)","Japanese",NA,NA,"看護部管理者、看護師長、医師は重要な決定を下す際、然るべき程度に看護師やその他のスタッフを関与させている。","Nursing administrators, nurse managers, and physicians involve nurses and other staff to an appropriate degree when making important decisions.",NA,NA,NA,2
"kitayama_2022_hweat","kitayama_2022_hweat_1","Q2","Japanese version of the Healthy Work Environment Assessment Tool (HWE-AT-J)","Japanese",NA,NA,"看護部管理者、看護師長、医師は重要な決定を下す際、然るべき程度に看護師やその他のスタッフを関与させている。","Nursing administrators, nurse managers, and physicians involve nurses and other staff to an appropriate degree when making important decisions.",NA,NA,NA,3
"kitayama_2022_hweat","kitayama_2022_hweat_1","Q2","Japanese version of the Healthy Work Environment Assessment Tool (HWE-AT-J)","Japanese",NA,NA,"看護部管理者、看護師長、医師は重要な決定を下す際、然るべき程度に看護師やその他のスタッフを関与させている。","Nursing administrators, nurse managers, and physicians involve nurses and other staff to an appropriate degree when making important decisions.",NA,NA,NA,4
"kitayama_2022_hweat","kitayama_2022_hweat_1","Q2","Japanese version of the Healthy Work Environment Assessment Tool (HWE-AT-J)","Japanese",NA,NA,"看護部管理者、看護師長、医師は重要な決定を下す際、然るべき程度に看護師やその他のスタッフを関与させている。","Nursing administrators, nurse managers, and physicians involve nurses and other staff to an appropriate degree when making important decisions.",NA,NA,"strongly agree with the statement",5
"kitayama_2022_hweat","kitayama_2022_hweat_1","Q3","Japanese version of the Healthy Work Environment Assessment Tool (HWE-AT-J)","Japanese",NA,NA,"看護部管理者や看護師長は、看護師やその他のスタッフと協働し、患者の安全を維持するために十分な人材を確保するよう努めている。","Nursing administrators and nurse managers work together with nurses and other staff and strive to secure sufficient personnel to maintain patient safety.",NA,NA,"strongly disagree with the statement",1
"kitayama_2022_hweat","kitayama_2022_hweat_1","Q3","Japanese version of the Healthy Work Environment Assessment Tool (HWE-AT-J)","Japanese",NA,NA,"看護部管理者や看護師長は、看護師やその他のスタッフと協働し、患者の安全を維持するために十分な人材を確保するよう努めている。","Nursing administrators and nurse managers work together with nurses and other staff and strive to secure sufficient personnel to maintain patient safety.",NA,NA,NA,2
"kitayama_2022_hweat","kitayama_2022_hweat_1","Q3","Japanese version of the Healthy Work Environment Assessment Tool (HWE-AT-J)","Japanese",NA,NA,"看護部管理者や看護師長は、看護師やその他のスタッフと協働し、患者の安全を維持するために十分な人材を確保するよう努めている。","Nursing administrators and nurse managers work together with nurses and other staff and strive to secure sufficient personnel to maintain patient safety.",NA,NA,NA,3
"kitayama_2022_hweat","kitayama_2022_hweat_1","Q3","Japanese version of the Healthy Work Environment Assessment Tool (HWE-AT-J)","Japanese",NA,NA,"看護部管理者や看護師長は、看護師やその他のスタッフと協働し、患者の安全を維持するために十分な人材を確保するよう努めている。","Nursing administrators and nurse managers work together with nurses and other staff and strive to secure sufficient personnel to maintain patient safety.",NA,NA,NA,4
