"table","section_id","item","instrument","language","instructions","instructions_translated","section_prompt","item_text","item_text_translated","correct_response","option_text","option_text_translated","resp"
"spain_2014_debate_debate","spain_2014_debate_debate_1","p8","CIS Estudio 3016, Debate sobre el estado de la Nación (XXIV) (febrero 2014), P.8, P.11 y P.12: valoración del Debate","Spanish",NA,NA,NA,"¿Con qué interés ha seguido Ud. este Debate sobre el estado de la Nación (o la información que ha visto o escuchado sobre él)?: con mucho interés, bastante, poco o ningún interés?","With how much interest have you followed this State of the Nation Debate (or the information you have seen or heard about it)?: with a lot of interest, quite a lot, little or no interest?",NA,"Mucho","A lot",1
"spain_2014_debate_debate","spain_2014_debate_debate_1","p8","CIS Estudio 3016, Debate sobre el estado de la Nación (XXIV) (febrero 2014), P.8, P.11 y P.12: valoración del Debate","Spanish",NA,NA,NA,"¿Con qué interés ha seguido Ud. este Debate sobre el estado de la Nación (o la información que ha visto o escuchado sobre él)?: con mucho interés, bastante, poco o ningún interés?","With how much interest have you followed this State of the Nation Debate (or the information you have seen or heard about it)?: with a lot of interest, quite a lot, little or no interest?",NA,"Bastante","Quite a lot",2
"spain_2014_debate_debate","spain_2014_debate_debate_1","p8","CIS Estudio 3016, Debate sobre el estado de la Nación (XXIV) (febrero 2014), P.8, P.11 y P.12: valoración del Debate","Spanish",NA,NA,NA,"¿Con qué interés ha seguido Ud. este Debate sobre el estado de la Nación (o la información que ha visto o escuchado sobre él)?: con mucho interés, bastante, poco o ningún interés?","With how much interest have you followed this State of the Nation Debate (or the information you have seen or heard about it)?: with a lot of interest, quite a lot, little or no interest?",NA,"Poco","Little",3
"spain_2014_debate_debate","spain_2014_debate_debate_1","p8","CIS Estudio 3016, Debate sobre el estado de la Nación (XXIV) (febrero 2014), P.8, P.11 y P.12: valoración del Debate","Spanish",NA,NA,NA,"¿Con qué interés ha seguido Ud. este Debate sobre el estado de la Nación (o la información que ha visto o escuchado sobre él)?: con mucho interés, bastante, poco o ningún interés?","With how much interest have you followed this State of the Nation Debate (or the information you have seen or heard about it)?: with a lot of interest, quite a lot, little or no interest?",NA,"Ningún","None",4
"spain_2014_debate_debate","spain_2014_debate_debate_1","p11","CIS Estudio 3016, Debate sobre el estado de la Nación (XXIV) (febrero 2014), P.8, P.11 y P.12: valoración del Debate","Spanish",NA,NA,NA,"Y, ¿en qué medida, mucho, bastante, poco o nada, diría Ud. que en el Debate se han tratado los temas que realmente preocupan hoy a los españoles?","And to what extent, a lot, quite a lot, little or not at all, would you say that the Debate has dealt with the issues that really worry Spaniards today?",NA,"Mucho","A lot",1
"spain_2014_debate_debate","spain_2014_debate_debate_1","p11","CIS Estudio 3016, Debate sobre el estado de la Nación (XXIV) (febrero 2014), P.8, P.11 y P.12: valoración del Debate","Spanish",NA,NA,NA,"Y, ¿en qué medida, mucho, bastante, poco o nada, diría Ud. que en el Debate se han tratado los temas que realmente preocupan hoy a los españoles?","And to what extent, a lot, quite a lot, little or not at all, would you say that the Debate has dealt with the issues that really worry Spaniards today?",NA,"Bastante","Quite a lot",2
"spain_2014_debate_debate","spain_2014_debate_debate_1","p11","CIS Estudio 3016, Debate sobre el estado de la Nación (XXIV) (febrero 2014), P.8, P.11 y P.12: valoración del Debate","Spanish",NA,NA,NA,"Y, ¿en qué medida, mucho, bastante, poco o nada, diría Ud. que en el Debate se han tratado los temas que realmente preocupan hoy a los españoles?","And to what extent, a lot, quite a lot, little or not at all, would you say that the Debate has dealt with the issues that really worry Spaniards today?",NA,"Poco","Little",3
"spain_2014_debate_debate","spain_2014_debate_debate_1","p11","CIS Estudio 3016, Debate sobre el estado de la Nación (XXIV) (febrero 2014), P.8, P.11 y P.12: valoración del Debate","Spanish",NA,NA,NA,"Y, ¿en qué medida, mucho, bastante, poco o nada, diría Ud. que en el Debate se han tratado los temas que realmente preocupan hoy a los españoles?","And to what extent, a lot, quite a lot, little or not at all, would you say that the Debate has dealt with the issues that really worry Spaniards today?",NA,"Nada","Not at all",4
"spain_2014_debate_debate","spain_2014_debate_debate_1","p12","CIS Estudio 3016, Debate sobre el estado de la Nación (XXIV) (febrero 2014), P.8, P.11 y P.12: valoración del Debate","Spanish",NA,NA,NA,"Por lo que Ud. sabe, ¿diría que el desarrollo de este Debate Parlamentario [MIÉRCOLES está siendo, JUEVES ha sido] en general, muy conflictivo, bastante, poco o nada conflictivo?","As far as you know, would you say that the course of this Parliamentary Debate [WEDNESDAY: is being, THURSDAY: has been] on the whole very confrontational, quite, not very or not at all confrontational?",NA,"Muy conflictivo","Very confrontational",1
"spain_2014_debate_debate","spain_2014_debate_debate_1","p12","CIS Estudio 3016, Debate sobre el estado de la Nación (XXIV) (febrero 2014), P.8, P.11 y P.12: valoración del Debate","Spanish",NA,NA,NA,"Por lo que Ud. sabe, ¿diría que el desarrollo de este Debate Parlamentario [MIÉRCOLES está siendo, JUEVES ha sido] en general, muy conflictivo, bastante, poco o nada conflictivo?","As far as you know, would you say that the course of this Parliamentary Debate [WEDNESDAY: is being, THURSDAY: has been] on the whole very confrontational, quite, not very or not at all confrontational?",NA,"Bastante conflictivo","Quite confrontational",2
