"table","status","n_items_live","n_items_candidate","item_set_match","resp_set_match","uses_raw_resp","canonical_nulls","pct_item_text_missing","pct_option_text_missing","note"
"busch_2023_stigma","PASS",8,8,TRUE,TRUE,FALSE,TRUE,0,0,""
"butt_2022_actual_usage","PASS",2,2,TRUE,TRUE,FALSE,TRUE,0,0,""
"butt_2022_cognitive_absorption","PASS",4,4,TRUE,TRUE,FALSE,TRUE,0,0,""
"butt_2022_institutional_factors","PASS",11,11,TRUE,TRUE,FALSE,TRUE,0,0,""
"butt_2022_task_tech_fit","PASS",3,3,TRUE,TRUE,FALSE,TRUE,0,0,""
"butt_2022_user_satisfaction","PASS",3,3,TRUE,TRUE,FALSE,TRUE,0,0,""
"buzgova_2023_gai","PASS",20,20,TRUE,TRUE,FALSE,TRUE,0,0,""
"buzgova_2023_gds","PASS",15,15,TRUE,TRUE,FALSE,TRUE,0,0,""
"buzgova_2023_lsita","PASS",12,12,TRUE,TRUE,FALSE,TRUE,0,0,""
"buzgova_2023_rses","PASS",10,10,TRUE,TRUE,FALSE,TRUE,0,0,""
"buzgova_2023_soc","PASS",13,13,TRUE,TRUE,FALSE,TRUE,0,71.4,"71.4% of rows have blank option_text"
"cacciatore_2021_crisis_care_satisfaction","WARN",9,9,TRUE,TRUE,FALSE,TRUE,0,0,"row-count anomaly (possible item-code conflation or missingness skew), median=163: Q24_2, Q24_4, Q24_7, Q24_8"
